"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","15","570"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","228"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","7","228"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","228"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","16","228"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","16","228"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","13","228"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","228"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","8","228"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","5","228"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","6","228"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","228"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","213"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","213"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","10","213"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","213"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","9","213"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","213"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","213"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","7","213"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","5","213"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","3","213"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","27","213"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","396"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","396"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","396"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","12","396"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","396"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","396"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","8","396"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","396"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","5","396"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","4","396"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","24","396"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1355"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1355"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1355"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1355"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","1355"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1355"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1355"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1355"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1355"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1355"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1355"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","5","600"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","600"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","11","600"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","12","600"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","600"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","9","600"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","600"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","5","600"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","600"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","600"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","20","600"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","61106"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","61106"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","12","61106"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","12","61106"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","11","61106"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","9","61106"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","8","61106"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","61106"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","6","61106"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","5","61106"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","23","61106"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","56608"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","56608"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","13","56608"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","13","56608"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","11","56608"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","9","56608"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","56608"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","6","56608"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","6","56608"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","5","56608"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","23","56608"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","1","54352"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","54352"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","13","54352"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","13","54352"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","11","54352"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","9","54352"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","54352"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","6","54352"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","6","54352"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","5","54352"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","23","54352"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","2","2256"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","7","2256"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","9","2256"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","11","2256"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","10","2256"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","9","2256"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","8","2256"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","7","2256"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","6","2256"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","5","2256"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","27","2256"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","426"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","426"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","426"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","13","426"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","426"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","426"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","426"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","426"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","426"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","426"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","19","426"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","2","2226"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","2226"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","8","2226"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","10","2226"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","11","2226"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","11","2226"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","9","2226"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","8","2226"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","2226"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","2226"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","26","2226"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","2","954"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","4","954"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","7","954"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","954"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","954"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","10","954"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","9","954"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","954"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","954"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","954"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","34","954"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","514"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","5","514"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","8","514"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","13","514"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","15","514"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","15","514"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","12","514"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","7","514"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","4","514"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","514"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","16","514"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","-","212"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","5","212"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","9","212"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","17","212"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","16","212"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","14","212"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","9","212"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","8","212"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","5","212"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","4","212"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","14","212"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","187"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","187"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","10","187"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","187"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","12","187"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","7","187"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","8","187"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","9","187"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","3","187"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","6","187"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","23","187"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","3","359"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","7","359"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","6","359"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","10","359"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","10","359"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","9","359"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","9","359"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","7","359"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","6","359"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","5","359"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","29","359"
