"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","value_type","Denominator"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","14","%","491"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","%","491"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","%","491"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","491"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","491"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","491"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","%","491"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","18","%","491"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","3","%","2,454"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","6","%","2,454"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,454"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,454"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,454"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,454"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,454"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","7","%","2,454"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,454"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","4","%","2,454"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","25","%","2,454"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","2","%","1,047"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","4","%","1,047"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","%","1,047"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","%","1,047"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","9","%","1,047"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","10","%","1,047"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","8","%","1,047"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","7","%","1,047"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","6","%","1,047"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","5","%","1,047"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","33","%","1,047"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","2","%","570"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","6","%","570"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","11","%","570"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","14","%","570"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","16","%","570"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","13","%","570"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","11","%","570"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","6","%","570"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","4","%","570"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","3","%","570"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","15","%","570"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","3","%","228"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","7","%","228"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","%","228"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","16","%","228"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","16","%","228"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","13","%","228"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","%","228"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","8","%","228"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","5","%","228"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","6","%","228"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","9","%","228"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","213"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","213"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","10","%","213"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","213"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","9","%","213"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","213"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","213"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","7","%","213"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","5","%","213"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","3","%","213"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","27","%","213"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","%","396"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","%","396"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","%","396"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","12","%","396"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","%","396"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","%","396"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","8","%","396"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","9","%","396"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","5","%","396"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","4","%","396"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","24","%","396"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,355"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,355"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,355"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,355"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","%","1,355"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,355"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,355"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,355"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,355"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,355"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,355"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","5","%","597"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","%","597"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","11","%","597"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","12","%","597"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","%","597"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","9","%","597"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","10","%","597"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","5","%","597"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","%","597"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","%","597"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","20","%","597"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","%","61,106"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","%","61,106"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","12","%","61,106"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","12","%","61,106"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","11","%","61,106"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","9","%","61,106"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","8","%","61,106"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","%","61,106"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","6","%","61,106"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","5","%","61,106"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","23","%","61,106"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","%","56,612"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","%","56,612"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","13","%","56,612"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","13","%","56,612"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","11","%","56,612"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","9","%","56,612"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","%","56,612"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","6","%","56,612"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","6","%","56,612"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","5","%","56,612"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","23","%","56,612"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","1","%","54,352"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","%","54,352"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","13","%","54,352"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","13","%","54,352"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","11","%","54,352"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","9","%","54,352"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","%","54,352"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","6","%","54,352"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","6","%","54,352"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","5","%","54,352"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","23","%","54,352"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","2","%","2,260"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","7","%","2,260"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","9","%","2,260"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","11","%","2,260"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","10","%","2,260"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","9","%","2,260"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","8","%","2,260"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","7","%","2,260"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","6","%","2,260"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","5","%","2,260"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","27","%","2,260"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","426"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","426"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","%","426"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","13","%","426"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","%","426"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","11","%","426"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","%","426"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","%","426"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","426"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","426"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","19","%","426"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","2","%","2,226"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,226"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","8","%","2,226"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","10","%","2,226"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,226"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","11","%","2,226"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","9","%","2,226"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","8","%","2,226"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,226"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","5","%","2,226"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","26","%","2,226"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","2","%","954"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","4","%","954"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","7","%","954"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","%","954"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","%","954"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","10","%","954"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","9","%","954"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","8","%","954"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","%","954"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","6","%","954"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","34","%","954"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","%","514"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","5","%","514"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","8","%","514"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","13","%","514"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","15","%","514"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","15","%","514"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","12","%","514"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","7","%","514"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","4","%","514"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","%","514"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","16","%","514"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","-","%","212"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","5","%","212"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","9","%","212"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","17","%","212"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","16","%","212"
