"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,621"
"Child Benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","31","1,621"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","22","1,621"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","26","1,621"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,621"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,621"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,621"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","26","1,621"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,621"
"Income Support by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,621"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,621"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,621"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","32","1,621"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","50","1,621"
"Pension Credit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,621"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,621"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,621"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,621"
"State Pension by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,621"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,621"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,621"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","30","246"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","31","246"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","7","246"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Child Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","19","246"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","6","246"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","7","246"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","246"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","246"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","246"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","5","246"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Income Support by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","246"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","246"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","10","246"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","28","246"
"Pension Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","246"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","~","246"
"State Pension by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","6","246"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","246"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","4","246"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","47","1,281"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","48","1,281"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","10","1,281"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","0","1,281"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","1,281"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","2","1,281"
"Child Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","22","1,281"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","9","1,281"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","9","1,281"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","6","1,281"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","5","1,281"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","1,281"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","6","1,281"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","1,281"
"Income Support by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","2","1,281"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","~","1,281"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","1,281"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","15","1,281"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","42","1,281"
"Pension Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","1,281"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","0","1,281"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","0","1,281"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","~","1,281"
"State Pension by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","12","1,281"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","~","1,281"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","5","1,281"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","46","572"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","46","572"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","19","572"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","572"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","572"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","572"
"Child Benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","27","572"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","18","572"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","19","572"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","572"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","572"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","572"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","18","572"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","572"
"Income Support by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","572"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","572"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","572"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","24","572"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","39","572"
"Pension Credit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","572"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","572"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","572"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","572"
"State Pension by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","572"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","572"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","572"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","50","669"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","52","669"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","17","669"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","0","669"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","669"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","669"
"Child Benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","26","669"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","16","669"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","18","669"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","4","669"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","4","669"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","3","669"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","18","669"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","669"
"Income Support by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","3","669"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","0","669"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","7","669"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","24","669"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","42","669"
"Pension Credit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","3","669"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","0","669"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","0","669"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","~","669"
"State Pension by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","10","669"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","~","669"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","10","669"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","56","800"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","57","800"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","29","800"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","800"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","800"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","800"
"Child Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","35","800"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","27","800"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","17","800"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","7","800"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","800"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","800"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","800"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","800"
"Income Support by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","4","800"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","800"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","5","800"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","25","800"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","48","800"
"Pension Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","800"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","0","800"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","0","800"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","800"
"State Pension by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","800"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","800"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","17","800"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","60","65,843"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","61","65,843"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","11","65,843"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","~","65,843"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","3","65,843"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","2","65,843"
"Child Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","21","65,843"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","11","65,843"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","15","65,843"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","7","65,843"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","7","65,843"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","2","65,843"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","13","65,843"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","2","65,843"
"Income Support by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","3","65,843"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","1","65,843"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","3","65,843"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","20","65,843"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","56","65,843"
"Pension Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","5","65,843"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","0","65,843"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","0","65,843"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","~","65,843"
"State Pension by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","27","65,843"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","~","65,843"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","5","65,843"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","61","63,130"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","62","63,130"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","11","63,130"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","~","63,130"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","3","63,130"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","2","63,130"
"Child Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","21","63,130"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","10","63,130"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","15","63,130"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","7","63,130"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","7","63,130"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","2","63,130"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","13","63,130"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","2","63,130"
"Income Support by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","3","63,130"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","1","63,130"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","3","63,130"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","20","63,130"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","57","63,130"
"Pension Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","5","63,130"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","0","63,130"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","0","63,130"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","~","63,130"
"State Pension by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","28","63,130"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","~","63,130"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","5","63,130"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","45","2,713"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","46","2,713"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","13","2,713"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","~","2,713"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","1","2,713"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","1","2,713"
"Child Benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","24","2,713"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","12","2,713"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","14","2,713"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,713"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,713"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","1","2,713"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","14","2,713"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","1","2,713"
"Income Support by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","2","2,713"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","~","2,713"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,713"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","18","2,713"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","41","2,713"
"Pension Credit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,713"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","0","2,713"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","0","2,713"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","~","2,713"
"State Pension by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","11","2,713"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","~","2,713"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White non-British","ONS 5+2","K02000001","8","2,713"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","58","70,403"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","58","70,403"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","11","70,403"
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","~","70,403"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","2","70,403"
"Carer's Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","2","70,403"
"Child Benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","21","70,403"
"Child Tax Credit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","10","70,403"
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","15","70,403"
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","7","70,403"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","6","70,403"
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","3","70,403"
"Housing Benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","13","70,403"
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","1","70,403"
"Income Support by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","3","70,403"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","1","70,403"
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","3","70,403"
"On any income-related benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","20","70,403"
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","54","70,403"
"Pension Credit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","5","70,403"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","0","70,403"
