"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+547","K02000001","ONS geography code","All","All","All","All","6","865"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+548","K02000001","ONS geography code","All","All","All","All","-","865"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+549","K02000001","ONS geography code","All","All","All","All","5","865"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+550","K02000001","ONS geography code","All","All","All","All","26","865"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+551","K02000001","ONS geography code","All","All","All","All","51","865"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+552","K02000001","ONS geography code","All","All","All","All","4","865"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+553","K02000001","ONS geography code","All","All","All","All","-","865"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+554","K02000001","ONS geography code","All","All","All","All","7","865"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+555","K02000001","ONS geography code","All","All","All","All","-","865"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 2011 5+556","K02000001","ONS geography code","All","All","All","All","17","865"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+557","K02000001","ONS geography code","All","All","All","All","61","71350"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+558","K02000001","ONS geography code","All","All","All","All","62","71350"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+559","K02000001","ONS geography code","All","All","All","All","13","71350"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+560","K02000001","ONS geography code","All","All","All","All","-","71350"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+561","K02000001","ONS geography code","All","All","All","All","3","71350"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+562","K02000001","ONS geography code","All","All","All","All","1","71350"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+563","K02000001","ONS geography code","All","All","All","All","22","71350"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+564","K02000001","ONS geography code","All","All","All","All","12","71350"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+565","K02000001","ONS geography code","All","All","All","All","16","71350"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+566","K02000001","ONS geography code","All","All","All","All","7","71350"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+567","K02000001","ONS geography code","All","All","All","All","7","71350"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+568","K02000001","ONS geography code","All","All","All","All","1","71350"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+569","K02000001","ONS geography code","All","All","All","All","13","71350"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+570","K02000001","ONS geography code","All","All","All","All","3","71350"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+571","K02000001","ONS geography code","All","All","All","All","4","71350"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+572","K02000001","ONS geography code","All","All","All","All","1","71350"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+573","K02000001","ONS geography code","All","All","All","All","3","71350"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+574","K02000001","ONS geography code","All","All","All","All","20","71350"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+575","K02000001","ONS geography code","All","All","All","All","58","71350"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+576","K02000001","ONS geography code","All","All","All","All","5","71350"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+577","K02000001","ONS geography code","All","All","All","All","-","71350"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+578","K02000001","ONS geography code","All","All","All","All","27","71350"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+579","K02000001","ONS geography code","All","All","All","All","-","71350"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 2011 5+580","K02000001","ONS geography code","All","All","All","All","6","71350"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+581","K02000001","ONS geography code","All","All","All","All","62","68390"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+582","K02000001","ONS geography code","All","All","All","All","63","68390"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+583","K02000001","ONS geography code","All","All","All","All","13","68390"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+584","K02000001","ONS geography code","All","All","All","All","-","68390"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+585","K02000001","ONS geography code","All","All","All","All","3","68390"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+586","K02000001","ONS geography code","All","All","All","All","2","68390"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+587","K02000001","ONS geography code","All","All","All","All","22","68390"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+588","K02000001","ONS geography code","All","All","All","All","12","68390"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+589","K02000001","ONS geography code","All","All","All","All","16","68390"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+590","K02000001","ONS geography code","All","All","All","All","7","68390"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+591","K02000001","ONS geography code","All","All","All","All","7","68390"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+592","K02000001","ONS geography code","All","All","All","All","2","68390"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+593","K02000001","ONS geography code","All","All","All","All","13","68390"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+594","K02000001","ONS geography code","All","All","All","All","3","68390"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+595","K02000001","ONS geography code","All","All","All","All","4","68390"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+596","K02000001","ONS geography code","All","All","All","All","1","68390"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+597","K02000001","ONS geography code","All","All","All","All","3","68390"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+598","K02000001","ONS geography code","All","All","All","All","20","68390"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+599","K02000001","ONS geography code","All","All","All","All","59","68390"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+600","K02000001","ONS geography code","All","All","All","All","6","68390"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+601","K02000001","ONS geography code","All","All","All","All","-","68390"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+602","K02000001","ONS geography code","All","All","All","All","28","68390"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+603","K02000001","ONS geography code","All","All","All","All","-","68390"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 2011 5+604","K02000001","ONS geography code","All","All","All","All","5","68390"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+605","K02000001","ONS geography code","All","All","All","All","46","2960"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+606","K02000001","ONS geography code","All","All","All","All","47","2960"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+607","K02000001","ONS geography code","All","All","All","All","14","2960"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+608","K02000001","ONS geography code","All","All","All","All","-","2960"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+609","K02000001","ONS geography code","All","All","All","All","1","2960"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+610","K02000001","ONS geography code","All","All","All","All","1","2960"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+611","K02000001","ONS geography code","All","All","All","All","23","2960"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+612","K02000001","ONS geography code","All","All","All","All","13","2960"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+613","K02000001","ONS geography code","All","All","All","All","14","2960"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+614","K02000001","ONS geography code","All","All","All","All","3","2960"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+615","K02000001","ONS geography code","All","All","All","All","3","2960"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+616","K02000001","ONS geography code","All","All","All","All","1","2960"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+617","K02000001","ONS geography code","All","All","All","All","13","2960"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+618","K02000001","ONS geography code","All","All","All","All","1","2960"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+619","K02000001","ONS geography code","All","All","All","All","3","2960"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+620","K02000001","ONS geography code","All","All","All","All","-","2960"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+621","K02000001","ONS geography code","All","All","All","All","2","2960"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+622","K02000001","ONS geography code","All","All","All","All","18","2960"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+623","K02000001","ONS geography code","All","All","All","All","42","2960"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+624","K02000001","ONS geography code","All","All","All","All","3","2960"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+625","K02000001","ONS geography code","All","All","All","All","-","2960"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+626","K02000001","ONS geography code","All","All","All","All","13","2960"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+627","K02000001","ONS geography code","All","All","All","All","-","2960"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White other","ONS 2011 5+628","K02000001","ONS geography code","All","All","All","All","8","2960"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+629","K02000001","ONS geography code","All","All","All","All","59","71797"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+630","K02000001","ONS geography code","All","All","All","All","60","71797"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+631","K02000001","ONS geography code","All","All","All","All","12","71797"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+632","K02000001","ONS geography code","All","All","All","All","-","71797"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+633","K02000001","ONS geography code","All","All","All","All","2","71797"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+634","K02000001","ONS geography code","All","All","All","All","2","71797"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+635","K02000001","ONS geography code","All","All","All","All","22","71797"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+636","K02000001","ONS geography code","All","All","All","All","11","71797"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+637","K02000001","ONS geography code","All","All","All","All","15","71797"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+638","K02000001","ONS geography code","All","All","All","All","7","71797"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+639","K02000001","ONS geography code","All","All","All","All","6","71797"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+640","K02000001","ONS geography code","All","All","All","All","2","71797"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+641","K02000001","ONS geography code","All","All","All","All","13","71797"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+642","K02000001","ONS geography code","All","All","All","All","2","71797"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+643","K02000001","ONS geography code","All","All","All","All","3","71797"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+644","K02000001","ONS geography code","All","All","All","All","1","71797"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+645","K02000001","ONS geography code","All","All","All","All","4","71797"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+646","K02000001","ONS geography code","All","All","All","All","20","71797"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+647","K02000001","ONS geography code","All","All","All","All","55","71797"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+648","K02000001","ONS geography code","All","All","All","All","5","71797"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+649","K02000001","ONS geography code","All","All","All","All","-","71797"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+650","K02000001","ONS geography code","All","All","All","All","25","71797"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+651","K02000001","ONS geography code","All","All","All","All","-","71797"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 2011 5+652","K02000001","ONS geography code","All","All","All","All","6","71797"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+653","K02000001","ONS geography code","All","All","All","All","49","460"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+654","K02000001","ONS geography code","All","All","All","All","49","460"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+655","K02000001","ONS geography code","All","All","All","All","17","460"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+656","K02000001","ONS geography code","All","All","All","All","0","460"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+657","K02000001","ONS geography code","All","All","All","All","1","460"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+658","K02000001","ONS geography code","All","All","All","All","-","460"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+659","K02000001","ONS geography code","All","All","All","All","30","460"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+660","K02000001","ONS geography code","All","All","All","All","16","460"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+661","K02000001","ONS geography code","All","All","All","All","14","460"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+662","K02000001","ONS geography code","All","All","All","All","2","460"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+663","K02000001","ONS geography code","All","All","All","All","2","460"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+664","K02000001","ONS geography code","All","All","All","All","1","460"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+665","K02000001","ONS geography code","All","All","All","All","15","460"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+666","K02000001","ONS geography code","All","All","All","All","1","460"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+667","K02000001","ONS geography code","All","All","All","All","3","460"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+668","K02000001","ONS geography code","All","All","All","All","0","460"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+669","K02000001","ONS geography code","All","All","All","All","3","460"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+670","K02000001","ONS geography code","All","All","All","All","21","460"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+671","K02000001","ONS geography code","All","All","All","All","42","460"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+672","K02000001","ONS geography code","All","All","All","All","4","460"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+673","K02000001","ONS geography code","All","All","All","All","0","460"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+674","K02000001","ONS geography code","All","All","All","All","7","460"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+675","K02000001","ONS geography code","All","All","All","All","-","460"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian other ","ONS 2011 5+676","K02000001","ONS geography code","All","All","All","All","11","460"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+677","K02000001","ONS geography code","All","All","All","All","49","3092"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+678","K02000001","ONS geography code","All","All","All","All","50","3092"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+679","K02000001","ONS geography code","All","All","All","All","17","3092"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+680","K02000001","ONS geography code","All","All","All","All","-","3092"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+681","K02000001","ONS geography code","All","All","All","All","1","3092"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+682","K02000001","ONS geography code","All","All","All","All","1","3092"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+683","K02000001","ONS geography code","All","All","All","All","28","3092"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+684","K02000001","ONS geography code","All","All","All","All","16","3092"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+685","K02000001","ONS geography code","All","All","All","All","13","3092"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+686","K02000001","ONS geography code","All","All","All","All","5","3092"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+687","K02000001","ONS geography code","All","All","All","All","4","3092"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+688","K02000001","ONS geography code","All","All","All","All","2","3092"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+689","K02000001","ONS geography code","All","All","All","All","10","3092"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+690","K02000001","ONS geography code","All","All","All","All","1","3092"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+691","K02000001","ONS geography code","All","All","All","All","3","3092"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+692","K02000001","ONS geography code","All","All","All","All","-","3092"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+693","K02000001","ONS geography code","All","All","All","All","4","3092"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+694","K02000001","ONS geography code","All","All","All","All","20","3092"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+695","K02000001","ONS geography code","All","All","All","All","43","3092"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+696","K02000001","ONS geography code","All","All","All","All","4","3092"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+697","K02000001","ONS geography code","All","All","All","All","-","3092"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+698","K02000001","ONS geography code","All","All","All","All","9","3092"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+699","K02000001","ONS geography code","All","All","All","All","-","3092"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Asian","ONS 2011 5+700","K02000001","ONS geography code","All","All","All","All","10","3092"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+701","K02000001","ONS geography code","All","All","All","All","58","305"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+702","K02000001","ONS geography code","All","All","All","All","59","305"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+703","K02000001","ONS geography code","All","All","All","All","29","305"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+704","K02000001","ONS geography code","All","All","All","All","0","305"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+705","K02000001","ONS geography code","All","All","All","All","1","305"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+706","K02000001","ONS geography code","All","All","All","All","-","305"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+707","K02000001","ONS geography code","All","All","All","All","35","305"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+708","K02000001","ONS geography code","All","All","All","All","28","305"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+709","K02000001","ONS geography code","All","All","All","All","27","305"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+710","K02000001","ONS geography code","All","All","All","All","5","305"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+711","K02000001","ONS geography code","All","All","All","All","4","305"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+712","K02000001","ONS geography code","All","All","All","All","6","305"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+713","K02000001","ONS geography code","All","All","All","All","21","305"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+714","K02000001","ONS geography code","All","All","All","All","1","305"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+715","K02000001","ONS geography code","All","All","All","All","6","305"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+716","K02000001","ONS geography code","All","All","All","All","-","305"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+717","K02000001","ONS geography code","All","All","All","All","6","305"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+718","K02000001","ONS geography code","All","All","All","All","35","305"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+719","K02000001","ONS geography code","All","All","All","All","49","305"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+720","K02000001","ONS geography code","All","All","All","All","3","305"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+721","K02000001","ONS geography code","All","All","All","All","1","305"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+722","K02000001","ONS geography code","All","All","All","All","9","305"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+723","K02000001","ONS geography code","All","All","All","All","1","305"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 2011 5+724","K02000001","ONS geography code","All","All","All","All","16","305"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Black","ONS 2011 5+725","K02000001","ONS geography code","All","All","All","All","59","1621"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Black","ONS 2011 5+726","K02000001","ONS geography code","All","All","All","All","59","1621"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Black","ONS 2011 5+727","K02000001","ONS geography code","All","All","All","All","23","1621"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","Black","ONS 2011 5+728","K02000001","ONS geography code","All","All","All","All","-","1621"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Black","ONS 2011 5+729","K02000001","ONS geography code","All","All","All","All","2","1621"
