"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","-","%","345"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","0","%","345"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","29","%","286"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","28","%","286"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","7","%","286"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","10","%","286"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","26","%","286"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","17","%","286"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","4","%","286"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","7","%","286"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","%","286"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","5","%","286"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","%","286"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","8","%","286"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","%","286"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","1","%","286"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","6","%","286"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","-","%","286"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","-","%","286"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","%","286"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","2","%","286"
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","0","%","286"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","51","%","505"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","50","%","505"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","19","%","505"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","21","%","505"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","43","%","505"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","29","%","505"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","10","%","505"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","18","%","505"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","4","%","505"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","15","%","505"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","4","%","505"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","16","%","505"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","%","505"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","1","%","505"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","8","%","505"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","-","%","505"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","1","%","505"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","0","%","505"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","1","%","505"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","-","%","505"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","2","%","505"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","3","%","505"
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","0","%","505"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","0","%","505"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","0","%","505"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","0","%","505"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","60","%","1,640"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","60","%","1,640"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","23","%","1,640"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","32","%","1,640"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","51","%","1,640"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","33","%","1,640"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,640"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","22","%","1,640"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,640"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","25","%","1,640"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","%","1,640"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","26","%","1,640"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,640"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,640"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","10","%","1,640"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,640"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","%","1,640"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,640"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,640"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","%","1,640"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,640"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","%","1,640"
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,640"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,640"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","-","%","1,640"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","0","%","1,640"
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","53","%","746"
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","52","%","746"
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","19","%","746"
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","24","%","746"
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","43","%","746"
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","27","%","746"
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","9","%","746"
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","17","%","746"
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","%","746"
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","17","%","746"
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","3","%","746"
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","17","%","746"
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","6","%","746"
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","2","%","746"
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","11","%","746"
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","-","%","746"
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","1","%","746"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","-","%","746"
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","-","%","746"
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","1","%","746"
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","%","746"
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","4","%","746"
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","0","%","746"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","0","%","746"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","0","%","746"
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","-","%","746"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","60","%","71,797"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","59","%","71,797"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","12","%","71,797"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","20","%","71,797"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","55","%","71,797"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","22","%","71,797"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","6","%","71,797"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","11","%","71,797"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","3","%","71,797"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","13","%","71,797"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","5","%","71,797"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","15","%","71,797"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","4","%","71,797"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","%","71,797"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","25","%","71,797"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","-","%","71,797"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","%","71,797"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","-","%","71,797"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","%","71,797"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","%","71,797"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","%","71,797"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","6","%","71,797"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","0","%","71,797"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","0","%","71,797"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","1","%","71,797"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","-","%","71,797"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","61","%","65,847"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","60","%","65,847"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","11","%","65,847"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","20","%","65,847"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","56","%","65,847"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","21","%","65,847"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","5","%","65,847"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","11","%","65,847"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","3","%","65,847"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","13","%","65,847"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","5","%","65,847"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","15","%","65,847"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","3","%","65,847"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","%","65,847"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","27","%","65,847"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","-","%","65,847"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","%","65,847"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","-","%","65,847"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","3","%","65,847"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","%","65,847"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","%","65,847"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","%","65,847"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","0","%","65,847"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","0","%","65,847"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","1","%","65,847"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","-","%","65,847"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","62","%","63,130"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","61","%","63,130"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","11","%","63,130"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","20","%","63,130"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","57","%","63,130"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","21","%","63,130"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","5","%","63,130"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","10","%","63,130"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","3","%","63,130"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","13","%","63,130"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","5","%","63,130"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","15","%","63,130"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","3","%","63,130"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","%","63,130"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","28","%","63,130"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","-","%","63,130"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","%","63,130"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","-","%","63,130"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","3","%","63,130"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","%","63,130"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","%","63,130"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","%","63,130"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","0","%","63,130"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","0","%","63,130"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","1","%","63,130"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","-","%","63,130"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","46","%","2,717"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","45","%","2,717"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","13","%","2,717"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","18","%","2,717"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","41","%","2,717"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","24","%","2,717"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","8","%","2,717"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","12","%","2,717"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","2","%","2,717"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","14","%","2,717"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","3","%","2,717"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","14","%","2,717"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","3","%","2,717"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","1","%","2,717"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","11","%","2,717"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","-","%","2,717"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","1","%","2,717"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","-","%","2,717"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","1","%","2,717"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","1","%","2,717"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","3","%","2,717"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","3","%","2,717"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","0","%","2,717"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","0","%","2,717"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","-","%","2,717"
"Armed Forces Compensation Scheme by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","-","%","2,717"
"All in receipt of state support by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","46","%","572"
"All in receipt of benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","46","%","572"
"All in receipt of Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","19","%","572"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","24","%","572"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","39","%","572"
"Child Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","27","%","572"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","572"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","18","%","572"
"Income Support by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","572"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","18","%","572"
"Pension Credit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","572"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","19","%","572"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","572"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","572"
"State Pension by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","572"
"Widow's Benefits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","572"
"Incapacity Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","572"
"Severe Disablement Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","572"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","572"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","572"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","%","572"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","572"
"Personal Independence Payment (daily living component) by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","572"
"Personal Independence Payment (mobility component) by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","572"
"Industrial Injuries Disablement Benefit by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","572"
