"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","1 Managers and Senior Officials","SOC 2010","15","%","1407500","205600","3.76",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","2 Professional occupations","SOC 2010","18","%","1407500","245900","3.73",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","3 Associate Professional and Technical","SOC 2010","13","%","1407500","180500","3.81",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","4 Administrative and Secretarial","SOC 2010","10","%","1407500","136700","3.84",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","5 Skilled Trades Occupations","SOC 2010","7","%","1407500","96800","3.86",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","6 Personal Service Occupations","SOC 2010","6","%","1407500","84000","3.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","7 Sales and Customer Service Occupations","SOC 2010","11","%","1407500","151000","3.88",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","8 Process, Plant and Machine Operatives","SOC 2010","10","%","1407500","135300","3.64",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","9 Elementary Occupations","SOC 2010","12","%","1407500","171600","3.71",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","1 Managers and Senior Officials","SOC 2010","9","%","625800","53100","6.19",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","2 Professional occupations","SOC 2010","14","%","625800","86900","5.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","3 Associate Professional and Technical","SOC 2010","15","%","625800","96500","5.64",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","4 Administrative and Secretarial","SOC 2010","12","%","625800","72200","6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","5 Skilled Trades Occupations","SOC 2010","6","%","625800","36700","6.32",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","6 Personal Service Occupations","SOC 2010","16","%","625800","96900","5.76",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","7 Sales and Customer Service Occupations","SOC 2010","9","%","625800","57100","6.38",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","8 Process, Plant and Machine Operatives","SOC 2010","5","%","625800","32600","6.12",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","9 Elementary Occupations","SOC 2010","15","%","625800","93700","5.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","1 Managers and Senior Officials","SOC 2010","15","%","638900","96700","5.54",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","2 Professional occupations","SOC 2010","23","%","638900","143700","5.29",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","3 Associate Professional and Technical","SOC 2010","14","%","638900","89800","5.59",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","4 Administrative and Secretarial","SOC 2010","11","%","638900","69000","5.53",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","5 Skilled Trades Occupations","SOC 2010","6","%","638900","37700","5.82",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","6 Personal Service Occupations","SOC 2010","6","%","638900","36600","5.54",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","7 Sales and Customer Service Occupations","SOC 2010","10","%","638900","60700","5.67",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","8 Process, Plant and Machine Operatives","SOC 2010","6","%","638900","40400","5.32",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","9 Elementary Occupations","SOC 2010","10","%","638900","64200","5.55",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","1 Managers and Senior Officials","SOC 2010","13","%","194900","24300","8.48",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","2 Professional occupations","SOC 2010","13","%","194900","24300","8.19",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","3 Associate Professional and Technical","SOC 2010","17","%","194900","33500","8.38",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","4 Administrative and Secretarial","SOC 2010","12","%","194900","23300","8.84",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","5 Skilled Trades Occupations","SOC 2010","6","%","194900","12500","8.63",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","6 Personal Service Occupations","SOC 2010","9","%","194900","18400","8.32",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","7 Sales and Customer Service Occupations","SOC 2010","13","%","194900","25700","8.74",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","8 Process, Plant and Machine Operatives","SOC 2010","3","%","194900","5100","8.05",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","9 Elementary Occupations","SOC 2010","14","%","194900","27700","8.62",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","1 Managers and Senior Officials","SOC 2010","15","%","373800","57700","7.35",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","2 Professional occupations","SOC 2010","16","%","373800","57800","7.56",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","3 Associate Professional and Technical","SOC 2010","15","%","373800","57700","7.31",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","4 Administrative and Secretarial","SOC 2010","9","%","373800","32600","7.79",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","5 Skilled Trades Occupations","SOC 2010","8","%","373800","30100","7.57",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","6 Personal Service Occupations","SOC 2010","7","%","373800","26700","7.19",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","7 Sales and Customer Service Occupations","SOC 2010","9","%","373800","33900","7.89",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","8 Process, Plant and Machine Operatives","SOC 2010","7","%","373800","24800","7.63",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian Other","9 Elementary Occupations","SOC 2010","14","%","373800","52500","7.11",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","1 Managers and Senior Officials","SOC 2010","12","%","401500","48700","7.24",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","2 Professional occupations","SOC 2010","13","%","401500","53100","7.11",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","3 Associate Professional and Technical","SOC 2010","16","%","401500","63500","6.92",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","4 Administrative and Secretarial","SOC 2010","9","%","401500","36700","7.09",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","5 Skilled Trades Occupations","SOC 2010","7","%","401500","29300","7.14",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","6 Personal Service Occupations","SOC 2010","9","%","401500","37300","6.93",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","7 Sales and Customer Service Occupations","SOC 2010","8","%","401500","33300","7.35",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","8 Process, Plant and Machine Operatives","SOC 2010","7","%","401500","29400","6.92",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","9 Elementary Occupations","SOC 2010","18","%","401500","70300","6.71",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","1 Managers and Senior Officials","SOC 2010","13","%","394800","51200","7.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","2 Professional occupations","SOC 2010","11","%","394800","44400","7.29",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","3 Associate Professional and Technical","SOC 2010","8","%","394800","33000","7.44",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","4 Administrative and Secretarial","SOC 2010","9","%","394800","35100","7.42",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","5 Skilled Trades Occupations","SOC 2010","7","%","394800","29000","7.07",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","6 Personal Service Occupations","SOC 2010","5","%","394800","20700","6.83",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","7 Sales and Customer Service Occupations","SOC 2010","14","%","394800","56400","7.19",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","8 Process, Plant and Machine Operatives","SOC 2010","18","%","394800","70100","6.56",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani, Bangladeshi","9 Elementary Occupations","SOC 2010","14","%","394800","54900","7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","1 Managers and Senior Officials","SOC 2010","16","%","25908000","4149800","0.72",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","2 Professional occupations","SOC 2010","13","%","25908000","3319700","0.73",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","3 Associate Professional and Technical","SOC 2010","15","%","25908000","3799500","0.72",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","4 Administrative and Secretarial","SOC 2010","12","%","25908000","3004000","0.71",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","5 Skilled Trades Occupations","SOC 2010","11","%","25908000","2915800","0.73",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","6 Personal Service Occupations","SOC 2010","8","%","25908000","2108600","0.72",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","7 Sales and Customer Service Occupations","SOC 2010","7","%","25908000","1897300","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","8 Process, Plant and Machine Operatives","SOC 2010","7","%","25908000","1821400","0.73",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","9 Elementary Occupations","SOC 2010","11","%","25908000","2891800","0.72",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","1 Managers and Senior Officials","SOC 2010","16","%","24085800","3889300","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","2 Professional occupations","SOC 2010","13","%","24085800","3062000","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","3 Associate Professional and Technical","SOC 2010","15","%","24085800","3555300","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","4 Administrative and Secretarial","SOC 2010","12","%","24085800","2847200","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","5 Skilled Trades Occupations","SOC 2010","11","%","24085800","2703300","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","6 Personal Service Occupations","SOC 2010","8","%","24085800","1981000","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","7 Sales and Customer Service Occupations","SOC 2010","8","%","24085800","1801400","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","8 Process, Plant and Machine Operatives","SOC 2010","7","%","24085800","1663700","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","9 Elementary Occupations","SOC 2010","11","%","24085800","2582600","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","1 Managers and Senior Officials","SOC 2010","14","%","1822300","260500","2.86",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","2 Professional occupations","SOC 2010","14","%","1822300","257700","2.87",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","3 Associate Professional and Technical","SOC 2010","13","%","1822300","244300","2.85",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","4 Administrative and Secretarial","SOC 2010","9","%","1822300","156700","2.85",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","5 Skilled Trades Occupations","SOC 2010","12","%","1822300","212500","2.91",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","6 Personal Service Occupations","SOC 2010","7","%","1822300","127600","2.85",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","7 Sales and Customer Service Occupations","SOC 2010","5","%","1822300","95900","2.91",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","8 Process, Plant and Machine Operatives","SOC 2010","9","%","1822300","157800","2.82",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","9 Elementary Occupations","SOC 2010","17","%","1822300","309300","2.82",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","1 Managers and Senior Officials","SOC 2010","16","%","28117300","4418300","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","2 Professional occupations","SOC 2010","14","%","28117300","3828500","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","3 Associate Professional and Technical","SOC 2010","15","%","28117300","4160400","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","4 Administrative and Secretarial","SOC 2010","11","%","28117300","3159100","0.47",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","5 Skilled Trades Occupations","SOC 2010","11","%","28117300","2942800","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","6 Personal Service Occupations","SOC 2010","9","%","28117300","2443400","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","7 Sales and Customer Service Occupations","SOC 2010","7","%","28117300","2074600","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","8 Process, Plant and Machine Operatives","SOC 2010","7","%","28117300","1901200","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","9 Elementary Occupations","SOC 2010","11","%","28117300","3188900","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","1 Managers and Senior Officials","SOC 2010","14","%","1460200","207400","3.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","2 Professional occupations","SOC 2010","18","%","1460200","264500","3.73",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","3 Associate Professional and Technical","SOC 2010","13","%","1460200","186400","3.76",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","4 Administrative and Secretarial","SOC 2010","9","%","1460200","135800","3.86",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","5 Skilled Trades Occupations","SOC 2010","6","%","1460200","92600","3.88",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","6 Personal Service Occupations","SOC 2010","6","%","1460200","94100","3.78",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","7 Sales and Customer Service Occupations","SOC 2010","11","%","1460200","165800","3.88",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","8 Process, Plant and Machine Operatives","SOC 2010","9","%","1460200","137000","3.72",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","9 Elementary Occupations","SOC 2010","12","%","1460200","176500","3.73",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","1 Managers and Senior Officials","SOC 2010","9","%","612900","56900","6.45",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","2 Professional occupations","SOC 2010","14","%","612900","84300","6.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","3 Associate Professional and Technical","SOC 2010","16","%","612900","95600","5.88",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","4 Administrative and Secretarial","SOC 2010","10","%","612900","61100","6.14",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","5 Skilled Trades Occupations","SOC 2010","6","%","612900","39300","6.57",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","6 Personal Service Occupations","SOC 2010","16","%","612900","94900","5.85",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","7 Sales and Customer Service Occupations","SOC 2010","8","%","612900","49400","6.49",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","8 Process, Plant and Machine Operatives","SOC 2010","7","%","612900","39700","6.53",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","9 Elementary Occupations","SOC 2010","15","%","612900","91700","5.99",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","1 Managers and Senior Officials","SOC 2010","15","%","668800","100400","5.42",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","2 Professional occupations","SOC 2010","23","%","668800","156000","5.27",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","3 Associate Professional and Technical","SOC 2010","14","%","668800","96600","5.55",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","4 Administrative and Secretarial","SOC 2010","10","%","668800","67300","5.54",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","5 Skilled Trades Occupations","SOC 2010","5","%","668800","33900","5.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","6 Personal Service Occupations","SOC 2010","6","%","668800","36500","5.61",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","7 Sales and Customer Service Occupations","SOC 2010","10","%","668800","68200","5.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","8 Process, Plant and Machine Operatives","SOC 2010","7","%","668800","45600","5.48",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","9 Elementary Occupations","SOC 2010","10","%","668800","64300","5.41",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","1 Managers and Senior Officials","SOC 2010","13","%","211500","27800","8.44",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","2 Professional occupations","SOC 2010","15","%","211500","31100","8.28",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","3 Associate Professional and Technical","SOC 2010","17","%","211500","36300","8.15",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","4 Administrative and Secretarial","SOC 2010","11","%","211500","22300","8.51",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","5 Skilled Trades Occupations","SOC 2010","7","%","211500","15400","8.57",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","6 Personal Service Occupations","SOC 2010","9","%","211500","19100","8.62",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","7 Sales and Customer Service Occupations","SOC 2010","12","%","211500","24400","8.8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","8 Process, Plant and Machine Operatives","SOC 2010","4","%","211500","7900","8.91",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","9 Elementary Occupations","SOC 2010","13","%","211500","27200","8.44",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","1 Managers and Senior Officials","SOC 2010","14","%","372100","52500","7.66",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","2 Professional occupations","SOC 2010","16","%","372100","58200","7.65",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","3 Associate Professional and Technical","SOC 2010","15","%","372100","54600","7.27",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","4 Administrative and Secretarial","SOC 2010","8","%","372100","30400","8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","5 Skilled Trades Occupations","SOC 2010","8","%","372100","30200","7.59",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","6 Personal Service Occupations","SOC 2010","9","%","372100","31600","7.45",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","7 Sales and Customer Service Occupations","SOC 2010","12","%","372100","42600","8.19",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","8 Process, Plant and Machine Operatives","SOC 2010","6","%","372100","22200","8.05",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian Other","9 Elementary Occupations","SOC 2010","13","%","372100","49800","7.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","1 Managers and Senior Officials","SOC 2010","12","%","373000","42800","7.67",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","2 Professional occupations","SOC 2010","15","%","373000","55100","7.39",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","3 Associate Professional and Technical","SOC 2010","17","%","373000","64400","7.34",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","4 Administrative and Secretarial","SOC 2010","8","%","373000","28300","7.87",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","5 Skilled Trades Occupations","SOC 2010","7","%","373000","25000","7.69",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","6 Personal Service Occupations","SOC 2010","11","%","373000","42300","7.25",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","7 Sales and Customer Service Occupations","SOC 2010","6","%","373000","23200","7.57",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","8 Process, Plant and Machine Operatives","SOC 2010","7","%","373000","24200","7.53",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","9 Elementary Occupations","SOC 2010","18","%","373000","67800","7.21",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","1 Managers and Senior Officials","SOC 2010","13","%","419300","54600","7.02",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","2 Professional occupations","SOC 2010","12","%","419300","50300","7.32",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","3 Associate Professional and Technical","SOC 2010","8","%","419300","35100","7.13",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","4 Administrative and Secretarial","SOC 2010","9","%","419300","38200","7.35",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","5 Skilled Trades Occupations","SOC 2010","7","%","419300","28600","7.27",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","6 Personal Service Occupations","SOC 2010","6","%","419300","26000","7.01",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","7 Sales and Customer Service Occupations","SOC 2010","13","%","419300","54900","6.95",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","8 Process, Plant and Machine Operatives","SOC 2010","17","%","419300","69200","6.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani, Bangladeshi","9 Elementary Occupations","SOC 2010","15","%","419300","62400","7.24",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","1 Managers and Senior Officials","SOC 2010","16","%","25459800","4083400","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","2 Professional occupations","SOC 2010","13","%","25459800","3393600","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","3 Associate Professional and Technical","SOC 2010","15","%","25459800","3777600","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","4 Administrative and Secretarial","SOC 2010","11","%","25459800","2911600","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","5 Skilled Trades Occupations","SOC 2010","11","%","25459800","2770400","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","6 Personal Service Occupations","SOC 2010","9","%","25459800","2193100","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","7 Sales and Customer Service Occupations","SOC 2010","7","%","25459800","1811900","0.76",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","8 Process, Plant and Machine Operatives","SOC 2010","7","%","25459800","1692400","0.75",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White","9 Elementary Occupations","SOC 2010","11","%","25459800","2825800","0.74",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","1 Managers and Senior Officials","SOC 2010","16","%","23617000","3828500","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","2 Professional occupations","SOC 2010","13","%","23617000","3114700","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","3 Associate Professional and Technical","SOC 2010","15","%","23617000","3524600","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","4 Administrative and Secretarial","SOC 2010","12","%","23617000","2763100","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","5 Skilled Trades Occupations","SOC 2010","11","%","23617000","2555700","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","6 Personal Service Occupations","SOC 2010","9","%","23617000","2068500","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","7 Sales and Customer Service Occupations","SOC 2010","7","%","23617000","1709400","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","8 Process, Plant and Machine Operatives","SOC 2010","7","%","23617000","1544800","0.78",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White British","9 Elementary Occupations","SOC 2010","11","%","23617000","2507700","0.77",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","1 Managers and Senior Officials","SOC 2010","14","%","1842800","254900","2.89",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","2 Professional occupations","SOC 2010","15","%","1842800","278900","2.93",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","3 Associate Professional and Technical","SOC 2010","14","%","1842800","253000","2.96",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","4 Administrative and Secretarial","SOC 2010","8","%","1842800","148500","2.94",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","5 Skilled Trades Occupations","SOC 2010","12","%","1842800","214600","2.99",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","6 Personal Service Occupations","SOC 2010","7","%","1842800","124600","2.87",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","7 Sales and Customer Service Occupations","SOC 2010","6","%","1842800","102400","2.95",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","8 Process, Plant and Machine Operatives","SOC 2010","8","%","1842800","147700","2.87",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","White Other","9 Elementary Occupations","SOC 2010","17","%","1842800","318100","2.91",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","1 Managers and Senior Officials","SOC 2010","16","%","28142400","4439100","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","2 Professional occupations","SOC 2010","14","%","28142400","3946200","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","3 Associate Professional and Technical","SOC 2010","15","%","28142400","4158900","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","4 Administrative and Secretarial","SOC 2010","11","%","28142400","3049600","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","5 Skilled Trades Occupations","SOC 2010","10","%","28142400","2890500","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","6 Personal Service Occupations","SOC 2010","9","%","28142400","2544000","0.48",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","7 Sales and Customer Service Occupations","SOC 2010","7","%","28142400","2096500","0.49",""
"Proportion of ethnic group who are employed, split by occupation group","2010","Year","All","8 Process, Plant and Machine Operatives","SOC 2010","7","%","28142400","1871000","0.48",""
