"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Value","Value_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","Yorkshire and The Humber","Government Region","3.1","Percentage of Numerator / Denominator","12805","Average number of JSA claimants a month matching date, geographic and ethnicity status","412658","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","Yorkshire and The Humber","Government Region","2.2","Percentage of Numerator / Denominator","64605","Average number of JSA claimants a month matching date, geographic and ethnicity status","2984933","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","East","Government Region","1.1","Percentage of Numerator / Denominator","4510","Average number of JSA claimants a month matching date, geographic and ethnicity status","394771","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","East","Government Region","0.9","Percentage of Numerator / Denominator","29850","Average number of JSA claimants a month matching date, geographic and ethnicity status","3376171","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","East Midlands","Government Region","1.6","Percentage of Numerator / Denominator","5630","Average number of JSA claimants a month matching date, geographic and ethnicity status","360204","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","East Midlands","Government Region","1.1","Percentage of Numerator / Denominator","28185","Average number of JSA claimants a month matching date, geographic and ethnicity status","2597264","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","All","England and Wales","1.9","Percentage of Numerator / Denominator","107600","Average number of JSA claimants a month matching date, geographic and ethnicity status","5805771","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","All","England and Wales","1.1","Percentage of Numerator / Denominator","353940","Average number of JSA claimants a month matching date, geographic and ethnicity status","30971789","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","London","Government Region","1.9","Percentage of Numerator / Denominator","46910","Average number of JSA claimants a month matching date, geographic and ethnicity status","2477954","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","London","Government Region","1","Percentage of Numerator / Denominator","34380","Average number of JSA claimants a month matching date, geographic and ethnicity status","3478378","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","North East","Government Region","2.4","Percentage of Numerator / Denominator","2110","Average number of JSA claimants a month matching date, geographic and ethnicity status","88937","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","North East","Government Region","2.3","Percentage of Numerator / Denominator","36275","Average number of JSA claimants a month matching date, geographic and ethnicity status","1572303","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","North West","Government Region","1.9","Percentage of Numerator / Denominator","9390","Average number of JSA claimants a month matching date, geographic and ethnicity status","493569","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","North West","Government Region","1.1","Percentage of Numerator / Denominator","42730","Average number of JSA claimants a month matching date, geographic and ethnicity status","4040583","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","South East","Government Region","0.9","Percentage of Numerator / Denominator","5375","Average number of JSA claimants a month matching date, geographic and ethnicity status","596111","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","South East","Government Region","0.8","Percentage of Numerator / Denominator","40280","Average number of JSA claimants a month matching date, geographic and ethnicity status","5000221","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","South West","Government Region","1.3","Percentage of Numerator / Denominator","2325","Average number of JSA claimants a month matching date, geographic and ethnicity status","180827","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","South West","Government Region","0.8","Percentage of Numerator / Denominator","26005","Average number of JSA claimants a month matching date, geographic and ethnicity status","3177220","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","Wales","Government Region","1.9","Percentage of Numerator / Denominator","1870","Average number of JSA claimants a month matching date, geographic and ethnicity status","98750","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","Wales","Government Region","1.6","Percentage of Numerator / Denominator","29520","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822684","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","West Midlands","Government Region","2.8","Percentage of Numerator / Denominator","19415","Average number of JSA claimants a month matching date, geographic and ethnicity status","692594","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","West Midlands","Government Region","1.3","Percentage of Numerator / Denominator","38985","Average number of JSA claimants a month matching date, geographic and ethnicity status","2921496","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2016","Calendar Year","Yorkshire and The Humber","Government Region","2.4","Percentage of Numerator / Denominator","10070","Average number of JSA claimants a month matching date, geographic and ethnicity status","422054","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2016","Calendar Year","Yorkshire and The Humber","Government Region","1.6","Percentage of Numerator / Denominator","47725","Average number of JSA claimants a month matching date, geographic and ethnicity status","2985469","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","East","Government Region","1","Percentage of Numerator / Denominator","4060","Average number of JSA claimants a month matching date, geographic and ethnicity status","401760","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","East","Government Region","0.7","Percentage of Numerator / Denominator","25160","Average number of JSA claimants a month matching date, geographic and ethnicity status","3377614","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","East Midlands","Government Region","1.3","Percentage of Numerator / Denominator","4730","Average number of JSA claimants a month matching date, geographic and ethnicity status","367362","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","East Midlands","Government Region","0.9","Percentage of Numerator / Denominator","23695","Average number of JSA claimants a month matching date, geographic and ethnicity status","2609269","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","All","England and Wales","1.6","Percentage of Numerator / Denominator","94900","Average number of JSA claimants a month matching date, geographic and ethnicity status","5902467","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","All","England and Wales","1","Percentage of Numerator / Denominator","296290","Average number of JSA claimants a month matching date, geographic and ethnicity status","30971117","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","London","Government Region","1.5","Percentage of Numerator / Denominator","38415","Average number of JSA claimants a month matching date, geographic and ethnicity status","2510238","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","London","Government Region","0.8","Percentage of Numerator / Denominator","28040","Average number of JSA claimants a month matching date, geographic and ethnicity status","3462790","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","North East","Government Region","2","Percentage of Numerator / Denominator","1850","Average number of JSA claimants a month matching date, geographic and ethnicity status","90304","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","North East","Government Region","1.9","Percentage of Numerator / Denominator","29570","Average number of JSA claimants a month matching date, geographic and ethnicity status","1568260","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","North West","Government Region","1.8","Percentage of Numerator / Denominator","9005","Average number of JSA claimants a month matching date, geographic and ethnicity status","502926","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","North West","Government Region","0.9","Percentage of Numerator / Denominator","36960","Average number of JSA claimants a month matching date, geographic and ethnicity status","4035889","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","South East","Government Region","0.8","Percentage of Numerator / Denominator","5075","Average number of JSA claimants a month matching date, geographic and ethnicity status","605698","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","South East","Government Region","0.7","Percentage of Numerator / Denominator","35525","Average number of JSA claimants a month matching date, geographic and ethnicity status","5001828","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","South West","Government Region","1.1","Percentage of Numerator / Denominator","2025","Average number of JSA claimants a month matching date, geographic and ethnicity status","184747","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","South West","Government Region","0.7","Percentage of Numerator / Denominator","20810","Average number of JSA claimants a month matching date, geographic and ethnicity status","3186073","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","Wales","Government Region","1.8","Percentage of Numerator / Denominator","1805","Average number of JSA claimants a month matching date, geographic and ethnicity status","100360","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","Wales","Government Region","1.2","Percentage of Numerator / Denominator","22725","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822276","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","West Midlands","Government Region","2.6","Percentage of Numerator / Denominator","18780","Average number of JSA claimants a month matching date, geographic and ethnicity status","708837","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","West Midlands","Government Region","1.2","Percentage of Numerator / Denominator","35290","Average number of JSA claimants a month matching date, geographic and ethnicity status","2927799","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2017","Calendar Year","Yorkshire and The Humber","Government Region","2.1","Percentage of Numerator / Denominator","9160","Average number of JSA claimants a month matching date, geographic and ethnicity status","430237","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2017","Calendar Year","Yorkshire and The Humber","Government Region","1.3","Percentage of Numerator / Denominator","38520","Average number of JSA claimants a month matching date, geographic and ethnicity status","2979317","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","North East","Government Region","4.9","Percentage of Numerator / Denominator","78330","Average number of JSA claimants a month matching date, geographic and ethnicity status","1598730","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","North West","Government Region","3.9","Percentage of Numerator / Denominator","161810","Average number of JSA claimants a month matching date, geographic and ethnicity status","4105271","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","Yorkshire and The Humber","Government Region","4.2","Percentage of Numerator / Denominator","126225","Average number of JSA claimants a month matching date, geographic and ethnicity status","3029696","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","East Midlands","Government Region","3.2","Percentage of Numerator / Denominator","84085","Average number of JSA claimants a month matching date, geographic and ethnicity status","2592157","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","West Midlands","Government Region","3.8","Percentage of Numerator / Denominator","112990","Average number of JSA claimants a month matching date, geographic and ethnicity status","2941797","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","East","Government Region","2.8","Percentage of Numerator / Denominator","94055","Average number of JSA claimants a month matching date, geographic and ethnicity status","3365124","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","London","Government Region","2.8","Percentage of Numerator / Denominator","94700","Average number of JSA claimants a month matching date, geographic and ethnicity status","3440844","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","South East","Government Region","2.3","Percentage of Numerator / Denominator","116725","Average number of JSA claimants a month matching date, geographic and ethnicity status","4975190","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","South West","Government Region","2.4","Percentage of Numerator / Denominator","76675","Average number of JSA claimants a month matching date, geographic and ethnicity status","3164611","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","Wales","Government Region","3.7","Percentage of Numerator / Denominator","68420","Average number of JSA claimants a month matching date, geographic and ethnicity status","1849969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","All","England and Wales","1.1","Percentage of Numerator / Denominator","407620","Average number of JSA claimants a month matching date, geographic and ethnicity status","36873584","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","North East","Government Region","1.9","Percentage of Numerator / Denominator","32205","Average number of JSA claimants a month matching date, geographic and ethnicity status","1658564","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","North West","Government Region","1","Percentage of Numerator / Denominator","47570","Average number of JSA claimants a month matching date, geographic and ethnicity status","4538815","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","Yorkshire and The Humber","Government Region","1.4","Percentage of Numerator / Denominator","49385","Average number of JSA claimants a month matching date, geographic and ethnicity status","3409554","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","East Midlands","Government Region","1","Percentage of Numerator / Denominator","29530","Average number of JSA claimants a month matching date, geographic and ethnicity status","2976631","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","West Midlands","Government Region","1.6","Percentage of Numerator / Denominator","57320","Average number of JSA claimants a month matching date, geographic and ethnicity status","3636636","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","East","Government Region","0.8","Percentage of Numerator / Denominator","30365","Average number of JSA claimants a month matching date, geographic and ethnicity status","3779374","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","London","Government Region","1.2","Percentage of Numerator / Denominator","70770","Average number of JSA claimants a month matching date, geographic and ethnicity status","5973028","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","South East","Government Region","0.7","Percentage of Numerator / Denominator","41770","Average number of JSA claimants a month matching date, geographic and ethnicity status","5607526","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","South West","Government Region","0.7","Percentage of Numerator / Denominator","23425","Average number of JSA claimants a month matching date, geographic and ethnicity status","3370820","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2017","Calendar Year","Wales","Government Region","1.3","Percentage of Numerator / Denominator","25285","Average number of JSA claimants a month matching date, geographic and ethnicity status","1922636","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","All","England and Wales","1.3","Percentage of Numerator / Denominator","484745","Average number of JSA claimants a month matching date, geographic and ethnicity status","36777560","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","North East","Government Region","2.4","Percentage of Numerator / Denominator","39480","Average number of JSA claimants a month matching date, geographic and ethnicity status","1661240","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","North West","Government Region","1.2","Percentage of Numerator / Denominator","54310","Average number of JSA claimants a month matching date, geographic and ethnicity status","4534152","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","Yorkshire and The Humber","Government Region","1.8","Percentage of Numerator / Denominator","60240","Average number of JSA claimants a month matching date, geographic and ethnicity status","3407523","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","East Midlands","Government Region","1.2","Percentage of Numerator / Denominator","35330","Average number of JSA claimants a month matching date, geographic and ethnicity status","2957468","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","West Midlands","Government Region","1.7","Percentage of Numerator / Denominator","62495","Average number of JSA claimants a month matching date, geographic and ethnicity status","3614090","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","East","Government Region","1","Percentage of Numerator / Denominator","36055","Average number of JSA claimants a month matching date, geographic and ethnicity status","3770942","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","London","Government Region","1.5","Percentage of Numerator / Denominator","88000","Average number of JSA claimants a month matching date, geographic and ethnicity status","5956332","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","South East","Government Region","0.8","Percentage of Numerator / Denominator","47155","Average number of JSA claimants a month matching date, geographic and ethnicity status","5596332","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","South West","Government Region","0.9","Percentage of Numerator / Denominator","29195","Average number of JSA claimants a month matching date, geographic and ethnicity status","3358047","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2016","Calendar Year","Wales","Government Region","1.7","Percentage of Numerator / Denominator","32485","Average number of JSA claimants a month matching date, geographic and ethnicity status","1921434","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","All","England and Wales","1.7","Percentage of Numerator / Denominator","622840","Average number of JSA claimants a month matching date, geographic and ethnicity status","36588665","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","North East","Government Region","2.8","Percentage of Numerator / Denominator","46570","Average number of JSA claimants a month matching date, geographic and ethnicity status","1660359","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","North West","Government Region","1.6","Percentage of Numerator / Denominator","71660","Average number of JSA claimants a month matching date, geographic and ethnicity status","4520345","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","Yorkshire and The Humber","Government Region","2.4","Percentage of Numerator / Denominator","81090","Average number of JSA claimants a month matching date, geographic and ethnicity status","3397591","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","East Midlands","Government Region","1.6","Percentage of Numerator / Denominator","48320","Average number of JSA claimants a month matching date, geographic and ethnicity status","2938227","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","West Midlands","Government Region","2.1","Percentage of Numerator / Denominator","77060","Average number of JSA claimants a month matching date, geographic and ethnicity status","3586276","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","East","Government Region","1.3","Percentage of Numerator / Denominator","47735","Average number of JSA claimants a month matching date, geographic and ethnicity status","3754685","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","London","Government Region","1.9","Percentage of Numerator / Denominator","111755","Average number of JSA claimants a month matching date, geographic and ethnicity status","5902432","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","South East","Government Region","1.1","Percentage of Numerator / Denominator","58810","Average number of JSA claimants a month matching date, geographic and ethnicity status","5564650","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","South West","Government Region","1.1","Percentage of Numerator / Denominator","36455","Average number of JSA claimants a month matching date, geographic and ethnicity status","3345076","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2015","Calendar Year","Wales","Government Region","2.3","Percentage of Numerator / Denominator","43375","Average number of JSA claimants a month matching date, geographic and ethnicity status","1919024","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","All","England and Wales","2.4","Percentage of Numerator / Denominator","879520","Average number of JSA claimants a month matching date, geographic and ethnicity status","36397802","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","North East","Government Region","3.7","Percentage of Numerator / Denominator","61860","Average number of JSA claimants a month matching date, geographic and ethnicity status","1663348","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","North West","Government Region","2.7","Percentage of Numerator / Denominator","122535","Average number of JSA claimants a month matching date, geographic and ethnicity status","4509630","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","Yorkshire and The Humber","Government Region","3.3","Percentage of Numerator / Denominator","110465","Average number of JSA claimants a month matching date, geographic and ethnicity status","3389577","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","East Midlands","Government Region","2.3","Percentage of Numerator / Denominator","67860","Average number of JSA claimants a month matching date, geographic and ethnicity status","2923192","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","West Midlands","Government Region","3.1","Percentage of Numerator / Denominator","109410","Average number of JSA claimants a month matching date, geographic and ethnicity status","3569465","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","East","Government Region","1.8","Percentage of Numerator / Denominator","68660","Average number of JSA claimants a month matching date, geographic and ethnicity status","3733048","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","London","Government Region","2.5","Percentage of Numerator / Denominator","147860","Average number of JSA claimants a month matching date, geographic and ethnicity status","5824376","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","South East","Government Region","1.5","Percentage of Numerator / Denominator","81560","Average number of JSA claimants a month matching date, geographic and ethnicity status","5535305","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","South West","Government Region","1.6","Percentage of Numerator / Denominator","52495","Average number of JSA claimants a month matching date, geographic and ethnicity status","3327413","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2014","Calendar Year","Wales","Government Region","3","Percentage of Numerator / Denominator","56815","Average number of JSA claimants a month matching date, geographic and ethnicity status","1922448","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","All","England and Wales","3.4","Percentage of Numerator / Denominator","1230050","Average number of JSA claimants a month matching date, geographic and ethnicity status","36278017","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","North East","Government Region","5.1","Percentage of Numerator / Denominator","84430","Average number of JSA claimants a month matching date, geographic and ethnicity status","1667444","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","North West","Government Region","4","Percentage of Numerator / Denominator","178420","Average number of JSA claimants a month matching date, geographic and ethnicity status","4516047","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","Yorkshire and The Humber","Government Region","4.4","Percentage of Numerator / Denominator","149835","Average number of JSA claimants a month matching date, geographic and ethnicity status","3394741","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","East Midlands","Government Region","3.3","Percentage of Numerator / Denominator","95620","Average number of JSA claimants a month matching date, geographic and ethnicity status","2913046","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","West Midlands","Government Region","4.2","Percentage of Numerator / Denominator","149240","Average number of JSA claimants a month matching date, geographic and ethnicity status","3560687","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","East","Government Region","2.7","Percentage of Numerator / Denominator","101720","Average number of JSA claimants a month matching date, geographic and ethnicity status","3711787","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","London","Government Region","3.5","Percentage of Numerator / Denominator","201925","Average number of JSA claimants a month matching date, geographic and ethnicity status","5756983","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","South East","Government Region","2.2","Percentage of Numerator / Denominator","119290","Average number of JSA claimants a month matching date, geographic and ethnicity status","5511528","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","South West","Government Region","2.3","Percentage of Numerator / Denominator","76670","Average number of JSA claimants a month matching date, geographic and ethnicity status","3319137","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","All","All","2013","Calendar Year","Wales","Government Region","3.8","Percentage of Numerator / Denominator","72910","Average number of JSA claimants a month matching date, geographic and ethnicity status","1926617","Number of people in the population aged 16-24 matching geographic and ethnicity status"
