"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Tariff marker","Number","Value","Value_type","Value_note"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2020/21","Academic Year","Low","224020","34.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2020/21","Academic Year","Medium","204005","31.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2020/21","Academic Year","High","211170","32.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2020/21","Academic Year","Other","1960","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2020/21","Academic Year","Total","641160","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2020/21","Academic Year","Low","36250","53.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2020/21","Academic Year","Medium","19345","28.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2020/21","Academic Year","High","12065","17.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2020/21","Academic Year","Other","170","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2020/21","Academic Year","Total","67835","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2020/21","Academic Year","Low","33640","33.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2020/21","Academic Year","Medium","33985","33.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2020/21","Academic Year","High","32125","32.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2020/21","Academic Year","Other","375","0.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2020/21","Academic Year","Total","100125","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2020/21","Academic Year","Low","13705","36.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2020/21","Academic Year","Medium","10930","29.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2020/21","Academic Year","High","12535","33.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2020/21","Academic Year","Other","150","0.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2020/21","Academic Year","Total","37325","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2020/21","Academic Year","Low","7385","42.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2020/21","Academic Year","Medium","4850","28","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2020/21","Academic Year","High","5020","29","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2020/21","Academic Year","Other","55","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2020/21","Academic Year","Total","17310","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2020/21","Academic Year","Low","7875","42.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2020/21","Academic Year","Medium","4645","24.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2020/21","Academic Year","High","6100","32.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2020/21","Academic Year","Other","60","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2020/21","Academic Year","Total","18685","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2020/21","Academic Year","Low","322880","36.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2020/21","Academic Year","Medium","277765","31.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2020/21","Academic Year","High","279020","31.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2020/21","Academic Year","Other","2770","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2020/21","Academic Year","Total","882435","100","%","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2014/15","Academic Year","High","186240","82.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2014/15","Academic Year","High","8005","3.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2014/15","Academic Year","High","21135","9.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2014/15","Academic Year","High","8250","3.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2014/15","Academic Year","High","2950","1.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2014/15","Academic Year","High","8450","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2014/15","Academic Year","High","235025","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2014/15","Academic Year","Low","175935","74","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2014/15","Academic Year","Low","25685","10.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2014/15","Academic Year","Low","23570","9.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2014/15","Academic Year","Low","8580","3.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2014/15","Academic Year","Low","4040","1.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2014/15","Academic Year","Low","4325","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2014/15","Academic Year","Low","242135","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2014/15","Academic Year","Medium","181910","78.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2014/15","Academic Year","Medium","14480","6.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2014/15","Academic Year","Medium","24550","10.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2014/15","Academic Year","Medium","7105","3.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2014/15","Academic Year","Medium","3155","1.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2014/15","Academic Year","Medium","4910","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2014/15","Academic Year","Medium","236110","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2014/15","Academic Year","Other","37475","88.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2014/15","Academic Year","Other","1775","4.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2014/15","Academic Year","Other","1850","4.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2014/15","Academic Year","Other","1060","2.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2014/15","Academic Year","Other","340","0.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2014/15","Academic Year","Other","735","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2014/15","Academic Year","Other","43235","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2014/15","Academic Year","Total","581560","78.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2014/15","Academic Year","Total","49940","6.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2014/15","Academic Year","Total","71105","9.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2014/15","Academic Year","Total","24995","3.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2014/15","Academic Year","Total","10490","1.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2014/15","Academic Year","Total","18420","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2014/15","Academic Year","Total","756505","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2015/16","Academic Year","High","193895","81.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2015/16","Academic Year","High","9035","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2015/16","Academic Year","High","23225","9.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2015/16","Academic Year","High","8820","3.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2015/16","Academic Year","High","3115","1.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2015/16","Academic Year","High","5635","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2015/16","Academic Year","High","243720","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2015/16","Academic Year","Low","159960","72.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2015/16","Academic Year","Low","25540","11.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2015/16","Academic Year","Low","22965","10.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2015/16","Academic Year","Low","8320","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2015/16","Academic Year","Low","4115","1.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2015/16","Academic Year","Low","3345","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2015/16","Academic Year","Low","224245","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2015/16","Academic Year","Medium","188965","77.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2015/16","Academic Year","Medium","16645","6.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2015/16","Academic Year","Medium","27270","11.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2015/16","Academic Year","Medium","8545","3.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2015/16","Academic Year","Medium","3560","1.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2015/16","Academic Year","Medium","5005","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2015/16","Academic Year","Medium","249990","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2015/16","Academic Year","Other","37175","87.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2015/16","Academic Year","Other","1820","4.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2015/16","Academic Year","Other","1830","4.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2015/16","Academic Year","Other","1155","2.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2015/16","Academic Year","Other","330","0.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2015/16","Academic Year","Other","740","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2015/16","Academic Year","Other","43050","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2015/16","Academic Year","Total","579995","77.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2015/16","Academic Year","Total","53040","7.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2015/16","Academic Year","Total","75290","10.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2015/16","Academic Year","Total","26835","3.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2015/16","Academic Year","Total","11115","1.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2015/16","Academic Year","Total","14730","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2015/16","Academic Year","Total","761005","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Academic Year","High","207550","80.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Academic Year","High","10500","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Academic Year","High","25445","9.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Academic Year","High","10260","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Academic Year","High","3555","1.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Academic Year","High","6430","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2016/17","Academic Year","High","263735","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Academic Year","Low","159885","70.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Academic Year","Low","28795","12.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Academic Year","Low","23600","10.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Academic Year","Low","8835","3.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Academic Year","Low","4240","1.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Academic Year","Low","3980","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2016/17","Academic Year","Low","229335","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Academic Year","Medium","179335","75.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Academic Year","Medium","17650","7.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Academic Year","Medium","28400","11.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Academic Year","Medium","8405","3.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Academic Year","Medium","3955","1.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Academic Year","Medium","4415","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2016/17","Academic Year","Medium","242165","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Academic Year","Other","37200","88.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Academic Year","Other","1575","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Academic Year","Other","1770","4.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Academic Year","Other","1105","2.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Academic Year","Other","320","0.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Academic Year","Other","910","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2016/17","Academic Year","Other","42880","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Academic Year","Total","583965","76.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Academic Year","Total","58520","7.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Academic Year","Total","79220","10.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Academic Year","Total","28605","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Academic Year","Total","12070","1.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Academic Year","Total","15735","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2016/17","Academic Year","Total","778115","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2017/18","Academic Year","High","201995","81.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2017/18","Academic Year","High","9485","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2017/18","Academic Year","High","23810","9.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2017/18","Academic Year","High","9930","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2017/18","Academic Year","High","3500","1.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2017/18","Academic Year","High","6025","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2017/18","Academic Year","High","254745","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2017/18","Academic Year","Low","165035","73.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2017/18","Academic Year","Low","25660","11.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2017/18","Academic Year","Low","22180","9.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2017/18","Academic Year","Low","8680","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2017/18","Academic Year","Low","3930","1.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2017/18","Academic Year","Low","3620","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2017/18","Academic Year","Low","229115","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2017/18","Academic Year","Medium","170995","70.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2017/18","Academic Year","Medium","21365","8.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2017/18","Academic Year","Medium","34290","14.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2017/18","Academic Year","Medium","9770","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2017/18","Academic Year","Medium","5015","2.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2017/18","Academic Year","Medium","4060","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2017/18","Academic Year","Medium","245495","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2017/18","Academic Year","Other","39960","88.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2017/18","Academic Year","Other","1650","3.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2017/18","Academic Year","Other","1840","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2017/18","Academic Year","Other","1190","2.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2017/18","Academic Year","Other","380","0.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2017/18","Academic Year","Other","1050","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2017/18","Academic Year","Other","46065","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2017/18","Academic Year","Total","577985","76","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2017/18","Academic Year","Total","58160","7.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2017/18","Academic Year","Total","82125","10.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2017/18","Academic Year","Total","29570","3.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2017/18","Academic Year","Total","12825","1.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2017/18","Academic Year","Total","14755","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2017/18","Academic Year","Total","775420","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2018/19","Academic Year","High","209415","79.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2018/19","Academic Year","High","10400","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2018/19","Academic Year","High","27300","10.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2018/19","Academic Year","High","11150","4.3","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2018/19","Academic Year","High","4040","1.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2018/19","Academic Year","High","6210","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2018/19","Academic Year","High","268515","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2018/19","Academic Year","Low","160100","70.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2018/19","Academic Year","Low","28050","12.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2018/19","Academic Year","Low","23910","10.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2018/19","Academic Year","Low","9275","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2018/19","Academic Year","Low","4645","2.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2018/19","Academic Year","Low","3725","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2018/19","Academic Year","Low","229705","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2018/19","Academic Year","Medium","166290","72.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2018/19","Academic Year","Medium","18725","8.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2018/19","Academic Year","Medium","32000","13.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2018/19","Academic Year","Medium","9230","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2018/19","Academic Year","Medium","4395","1.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2018/19","Academic Year","Medium","3825","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2018/19","Academic Year","Medium","234465","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2018/19","Academic Year","Other","41010","88.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2018/19","Academic Year","Other","1760","3.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2018/19","Academic Year","Other","1880","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2018/19","Academic Year","Other","1315","2.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2018/19","Academic Year","Other","410","0.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2018/19","Academic Year","Other","1065","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2018/19","Academic Year","Other","47440","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2018/19","Academic Year","Total","576815","75.4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2018/19","Academic Year","Total","58935","7.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2018/19","Academic Year","Total","85090","11.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2018/19","Academic Year","Total","30970","4","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2018/19","Academic Year","Total","13490","1.8","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2018/19","Academic Year","Total","14825","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2018/19","Academic Year","Total","780120","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2019/20","Academic Year","High","197820","79","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2019/20","Academic Year","High","10285","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2019/20","Academic Year","High","26870","10.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2019/20","Academic Year","High","11285","4.5","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2019/20","Academic Year","High","4265","1.7","%","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2019/20","Academic Year","High","6315","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","Total","ONS 2011 5+1","2019/20","Academic Year","High","256835","NA","%","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2019/20","Academic Year","Low","204450","70.2","%","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2019/20","Academic Year","Low","36615","12.6","%","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2019/20","Academic Year","Low","31735","10.9","%","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2019/20","Academic Year","Low","12045","4.1","%","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2019/20","Academic Year","Low","6405","2.2","%","Tariff denom"
