"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","sustained employment only","70.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","sustained employment only","69.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","sustained employment only","70","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","sustained employment only","74","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","sustained employment only","78.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","sustained employment with or without further study","81.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","79.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","sustained employment with or without further study","79.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","74.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","sustained employment with or without further study","78.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","sustained employment with or without further study","83","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","sustained employment with or without further study","69","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","sustained employment with or without further study","75.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","sustained employment with or without further study","74.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","sustained employment with or without further study","77.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","sustained employment with or without further study","77.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","sustained employment with or without further study","82.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","sustained employment with or without further study","83.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","81.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","sustained employment with or without further study","84.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","79","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","sustained employment with or without further study","78.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","sustained employment with or without further study","83.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","sustained employment with or without further study","70.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","sustained employment with or without further study","77.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","sustained employment with or without further study","77.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","sustained employment with or without further study","75.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","sustained employment with or without further study","77.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","sustained employment with or without further study","84.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","sustained employment with or without further study","83.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","81.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","sustained employment with or without further study","84.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","78.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","sustained employment with or without further study","76.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","sustained employment with or without further study","83.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","sustained employment with or without further study","70.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","sustained employment with or without further study","77.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","sustained employment with or without further study","75","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","sustained employment with or without further study","74.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","sustained employment with or without further study","77.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","sustained employment with or without further study","84.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","sustained employment with or without further study","81.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","80.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","sustained employment with or without further study","82.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","76.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","sustained employment with or without further study","73.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","sustained employment with or without further study","82.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","sustained employment with or without further study","67.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","sustained employment with or without further study","75.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","sustained employment with or without further study","74.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","sustained employment with or without further study","75.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","sustained employment with or without further study","78.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","sustained employment with or without further study","82.8","%"
