"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Colchester Hospital University NHS Foundation Trust","RDE","All","All","Midlands & East","Grouped region","Acute Trust","79","%","772","976"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Coventry And Warwickshire Partnership NHS Trust","RYG","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","85","%","843","992"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Coventry And Warwickshire Partnership NHS Trust","RYG","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","64","%","130","203"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Coventry And Warwickshire Partnership NHS Trust","RYG","All","All","Midlands & East","Grouped region","Mental Health Trust","81","%","973","1195"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands & East","Grouped region","Acute Trust","91","%","1798","1982"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","218","281"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derby Teaching Hospitals NHS Foundation Trust","RTG","All","All","Midlands & East","Grouped region","Acute Trust","89","%","2016","2263"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Community Health Services NHS Foundation Trust","RY8","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","90","%","1475","1644"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Community Health Services NHS Foundation Trust","RY8","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","73","%","43","59"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Community Health Services NHS Foundation Trust","RY8","All","All","Midlands & East","Grouped region","Community Provider Trust","89","%","1518","1703"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","80","%","455","567"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","56","%","40","72"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Derbyshire Healthcare NHS Foundation Trust","RXM","All","All","Midlands & East","Grouped region","Mental Health Trust","77","%","495","639"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","92","%","291","315"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","75","%","44","59"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Dudley And Walsall Mental Health Partnership NHS Trust","RYK","All","All","Midlands & East","Grouped region","Mental Health Trust","90","%","335","374"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East And North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","655","761"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East And North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","166","214"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East And North Hertfordshire NHS Trust","RWH","All","All","Midlands & East","Grouped region","Acute Trust","84","%","821","975"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Midlands Ambulance Service NHS Trust","RX9","White","White & Other","Midlands & East","Grouped region","Ambulance Trust","78","%","603","774"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Midlands Ambulance Service NHS Trust","RX9","Other","White & Other","Midlands & East","Grouped region","Ambulance Trust","47","%","7","15"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Midlands Ambulance Service NHS Trust","RX9","All","All","Midlands & East","Grouped region","Ambulance Trust","77","%","610","789"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Of England Ambulance Service NHS Trust","RYC","White","White & Other","Midlands & East","Grouped region","Ambulance Trust","64","%","589","922"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Of England Ambulance Service NHS Trust","RYC","Other","White & Other","Midlands & East","Grouped region","Ambulance Trust","48","%","12","25"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East Of England Ambulance Service NHS Trust","RYC","All","All","Midlands & East","Grouped region","Ambulance Trust","63","%","601","947"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","87","%","1137","1303"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","75","%","168","224"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Essex Partnership University NHS Foundation Trust","R1L","All","All","Midlands & East","Grouped region","Mental Health Trust","85","%","1305","1527"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","George Eliot Hospital NHS Trust","RLT","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","467","540"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","George Eliot Hospital NHS Trust","RLT","Other","White & Other","Midlands & East","Grouped region","Acute Trust","72","%","52","72"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","George Eliot Hospital NHS Trust","RLT","All","All","Midlands & East","Grouped region","Acute Trust","85","%","519","612"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Heart of England NHS Foundation Trust","RR1","White","White & Other","Midlands & East","Grouped region","Acute Trust","83","%","1561","1889"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Heart of England NHS Foundation Trust","RR1","Other","White & Other","Midlands & East","Grouped region","Acute Trust","68","%","395","585"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Heart of England NHS Foundation Trust","RR1","All","All","Midlands & East","Grouped region","Acute Trust","79","%","1956","2474"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Community NHS Trust","RY4","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","92","%","836","913"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Community NHS Trust","RY4","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","78","%","69","88"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Community NHS Trust","RY4","All","All","Midlands & East","Grouped region","Community Provider Trust","90","%","905","1001"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","87","%","613","701"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","77","%","167","216"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hertfordshire Partnership University NHS Foundation Trust","RWR","All","All","Midlands & East","Grouped region","Mental Health Trust","85","%","780","917"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands & East","Grouped region","Acute Trust","89","%","312","349"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands & East","Grouped region","Acute Trust","83","%","35","42"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","James Paget University Hospitals NHS Foundation Trust","RGP","All","All","Midlands & East","Grouped region","Acute Trust","89","%","347","391"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","633","733"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands & East","Grouped region","Acute Trust","73","%","92","126"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kettering General Hospital NHS Foundation Trust","RNQ","All","All","Midlands & East","Grouped region","Acute Trust","84","%","725","859"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","91","%","1172","1293"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","73","%","186","256"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Leicestershire Partnership NHS Trust","RT5","All","All","Midlands & East","Grouped region","Mental Health Trust","88","%","1358","1549"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Community Health Services NHS Trust","RY5","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","90","%","601","671"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Community Health Services NHS Trust","RY5","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","67","%","14","21"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Community Health Services NHS Trust","RY5","All","All","Midlands & East","Grouped region","Community Provider Trust","89","%","615","692"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","87","%","639","733"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","80","%","28","35"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lincolnshire Partnership NHS Foundation Trust","RP7","All","All","Midlands & East","Grouped region","Mental Health Trust","87","%","667","768"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands & East","Grouped region","Acute Trust","90","%","881","981"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","386","496"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","All","All","Midlands & East","Grouped region","Acute Trust","86","%","1267","1477"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","722","842"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands & East","Grouped region","Acute Trust","73","%","88","120"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Mid Essex Hospital Services NHS Trust","RQ8","All","All","Midlands & East","Grouped region","Acute Trust","84","%","810","962"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands & East","Grouped region","Acute Trust","89","%","642","722"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands & East","Grouped region","Acute Trust","71","%","142","199"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Milton Keynes University Hospital NHS Foundation Trust","RD8","All","All","Midlands & East","Grouped region","Acute Trust","85","%","784","921"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","White","White & Other","Midlands & East","Grouped region","Acute Trust","89","%","1963","2214"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","157","202"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","All","All","Midlands & East","Grouped region","Acute Trust","88","%","2120","2416"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Suffolk NHS Foundation Trust","RMY","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","80","%","971","1212"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Suffolk NHS Foundation Trust","RMY","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","65","%","61","94"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk and Suffolk NHS Foundation Trust","RMY","All","All","Midlands & East","Grouped region","Mental Health Trust","79","%","1032","1306"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk Community Health And Care NHS Trust","RY3","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","91","%","670","738"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk Community Health And Care NHS Trust","RY3","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","85","%","17","20"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Norfolk Community Health And Care NHS Trust","RY3","All","All","Midlands & East","Grouped region","Community Provider Trust","91","%","687","758"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Staffordshire Combined Healthcare NHS Trust","RLY","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","91","%","440","482"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Staffordshire Combined Healthcare NHS Trust","RLY","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","64","%","9","14"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Staffordshire Combined Healthcare NHS Trust","RLY","All","All","Midlands & East","Grouped region","Mental Health Trust","91","%","449","496"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands & East","Grouped region","Acute Trust","88","%","236","268"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","32","39"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North West Anglia NHS Foundation Trust","RGN","All","All","Midlands & East","Grouped region","Acute Trust","87","%","268","307"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands & East","Grouped region","Acute Trust","88","%","864","978"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands & East","Grouped region","Acute Trust","66","%","101","152"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northampton General Hospital NHS Trust","RNS","All","All","Midlands & East","Grouped region","Acute Trust","85","%","965","1130"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","89","%","889","995"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","73","%","65","89"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Northamptonshire Healthcare NHS Foundation Trust","RP1","All","All","Midlands & East","Grouped region","Mental Health Trust","88","%","954","1084"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","2663","3110"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands & East","Grouped region","Acute Trust","76","%","339","449"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottingham University Hospitals NHS Trust","RX1","All","All","Midlands & East","Grouped region","Acute Trust","84","%","3002","3559"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","87","%","2119","2428"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","70","%","131","186"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Nottinghamshire Healthcare NHS Foundation Trust","RHA","All","All","Midlands & East","Grouped region","Mental Health Trust","86","%","2250","2614"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands & East","Grouped region","Acute Trust","92","%","321","348"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands & East","Grouped region","Acute Trust","74","%","35","47"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Papworth Hospital NHS Foundation Trust","RGM","All","All","Midlands & East","Grouped region","Acute Trust","90","%","356","395"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sandwell And West Birmingham Hospitals NHS Trust","RXK","White","White & Other","Midlands & East","Grouped region","Acute Trust","87","%","81","93"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sandwell And West Birmingham Hospitals NHS Trust","RXK","Other","White & Other","Midlands & East","Grouped region","Acute Trust","72","%","26","36"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sandwell And West Birmingham Hospitals NHS Trust","RXK","All","All","Midlands & East","Grouped region","Acute Trust","83","%","107","129"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands & East","Grouped region","Acute Trust","90","%","1449","1614"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands & East","Grouped region","Acute Trust","91","%","91","100"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Sherwood Forest Hospitals NHS Foundation Trust","RK5","All","All","Midlands & East","Grouped region","Acute Trust","90","%","1540","1714"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","89","%","409","461"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","75","%","9","12"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Shropshire Community Health NHS Trust","R1D","All","All","Midlands & East","Grouped region","Community Provider Trust","88","%","418","473"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","89","%","1244","1394"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","81","%","96","118"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","All","All","Midlands & East","Grouped region","Mental Health Trust","89","%","1340","1512"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands & East","Grouped region","Acute Trust","93","%","359","387"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","32","39"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South Warwickshire NHS Foundation Trust","RJC","All","All","Midlands & East","Grouped region","Acute Trust","92","%","391","426"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","808","940"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands & East","Grouped region","Acute Trust","76","%","127","168"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Southend University Hospital NHS Foundation Trust","RAJ","All","All","Midlands & East","Grouped region","Acute Trust","84","%","935","1108"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","89","%","1128","1267"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","73","%","44","60"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","All","All","Midlands & East","Grouped region","Community Provider Trust","88","%","1172","1327"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Dudley Group NHS Foundation Trust","RNA","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","903","1044"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Dudley Group NHS Foundation Trust","RNA","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","98","126"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Dudley Group NHS Foundation Trust","RNA","All","All","Midlands & East","Grouped region","Acute Trust","86","%","1001","1170"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands & East","Grouped region","Acute Trust","88","%","973","1107"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","86","105"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Ipswich Hospital NHS Trust","RGQ","All","All","Midlands & East","Grouped region","Acute Trust","87","%","1059","1212"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands & East","Grouped region","Acute Trust","85","%","519","612"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands & East","Grouped region","Acute Trust","71","%","94","133"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Princess Alexandra Hospital NHS Trust","RQW","All","All","Midlands & East","Grouped region","Acute Trust","82","%","613","745"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","Midlands & East","Grouped region","Acute Trust","86","%","769","893"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","89","108"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","All","All","Midlands & East","Grouped region","Acute Trust","86","%","858","1001"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","White","White & Other","Midlands & East","Grouped region","Acute Trust","91","%","330","363"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Other","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","9","11"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","All","All","Midlands & East","Grouped region","Acute Trust","91","%","339","374"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands & East","Grouped region","Acute Trust","87","%","193","223"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands & East","Grouped region","Acute Trust","66","%","27","41"
