"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","Process, Plant And Machine Operatives","SOC 2010","7.1","%","25883900","1848000","0.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","Elementary Occupations","SOC 2010","11.2","%","25883900","2908100","0.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Managers, Directors And Senior Officials","SOC 2010","15.7","%","24145000","3789800","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Professional Occupations","SOC 2010","12.7","%","24145000","3061800","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Associate Professional And Technical Occupations","SOC 2010","14.7","%","24145000","3543600","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Administrative And Secretarial Occupations","SOC 2010","12.1","%","24145000","2933400","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Skilled Trades Occupations","SOC 2010","11.3","%","24145000","2720500","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Caring, Leisure And Other Service Occupations","SOC 2010","8.1","%","24145000","1945000","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Sales And Customer Service Occupations","SOC 2010","7.5","%","24145000","1817800","0.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Process, Plant And Machine Operatives","SOC 2010","7.1","%","24145000","1707500","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White British","Elementary Occupations","SOC 2010","10.9","%","24145000","2625600","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Managers, Directors And Senior Officials","SOC 2010","15.0","%","1738900","261300","2.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Professional Occupations","SOC 2010","14.8","%","1738900","257900","2.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Associate Professional And Technical Occupations","SOC 2010","14.1","%","1738900","244900","2.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Administrative And Secretarial Occupations","SOC 2010","8.8","%","1738900","152600","2.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Skilled Trades Occupations","SOC 2010","11.0","%","1738900","191000","2.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Caring, Leisure And Other Service Occupations","SOC 2010","6.8","%","1738900","118300","2.83","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Sales And Customer Service Occupations","SOC 2010","5.2","%","1738900","89900","2.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Process, Plant And Machine Operatives","SOC 2010","8.1","%","1738900","140500","2.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White Other","Elementary Occupations","SOC 2010","16.2","%","1738900","282500","2.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Managers, Directors And Senior Officials","SOC 2010","15.7","%","28537700","4481600","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Professional Occupations","SOC 2010","13.1","%","28537700","3729900","0.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Associate Professional And Technical Occupations","SOC 2010","14.6","%","28537700","4173500","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Administrative And Secretarial Occupations","SOC 2010","11.5","%","28537700","3272900","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Skilled Trades Occupations","SOC 2010","10.8","%","28537700","3091100","0.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Caring, Leisure And Other Service Occupations","SOC 2010","8.2","%","28537700","2345200","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Sales And Customer Service Occupations","SOC 2010","7.6","%","28537700","2164500","0.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Process, Plant And Machine Operatives","SOC 2010","7.1","%","28537700","2023900","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","Elementary Occupations","SOC 2010","11.4","%","28537700","3255200","0.46","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Managers, Directors And Senior Officials","SOC 2010","14.6","%","1407500","205600","3.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Professional Occupations","SOC 2010","17.5","%","1407500","245900","3.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Associate Professional And Technical Occupations","SOC 2010","12.8","%","1407500","180500","3.81","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Administrative And Secretarial Occupations","SOC 2010","9.7","%","1407500","136700","3.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Skilled Trades Occupations","SOC 2010","6.9","%","1407500","96800","3.86","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Caring, Leisure And Other Service Occupations","SOC 2010","6.0","%","1407500","84000","3.70","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Sales And Customer Service Occupations","SOC 2010","10.7","%","1407500","151000","3.88","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Process, Plant And Machine Operatives","SOC 2010","9.6","%","1407500","135300","3.64","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Asian","Elementary Occupations","SOC 2010","12.2","%","1407500","171600","3.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Managers, Directors And Senior Officials","SOC 2010","8.5","%","625800","53100","6.19","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Professional Occupations","SOC 2010","13.9","%","625800","86900","5.80","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Associate Professional And Technical Occupations","SOC 2010","15.4","%","625800","96500","5.64","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Administrative And Secretarial Occupations","SOC 2010","11.5","%","625800","72200","6.00","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Skilled Trades Occupations","SOC 2010","5.9","%","625800","36700","6.32","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Caring, Leisure And Other Service Occupations","SOC 2010","15.5","%","625800","96900","5.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Sales And Customer Service Occupations","SOC 2010","9.1","%","625800","57100","6.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Process, Plant And Machine Operatives","SOC 2010","5.2","%","625800","32600","6.12","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black","Elementary Occupations","SOC 2010","15.0","%","625800","93700","5.80","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Managers, Directors And Senior Officials","SOC 2010","15.1","%","638900","96700","5.54","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Professional Occupations","SOC 2010","22.5","%","638900","143700","5.29","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Associate Professional And Technical Occupations","SOC 2010","14.1","%","638900","89800","5.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Administrative And Secretarial Occupations","SOC 2010","10.8","%","638900","69000","5.53","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Skilled Trades Occupations","SOC 2010","5.9","%","638900","37700","5.82","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Caring, Leisure And Other Service Occupations","SOC 2010","5.7","%","638900","36600","5.54","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Sales And Customer Service Occupations","SOC 2010","9.5","%","638900","60700","5.67","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Process, Plant And Machine Operatives","SOC 2010","6.3","%","638900","40400","5.32","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","Elementary Occupations","SOC 2010","10.1","%","638900","64200","5.55","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Managers, Directors And Senior Officials","SOC 2010","12.5","%","194900","24300","8.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Professional Occupations","SOC 2010","12.5","%","194900","24300","8.19","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Associate Professional And Technical Occupations","SOC 2010","17.2","%","194900","33500","8.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Administrative And Secretarial Occupations","SOC 2010","11.9","%","194900","23300","8.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Skilled Trades Occupations","SOC 2010","6.4","%","194900","12500","8.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Caring, Leisure And Other Service Occupations","SOC 2010","9.4","%","194900","18400","8.32","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Sales And Customer Service Occupations","SOC 2010","13.2","%","194900","25700","8.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Process, Plant And Machine Operatives","SOC 2010","2.6","%","194900","5100","8.05","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed/Multiple ethnic groups","Elementary Occupations","SOC 2010","14.2","%","194900","27700","8.62","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Managers, Directors And Senior Officials","SOC 2010","15.4","%","373800","57700","7.35","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Professional Occupations","SOC 2010","15.5","%","373800","57800","7.56","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Associate Professional And Technical Occupations","SOC 2010","15.4","%","373800","57700","7.31","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Administrative And Secretarial Occupations","SOC 2010","8.7","%","373800","32600","7.79","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Skilled Trades Occupations","SOC 2010","8.1","%","373800","30100","7.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Caring, Leisure And Other Service Occupations","SOC 2010","7.1","%","373800","26700","7.19","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Sales And Customer Service Occupations","SOC 2010","9.1","%","373800","33900","7.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Process, Plant And Machine Operatives","SOC 2010","6.6","%","373800","24800","7.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other Asian (inc. Chinese)","Elementary Occupations","SOC 2010","14.0","%","373800","52500","7.11","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Managers, Directors And Senior Officials","SOC 2010","12.1","%","401500","48700","7.24","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Professional Occupations","SOC 2010","13.2","%","401500","53100","7.11","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Associate Professional And Technical Occupations","SOC 2010","15.8","%","401500","63500","6.92","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Administrative And Secretarial Occupations","SOC 2010","9.1","%","401500","36700","7.09","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Skilled Trades Occupations","SOC 2010","7.3","%","401500","29300","7.14","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Caring, Leisure And Other Service Occupations","SOC 2010","9.3","%","401500","37300","6.93","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Sales And Customer Service Occupations","SOC 2010","8.3","%","401500","33300","7.35","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Process, Plant And Machine Operatives","SOC 2010","7.3","%","401500","29400","6.92","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other ethnic group","Elementary Occupations","SOC 2010","17.5","%","401500","70300","6.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Managers, Directors And Senior Officials","SOC 2010","13.0","%","394800","51200","7.10","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Professional Occupations","SOC 2010","11.2","%","394800","44400","7.29","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Associate Professional And Technical Occupations","SOC 2010","8.4","%","394800","33000","7.44","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Administrative And Secretarial Occupations","SOC 2010","8.9","%","394800","35100","7.42","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Skilled Trades Occupations","SOC 2010","7.4","%","394800","29000","7.07","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Caring, Leisure And Other Service Occupations","SOC 2010","5.2","%","394800","20700","6.83","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Sales And Customer Service Occupations","SOC 2010","14.3","%","394800","56400","7.19","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Process, Plant And Machine Operatives","SOC 2010","17.8","%","394800","70100","6.56","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/ Bangladehsi","Elementary Occupations","SOC 2010","13.9","%","394800","54900","7.00","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Managers, Directors And Senior Officials","SOC 2010","16.0","%","25908000","4149800","0.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Professional Occupations","SOC 2010","12.8","%","25908000","3319700","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Associate Professional And Technical Occupations","SOC 2010","14.7","%","25908000","3799500","0.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Administrative And Secretarial Occupations","SOC 2010","11.6","%","25908000","3004000","0.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Skilled Trades Occupations","SOC 2010","11.3","%","25908000","2915800","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Caring, Leisure And Other Service Occupations","SOC 2010","8.1","%","25908000","2108600","0.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Sales And Customer Service Occupations","SOC 2010","7.3","%","25908000","1897300","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Process, Plant And Machine Operatives","SOC 2010","7.0","%","25908000","1821400","0.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","Elementary Occupations","SOC 2010","11.2","%","25908000","2891800","0.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Managers, Directors And Senior Officials","SOC 2010","16.1","%","24085800","3889300","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Professional Occupations","SOC 2010","12.7","%","24085800","3062000","0.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Associate Professional And Technical Occupations","SOC 2010","14.8","%","24085800","3555300","0.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Administrative And Secretarial Occupations","SOC 2010","11.8","%","24085800","2847200","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Skilled Trades Occupations","SOC 2010","11.2","%","24085800","2703300","0.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Caring, Leisure And Other Service Occupations","SOC 2010","8.2","%","24085800","1981000","0.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Sales And Customer Service Occupations","SOC 2010","7.5","%","24085800","1801400","0.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Process, Plant And Machine Operatives","SOC 2010","6.9","%","24085800","1663700","0.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White British","Elementary Occupations","SOC 2010","10.7","%","24085800","2582600","0.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Managers, Directors And Senior Officials","SOC 2010","14.3","%","1822300","260500","2.86","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Professional Occupations","SOC 2010","14.1","%","1822300","257700","2.87","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Associate Professional And Technical Occupations","SOC 2010","13.4","%","1822300","244300","2.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Administrative And Secretarial Occupations","SOC 2010","8.6","%","1822300","156700","2.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Skilled Trades Occupations","SOC 2010","11.7","%","1822300","212500","2.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Caring, Leisure And Other Service Occupations","SOC 2010","7.0","%","1822300","127600","2.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Sales And Customer Service Occupations","SOC 2010","5.3","%","1822300","95900","2.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Process, Plant And Machine Operatives","SOC 2010","8.7","%","1822300","157800","2.82","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White Other","Elementary Occupations","SOC 2010","17.0","%","1822300","309300","2.82","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Managers, Directors And Senior Officials","SOC 2010","15.7","%","28117300","4418300","0.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Professional Occupations","SOC 2010","13.6","%","28117300","3828500","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Associate Professional And Technical Occupations","SOC 2010","14.8","%","28117300","4160400","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Administrative And Secretarial Occupations","SOC 2010","11.2","%","28117300","3159100","0.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Skilled Trades Occupations","SOC 2010","10.5","%","28117300","2942800","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Caring, Leisure And Other Service Occupations","SOC 2010","8.7","%","28117300","2443400","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Sales And Customer Service Occupations","SOC 2010","7.4","%","28117300","2074600","0.49","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Process, Plant And Machine Operatives","SOC 2010","6.8","%","28117300","1901200","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","Elementary Occupations","SOC 2010","11.3","%","28117300","3188900","0.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Managers, Directors And Senior Officials","SOC 2010","14.2","%","1460200","207400","3.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Professional Occupations","SOC 2010","18.1","%","1460200","264500","3.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Associate Professional And Technical Occupations","SOC 2010","12.8","%","1460200","186400","3.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Administrative And Secretarial Occupations","SOC 2010","9.3","%","1460200","135800","3.86","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Skilled Trades Occupations","SOC 2010","6.3","%","1460200","92600","3.88","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Caring, Leisure And Other Service Occupations","SOC 2010","6.4","%","1460200","94100","3.78","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Sales And Customer Service Occupations","SOC 2010","11.4","%","1460200","165800","3.88","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Process, Plant And Machine Operatives","SOC 2010","9.4","%","1460200","137000","3.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Asian","Elementary Occupations","SOC 2010","12.1","%","1460200","176500","3.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Managers, Directors And Senior Officials","SOC 2010","9.3","%","612900","56900","6.45","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Professional Occupations","SOC 2010","13.8","%","612900","84300","6.10","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Associate Professional And Technical Occupations","SOC 2010","15.6","%","612900","95600","5.88","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Administrative And Secretarial Occupations","SOC 2010","10.0","%","612900","61100","6.14","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Skilled Trades Occupations","SOC 2010","6.4","%","612900","39300","6.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Caring, Leisure And Other Service Occupations","SOC 2010","15.5","%","612900","94900","5.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Sales And Customer Service Occupations","SOC 2010","8.1","%","612900","49400","6.49","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Process, Plant And Machine Operatives","SOC 2010","6.5","%","612900","39700","6.53","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black","Elementary Occupations","SOC 2010","15.0","%","612900","91700","5.99","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Managers, Directors And Senior Officials","SOC 2010","15.0","%","668800","100400","5.42","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Professional Occupations","SOC 2010","23.3","%","668800","156000","5.27","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Associate Professional And Technical Occupations","SOC 2010","14.4","%","668800","96600","5.55","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Administrative And Secretarial Occupations","SOC 2010","10.1","%","668800","67300","5.54","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Skilled Trades Occupations","SOC 2010","5.1","%","668800","33900","5.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Caring, Leisure And Other Service Occupations","SOC 2010","5.5","%","668800","36500","5.61","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Sales And Customer Service Occupations","SOC 2010","10.2","%","668800","68200","5.70","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Process, Plant And Machine Operatives","SOC 2010","6.8","%","668800","45600","5.48","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","Elementary Occupations","SOC 2010","9.6","%","668800","64300","5.41","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Managers, Directors And Senior Officials","SOC 2010","13.1","%","211500","27800","8.44","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Professional Occupations","SOC 2010","14.7","%","211500","31100","8.28","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Associate Professional And Technical Occupations","SOC 2010","17.2","%","211500","36300","8.15","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Administrative And Secretarial Occupations","SOC 2010","10.6","%","211500","22300","8.51","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Skilled Trades Occupations","SOC 2010","7.3","%","211500","15400","8.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Caring, Leisure And Other Service Occupations","SOC 2010","9.0","%","211500","19100","8.62","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Sales And Customer Service Occupations","SOC 2010","11.5","%","211500","24400","8.80","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Process, Plant And Machine Operatives","SOC 2010","3.7","%","211500","7900","8.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed/Multiple ethnic groups","Elementary Occupations","SOC 2010","12.9","%","211500","27200","8.44","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Managers, Directors And Senior Officials","SOC 2010","14.1","%","372100","52500","7.66","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Professional Occupations","SOC 2010","15.7","%","372100","58200","7.65","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Associate Professional And Technical Occupations","SOC 2010","14.7","%","372100","54600","7.27","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Administrative And Secretarial Occupations","SOC 2010","8.2","%","372100","30400","8.00","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Skilled Trades Occupations","SOC 2010","8.1","%","372100","30200","7.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Caring, Leisure And Other Service Occupations","SOC 2010","8.5","%","372100","31600","7.45","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Sales And Customer Service Occupations","SOC 2010","11.5","%","372100","42600","8.19","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other Asian (inc. Chinese)","Process, Plant And Machine Operatives","SOC 2010","6.0","%","372100","22200","8.05","","","","","","",""
