"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Comments","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hounslow and Richmond Community Healthcare NHS Trust","RY9","White","White & Other","London","Grouped region","Community Provider Trust","24.70","%","1.56"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Other","White & Other","London","Grouped region","Community Provider Trust","15.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hull and East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute","21.70","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hull and East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute","15.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Humber NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health","14.10","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","Humber NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health","10.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Imperial College Healthcare NHS Trust","RYJ","White","White & Other","London","Grouped region","Acute","20.40","%","1.57"
"Percentage of shortlisted applicants who are appointed for an NHS job","Imperial College Healthcare NHS Trust","RYJ","Other","White & Other","London","Grouped region","Acute","13.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands & East","Grouped region","Acute","26.10","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands & East","Grouped region","Acute","18.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Isle of Wight NHS Trust","R1F","White","White & Other","South","Grouped region","Acute","7.60","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Isle of Wight NHS Trust","R1F","Other","White & Other","South","Grouped region","Acute","5.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands & East","Grouped region","Acute","36.20","%","1.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands & East","Grouped region","Acute","35.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent and Medway NHS and Social Care Partnership Trust","RXY","White","White & Other","South","Grouped region","Mental Health","12.90","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent and Medway NHS and Social Care Partnership Trust","RXY","Other","White & Other","South","Grouped region","Mental Health","8.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent Community Health NHS Foundation Trust","RYY","White","White & Other","South","Grouped region","Community Provider Trust","26.50","%","1.94"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent Community Health NHS Foundation Trust","RYY","Other","White & Other","South","Grouped region","Community Provider Trust","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands & East","Grouped region","Acute","4.30","%","0.52"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands & East","Grouped region","Acute","8.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute","22.80","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute","12.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute","17.30","%","2.51"
"Percentage of shortlisted applicants who are appointed for an NHS job","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute","6.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental Health","42.70","%","2.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental Health","16.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","White","White & Other","North","Grouped region","Acute","32.50","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Other","White & Other","North","Grouped region","Acute","25.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health","17.20","%","1.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Community Healthcare NHS Trust","RY6","White","White & Other","North","Grouped region","Community Provider Trust","19.20","%","0.87"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Community Healthcare NHS Trust","RY6","Other","White & Other","North","Grouped region","Community Provider Trust","22.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute","16.60","%","1.81"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute","9.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands & East","Grouped region","Mental Health","10.50","%","1.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands & East","Grouped region","Mental Health","7.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute","24.00","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute","15.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Community Health Services NHS Trust","RY5","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","3.60","%","2.36"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Community Health Services NHS Trust","RY5","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","1.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands & East","Grouped region","Mental Health","23.90","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands & East","Grouped region","Mental Health","17.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North","Grouped region","Acute","23.90","%","1.13"
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North","Grouped region","Acute","21.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute","17.40","%","1.85"
"Percentage of shortlisted applicants who are appointed for an NHS job","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute","9.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance","15.30","%","1.81"
"Percentage of shortlisted applicants who are appointed for an NHS job","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance","8.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","London North West Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute","19.50","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","London North West Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute","16.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","White","White & Other","Midlands & East","Grouped region","Acute","31.50","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Other","White & Other","Midlands & East","Grouped region","Acute","21.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Maidstone and Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute","25.60","%","1.31"
"Percentage of shortlisted applicants who are appointed for an NHS job","Maidstone and Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute","19.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","R0A","White","White & Other","North","Grouped region","Acute","36.70","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","R0A","Other","White & Other","North","Grouped region","Acute","24.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute","26.30","%","1.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute","19.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental Health","15.20","%","2.08"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental Health","7.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North","Grouped region","Acute","26.40","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North","Grouped region","Acute","18.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands & East","Grouped region","Acute","12.90","%","1.68"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands & East","Grouped region","Acute","7.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Yorkshire Hospitals NHS Trust","RXF","White","White & Other","North","Grouped region","Acute","13.80","%","1.56"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Yorkshire Hospitals NHS Trust","RXF","Other","White & Other","North","Grouped region","Acute","8.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","Midlands & East","Grouped region","Acute","13.50","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","Midlands & East","Grouped region","Acute","9.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute","14.40","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute","11.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","White","White & Other","Midlands & East","Grouped region","Acute","19.10","%","2.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Other","White & Other","Midlands & East","Grouped region","Acute","9.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Suffolk NHS Foundation Trust","RMY","White","White & Other","Midlands & East","Grouped region","Mental Health","8.80","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Suffolk NHS Foundation Trust","RMY","Other","White & Other","Midlands & East","Grouped region","Mental Health","4.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk Community Health and Care NHS Trust","RY3","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","8.00","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk Community Health and Care NHS Trust","RY3","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","6.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute","22.80","%","1.54"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute","14.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Cumbria University Hospitals NHS Trust","RNL","White","White & Other","North","Grouped region","Acute","11.40","%","0.8"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Cumbria University Hospitals NHS Trust","RNL","Other","White & Other","North","Grouped region","Acute","14.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North East Ambulance Service NHS Foundation Trust","RX6","White","White & Other","North","Grouped region","Ambulance","10.30","%","2.04"
"Percentage of shortlisted applicants who are appointed for an NHS job","North East Ambulance Service NHS Foundation Trust","RX6","Other","White & Other","North","Grouped region","Ambulance","5.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health","17.70","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health","12.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute","9.10","%","1.47"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute","6.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Staffordshire Combined Healthcare NHS Trust","RLY","White","White & Other","Midlands & East","Grouped region","Mental Health","10.00","%","1.96"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Staffordshire Combined Healthcare NHS Trust","RLY","Other","White & Other","Midlands & East","Grouped region","Mental Health","5.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute","19.30","%","0.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute","33.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Ambulance Service NHS Trust","RX7","White","White & Other","North","Grouped region","Ambulance","8.00","%","0.77"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Ambulance Service NHS Trust","RX7","Other","White & Other","North","Grouped region","Ambulance","10.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands & East","Grouped region","Acute","22.50","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands & East","Grouped region","Acute","15.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health","21.10","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health","15.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands & East","Grouped region","Acute","25.90","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands & East","Grouped region","Acute","18.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands & East","Grouped region","Mental Health","17.40","%","1.72"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands & East","Grouped region","Mental Health","10.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South","Grouped region","Acute","27.50","%","2.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South","Grouped region","Acute","9.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute","23.90","%","1.84"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute","13.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","White","White & Other","North","Grouped region","Mental Health","12.60","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Other","White & Other","North","Grouped region","Mental Health","8.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute","19.40","%","1.7"
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute","11.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands & East","Grouped region","Acute","21.50","%","0.98"
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands & East","Grouped region","Acute","21.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands & East","Grouped region","Mental Health","12.80","%","1.81"
"Percentage of shortlisted applicants who are appointed for an NHS job","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands & East","Grouped region","Mental Health","7.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South","Grouped region","Mental Health","21.90","%","1.14"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South","Grouped region","Mental Health","19.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute","23.20","%","1.62"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute","14.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental Health","25.20","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental Health","19.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands & East","Grouped region","Acute","27.70","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands & East","Grouped region","Acute","17.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute","21.30","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute","13.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health","33.60","%","1.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health","25.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Plymouth Hospitals NHS Trust","RK9","White","White & Other","South","Grouped region","Acute","27.10","%","2.05"
"Percentage of shortlisted applicants who are appointed for an NHS job","Plymouth Hospitals NHS Trust","RK9","Other","White & Other","South","Grouped region","Acute","13.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South","Grouped region","Acute","8.80","%","1.83"
"Percentage of shortlisted applicants who are appointed for an NHS job","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South","Grouped region","Acute","4.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute","15.00","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute","10.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute","24.40","%","1.17"
"Percentage of shortlisted applicants who are appointed for an NHS job","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute","20.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","White","White & Other","North","Grouped region","Mental Health","14.00","%","2.21"
"Percentage of shortlisted applicants who are appointed for an NHS job","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Other","White & Other","North","Grouped region","Mental Health","6.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute","43.40","%","1.52"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute","28.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute","27.10","%","1.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute","13.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South","Grouped region","Acute","21.90","%","1.77"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South","Grouped region","Acute","12.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute","23.10","%","1.56"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute","14.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute","47.70","%","1.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute","35.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","White","White & Other","North","Grouped region","Acute","10.10","%","1.67"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","Other","White & Other","North","Grouped region","Acute","6.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute","14.90","%","2.1"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute","7.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute","26.10","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute","16.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South","Grouped region","Acute","10.20","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South","Grouped region","Acute","7.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Salford Royal NHS Foundation Trust","RM3","White","White & Other","North","Grouped region","Acute","35.40","%","1.8"
"Percentage of shortlisted applicants who are appointed for an NHS job","Salford Royal NHS Foundation Trust","RM3","Other","White & Other","North","Grouped region","Acute","19.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute","17.00","%","1.76"
"Percentage of shortlisted applicants who are appointed for an NHS job","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute","9.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sandwell and West Birmingham Hospitals NHS Trust","RXK","White","White & Other","Midlands & East","Grouped region","Acute","16.70","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sandwell and West Birmingham Hospitals NHS Trust","RXK","Other","White & Other","Midlands & East","Grouped region","Acute","11.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North","Grouped region","Acute","22.50","%","1.71"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North","Grouped region","Acute","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Health & Social Care NHS Foundation Trust","TAH","White","White & Other","North","Grouped region","Mental Health","19.70","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Health & Social Care NHS Foundation Trust","TAH","Other","White & Other","North","Grouped region","Mental Health","18.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute","26.00","%","1.21"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute","21.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands & East","Grouped region","Acute","3.00","%","0.66"
"Percentage of shortlisted applicants who are appointed for an NHS job","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands & East","Grouped region","Acute","4.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Shrewsbury and Telford Hospital NHS Trust","RXW","White","White & Other","Midlands & East","Grouped region","Acute","21.10","%","1.72"
"Percentage of shortlisted applicants who are appointed for an NHS job","Shrewsbury and Telford Hospital NHS Trust","RXW","Other","White & Other","Midlands & East","Grouped region","Acute","12.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","24.60","%","1.88"
