"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Free Schools","All","52.9","5148","272490.89"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Free Schools","All","47.7","397","18922.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Free Schools","All","50.4","5704","287682.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","LA maintained mainstream","All","48.2","65955","3177146.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","LA maintained mainstream","All","51","55554","2831555.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","LA maintained mainstream","All","27.6","1822","50341.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","LA maintained mainstream","All","34.4","8579","295250"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","LA maintained mainstream","All","33.2","10401","345591.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","LA maintained mainstream","All","51","55554","2831555.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","43.2","2680","115748"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","47.8","61762","2952136.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","LA maintained mainstream","All","72.2","1513","109262.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","Sponsored Academies","All","43.7","58904","2576258.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Sponsored Academies","All","46.6","48278","2247543.63"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Sponsored Academies","All","26.3","1805","47407.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Sponsored Academies","All","31.9","8821","281307.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Sponsored Academies","All","30.9","10626","328714.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Sponsored Academies","All","46.6","48278","2247543.63"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","42","4888","205523.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Sponsored Academies","All","43.9","54016","2370735.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","All","48.7","278365","13548234.4"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","All","51.6","233795","12055213.9"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","All","28.3","7604","215488.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","All","35.2","36014","1266685.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","All","34","43618","1482173.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","All","51.6","233795","12055213.9"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","44.2","17202","759853.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.9","13991","656333.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in highly selective areas","State-funded mainstream","All","28.3","615","17433"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","non-selective schools in highly selective areas","State-funded mainstream","All","33.2","2596","86087"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","non-selective schools in highly selective areas","State-funded mainstream","All","32.2","3211","103520"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","46.9","13991","656333.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","State-funded mainstream","All","47.9","247809","11877919.8"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","50.7","208116","10545255.8"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in other areas","State-funded mainstream","All","28.1","6935","194580.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","non-selective schools in other areas","State-funded mainstream","All","34.7","32758","1138083.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","non-selective schools in other areas","State-funded mainstream","All","33.6","39693","1332664"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","50.7","208116","10545255.8"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","State-funded mainstream","All","72.7","12379","899464.85"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","selective schools","State-funded mainstream","All","73","11687","853614.35"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","selective schools","State-funded mainstream","All","66.8","52","3471"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","selective schools","State-funded mainstream","All","66.2","640","42379.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","selective schools","State-funded mainstream","All","66.3","692","45850.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","selective schools","State-funded mainstream","All","73","11687","853614.35"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded special schools","All","3.8","8223","31649.26"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded special schools","All","3.8","8145","31152.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded special schools","All","6.4","78","496.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded special schools","All","3.8","8223","31649.26"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","Studio Schools","All","40","612","24451.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Studio Schools","All","43","459","19737.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Studio Schools","All","25.2","17","428.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Studio Schools","All","31.5","136","4285.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Studio Schools","All","30.8","153","4713.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Studio Schools","All","43","459","19737.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Studio Schools","All","40","612","24451.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","University Technical Colleges (UTCs)","All","43.4","2486","107797.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","University Technical Colleges (UTCs)","All","45.6","1913","87160.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","34.7","57","1975.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","36.2","516","18661.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","36","573","20637.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","45.6","1913","87160.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","41","154","6311.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","43.5","2332","101486"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Church of England","49.7","15675","778791.01"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Church of England","49.7","15675","778791.01"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Church of England","52.5","13187","692637.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Church of England","30.9","450","13895.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Church of England","35.5","2038","72258"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Church of England","34.6","2488","86153.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Church of England","52.5","13187","692637.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Hindu","!","101","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Hindu","!","101","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Hindu","!","98","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Hindu","!","1","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Hindu","!","2","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Hindu","!","3","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Hindu","!","98","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Jewish","60.2","672","40444.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Jewish","60.2","672","40444.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Jewish","62.8","584","36662.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Jewish","39.8","23","915.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Jewish","44.1","65","2866.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Jewish","43","88","3781.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Jewish","62.8","584","36662.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Muslim","60.1","497","29862"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Muslim","60.1","497","29862"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Muslim","62.1","440","27333.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Muslim","37.3","4","149"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Muslim","44.9","53","2379.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Muslim","44.4","57","2528.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Muslim","62.1","440","27333.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","No religious character","46.8","237537","11122255.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","No religious character","48.4","229322","11090796.12"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","No religious character","51.1","192845","9863139.62"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","No religious character","27.9","6309","176244.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","No religious character","34.9","30168","1051411.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","No religious character","33.7","36477","1227656.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","No religious character","51.1","192845","9863139.62"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Other Christian faith","53.3","5472","291721.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Other Christian faith","53.4","5464","291531.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Other Christian faith","55.9","4696","262597.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","29.9","142","4252.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Other Christian faith","39.4","626","24682"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Other Christian faith","37.7","768","28934.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","55.9","4696","262597.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Roman catholic","50.6","25435","1287286.77"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Roman catholic","50.6","25435","1287286.77"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Roman catholic","53.1","21745","1155310.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","29.7","667","19832.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Roman catholic","37.1","3023","112144.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Roman catholic","35.8","3690","131976.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","53.1","21745","1155310.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Sikh","55.3","224","12393.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Sikh","55.3","224","12393.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Sikh","57.5","199","11442.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Sikh","27.3","6","164"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Sikh","41.4","19","786.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Sikh","38","25","950.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Sikh","57.5","199","11442.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Academies and free schools","All","38.2","31145","1189174.52"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","All state-funded","All","35.5","45070","1599174.28"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","No SEN","All","All","All state-funded","All","41.9","30635","1284151.27"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","SEN State EHC","All","All","All state-funded","All","11.4","5723","65238.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","SEN Supp","All","All","All state-funded","All","28.7","8710","249784.26"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Converter Academies","All","39.2","16282","638135.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","FE 14-16 Colleges","All","5.3","12","63"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Free Schools","All","42.9","1135","48680.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","LA maintained mainstream","All","38.3","10317","395644"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Sponsored Academies","All","36.6","13246","484296.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","All","38.2","41504","1586404.52"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","35.6","2555","91006.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","non-selective schools in other areas","State-funded mainstream","All","38.1","38504","1465675.89"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","selective schools","State-funded mainstream","All","68.5","433","29659.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded special schools","All","3.6","3566","12769.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Studio Schools","All","33.1","121","4010.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","University Technical Colleges (UTCs)","All","38.9","361","14052"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Church of England","39","2262","88315.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Hindu","!","6","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Jewish","42.3","35","1481.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Muslim","56.9","77","4382.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","No religious character","37.9","34787","1319367.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Other Christian faith","39.6","872","34560.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Roman catholic","39.9","3429","136772.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Sikh","48.1","24","1153.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Academies and free schools","All","50.9","180004","9154721.22"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","All state-funded","All","49.6","241518","11980709.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","No SEN","All","All","All state-funded","All","53","203160","10771062.63"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","SEN State EHC","All","All","All state-funded","All","18.1","10026","181402"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","SEN Supp","All","All","All state-funded","All","37.2","27382","1017397.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Converter Academies","All","52.8","126764","6690648.2"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","FE 14-16 Colleges","All","11.4","963","10933"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Free Schools","All","51.9","4966","257924.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","LA maintained mainstream","All","50","55638","2781502.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Sponsored Academies","All","45.8","45658","2091962.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","All","50.5","236861","11961829.88"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","45.7","14647","668847.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","non-selective schools in other areas","State-funded mainstream","All","49.7","209305","10412243.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","selective schools","State-funded mainstream","All","72.8","11946","869805.47"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded special schools","All","4.1","4657","18879.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Studio Schools","All","41.6","491","20440.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","University Technical Colleges (UTCs)","All","44.1","2125","93745.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Church of England","51.5","13413","690475.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Hindu","!","95","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Jewish","61.2","637","38962.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Muslim","60.7","420","25479.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","No religious character","50.2","194535","9771429.1"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Other Christian faith","56","4592","256971"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Roman catholic","52.3","22006","1150514.27"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Sikh","56.2","200","11240"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","All","All","Academies and free schools","All","54","205153","11077532.97"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","No SEN","All","All","Academies and free schools","All","55.8","184890","10323079.2"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","Academies and free schools","All","27","2183","58916.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","Academies and free schools","All","38.5","18080","695537.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","Academies and free schools","All","37.2","20263","754453.77"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","Academies and free schools","All","55.8","184890","10323079.2"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","49.1","14399","707291"
