"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Qualification_level","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","345787","303049"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","60","% of cohort","345787","206086"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","5","% of cohort","345787","17792"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","23","% of cohort","345787","79171"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","345787","34207"
"Student destinations after 16 to 18 study","All","All","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","345787","8531"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","4173","3669"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","78","% of cohort","4173","3254"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","4173","64"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","4173","351"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","8","% of cohort","4173","315"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","5","% of cohort","4173","189"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","1624","1423"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","72","% of cohort","1624","1174"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","1624","44"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","13","% of cohort","1624","205"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","1624","159"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","1624","42"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","4089","3531"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","66","% of cohort","4089","2711"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","4089","106"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","17","% of cohort","4089","714"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","4089","426"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","4089","132"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","8785","7454"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","64","% of cohort","8785","5652"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","8785","247"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","18","% of cohort","8785","1555"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","8785","857"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","5","% of cohort","8785","474"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","4008","3482"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","76","% of cohort","4008","3057"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","4008","124"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","4008","301"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","4008","443"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","4008","83"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","8497","7519"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","80","% of cohort","8497","6837"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","8497","133"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","6","% of cohort","8497","549"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","8","% of cohort","8497","670"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","8497","308"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","84","% of cohort","4628","3891"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","65","% of cohort","4628","3015"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","4","% of cohort","4628","201"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","15","% of cohort","4628","675"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","13","% of cohort","4628","605"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","4628","132"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","90","% of cohort","1878","1693"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","83","% of cohort","1878","1565"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","1878","21"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","6","% of cohort","1878","107"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","4","% of cohort","1878","81"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","1878","104"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","62","% of cohort","53","33"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","26","% of cohort","53","14"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","9","% of cohort","53","5"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","26","% of cohort","53","14"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","32","% of cohort","53","17"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","53","3"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","89","% of cohort","10484","9354"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","78","% of cohort","10484","8222"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","10484","228"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","9","% of cohort","10484","904"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","8","% of cohort","10484","834"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","10484","296"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","3722","3160"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","3722","2747"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","3722","67"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","9","% of cohort","3722","346"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","3722","383"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","5","% of cohort","3722","179"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","10049","8535"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","10049","7477"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","10049","213"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","10049","845"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","12","% of cohort","10049","1161"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","10049","353"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","89","% of cohort","19","17"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","68","% of cohort","19","13"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","5","% of cohort","19","1"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","16","% of cohort","19","3"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","19","2"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","0","% of cohort","19","0"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","80","% of cohort","17036","13624"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","58","% of cohort","17036","9905"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","17036","494"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","19","% of cohort","17036","3225"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","17036","1723"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","10","% of cohort","17036","1689"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","258817","228804"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","56","% of cohort","258817","145463"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","6","% of cohort","258817","15564"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","26","% of cohort","258817","67777"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","258817","25667"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","258817","4346"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","1330","1163"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","63","% of cohort","1330","838"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","1330","46"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","21","% of cohort","1330","279"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","1330","133"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","1330","34"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","2389","2093"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","69","% of cohort","2389","1647"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","2389","77"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","15","% of cohort","2389","369"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","2389","233"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","2389","63"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","1007","864"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","65","% of cohort","1007","653"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","1007","16"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","19","% of cohort","1007","195"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","1007","104"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","1007","39"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","3199","2740"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","58","% of cohort","3199","1842"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","4","% of cohort","3199","141"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","24","% of cohort","3199","757"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","12","% of cohort","3199","394"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","3199","65"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","28714","25040"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","77","% of cohort","28714","22010"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","28714","629"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","28714","2401"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","28714","2753"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","28714","921"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","14749","12833"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","75","% of cohort","14749","11026"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","14749","378"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","10","% of cohort","14749","1429"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","14749","1434"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","14749","482"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","90","% of cohort","1878","1693"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","83","% of cohort","1878","1565"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","1878","21"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","6","% of cohort","1878","107"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","4","% of cohort","1878","81"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","1878","104"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","10684","9228"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","64","% of cohort","10684","6853"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","10684","340"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","19","% of cohort","10684","2035"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","10684","1157"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","10684","299"
"Student destinations after 16 to 18 study","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","3722","3160"
"Student destinations after 16 to 18 study","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","3722","2747"
"Student destinations after 16 to 18 study","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2012/13","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","3722","67"
