"Ethnic group","Country of birth","Value","Geography","Source","Period"
"African","South and Eastern Africa","25.3","E&W","Census","2011"
"Caribbean","South and Eastern Africa","0.2","E&W","Census","2011"
"Other Black","South and Eastern Africa","11.9","E&W","Census","2011"
"Other ethnic group: Total","South and Eastern Africa","3.6","E&W","Census","2011"
"Arab","South and Eastern Africa","1.4","E&W","Census","2011"
"Any other ethnic group","South and Eastern Africa","5.1","E&W","Census","2011"
"All categories: Ethnic group","Africa not otherwise specified","0.0","E&W","Census","2011"
"White: Total","Africa not otherwise specified","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Africa not otherwise specified","0.0","E&W","Census","2011"
"Irish","Africa not otherwise specified","0.0","E&W","Census","2011"
"Gypsy or Irish Traveller","Africa not otherwise specified","0.0","E&W","Census","2011"
"Other White","Africa not otherwise specified","0.0","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Africa not otherwise specified","0.0","E&W","Census","2011"
"White and Black Caribbean","Africa not otherwise specified","0.0","E&W","Census","2011"
"White and Black African","Africa not otherwise specified","0.2","E&W","Census","2011"
"White and Asian","Africa not otherwise specified","0.0","E&W","Census","2011"
"Other Mixed","Africa not otherwise specified","0.0","E&W","Census","2011"
"Asian/Asian British: Total","Africa not otherwise specified","0.2","E&W","Census","2011"
"Indian","Africa not otherwise specified","0.6","E&W","Census","2011"
"Pakistani","Africa not otherwise specified","0.0","E&W","Census","2011"
"Bangladeshi","Africa not otherwise specified","0.0","E&W","Census","2011"
"Chinese","Africa not otherwise specified","0.0","E&W","Census","2011"
"Other Asian","Africa not otherwise specified","0.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Africa not otherwise specified","0.2","E&W","Census","2011"
"African","Africa not otherwise specified","0.3","E&W","Census","2011"
"Caribbean","Africa not otherwise specified","0.0","E&W","Census","2011"
"Other Black","Africa not otherwise specified","0.1","E&W","Census","2011"
"Other ethnic group: Total","Africa not otherwise specified","0.1","E&W","Census","2011"
"Arab","Africa not otherwise specified","0.0","E&W","Census","2011"
"Any other ethnic group","Africa not otherwise specified","0.1","E&W","Census","2011"
"All categories: Ethnic group","Middle East and Asia: Total","4.6","E&W","Census","2011"
"White: Total","Middle East and Asia: Total","0.4","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Middle East and Asia: Total","0.3","E&W","Census","2011"
"Irish","Middle East and Asia: Total","0.5","E&W","Census","2011"
"Gypsy or Irish Traveller","Middle East and Asia: Total","0.2","E&W","Census","2011"
"Other White","Middle East and Asia: Total","2.3","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Middle East and Asia: Total","5.0","E&W","Census","2011"
"White and Black Caribbean","Middle East and Asia: Total","0.2","E&W","Census","2011"
"White and Black African","Middle East and Asia: Total","1.0","E&W","Census","2011"
"White and Asian","Middle East and Asia: Total","12.4","E&W","Census","2011"
"Other Mixed","Middle East and Asia: Total","5.7","E&W","Census","2011"
"Asian/Asian British: Total","Middle East and Asia: Total","50.3","E&W","Census","2011"
"Indian","Middle East and Asia: Total","43.7","E&W","Census","2011"
"Pakistani","Middle East and Asia: Total","41.9","E&W","Census","2011"
"Bangladeshi","Middle East and Asia: Total","46.8","E&W","Census","2011"
"Chinese","Middle East and Asia: Total","71.3","E&W","Census","2011"
"Other Asian","Middle East and Asia: Total","65.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Middle East and Asia: Total","0.8","E&W","Census","2011"
"African","Middle East and Asia: Total","1.0","E&W","Census","2011"
"Caribbean","Middle East and Asia: Total","0.3","E&W","Census","2011"
"Other Black","Middle East and Asia: Total","1.2","E&W","Census","2011"
"Other ethnic group: Total","Middle East and Asia: Total","35.2","E&W","Census","2011"
"Arab","Middle East and Asia: Total","42.3","E&W","Census","2011"
"Any other ethnic group","Middle East and Asia: Total","30.2","E&W","Census","2011"
"All categories: Ethnic group","Middle East","0.5","E&W","Census","2011"
"White: Total","Middle East","0.1","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Middle East","0.1","E&W","Census","2011"
"Irish","Middle East","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","Middle East","0.0","E&W","Census","2011"
"Other White","Middle East","1.2","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Middle East","1.2","E&W","Census","2011"
"White and Black Caribbean","Middle East","0.0","E&W","Census","2011"
"White and Black African","Middle East","0.4","E&W","Census","2011"
"White and Asian","Middle East","2.7","E&W","Census","2011"
"Other Mixed","Middle East","1.5","E&W","Census","2011"
"Asian/Asian British: Total","Middle East","1.6","E&W","Census","2011"
"Indian","Middle East","0.8","E&W","Census","2011"
"Pakistani","Middle East","0.6","E&W","Census","2011"
"Bangladeshi","Middle East","0.3","E&W","Census","2011"
"Chinese","Middle East","0.8","E&W","Census","2011"
"Other Asian","Middle East","5.3","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Middle East","0.3","E&W","Census","2011"
"African","Middle East","0.3","E&W","Census","2011"
"Caribbean","Middle East","0.1","E&W","Census","2011"
"Other Black","Middle East","0.3","E&W","Census","2011"
"Other ethnic group: Total","Middle East","27.0","E&W","Census","2011"
"Arab","Middle East","40.1","E&W","Census","2011"
"Any other ethnic group","Middle East","17.9","E&W","Census","2011"
"All categories: Ethnic group","Eastern Asia","0.6","E&W","Census","2011"
"White: Total","Eastern Asia","0.1","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Eastern Asia","0.0","E&W","Census","2011"
"Irish","Eastern Asia","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","Eastern Asia","0.0","E&W","Census","2011"
"Other White","Eastern Asia","0.2","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Eastern Asia","0.7","E&W","Census","2011"
"White and Black Caribbean","Eastern Asia","0.0","E&W","Census","2011"
"White and Black African","Eastern Asia","0.1","E&W","Census","2011"
"White and Asian","Eastern Asia","1.5","E&W","Census","2011"
"Other Mixed","Eastern Asia","0.9","E&W","Census","2011"
"Asian/Asian British: Total","Eastern Asia","6.7","E&W","Census","2011"
"Indian","Eastern Asia","0.2","E&W","Census","2011"
"Pakistani","Eastern Asia","0.2","E&W","Census","2011"
"Bangladeshi","Eastern Asia","0.1","E&W","Census","2011"
"Chinese","Eastern Asia","55.3","E&W","Census","2011"
"Other Asian","Eastern Asia","6.9","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Eastern Asia","0.1","E&W","Census","2011"
"African","Eastern Asia","0.1","E&W","Census","2011"
"Caribbean","Eastern Asia","0.0","E&W","Census","2011"
"Other Black","Eastern Asia","0.1","E&W","Census","2011"
"Other ethnic group: Total","Eastern Asia","0.7","E&W","Census","2011"
"Arab","Eastern Asia","0.3","E&W","Census","2011"
"Any other ethnic group","Eastern Asia","1.0","E&W","Census","2011"
"All categories: Ethnic group","Southern Asia","2.9","E&W","Census","2011"
"White: Total","Southern Asia","0.1","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Southern Asia","0.1","E&W","Census","2011"
"Irish","Southern Asia","0.2","E&W","Census","2011"
"Gypsy or Irish Traveller","Southern Asia","0.1","E&W","Census","2011"
"Other White","Southern Asia","0.5","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Southern Asia","1.6","E&W","Census","2011"
"White and Black Caribbean","Southern Asia","0.1","E&W","Census","2011"
"White and Black African","Southern Asia","0.4","E&W","Census","2011"
"White and Asian","Southern Asia","4.2","E&W","Census","2011"
"Other Mixed","Southern Asia","1.7","E&W","Census","2011"
"Asian/Asian British: Total","Southern Asia","35.9","E&W","Census","2011"
"Indian","Southern Asia","41.9","E&W","Census","2011"
"Pakistani","Southern Asia","40.8","E&W","Census","2011"
"Bangladeshi","Southern Asia","46.3","E&W","Census","2011"
"Chinese","Southern Asia","1.7","E&W","Census","2011"
"Other Asian","Southern Asia","29.8","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Southern Asia","0.3","E&W","Census","2011"
"African","Southern Asia","0.4","E&W","Census","2011"
"Caribbean","Southern Asia","0.1","E&W","Census","2011"
"Other Black","Southern Asia","0.6","E&W","Census","2011"
"Other ethnic group: Total","Southern Asia","5.5","E&W","Census","2011"
"Arab","Southern Asia","1.5","E&W","Census","2011"
"Any other ethnic group","Southern Asia","8.2","E&W","Census","2011"
"All categories: Ethnic group","South-East Asia","0.6","E&W","Census","2011"
"White: Total","South-East Asia","0.1","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","South-East Asia","0.1","E&W","Census","2011"
"Irish","South-East Asia","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","South-East Asia","0.0","E&W","Census","2011"
"Other White","South-East Asia","0.3","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","South-East Asia","1.5","E&W","Census","2011"
"White and Black Caribbean","South-East Asia","0.1","E&W","Census","2011"
"White and Black African","South-East Asia","0.2","E&W","Census","2011"
"White and Asian","South-East Asia","3.8","E&W","Census","2011"
"Other Mixed","South-East Asia","1.5","E&W","Census","2011"
"Asian/Asian British: Total","South-East Asia","6.1","E&W","Census","2011"
"Indian","South-East Asia","0.8","E&W","Census","2011"
"Pakistani","South-East Asia","0.3","E&W","Census","2011"
"Bangladeshi","South-East Asia","0.2","E&W","Census","2011"
"Chinese","South-East Asia","13.4","E&W","Census","2011"
"Other Asian","South-East Asia","22.7","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","South-East Asia","0.1","E&W","Census","2011"
"African","South-East Asia","0.1","E&W","Census","2011"
"Caribbean","South-East Asia","0.1","E&W","Census","2011"
"Other Black","South-East Asia","0.2","E&W","Census","2011"
"Other ethnic group: Total","South-East Asia","1.9","E&W","Census","2011"
"Arab","South-East Asia","0.3","E&W","Census","2011"
"Any other ethnic group","South-East Asia","3.0","E&W","Census","2011"
"All categories: Ethnic group","Central Asia","0.0","E&W","Census","2011"
"White: Total","Central Asia","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Central Asia","0.0","E&W","Census","2011"
"Irish","Central Asia","0.0","E&W","Census","2011"
"Gypsy or Irish Traveller","Central Asia","0.0","E&W","Census","2011"
"Other White","Central Asia","0.1","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Central Asia","0.1","E&W","Census","2011"
"White and Black Caribbean","Central Asia","0.0","E&W","Census","2011"
"White and Black African","Central Asia","0.0","E&W","Census","2011"
"White and Asian","Central Asia","0.2","E&W","Census","2011"
"Other Mixed","Central Asia","0.1","E&W","Census","2011"
"Asian/Asian British: Total","Central Asia","0.1","E&W","Census","2011"
"Indian","Central Asia","0.0","E&W","Census","2011"
"Pakistani","Central Asia","0.0","E&W","Census","2011"
"Bangladeshi","Central Asia","0.0","E&W","Census","2011"
"Chinese","Central Asia","0.1","E&W","Census","2011"
"Other Asian","Central Asia","0.4","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Central Asia","0.0","E&W","Census","2011"
"African","Central Asia","0.0","E&W","Census","2011"
"Caribbean","Central Asia","0.0","E&W","Census","2011"
"Other Black","Central Asia","0.0","E&W","Census","2011"
"Other ethnic group: Total","Central Asia","0.1","E&W","Census","2011"
"Arab","Central Asia","0.0","E&W","Census","2011"
"Any other ethnic group","Central Asia","0.2","E&W","Census","2011"
"All categories: Ethnic group","The Americas and the Caribbean: Total","1.2","E&W","Census","2011"
"White: Total","The Americas and the Caribbean: Total","0.6","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","The Americas and the Caribbean: Total","0.2","E&W","Census","2011"
"Irish","The Americas and the Caribbean: Total","1.1","E&W","Census","2011"
"Gypsy or Irish Traveller","The Americas and the Caribbean: Total","0.3","E&W","Census","2011"
"Other White","The Americas and the Caribbean: Total","7.5","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","The Americas and the Caribbean: Total","4.2","E&W","Census","2011"
"White and Black Caribbean","The Americas and the Caribbean: Total","4.1","E&W","Census","2011"
"White and Black African","The Americas and the Caribbean: Total","1.9","E&W","Census","2011"
"White and Asian","The Americas and the Caribbean: Total","1.6","E&W","Census","2011"
"Other Mixed","The Americas and the Caribbean: Total","9.0","E&W","Census","2011"
"Asian/Asian British: Total","The Americas and the Caribbean: Total","0.6","E&W","Census","2011"
"Indian","The Americas and the Caribbean: Total","0.5","E&W","Census","2011"
"Pakistani","The Americas and the Caribbean: Total","0.1","E&W","Census","2011"
"Bangladeshi","The Americas and the Caribbean: Total","0.1","E&W","Census","2011"
"Chinese","The Americas and the Caribbean: Total","1.2","E&W","Census","2011"
"Other Asian","The Americas and the Caribbean: Total","1.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","The Americas and the Caribbean: Total","13.5","E&W","Census","2011"
"African","The Americas and the Caribbean: Total","0.8","E&W","Census","2011"
"Caribbean","The Americas and the Caribbean: Total","37.9","E&W","Census","2011"
"Other Black","The Americas and the Caribbean: Total","6.9","E&W","Census","2011"
"Other ethnic group: Total","The Americas and the Caribbean: Total","7.2","E&W","Census","2011"
"Arab","The Americas and the Caribbean: Total","1.6","E&W","Census","2011"
"Any other ethnic group","The Americas and the Caribbean: Total","11.0","E&W","Census","2011"
"All categories: Ethnic group","North America and the Caribbean","0.9","E&W","Census","2011"
"White: Total","North America and the Caribbean","0.5","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","North America and the Caribbean","0.2","E&W","Census","2011"
"Irish","North America and the Caribbean","0.9","E&W","Census","2011"
"Gypsy or Irish Traveller","North America and the Caribbean","0.2","E&W","Census","2011"
"Other White","North America and the Caribbean","4.9","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","North America and the Caribbean","2.4","E&W","Census","2011"
"White and Black Caribbean","North America and the Caribbean","3.4","E&W","Census","2011"
"White and Black African","North America and the Caribbean","1.0","E&W","Census","2011"
"White and Asian","North America and the Caribbean","1.2","E&W","Census","2011"
"Other Mixed","North America and the Caribbean","3.4","E&W","Census","2011"
"Asian/Asian British: Total","North America and the Caribbean","0.4","E&W","Census","2011"
"Indian","North America and the Caribbean","0.4","E&W","Census","2011"
"Pakistani","North America and the Caribbean","0.1","E&W","Census","2011"
"Bangladeshi","North America and the Caribbean","0.1","E&W","Census","2011"
"Chinese","North America and the Caribbean","1.0","E&W","Census","2011"
"Other Asian","North America and the Caribbean","0.7","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","North America and the Caribbean","12.7","E&W","Census","2011"
"African","North America and the Caribbean","0.7","E&W","Census","2011"
"Caribbean","North America and the Caribbean","36.1","E&W","Census","2011"
"Other Black","North America and the Caribbean","5.2","E&W","Census","2011"
"Other ethnic group: Total","North America and the Caribbean","1.6","E&W","Census","2011"
"Arab","North America and the Caribbean","1.2","E&W","Census","2011"
"Any other ethnic group","North America and the Caribbean","2.0","E&W","Census","2011"
"All categories: Ethnic group","Central and South America","0.3","E&W","Census","2011"
"White: Total","Central and South America","0.2","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Central and South America","0.0","E&W","Census","2011"
"Irish","Central and South America","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","Central and South America","0.1","E&W","Census","2011"
"Other White","Central and South America","2.6","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Central and South America","1.8","E&W","Census","2011"
"White and Black Caribbean","Central and South America","0.8","E&W","Census","2011"
"White and Black African","Central and South America","0.8","E&W","Census","2011"
"White and Asian","Central and South America","0.3","E&W","Census","2011"
"Other Mixed","Central and South America","5.6","E&W","Census","2011"
"Asian/Asian British: Total","Central and South America","0.2","E&W","Census","2011"
"Indian","Central and South America","0.2","E&W","Census","2011"
"Pakistani","Central and South America","0.0","E&W","Census","2011"
"Bangladeshi","Central and South America","0.0","E&W","Census","2011"
"Chinese","Central and South America","0.3","E&W","Census","2011"
"Other Asian","Central and South America","0.4","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Central and South America","0.9","E&W","Census","2011"
"African","Central and South America","0.1","E&W","Census","2011"
"Caribbean","Central and South America","1.7","E&W","Census","2011"
"Other Black","Central and South America","1.7","E&W","Census","2011"
"Other ethnic group: Total","Central and South America","5.5","E&W","Census","2011"
"Arab","Central and South America","0.5","E&W","Census","2011"
"Any other ethnic group","Central and South America","9.0","E&W","Census","2011"
"All categories: Ethnic group","Antarctica and Oceania (including Australasia)","0.3","E&W","Census","2011"
"White: Total","Antarctica and Oceania (including Australasia)","0.3","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Antarctica and Oceania (including Australasia)","0.2","E&W","Census","2011"
"Irish","Antarctica and Oceania (including Australasia)","0.4","E&W","Census","2011"
"Gypsy or Irish Traveller","Antarctica and Oceania (including Australasia)","0.2","E&W","Census","2011"
"Other White","Antarctica and Oceania (including Australasia)","3.5","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Antarctica and Oceania (including Australasia)","0.5","E&W","Census","2011"
"White and Black Caribbean","Antarctica and Oceania (including Australasia)","0.1","E&W","Census","2011"
"White and Black African","Antarctica and Oceania (including Australasia)","0.2","E&W","Census","2011"
"White and Asian","Antarctica and Oceania (including Australasia)","0.5","E&W","Census","2011"
"Other Mixed","Antarctica and Oceania (including Australasia)","1.4","E&W","Census","2011"
"Asian/Asian British: Total","Antarctica and Oceania (including Australasia)","0.2","E&W","Census","2011"
"Indian","Antarctica and Oceania (including Australasia)","0.2","E&W","Census","2011"
"Pakistani","Antarctica and Oceania (including Australasia)","0.0","E&W","Census","2011"
"Bangladeshi","Antarctica and Oceania (including Australasia)","0.0","E&W","Census","2011"
"Chinese","Antarctica and Oceania (including Australasia)","0.6","E&W","Census","2011"
"Other Asian","Antarctica and Oceania (including Australasia)","0.3","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Antarctica and Oceania (including Australasia)","0.1","E&W","Census","2011"
"African","Antarctica and Oceania (including Australasia)","0.1","E&W","Census","2011"
"Caribbean","Antarctica and Oceania (including Australasia)","0.0","E&W","Census","2011"
"Other Black","Antarctica and Oceania (including Australasia)","0.6","E&W","Census","2011"
"Other ethnic group: Total","Antarctica and Oceania (including Australasia)","0.9","E&W","Census","2011"
"Arab","Antarctica and Oceania (including Australasia)","0.3","E&W","Census","2011"
"Any other ethnic group","Antarctica and Oceania (including Australasia)","1.3","E&W","Census","2011"
"All categories: Ethnic group","Other","0.0","E&W","Census","2011"
"White: Total","Other","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Other","0.0","E&W","Census","2011"
"Irish","Other","0.0","E&W","Census","2011"
"Gypsy or Irish Traveller","Other","0.0","E&W","Census","2011"
"Other White","Other","0.0","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Other","0.0","E&W","Census","2011"
"White and Black Caribbean","Other","0.0","E&W","Census","2011"
"White and Black African","Other","0.0","E&W","Census","2011"
"White and Asian","Other","0.0","E&W","Census","2011"
"Other Mixed","Other","0.0","E&W","Census","2011"
"Asian/Asian British: Total","Other","0.0","E&W","Census","2011"
"Indian","Other","0.0","E&W","Census","2011"
"Pakistani","Other","0.0","E&W","Census","2011"
"Bangladeshi","Other","0.0","E&W","Census","2011"
"Chinese","Other","0.0","E&W","Census","2011"
"Other Asian","Other","0.0","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Other","0.0","E&W","Census","2011"
"African","Other","0.0","E&W","Census","2011"
"Caribbean","Other","0.0","E&W","Census","2011"
"Other Black","Other","0.0","E&W","Census","2011"
"Other ethnic group: Total","Other","0.0","E&W","Census","2011"
"Arab","Other","0.0","E&W","Census","2011"
"Any other ethnic group","Other","0.0","E&W","Census","2011"
