"Measure","Gender","Long Term Support Setting","Year Ending March","Ethnicity","Ethnicity Classification","Number","Percentage"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","White Other","Ethnicity 18+1","11,960","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Bangladeshi","Ethnicity 18+1","55","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Chinese","Ethnicity 18+1","85","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Indian","Ethnicity 18+1","505","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Other","Ethnicity 18+1","320","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Pakistani","Ethnicity 18+1","135","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Black African","Ethnicity 18+1","385","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Black Caribbean","Ethnicity 18+1","885","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Black Other","Ethnicity 18+1","240","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Mixed Other","Ethnicity 18+1","190","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Mixed White/Asian","Ethnicity 18+1","40","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Mixed White/Black African","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Mixed White/Black Caribbean","Ethnicity 18+1","75","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Arab","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Any other","Ethnicity 18+1","345","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","White British","Ethnicity 18+1","45,555","85.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Gypsy or Irish Traveller","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","White Irish","Ethnicity 18+1","825","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","White Other","Ethnicity 18+1","1,500","2.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Bangladeshi","Ethnicity 18+1","155","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Chinese","Ethnicity 18+1","210","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Indian","Ethnicity 18+1","975","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Other","Ethnicity 18+1","640","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Pakistani","Ethnicity 18+1","355","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Black African","Ethnicity 18+1","635","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Black Caribbean","Ethnicity 18+1","1,645","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Black Other","Ethnicity 18+1","510","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Mixed Other","Ethnicity 18+1","540","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Mixed White/Asian","Ethnicity 18+1","175","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Mixed White/Black African","Ethnicity 18+1","75","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Mixed White/Black Caribbean","Ethnicity 18+1","295","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Arab","Ethnicity 18+1","30","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Any other","Ethnicity 18+1","780","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","White British","Ethnicity 18+1","119,870","87.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Gypsy or Irish Traveller","Ethnicity 18+1","45","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","White Irish","Ethnicity 18+1","1,725","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","White Other","Ethnicity 18+1","3,145","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Asian","Ethnicity 5+1","28,520","6.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Black","Ethnicity 5+1","22,235","5.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Mixed","Ethnicity 5+1","5,255","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Unknown","Ethnicity 5+1","16,660","3.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Other Ethnic Group","Ethnicity 5+1","4,870","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","White","Ethnicity 5+1","368,905","82.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Asian","Ethnicity 5+1","1,110","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Black","Ethnicity 5+1","1,555","2.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Mixed","Ethnicity 5+1","200","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Unknown","Ethnicity 5+1","1,800","3.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Other Ethnic Group","Ethnicity 5+1","325","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","White","Ethnicity 5+1","50,440","91.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Asian","Ethnicity 5+1","2,230","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Black","Ethnicity 5+1","2,755","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Mixed","Ethnicity 5+1","925","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Unknown","Ethnicity 5+1","3,970","2.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Other Ethnic Group","Ethnicity 5+1","670","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","White","Ethnicity 5+1","125,560","92.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Bangladeshi","Ethnicity 18+1","2,920","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Chinese","Ethnicity 18+1","920","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Indian","Ethnicity 18+1","10,240","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Other","Ethnicity 18+1","6,240","1.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Pakistani","Ethnicity 18+1","8,205","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Black African","Ethnicity 18+1","7,625","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Black Caribbean","Ethnicity 18+1","10,170","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Black Other","Ethnicity 18+1","4,440","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Mixed Other","Ethnicity 18+1","2,290","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Mixed White/Asian","Ethnicity 18+1","785","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Mixed White/Black African","Ethnicity 18+1","515","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Mixed White/Black Caribbean","Ethnicity 18+1","1,665","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Arab","Ethnicity 18+1","430","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Any other","Ethnicity 18+1","4,440","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","White British","Ethnicity 18+1","352,160","78.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","Gypsy or Irish Traveller","Ethnicity 18+1","170","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","White Irish","Ethnicity 18+1","4,795","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2019","White Other","Ethnicity 18+1","11,780","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Bangladeshi","Ethnicity 18+1","50","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Chinese","Ethnicity 18+1","100","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Indian","Ethnicity 18+1","525","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Other","Ethnicity 18+1","315","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Pakistani","Ethnicity 18+1","125","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Black African","Ethnicity 18+1","350","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Black Caribbean","Ethnicity 18+1","965","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Black Other","Ethnicity 18+1","240","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Mixed Other","Ethnicity 18+1","85","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Mixed White/Asian","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Mixed White/Black African","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Mixed White/Black Caribbean","Ethnicity 18+1","70","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Arab","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Any other","Ethnicity 18+1","305","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","White British","Ethnicity 18+1","48,040","86.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","Gypsy or Irish Traveller","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","White Irish","Ethnicity 18+1","875","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2019","White Other","Ethnicity 18+1","1,515","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Bangladeshi","Ethnicity 18+1","155","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Chinese","Ethnicity 18+1","200","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Indian","Ethnicity 18+1","960","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Other","Ethnicity 18+1","585","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Pakistani","Ethnicity 18+1","330","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Black African","Ethnicity 18+1","595","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Black Caribbean","Ethnicity 18+1","1,640","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Black Other","Ethnicity 18+1","520","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Mixed Other","Ethnicity 18+1","370","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Mixed White/Asian","Ethnicity 18+1","165","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Mixed White/Black African","Ethnicity 18+1","70","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Mixed White/Black Caribbean","Ethnicity 18+1","315","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Arab","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Any other","Ethnicity 18+1","650","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","White British","Ethnicity 18+1","120,825","88.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","Gypsy or Irish Traveller","Ethnicity 18+1","45","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","White Irish","Ethnicity 18+1","1,760","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2019","White Other","Ethnicity 18+1","2,925","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Asian","Ethnicity 5+1","27,570","6.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Black","Ethnicity 5+1","21,235","4.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Mixed","Ethnicity 5+1","4,880","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Unknown","Ethnicity 5+1","15,555","3.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Other Ethnic Group","Ethnicity 5+1","4,925","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","White","Ethnicity 5+1","377,045","83.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Asian","Ethnicity 5+1","1,020","1.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Black","Ethnicity 5+1","1,400","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Mixed","Ethnicity 5+1","165","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Unknown","Ethnicity 5+1","1,710","3.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Other Ethnic Group","Ethnicity 5+1","325","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","White","Ethnicity 5+1","48,865","91.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Asian","Ethnicity 5+1","2,185","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Black","Ethnicity 5+1","2,770","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Mixed","Ethnicity 5+1","875","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Unknown","Ethnicity 5+1","3,550","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Other Ethnic Group","Ethnicity 5+1","730","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","White","Ethnicity 5+1","126,350","92.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Bangladeshi","Ethnicity 18+1","2,665","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Chinese","Ethnicity 18+1","895","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Indian","Ethnicity 18+1","10,075","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Other","Ethnicity 18+1","6,045","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Pakistani","Ethnicity 18+1","7,890","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Black African","Ethnicity 18+1","6,705","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Black Caribbean","Ethnicity 18+1","10,315","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Black Other","Ethnicity 18+1","4,215","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Mixed Other","Ethnicity 18+1","2,000","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Mixed White/Asian","Ethnicity 18+1","765","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Mixed White/Black African","Ethnicity 18+1","495","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Mixed White/Black Caribbean","Ethnicity 18+1","1,620","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Arab","Ethnicity 18+1","410","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Any other","Ethnicity 18+1","4,520","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","White British","Ethnicity 18+1","360,155","79.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","Gypsy or Irish Traveller","Ethnicity 18+1","210","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","White Irish","Ethnicity 18+1","4,860","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2018","White Other","Ethnicity 18+1","11,815","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Bangladeshi","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Chinese","Ethnicity 18+1","90","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Indian","Ethnicity 18+1","470","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Other","Ethnicity 18+1","320","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Pakistani","Ethnicity 18+1","110","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Black African","Ethnicity 18+1","290","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Black Caribbean","Ethnicity 18+1","905","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Black Other","Ethnicity 18+1","205","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Mixed Other","Ethnicity 18+1","70","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Mixed White/Asian","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Mixed White/Black African","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Mixed White/Black Caribbean","Ethnicity 18+1","60","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Arab","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Any other","Ethnicity 18+1","310","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","White British","Ethnicity 18+1","46,595","87.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","Gypsy or Irish Traveller","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","White Irish","Ethnicity 18+1","855","1.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2018","White Other","Ethnicity 18+1","1,395","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Bangladeshi","Ethnicity 18+1","150","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Chinese","Ethnicity 18+1","205","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Indian","Ethnicity 18+1","930","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Other","Ethnicity 18+1","585","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Pakistani","Ethnicity 18+1","315","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Black African","Ethnicity 18+1","525","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Black Caribbean","Ethnicity 18+1","1,745","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Black Other","Ethnicity 18+1","500","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Mixed Other","Ethnicity 18+1","335","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Mixed White/Asian","Ethnicity 18+1","165","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Mixed White/Black African","Ethnicity 18+1","75","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Mixed White/Black Caribbean","Ethnicity 18+1","300","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Arab","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Any other","Ethnicity 18+1","710","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","White British","Ethnicity 18+1","121,560","89.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","Gypsy or Irish Traveller","Ethnicity 18+1","85","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","White Irish","Ethnicity 18+1","1,710","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2018","White Other","Ethnicity 18+1","2,990","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Asian","Ethnicity 5+1","27,160","5.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Black","Ethnicity 5+1","21,845","4.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Mixed","Ethnicity 5+1","4,500","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Unknown","Ethnicity 5+1","14,140","3.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Other Ethnic Group","Ethnicity 5+1","4,855","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","White","Ethnicity 5+1","387,320","84.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Asian","Ethnicity 5+1","1,005","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Black","Ethnicity 5+1","1,370","2.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Mixed","Ethnicity 5+1","140","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Unknown","Ethnicity 5+1","1,490","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Other Ethnic Group","Ethnicity 5+1","290","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","White","Ethnicity 5+1","50,385","92.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Asian","Ethnicity 5+1","2,130","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Black","Ethnicity 5+1","2,830","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Mixed","Ethnicity 5+1","765","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Unknown","Ethnicity 5+1","3,130","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","Other Ethnic Group","Ethnicity 5+1","650","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2017","White","Ethnicity 5+1","131,385","93.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Bangladeshi","Ethnicity 18+1","2,565","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Chinese","Ethnicity 18+1","870","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Indian","Ethnicity 18+1","10,090","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Other","Ethnicity 18+1","5,915","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Pakistani","Ethnicity 18+1","7,715","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Black African","Ethnicity 18+1","6,770","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Black Caribbean","Ethnicity 18+1","11,075","2.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Black Other","Ethnicity 18+1","3,995","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Mixed Other","Ethnicity 18+1","1,900","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Mixed White/Asian","Ethnicity 18+1","785","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Mixed White/Black African","Ethnicity 18+1","485","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Mixed White/Black Caribbean","Ethnicity 18+1","1,330","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Arab","Ethnicity 18+1","480","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Any other","Ethnicity 18+1","4,375","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","White British","Ethnicity 18+1","368,855","80.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","Gypsy or Irish Traveller","Ethnicity 18+1","200","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","White Irish","Ethnicity 18+1","5,285","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2017","White Other","Ethnicity 18+1","12,985","2.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Bangladeshi","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Chinese","Ethnicity 18+1","100","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Indian","Ethnicity 18+1","475","0.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Other","Ethnicity 18+1","285","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Pakistani","Ethnicity 18+1","115","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Black African","Ethnicity 18+1","250","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Black Caribbean","Ethnicity 18+1","935","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Black Other","Ethnicity 18+1","185","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Mixed Other","Ethnicity 18+1","65","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Mixed White/Asian","Ethnicity 18+1","25","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Mixed White/Black African","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Mixed White/Black Caribbean","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Arab","Ethnicity 18+1","10","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Any other","Ethnicity 18+1","275","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","White British","Ethnicity 18+1","47,835","87.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","Gypsy or Irish Traveller","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","White Irish","Ethnicity 18+1","930","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2017","White Other","Ethnicity 18+1","1,605","2.9%"
