"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography_type","Age","Employment Status","Sex","Value","Value_type","Upper 95% C.I.","Lower 95% C.I."
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","Male","2.9","%","7.4","0"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","6.8","%","7.1","6.5"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","6.8","%","7.1","6.5"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","8.5","%","12.4","4.6"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","6.1","%","9.2","3"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","10.6","%","14.5","6.7"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male"," ? "," ? "," ? "," ? "
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male"," ? "," ? "," ? "," ? "
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male"," ? "," ? "," ? "," ? "
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male","8.9","%","12.1","5.7"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","Male"," ? "," ? "," ? "," ? "
