"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","White British","ONS 5+2","K02000001","63","58,941"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","White non-British","ONS 5+2","K02000001","1","2,479"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White non-British","ONS 5+2","K02000001","1","2,479"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White non-British","ONS 5+2","K02000001","4","2,479"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White non-British","ONS 5+2","K02000001","5","2,479"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","White non-British","ONS 5+2","K02000001","3","2,479"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","White non-British","ONS 5+2","K02000001","10","2,479"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","White non-British","ONS 5+2","K02000001","3","2,479"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White non-British","ONS 5+2","K02000001","2","2,479"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","White non-British","ONS 5+2","K02000001","72","2,479"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","All","ONS 5+2","K02000001","1","61,106"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","All","ONS 5+2","K02000001","2","61,106"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","All","ONS 5+2","K02000001","3","61,106"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","All","ONS 5+2","K02000001","5","61,106"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","All","ONS 5+2","K02000001","8","61,106"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","All","ONS 5+2","K02000001","7","61,106"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","All","ONS 5+2","K02000001","7","61,106"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","All","ONS 5+2","K02000001","2","61,106"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","All","ONS 5+2","K02000001","65","61,106"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","~","359"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","~","359"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","10","359"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","7","359"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","2","359"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","5","359"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","2","359"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","3","359"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Any other Asian background","ONS 5+2","K02000001","70","359"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","1","2,226"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","1","2,226"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","6","2,226"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","7","2,226"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","2","2,226"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","9","2,226"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","3","2,226"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","4","2,226"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Asian/ Asian British","ONS 5+2","K02000001","69","2,226"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","1","212"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","~","212"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","212"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","16","212"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","212"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","212"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","4","212"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","10","212"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","57","212"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,322"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,322"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,322"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","13","1,322"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,322"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,322"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,322"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,322"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","64","1,322"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Chinese","ONS 5+2","K02000001","~","187"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","187"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Chinese","ONS 5+2","K02000001","13","187"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","187"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","187"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","187"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","187"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","187"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Chinese","ONS 5+2","K02000001","76","187"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","954"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","954"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","954"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","954"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","954"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Indian","ONS 5+2","K02000001","11","954"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","954"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","954"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Indian","ONS 5+2","K02000001","73","954"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","426"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","426"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","426"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","426"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","426"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","426"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","426"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","426"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","66","426"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","524"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","1","524"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","7","524"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","9","524"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","5","524"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","7","524"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","3","524"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","4","524"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Other ethnic group","ONS 5+2","K02000001","64","524"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","514"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","~","514"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","514"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","514"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","514"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","514"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","514"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","514"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","59","514"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","White","ONS 5+2","K02000001","1","56,608"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White","ONS 5+2","K02000001","2","56,608"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White","ONS 5+2","K02000001","3","56,608"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White","ONS 5+2","K02000001","5","56,608"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","White","ONS 5+2","K02000001","8","56,608"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","White","ONS 5+2","K02000001","7","56,608"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","White","ONS 5+2","K02000001","7","56,608"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White","ONS 5+2","K02000001","2","56,608"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","White","ONS 5+2","K02000001","64","56,608"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","White British","ONS 5+2","K02000001","2","54,352"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White British","ONS 5+2","K02000001","2","54,352"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White British","ONS 5+2","K02000001","2","54,352"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White British","ONS 5+2","K02000001","5","54,352"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","White British","ONS 5+2","K02000001","9","54,352"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","White British","ONS 5+2","K02000001","7","54,352"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","White British","ONS 5+2","K02000001","8","54,352"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White British","ONS 5+2","K02000001","2","54,352"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","White British","ONS 5+2","K02000001","63","54,352"
"Gross household income by ethnic group of the head of the household","Disability benefits","2011/12-2013/14","White non-British","ONS 5+2","K02000001","~","2,256"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White non-British","ONS 5+2","K02000001","1","2,256"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White non-British","ONS 5+2","K02000001","3","2,256"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White non-British","ONS 5+2","K02000001","4","2,256"
"Gross household income by ethnic group of the head of the household","Private pensions","2011/12-2013/14","White non-British","ONS 5+2","K02000001","2","2,256"
"Gross household income by ethnic group of the head of the household","Self-employed income","2011/12-2013/14","White non-British","ONS 5+2","K02000001","9","2,256"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2011/12-2013/14","White non-British","ONS 5+2","K02000001","2","2,256"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White non-British","ONS 5+2","K02000001","2","2,256"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2011/12-2013/14","White non-British","ONS 5+2","K02000001","77","2,256"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","All","ONS 5+2","K02000001","1","59,881"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","All","ONS 5+2","K02000001","2","59,881"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","All","ONS 5+2","K02000001","3","59,881"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","All","ONS 5+2","K02000001","5","59,881"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","All","ONS 5+2","K02000001","8","59,881"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","All","ONS 5+2","K02000001","8","59,881"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","All","ONS 5+2","K02000001","7","59,881"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","All","ONS 5+2","K02000001","2","59,881"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","All","ONS 5+2","K02000001","64","59,881"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","~","337"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","~","337"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","11","337"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","7","337"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","3","337"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","9","337"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","2","337"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","3","337"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Any other Asian background","ONS 5+2","K02000001","65","337"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","1","2,252"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","1","2,252"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","7","2,252"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","6","2,252"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","2","2,252"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","9","2,252"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","2","2,252"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","4","2,252"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Asian/ Asian British","ONS 5+2","K02000001","68","2,252"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","221"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","221"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","6","221"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","14","221"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","2","221"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","6","221"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","3","221"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","9","221"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","58","221"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,323"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,323"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,323"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","12","1,323"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,323"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,323"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,323"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,323"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","65","1,323"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Chinese","ONS 5+2","K02000001","~","198"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","198"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Chinese","ONS 5+2","K02000001","19","198"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Chinese","ONS 5+2","K02000001","2","198"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Chinese","ONS 5+2","K02000001","2","198"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Chinese","ONS 5+2","K02000001","4","198"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","198"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","198"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Chinese","ONS 5+2","K02000001","70","198"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","980"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","980"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Indian","ONS 5+2","K02000001","3","980"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Indian","ONS 5+2","K02000001","4","980"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Indian","ONS 5+2","K02000001","2","980"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Indian","ONS 5+2","K02000001","11","980"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Indian","ONS 5+2","K02000001","3","980"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","980"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Indian","ONS 5+2","K02000001","74","980"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","433"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","433"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","433"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","433"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","433"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","433"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","433"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","433"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","68","433"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","1","473"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","2","473"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","9","473"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","10","473"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","4","473"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","7","473"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","3","473"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","3","473"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Other ethnic group","ONS 5+2","K02000001","62","473"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","2","516"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","~","516"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","6","516"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","10","516"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","1","516"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","11","516"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","2","516"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","9","516"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","59","516"
"Gross household income by ethnic group of the head of the household","Disability benefits","2012/13-2014/15","White","ONS 5+2","K02000001","1","55,400"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White","ONS 5+2","K02000001","2","55,400"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White","ONS 5+2","K02000001","3","55,400"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White","ONS 5+2","K02000001","5","55,400"
"Gross household income by ethnic group of the head of the household","Private pensions","2012/13-2014/15","White","ONS 5+2","K02000001","9","55,400"
"Gross household income by ethnic group of the head of the household","Self-employed income","2012/13-2014/15","White","ONS 5+2","K02000001","8","55,400"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2012/13-2014/15","White","ONS 5+2","K02000001","7","55,400"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White","ONS 5+2","K02000001","2","55,400"
