"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","24","%","57098","234990",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","33","%","74225","224156",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","29","%","121015","416325",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","25","%","52646","213087",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","34","%","68369","203238",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","4","%","92","2172",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","3","%","33","1077",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","5","%","59","1095",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","39","%","662","1691",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","33","%","285","852",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","45","%","377","839",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","7","%","33","474",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","7","%","19","254",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","6","%","14","220",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","25","%","9521","38484",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","21","%","4115","19720",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","29","%","5406","18764",""
"Average scaled score in key stage 2 reading by ethnicity","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","62801773","597836",""
"Average scaled score in key stage 2 reading by ethnicity","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","31504476","302346",""
"Average scaled score in key stage 2 reading by ethnicity","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","31297297","295490",""
"Average scaled score in key stage 2 reading by ethnicity","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","6890496","65673",""
"Average scaled score in key stage 2 reading by ethnicity","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","3480425","33399",""
"Average scaled score in key stage 2 reading by ethnicity","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","3410071","32274",""
"Average scaled score in key stage 2 reading by ethnicity","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","106","Numeric","1159891","10990",""
"Average scaled score in key stage 2 reading by ethnicity","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","105","Numeric","590358","5633",""
"Average scaled score in key stage 2 reading by ethnicity","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","569533","5357",""
"Average scaled score in key stage 2 reading by ethnicity","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","1110702","10590",""
"Average scaled score in key stage 2 reading by ethnicity","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","558725","5363",""
"Average scaled score in key stage 2 reading by ethnicity","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","551977","5227",""
"Average scaled score in key stage 2 reading by ethnicity","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","3746515","35847",""
"Average scaled score in key stage 2 reading by ethnicity","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","1839297","17758",""
"Average scaled score in key stage 2 reading by ethnicity","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","1907218","18089",""
"Average scaled score in key stage 2 reading by ethnicity","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","2536480","24186",""
"Average scaled score in key stage 2 reading by ethnicity","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","1239491","11917",""
"Average scaled score in key stage 2 reading by ethnicity","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","1296989","12269",""
"Average scaled score in key stage 2 reading by ethnicity","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","103","Numeric","717730","6935",""
"Average scaled score in key stage 2 reading by ethnicity","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","102","Numeric","353828","3458",""
"Average scaled score in key stage 2 reading by ethnicity","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","363902","3477",""
"Average scaled score in key stage 2 reading by ethnicity","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","492305","4726",""
"Average scaled score in key stage 2 reading by ethnicity","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","245978","2383",""
"Average scaled score in key stage 2 reading by ethnicity","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","246327","2343",""
"Average scaled score in key stage 2 reading by ethnicity","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","108","Numeric","266086","2470",""
"Average scaled score in key stage 2 reading by ethnicity","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","107","Numeric","129160","1209",""
"Average scaled score in key stage 2 reading by ethnicity","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","109","Numeric","136926","1261",""
"Average scaled score in key stage 2 reading by ethnicity","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","107","Numeric","1887553","17709",""
"Average scaled score in key stage 2 reading by ethnicity","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","106","Numeric","959674","9069",""
"Average scaled score in key stage 2 reading by ethnicity","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","107","Numeric","927879","8640",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","106","Numeric","3620009","34296",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","105","Numeric","1803724","17239",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","1816285","17057",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","106","Numeric","1310650","12377",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","105","Numeric","661943","6304",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","107","Numeric","648707","6073",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","107","Numeric","862886","8090",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","106","Numeric","429362","4060",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","108","Numeric","433524","4030",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","488905","4638",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","105","Numeric","247104","2364",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","241801","2274",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","957568","9191",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","465315","4511",""
"Average scaled score in key stage 2 reading by ethnicity","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","492253","4680",""
"Average scaled score in key stage 2 reading by ethnicity","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","1134962","10940",""
"Average scaled score in key stage 2 reading by ethnicity","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","574965","5582",""
"Average scaled score in key stage 2 reading by ethnicity","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","559997","5358",""
"Average scaled score in key stage 2 reading by ethnicity","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","2732350","26384",""
"Average scaled score in key stage 2 reading by ethnicity","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","1371668","13334",""
"Average scaled score in key stage 2 reading by ethnicity","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","104","Numeric","1360682","13050",""
"Average scaled score in key stage 2 reading by ethnicity","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","490662","4702",""
"Average scaled score in key stage 2 reading by ethnicity","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","244718","2365",""
"Average scaled score in key stage 2 reading by ethnicity","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","245944","2337",""
"Average scaled score in key stage 2 reading by ethnicity","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","46653043","443908",""
"Average scaled score in key stage 2 reading by ethnicity","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","23432187","224794",""
"Average scaled score in key stage 2 reading by ethnicity","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","23220856","219114",""
"Average scaled score in key stage 2 reading by ethnicity","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","105","Numeric","42481588","403665",""
"Average scaled score in key stage 2 reading by ethnicity","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","104","Numeric","21340779","204453",""
"Average scaled score in key stage 2 reading by ethnicity","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","106","Numeric","21140809","199212",""
"Average scaled score in key stage 2 reading by ethnicity","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","95","Numeric","166652","1752",""
"Average scaled score in key stage 2 reading by ethnicity","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","94","Numeric","77259","818",""
"Average scaled score in key stage 2 reading by ethnicity","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","96","Numeric","89393","934",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","107","Numeric","174530","1630",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","106","Numeric","86104","813",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","108","Numeric","88426","817",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","98","Numeric","37812","386",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","98","Numeric","19637","201",""
"Average scaled score in key stage 2 reading by ethnicity","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","98","Numeric","18175","185",""
"Average scaled score in key stage 2 reading by ethnicity","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","104","Numeric","3792461","36475",""
"Average scaled score in key stage 2 reading by ethnicity","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","103","Numeric","1908408","18509",""
"Average scaled score in key stage 2 reading by ethnicity","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","105","Numeric","1884053","17966",""
