"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Aintree University Hospital NHS Foundation Trust","REM","All","White & Other","North","Grouped region","Acute","82","%","954","1166"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Aintree University Hospital NHS Foundation Trust","REM","Other","White & Other","North","Grouped region","Acute Trust","80","%","65","81"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Aintree University Hospital NHS Foundation Trust","REM","White","White & Other","North","Grouped region","Acute Trust","82","%","1133","1375"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Aintree University Hospital NHS Foundation Trust","REM","All","White & Other","North","Grouped region","Acute Trust","82","%","1198","1456"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute","81","%","13","16"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute","86","%","391","457"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","All","White & Other","North","Grouped region","Acute","85","%","404","473"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North","Grouped region","Acute Trust","96","%","22","23"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North","Grouped region","Acute Trust","89","%","409","461"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","All","White & Other","North","Grouped region","Acute Trust","89","%","431","484"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute","78","%","32","41"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute","88","%","449","508"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Liverpool Women's NHS Foundation Trust","REP","All","White & Other","North","Grouped region","Acute","88","%","481","549"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North","Grouped region","Acute Trust","89","%","34","38"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North","Grouped region","Acute Trust","90","%","485","537"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Liverpool Women's NHS Foundation Trust","REP","All","White & Other","North","Grouped region","Acute Trust","90","%","519","575"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute","92","%","33","36"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute","93","%","453","488"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Walton Centre NHS Foundation Trust","RET","All","White & Other","North","Grouped region","Acute","93","%","486","524"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North","Grouped region","Acute Trust","71","%","15","21"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North","Grouped region","Acute Trust","90","%","352","390"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Walton Centre NHS Foundation Trust","RET","All","White & Other","North","Grouped region","Acute Trust","89","%","367","411"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute","62","%","356","576"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute","75","%","784","1047"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","All","White & Other","London","Grouped region","Acute","70","%","1140","1623"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute Trust","68","%","411","604"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute Trust","81","%","932","1150"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","All","White & Other","London","Grouped region","Acute Trust","77","%","1343","1754"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute","73","%","33","45"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute","86","%","771","893"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barnsley Hospital NHS Foundation Trust","RFF","All","White & Other","North","Grouped region","Acute","86","%","804","938"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute Trust","84","%","42","50"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute Trust","84","%","709","840"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barnsley Hospital NHS Foundation Trust","RFF","All","White & Other","North","Grouped region","Acute Trust","84","%","751","890"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute","76","%","42","55"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute","84","%","760","904"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","The Rotherham NHS Foundation Trust","RFR","All","White & Other","North","Grouped region","Acute","84","%","802","959"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North","Grouped region","Acute Trust","70","%","44","63"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North","Grouped region","Acute Trust","85","%","858","1007"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Rotherham NHS Foundation Trust","RFR","All","White & Other","North","Grouped region","Acute Trust","84","%","902","1070"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped region","Acute","80","%","66","83"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped region","Acute","90","%","1596","1764"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Chesterfield Royal Hospital NHS Foundation Trust","RFS","All","White & Other","Midlands","Grouped region","Acute","90","%","1662","1847"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped region","Acute Trust","79","%","57","72"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped region","Acute Trust","89","%","1384","1551"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Chesterfield Royal Hospital NHS Foundation Trust","RFS","All","White & Other","Midlands","Grouped region","Acute Trust","89","%","1441","1623"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health","72","%","69","96"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health","88","%","726","827"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Leeds and York Partnership NHS Foundation Trust","RGD","All","White & Other","North","Grouped region","Mental Health","86","%","795","923"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North","Grouped region","Mental Health Trust","81","%","87","107"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North","Grouped region","Mental Health Trust","88","%","684","780"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Leeds and York Partnership NHS Foundation Trust","RGD","All","White & Other","North","Grouped region","Mental Health Trust","87","%","771","887"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands","Grouped region","Acute Trust","74","%","35","47"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands","Grouped region","Acute Trust","92","%","321","348"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Papworth Hospital NHS Foundation Trust","RGM","All","White & Other","Midlands","Grouped region","Acute Trust","90","%","356","395"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","Midlands","Grouped region","Acute","73","%","58","80"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","Midlands","Grouped region","Acute","87","%","467","538"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Papworth Hospital NHS Foundation Trust","RGM","All","White & Other","Midlands","Grouped region","Acute","85","%","525","618"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands","Grouped region","Acute","72","%","163","227"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands","Grouped region","Acute","87","%","1046","1204"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","North West Anglia NHS Foundation Trust","RGN","All","White & Other","Midlands","Grouped region","Acute","84","%","1209","1431"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","Midlands","Grouped region","Acute Trust","82","%","32","39"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Anglia NHS Foundation Trust","RGN","White","White & Other","Midlands","Grouped region","Acute Trust","88","%","236","268"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","North West Anglia NHS Foundation Trust","RGN","All","White & Other","Midlands","Grouped region","Acute Trust","87","%","268","307"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands","Grouped region","Acute","84","%","21","25"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands","Grouped region","Acute","92","%","280","305"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","James Paget University Hospitals NHS Foundation Trust","RGP","All","White & Other","Midlands","Grouped region","Acute","91","%","301","330"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","Midlands","Grouped region","Acute Trust","83","%","35","42"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","Midlands","Grouped region","Acute Trust","89","%","312","349"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","James Paget University Hospitals NHS Foundation Trust","RGP","All","White & Other","Midlands","Grouped region","Acute Trust","89","%","347","391"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Ipswich Hospital NHS Trust","RGQ","Other","White & Other","Midlands","Grouped region","Acute Trust","82","%","86","105"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Ipswich Hospital NHS Trust","RGQ","White","White & Other","Midlands","Grouped region","Acute Trust","88","%","973","1107"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","The Ipswich Hospital NHS Trust","RGQ","All","White & Other","Midlands","Grouped region","Acute Trust","87","%","1059","1212"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands","Grouped region","Acute","79","%","22","28"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands","Grouped region","Acute","90","%","333","370"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","West Suffolk NHS Foundation Trust","RGR","All","White & Other","Midlands","Grouped region","Acute","89","%","355","398"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands","Grouped region","Acute Trust","82","%","27","33"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands","Grouped region","Acute Trust","89","%","334","376"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","West Suffolk NHS Foundation Trust","RGR","All","White & Other","Midlands","Grouped region","Acute Trust","88","%","361","409"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands","Grouped region","Acute","70","%","507","729"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands","Grouped region","Acute","87","%","2311","2657"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cambridge University Hospitals NHS Foundation Trust","RGT","All","White & Other","Midlands","Grouped region","Acute","83","%","2818","3386"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands","Grouped region","Acute Trust","70","%","345","491"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands","Grouped region","Acute Trust","86","%","2278","2646"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cambridge University Hospitals NHS Foundation Trust","RGT","All","White & Other","Midlands","Grouped region","Acute Trust","84","%","2623","3137"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health","76","%","13","17"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health","90","%","853","948"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Somerset Partnership NHS Foundation Trust","RH5","All","White & Other","South","Grouped region","Mental Health","90","%","866","965"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental Health Trust","88","%","21","24"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental Health Trust","91","%","806","889"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Somerset Partnership NHS Foundation Trust","RH5","All","White & Other","South","Grouped region","Mental Health Trust","91","%","827","913"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute","74","%","92","125"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute","91","%","2419","2667"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Devon and Exeter NHS Foundation Trust","RH8","All","White & Other","South","Grouped region","Acute","90","%","2511","2792"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute Trust","67","%","83","124"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute Trust","90","%","2326","2578"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Devon and Exeter NHS Foundation Trust","RH8","All","White & Other","South","Grouped region","Acute Trust","89","%","2409","2702"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped region","Mental Health","65","%","100","154"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped region","Mental Health","85","%","1655","1937"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Nottinghamshire Healthcare NHS Foundation Trust","RHA","All","White & Other","Midlands","Grouped region","Mental Health","84","%","1755","2091"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped region","Mental Health Trust","70","%","131","186"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped region","Mental Health Trust","87","%","2119","2428"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Nottinghamshire Healthcare NHS Foundation Trust","RHA","All","White & Other","Midlands","Grouped region","Mental Health Trust","86","%","2250","2614"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute","75","%","284","381"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute","91","%","2522","2780"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospital Southampton NHS Foundation Trust","RHM","All","White & Other","South","Grouped region","Acute","89","%","2806","3161"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute Trust","78","%","352","451"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute Trust","90","%","2616","2917"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospital Southampton NHS Foundation Trust","RHM","All","White & Other","South","Grouped region","Acute Trust","88","%","2968","3368"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute","71","%","374","525"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute","90","%","4068","4529"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","All","White & Other","North","Grouped region","Acute","88","%","4442","5054"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute Trust","75","%","362","484"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute Trust","90","%","4158","4623"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","All","White & Other","North","Grouped region","Acute Trust","89","%","4520","5107"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute","75","%","196","263"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute","89","%","2245","2510"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Portsmouth Hospitals NHS Trust","RHU","All","White & Other","South","Grouped region","Acute","88","%","2441","2773"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute Trust","74","%","201","272"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute Trust","91","%","2515","2779"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Portsmouth Hospitals NHS Trust","RHU","All","White & Other","South","Grouped region","Acute Trust","89","%","2716","3051"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute","68","%","257","379"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute","88","%","965","1100"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Berkshire NHS Foundation Trust","RHW","All","White & Other","South","Grouped region","Acute","83","%","1222","1479"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute Trust","68","%","209","308"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute Trust","88","%","982","1121"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Berkshire NHS Foundation Trust","RHW","All","White & Other","South","Grouped region","Acute Trust","83","%","1191","1429"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute","67","%","1020","1522"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute","88","%","2388","2717"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Guy's and St Thomas' NHS Foundation Trust","RJ1","All","White & Other","London","Grouped region","Acute","80","%","3408","4239"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute Trust","70","%","916","1301"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute Trust","89","%","2068","2330"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Guy's and St Thomas' NHS Foundation Trust","RJ1","All","White & Other","London","Grouped region","Acute Trust","82","%","2984","3631"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute","62","%","288","463"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute","85","%","672","788"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Lewisham and Greenwich NHS Trust","RJ2","All","White & Other","London","Grouped region","Acute","77","%","960","1251"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute Trust","66","%","263","400"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute Trust","84","%","591","707"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Lewisham and Greenwich NHS Trust","RJ2","All","White & Other","London","Grouped region","Acute Trust","77","%","854","1107"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute","63","%","150","239"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute","79","%","236","297"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Croydon Health Services NHS Trust","RJ6","All","White & Other","London","Grouped region","Acute","72","%","386","536"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute Trust","63","%","222","353"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute Trust","84","%","419","498"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Croydon Health Services NHS Trust","RJ6","All","White & Other","London","Grouped region","Acute Trust","75","%","641","851"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute","60","%","637","1068"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute","82","%","1366","1670"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","St George's University Hospitals NHS Foundation Trust","RJ7","All","White & Other","London","Grouped region","Acute","73","%","2003","2738"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute Trust","63","%","658","1047"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute Trust","83","%","1438","1735"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","St George's University Hospitals NHS Foundation Trust","RJ7","All","White & Other","London","Grouped region","Acute Trust","75","%","2096","2782"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health","72","%","13","18"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health","87","%","602","691"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Cornwall Partnership NHS Foundation Trust","RJ8","All","White & Other","South","Grouped region","Mental Health","87","%","615","709"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health Trust","87","%","13","15"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health Trust","90","%","724","807"
