"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","1223","1176","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","72800","66712","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","13247","12783","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","4319","3790","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","17","28168","24573","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","17163","15366","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","256","418800","373984","85373","84121","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","870","80873","68229","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","512","407","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","52","4805","3912","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","264","24506","20943","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","195","18126","16167","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","24","2184","1607","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","33","3091","2452","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","473","344","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","19","1810","1448","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","603","521","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","262","24314","20104","4844","4383","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","836","34030","29753","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","151","6164","5557","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","221","9003","7846","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","120","4886","4451","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","25","1024","872","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","55","2237","1890","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","1232","1037","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","206","8369","7142","2122","1990","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","943","24146","21226","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","15","379","303","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","65","1664","1426","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","184","4710","3969","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","262","6700","6306","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","17","438","357","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","60","1543","1332","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","20","520","438","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","299","7647","6624","1336","1256","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","863","16617","13664","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","89","1714","1409","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","197","3798","3270","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","2610","2423","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","50","964","706","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","42","805","644","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","28","535","421","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","284","5465","4218","1004","888","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","All modes","1048","1528302","1416697","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","24830","22595","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Bus in London","13","18225","15266","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Car / van driver","438","638125","596354","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","230","335517","321341","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","London Underground","8","11324","8621","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","5578","4821","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","1084","1057","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other local bus","45","65103","60374","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","12353","12052","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other public transport","3","3681","3292","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Surface Rail","16","24030","21185","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","11","15730","14134","76000","75534","               "
"Average trips per year by main mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Walk","256","372720","335605","76000","75534","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","1012","1642071","1519022","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","26204","23651","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","21","34126","29714","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","409","664126","621114","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","220","357837","343471","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","16019","12617","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5391","4649","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","1128","1083","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","71996","65894","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","12721","12462","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","4034","3552","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","18","29001","25526","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","16394","14738","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","248","403094","360551","84634","83718","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","859","83400","70880","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","542","448","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","55","5375","4567","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","263","25565","21894","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","191","18583","16692","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","23","2272","1741","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","33","3204","2524","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","534","412","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","22","2170","1772","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","639","551","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","249","24155","20001","5060","4625","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","828","36249","32256","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","162","7109","6465","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","206","9029","7965","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","121","5278","4877","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","1185","1010","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","49","2157","1890","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","1303","1141","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","366","309","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","206","9018","7907","2283","2167","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","930","24656","21740","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","66","1737","1530","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","179","4740","3996","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","252","6688","6375","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","16","415","338","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","57","1504","1261","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","23","611","512","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","302","8004","6907","1382","1307","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","865","16465","13781","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","21","394","303","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","91","1740","1395","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","212","4030","3550","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","136","2596","2452","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","46","872","650","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","39","746","595","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","25","473","379","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","277","5283","4186","993","895","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","All modes","1031","1479878","1378987","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","24574","22352","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Bus in London","13","18160","15750","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Car / van driver","432","620239","583183","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","226","324362","312744","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","London Underground","8","11260","8868","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","5219","4516","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","975","954","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other local bus","45","64364","59602","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other private transport","8","11748","11642","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","3427","3061","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Surface Rail","17","24402","21678","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","14865","13427","74843","74649","               "
"Average trips per year by main mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Walk","248","356284","321210","74843","74649","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","993","1588306","1475712","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","25470","23005","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","22","34478","30203","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","401","642110","603984","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","217","347221","335146","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","15603","12447","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","5411","4658","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","1080","1021","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","69639","64128","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","12259","12141","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","2","3655","3304","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","18","28757","25409","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","16077","14605","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","242","386545","345661","83421","82800","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","836","82554","69981","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","552","444","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","57","5583","4685","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","254","25109","21431","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","181","17923","16116","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","2088","1618","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","35","3462","2734","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","498","391","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","Suppressed"
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","2423","1987","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","614","523","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","242","23931","19776","5151","4717","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","826","38298","34337","2416","2316","               "
"Average trips per year by main mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","Suppressed"
