"Measure","Ethnicity","Ethnicity_Type","Time","Time_type","Geography"," Count ","Value","Value_type"
"Percentage of children leaving care who were adopted","Other","ONS 5+1","2015","year to 31st March","England","N/A","5","%"
"Percentage of children leaving care who were adopted","Unknown","ONS 5+1","2015","year to 31st March","England","N/A","24","%"
"Percentage of children leaving care who were adopted","White","ONS 5+1","2015","year to 31st March","England","N/A","20","%"
"Percentage of children leaving care who were adopted","All","ONS 5+1","2016","year to 31st March","England","N/A","15","%"
"Percentage of children leaving care who were adopted","Asian","ONS 5+1","2016","year to 31st March","England","N/A","4","%"
"Percentage of children leaving care who were adopted","Black","ONS 5+1","2016","year to 31st March","England","N/A","4","%"
"Percentage of children leaving care who were adopted","Mixed","ONS 5+1","2016","year to 31st March","England","N/A","18","%"
"Percentage of children leaving care who were adopted","Other","ONS 5+1","2016","year to 31st March","England","N/A","4","%"
"Percentage of children leaving care who were adopted","Unknown","ONS 5+1","2016","year to 31st March","England","N/A","21","%"
"Percentage of children leaving care who were adopted","White","ONS 5+1","2016","year to 31st March","England","N/A","17","%"
"Percentage of children leaving care who were adopted","All","ONS 5+1","2017","year to 31st March","England","N/A","14","%"
"Percentage of children leaving care who were adopted","Asian","ONS 5+1","2017","year to 31st March","England","N/A","3","%"
"Percentage of children leaving care who were adopted","Black","ONS 5+1","2017","year to 31st March","England","N/A","3","%"
"Percentage of children leaving care who were adopted","Mixed","ONS 5+1","2017","year to 31st March","England","N/A","17","%"
"Percentage of children leaving care who were adopted","Other","ONS 5+1","2017","year to 31st March","England","N/A","2","%"
"Percentage of children leaving care who were adopted","Unknown","ONS 5+1","2017","year to 31st March","England","N/A","19","%"
"Percentage of children leaving care who were adopted","White","ONS 5+1","2017","year to 31st March","England","N/A","17","%"
"Percentage of children leaving care who were adopted","All","ONS 5+1","2018","year to 31st March","England","N/A","13","%"
"Percentage of children leaving care who were adopted","Asian","ONS 5+1","2018","year to 31st March","England","N/A","2","%"
"Percentage of children leaving care who were adopted","Black","ONS 5+1","2018","year to 31st March","England","N/A","2","%"
"Percentage of children leaving care who were adopted","Mixed","ONS 5+1","2018","year to 31st March","England","N/A","15","%"
"Percentage of children leaving care who were adopted","Other","ONS 5+1","2018","year to 31st March","England","N/A","3","%"
"Percentage of children leaving care who were adopted","Unknown","ONS 5+1","2018","year to 31st March","England","N/A","20","%"
"Percentage of children leaving care who were adopted","White","ONS 5+1","2018","year to 31st March","England","N/A","16","%"
"Percentage of children leaving care who were adopted","All","ONS 5+1","2019","year to 31st March","England","N/A","12","%"
"Percentage of children leaving care who were adopted","Asian","ONS 5+1","2019","year to 31st March","England","N/A","3","%"
"Percentage of children leaving care who were adopted","Black","ONS 5+1","2019","year to 31st March","England","N/A","2","%"
"Percentage of children leaving care who were adopted","Mixed","ONS 5+1","2019","year to 31st March","England","N/A","15","%"
"Percentage of children leaving care who were adopted","Other","ONS 5+1","2019","year to 31st March","England","N/A","2","%"
"Percentage of children leaving care who were adopted","Unknown","ONS 5+1","2019","year to 31st March","England","N/A","20","%"
"Percentage of children leaving care who were adopted","White","ONS 5+1","2019","year to 31st March","England","N/A","15","%"
