"Measure","Time","Time_type","Ethnicity","Industry","SIC","Value","Value_type","Denominator","Numerator","CI"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Black","O-Q: Other services","SIC 92","6.1","%","623500","38000","6.4"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Black","Workplace outside UK","SIC 92","-","%","623500","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","A-B: Agriculture & fishing","SIC 92","-","%","639000","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","C,E: Energy & water","SIC 92","1.3","%","639000","8300","6.3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","D: Manufacturing","SIC 92","10.5","%","639000","66900","5.3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","F: Construction","SIC 92","3.6","%","639000","23300","6.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","G-H: Distribution, hotels & restaurants","SIC 92","22.2","%","639000","142100","5.3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","I: Transport & communication","SIC 92","9.7","%","639000","62300","5.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","J-K: Banking, finance & insurance etc","SIC 92","22.8","%","639000","145900","5.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","L-N: Public admin, educ & health","SIC 92","26.6","%","639000","170100","4.9"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","O-Q: Other services","SIC 92","3.1","%","639000","19600","6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Indian","Workplace outside UK","SIC 92","-","%","639000","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","A-B: Agriculture & fishing","SIC 92","0.5","%","195000","900","8.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","C,E: Energy & water","SIC 92","0.9","%","195000","1700","8.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","D: Manufacturing","SIC 92","7.7","%","195000","15000","8.4"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","F: Construction","SIC 92","4.4","%","195000","8600","9.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","G-H: Distribution, hotels & restaurants","SIC 92","24","%","195000","46700","8.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","I: Transport & communication","SIC 92","5.3","%","195000","10400","8.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","J-K: Banking, finance & insurance etc","SIC 92","20.4","%","195000","39800","8.4"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","L-N: Public admin, educ & health","SIC 92","27.2","%","195000","53100","7.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","O-Q: Other services","SIC 92","9.6","%","195000","18700","9.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Mixed","Workplace outside UK","SIC 92","-","%","195000","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","A-B: Agriculture & fishing","SIC 92","-","%","373900","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","C,E: Energy & water","SIC 92","0.9","%","373900","3200","7.3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","D: Manufacturing","SIC 92","8.5","%","373900","31600","7.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","F: Construction","SIC 92","1.3","%","373900","5000","8.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","G-H: Distribution, hotels & restaurants","SIC 92","32.3","%","373900","120700","6.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","I: Transport & communication","SIC 92","7.2","%","373900","26800","7.9"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","J-K: Banking, finance & insurance etc","SIC 92","17.1","%","373900","63800","7.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","L-N: Public admin, educ & health","SIC 92","28.2","%","373900","105300","6.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","O-Q: Other services","SIC 92","4.6","%","373900","17100","7.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other Asian","Workplace outside UK","SIC 92","-","%","373900","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","A-B: Agriculture & fishing","SIC 92","0.2","%","401100","1000","6.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","C,E: Energy & water","SIC 92","0.9","%","401100","3700","6.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","D: Manufacturing","SIC 92","9.2","%","401100","37000","6.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","F: Construction","SIC 92","4.4","%","401100","17700","7.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","G-H: Distribution, hotels & restaurants","SIC 92","24.8","%","401100","99400","6.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","I: Transport & communication","SIC 92","7.8","%","401100","31400","7.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","J-K: Banking, finance & insurance etc","SIC 92","20","%","401100","80300","7.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","L-N: Public admin, educ & health","SIC 92","25.8","%","401100","103600","6.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","O-Q: Other services","SIC 92","6.7","%","401100","27000","7.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Other","Workplace outside UK","SIC 92","-","%","401100","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","A-B: Agriculture & fishing","SIC 92","-","%","396500","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","C,E: Energy & water","SIC 92","0.3","%","396500","1300","8.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","D: Manufacturing","SIC 92","9.8","%","396500","38900","7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","F: Construction","SIC 92","1.9","%","396500","7700","8.1"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","G-H: Distribution, hotels & restaurants","SIC 92","32.2","%","396500","127700","6.2"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","I: Transport & communication","SIC 92","17.1","%","396500","67700","6.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","J-K: Banking, finance & insurance etc","SIC 92","16.1","%","396500","63800","7.3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","L-N: Public admin, educ & health","SIC 92","19.8","%","396500","78700","6.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","O-Q: Other services","SIC 92","2.6","%","396500","10300","7.5"
"Proportion of ethnic group who are employed, split by industry","2008","Year","Pakistani/ Bangladehsi","Workplace outside UK","SIC 92","-","%","396500","-","-"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","A-B: Agriculture & fishing","SIC 92","1.5","%","25898100","399700","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","C,E: Energy & water","SIC 92","1.2","%","25898100","312500","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","D: Manufacturing","SIC 92","12.5","%","25898100","3228100","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","F: Construction","SIC 92","8.6","%","25898100","2225300","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","G-H: Distribution, hotels & restaurants","SIC 92","18.5","%","25898100","4782100","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","I: Transport & communication","SIC 92","6.6","%","25898100","1704900","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","J-K: Banking, finance & insurance etc","SIC 92","16.2","%","25898100","4191500","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","L-N: Public admin, educ & health","SIC 92","28.6","%","25898100","7402200","0.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","O-Q: Other services","SIC 92","6.4","%","25898100","1647400","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White","Workplace outside UK","SIC 92","0","%","25898100","4400","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","A-B: Agriculture & fishing","SIC 92","1.5","%","24075900","368400","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","C,E: Energy & water","SIC 92","1.2","%","24075900","293900","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","D: Manufacturing","SIC 92","12.4","%","24075900","2975800","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","F: Construction","SIC 92","8.6","%","24075900","2058500","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","G-H: Distribution, hotels & restaurants","SIC 92","18.4","%","24075900","4425300","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","I: Transport & communication","SIC 92","6.6","%","24075900","1589900","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","J-K: Banking, finance & insurance etc","SIC 92","15.9","%","24075900","3834100","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","L-N: Public admin, educ & health","SIC 92","29.1","%","24075900","6999300","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","O-Q: Other services","SIC 92","6.3","%","24075900","1526900","0.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White British","Workplace outside UK","SIC 92","0","%","24075900","3800","0.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","A-B: Agriculture & fishing","SIC 92","1.7","%","1822200","31200","3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","C,E: Energy & water","SIC 92","1","%","1822200","18700","3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","D: Manufacturing","SIC 92","13.8","%","1822200","252300","2.8"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","F: Construction","SIC 92","9.1","%","1822200","166700","3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","G-H: Distribution, hotels & restaurants","SIC 92","19.6","%","1822200","356700","2.7"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","I: Transport & communication","SIC 92","6.3","%","1822200","115000","3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","J-K: Banking, finance & insurance etc","SIC 92","19.6","%","1822200","357500","2.9"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","L-N: Public admin, educ & health","SIC 92","22.1","%","1822200","402900","2.6"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","O-Q: Other services","SIC 92","6.6","%","1822200","120500","3"
"Proportion of ethnic group who are employed, split by industry","2008","Year","White Other","Workplace outside UK","SIC 92","-","%","1822200","-","-"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Agriculture, forestry and fishing","SIC 07","1.1","%","28051300","298700","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Energy and water","SIC 07","1.7","%","28051300","470900","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Manufacturing","SIC 07","9.9","%","28051300","2768300","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Construction","SIC 07","8","%","28051300","2255400","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Distribution, hotels and restaurants","SIC 07","18.6","%","28051300","5230600","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Transport and communication","SIC 07","8.7","%","28051300","2432000","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Banking and finance","SIC 07","16.3","%","28051300","4563500","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Public admin, education and health","SIC 07","30.1","%","28051300","8445200","0.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","All","Other services","SIC 07","5.7","%","28051300","1586700","0.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Agriculture, forestry and fishing","SIC 07","0.1","%","1459000","1900","4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Energy and water","SIC 07","0.7","%","1459000","10300","3.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Manufacturing","SIC 07","7.9","%","1459000","115000","3.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Construction","SIC 07","3.1","%","1459000","45900","4.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Distribution, hotels and restaurants","SIC 07","28","%","1459000","407900","3.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Transport and communication","SIC 07","14","%","1459000","205000","3.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Banking and finance","SIC 07","16.3","%","1459000","237900","3.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Public admin, education and health","SIC 07","26.7","%","1459000","388900","3.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Asian","Other services","SIC 07","3.2","%","1459000","46300","4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Agriculture, forestry and fishing","SIC 07","-","%","615300","-","-"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Energy and water","SIC 07","1.1","%","615300","6500","6.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Manufacturing","SIC 07","5.1","%","615300","31400","6.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Construction","SIC 07","4.4","%","615300","27100","6.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Distribution, hotels and restaurants","SIC 07","16.1","%","615300","99300","6.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Transport and communication","SIC 07","9.9","%","615300","60600","6.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Banking and finance","SIC 07","15.6","%","615300","96000","6.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Public admin, education and health","SIC 07","42.7","%","615300","262500","4.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Black","Other services","SIC 07","5.1","%","615300","31400","6.3"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Agriculture, forestry and fishing","SIC 07","0.1","%","668200","900","5.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Energy and water","SIC 07","0.9","%","668200","6000","6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Manufacturing","SIC 07","9.3","%","668200","62000","5.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Construction","SIC 07","4","%","668200","26900","6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Distribution, hotels and restaurants","SIC 07","21.5","%","668200","143900","5.2"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Transport and communication","SIC 07","14.9","%","668200","99300","5.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Banking and finance","SIC 07","17.4","%","668200","116500","5.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Public admin, education and health","SIC 07","28.7","%","668200","191800","4.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Indian","Other services","SIC 07","3.1","%","668200","20900","5.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Agriculture, forestry and fishing","SIC 07","-","%","210700","-","-"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Energy and water","SIC 07","0.5","%","210700","1100","7.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Manufacturing","SIC 07","7.2","%","210700","15200","8.3"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Construction","SIC 07","5.2","%","210700","11000","8.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Distribution, hotels and restaurants","SIC 07","20.6","%","210700","43400","8.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Transport and communication","SIC 07","7.5","%","210700","15900","8.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Banking and finance","SIC 07","21.2","%","210700","44600","8.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Public admin, education and health","SIC 07","30.9","%","210700","65100","7.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Mixed","Other services","SIC 07","6.8","%","210700","14400","8.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Agriculture, forestry and fishing","SIC 07","-","%","372300","-","-"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Energy and water","SIC 07","0.6","%","372300","2400","7.3"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Manufacturing","SIC 07","7.4","%","372300","27500","7.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Construction","SIC 07","2","%","372300","7600","7.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Distribution, hotels and restaurants","SIC 07","33","%","372300","123000","6.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Transport and communication","SIC 07","8.3","%","372300","30800","8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Banking and finance","SIC 07","15.5","%","372300","57600","7.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Public admin, education and health","SIC 07","29.4","%","372300","109500","6.6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other Asian","Other services","SIC 07","3.5","%","372300","13200","7.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Agriculture, forestry and fishing","SIC 07","0.3","%","371900","1300","8.2"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Energy and water","SIC 07","0.8","%","371900","2800","7.5"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Manufacturing","SIC 07","5.6","%","371900","20700","7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Construction","SIC 07","3.2","%","371900","11800","7.6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Distribution, hotels and restaurants","SIC 07","21.5","%","371900","79900","7.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Transport and communication","SIC 07","10.6","%","371900","39400","7.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Banking and finance","SIC 07","18.6","%","371900","69200","7.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Public admin, education and health","SIC 07","32","%","371900","119000","6.4"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Other","Other services","SIC 07","7.5","%","371900","27800","7.9"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Agriculture, forestry and fishing","SIC 07","-","%","418500","-","-"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Energy and water","SIC 07","0.4","%","418500","1900","6.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Manufacturing","SIC 07","6.1","%","418500","25500","7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Construction","SIC 07","2.7","%","418500","11500","8.2"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Distribution, hotels and restaurants","SIC 07","33.7","%","418500","141000","6.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Transport and communication","SIC 07","17.9","%","418500","74800","6.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Banking and finance","SIC 07","15.3","%","418500","63800","7.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Public admin, education and health","SIC 07","20.9","%","418500","87500","6.6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","Pakistani/ Bangladehsi","Other services","SIC 07","2.9","%","418500","12100","7.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Agriculture, forestry and fishing","SIC 07","1.2","%","25394400","295100","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Energy and water","SIC 07","1.8","%","25394400","450200","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Manufacturing","SIC 07","10.2","%","25394400","2586000","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Construction","SIC 07","8.5","%","25394400","2159400","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Distribution, hotels and restaurants","SIC 07","18.1","%","25394400","4600100","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Transport and communication","SIC 07","8.3","%","25394400","2111100","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Banking and finance","SIC 07","16.2","%","25394400","4115800","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Public admin, education and health","SIC 07","30","%","25394400","7609700","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White","Other services","SIC 07","5.8","%","25394400","1466900","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Agriculture, forestry and fishing","SIC 07","1.2","%","23557000","273600","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Energy and water","SIC 07","1.8","%","23557000","423500","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Manufacturing","SIC 07","10.2","%","23557000","2392600","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Construction","SIC 07","8.5","%","23557000","1994300","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Distribution, hotels and restaurants","SIC 07","17.9","%","23557000","4222100","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Transport and communication","SIC 07","8.2","%","23557000","1940600","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Banking and finance","SIC 07","16","%","23557000","3760100","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Public admin, education and health","SIC 07","30.5","%","23557000","7188500","0.7"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White British","Other services","SIC 07","5.8","%","23557000","1361700","0.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Agriculture, forestry and fishing","SIC 07","1.2","%","1837400","21500","2.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Energy and water","SIC 07","1.5","%","1837400","26700","3"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Manufacturing","SIC 07","10.5","%","1837400","193500","2.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Construction","SIC 07","9","%","1837400","165100","3.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Distribution, hotels and restaurants","SIC 07","20.6","%","1837400","378000","2.8"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Transport and communication","SIC 07","9.3","%","1837400","170500","3.1"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Banking and finance","SIC 07","19.4","%","1837400","355700","3"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Public admin, education and health","SIC 07","22.9","%","1837400","421200","2.6"
"Proportion of ethnic group who are employed, split by industry","2009","Year","White Other","Other services","SIC 07","5.7","%","1837400","105100","3.1"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Agriculture, forestry and fishing","SIC 07","1.2","%","28098700","326700","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Energy and water","SIC 07","1.6","%","28098700","456400","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Manufacturing","SIC 07","9.9","%","28098700","2795700","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Construction","SIC 07","7.6","%","28098700","2130300","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Distribution, hotels and restaurants","SIC 07","18.6","%","28098700","5227900","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Transport and communication","SIC 07","8.5","%","28098700","2399800","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Banking and finance","SIC 07","16.1","%","28098700","4537200","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Public admin, education and health","SIC 07","30.8","%","28098700","8642200","0.4"
"Proportion of ethnic group who are employed, split by industry","2010","Year","All","Other services","SIC 07","5.6","%","28098700","1582300","0.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Agriculture, forestry and fishing","SIC 07","0.1","%","1507000","1500","3.8"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Energy and water","SIC 07","0.7","%","1507000","10400","3.6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Manufacturing","SIC 07","7.4","%","1507000","111300","3.6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Construction","SIC 07","2.9","%","1507000","43700","4.1"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Distribution, hotels and restaurants","SIC 07","29","%","1507000","436300","3.4"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Transport and communication","SIC 07","13.3","%","1507000","200900","3.7"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Banking and finance","SIC 07","16","%","1507000","240500","3.9"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Public admin, education and health","SIC 07","27.3","%","1507000","410900","3.3"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Asian","Other services","SIC 07","3.4","%","1507000","51600","3.9"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Agriculture, forestry and fishing","SIC 07","-","%","651000","-","-"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Energy and water","SIC 07","0.9","%","651000","5700","6.4"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Manufacturing","SIC 07","3.7","%","651000","24300","5.9"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Construction","SIC 07","3.3","%","651000","21200","6.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Distribution, hotels and restaurants","SIC 07","16.1","%","651000","104800","6.1"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Transport and communication","SIC 07","9","%","651000","58700","6.4"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Banking and finance","SIC 07","18","%","651000","117000","6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Public admin, education and health","SIC 07","42.5","%","651000","276500","4.8"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Black","Other services","SIC 07","6.5","%","651000","42100","6.5"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Agriculture, forestry and fishing","SIC 07","0.2","%","697800","1200","5.9"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Energy and water","SIC 07","1","%","697800","7100","5.4"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Manufacturing","SIC 07","9.3","%","697800","64800","5.3"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Construction","SIC 07","3.7","%","697800","26100","6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Distribution, hotels and restaurants","SIC 07","22.7","%","697800","158600","5.2"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Transport and communication","SIC 07","13.8","%","697800","96400","5.6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Banking and finance","SIC 07","17","%","697800","118600","5.6"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Public admin, education and health","SIC 07","29","%","697800","202100","4.8"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Indian","Other services","SIC 07","3.3","%","697800","22800","5.7"
"Proportion of ethnic group who are employed, split by industry","2010","Year","Mixed","Agriculture, forestry and fishing","SIC 07","-","%","217700","-","-"
