"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","All","ONS 5+2","K02000001","7","%","61106"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","All","ONS 5+2","K02000001","2","%","61106"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","All","ONS 5+2","K02000001","2","%","61106"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","All","ONS 5+2","K02000001","7","%","61106"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","All","ONS 5+2","K02000001","8","%","61106"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","All","ONS 5+2","K02000001","1","%","61106"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","All","ONS 5+2","K02000001","5","%","61106"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","All","ONS 5+2","K02000001","3","%","61106"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","White","ONS 5+2","K02000001","64","%","56608"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","White","ONS 5+2","K02000001","7","%","56608"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White","ONS 5+2","K02000001","2","%","56608"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White","ONS 5+2","K02000001","2","%","56608"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","White","ONS 5+2","K02000001","7","%","56608"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","White","ONS 5+2","K02000001","8","%","56608"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","White","ONS 5+2","K02000001","1","%","56608"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White","ONS 5+2","K02000001","5","%","56608"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White","ONS 5+2","K02000001","3","%","56608"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","White British","ONS 5+2","K02000001","63","%","54352"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","White British","ONS 5+2","K02000001","7","%","54352"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","54352"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","54352"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","White British","ONS 5+2","K02000001","8","%","54352"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","White British","ONS 5+2","K02000001","9","%","54352"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","54352"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White British","ONS 5+2","K02000001","5","%","54352"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","54352"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","White other","ONS 5+2","K02000001","77","%","2256"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","White other","ONS 5+2","K02000001","9","%","2256"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","White other","ONS 5+2","K02000001","1","%","2256"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","White other","ONS 5+2","K02000001","2","%","2256"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","White other","ONS 5+2","K02000001","2","%","2256"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","White other","ONS 5+2","K02000001","2","%","2256"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","White other","ONS 5+2","K02000001","-","%","2256"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","White other","ONS 5+2","K02000001","4","%","2256"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","White other","ONS 5+2","K02000001","3","%","2256"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Mixed","ONS 5+2","K02000001","66","%","426"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Mixed","ONS 5+2","K02000001","9","%","426"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Mixed","ONS 5+2","K02000001","-","%","426"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Mixed","ONS 5+2","K02000001","4","%","426"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Mixed","ONS 5+2","K02000001","2","%","426"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Mixed","ONS 5+2","K02000001","3","%","426"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Mixed","ONS 5+2","K02000001","1","%","426"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Mixed","ONS 5+2","K02000001","9","%","426"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Mixed","ONS 5+2","K02000001","5","%","426"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Asian","ONS 5+2","K02000001","69","%","2226"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Asian","ONS 5+2","K02000001","9","%","2226"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Asian","ONS 5+2","K02000001","1","%","2226"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Asian","ONS 5+2","K02000001","4","%","2226"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Asian","ONS 5+2","K02000001","3","%","2226"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Asian","ONS 5+2","K02000001","2","%","2226"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Asian","ONS 5+2","K02000001","1","%","2226"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Asian","ONS 5+2","K02000001","7","%","2226"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Asian","ONS 5+2","K02000001","6","%","2226"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Indian","ONS 5+2","K02000001","73","%","954"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Indian","ONS 5+2","K02000001","11","%","954"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","%","954"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","%","954"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","%","954"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","%","954"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","%","954"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","%","954"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Indian","ONS 5+2","K02000001","3","%","954"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","59","%","514"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","%","514"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","-","%","514"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","%","514"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","%","514"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","%","514"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","%","514"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","%","514"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","%","514"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","57","%","212"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","%","212"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","-","%","212"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","10","%","212"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","4","%","212"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","%","212"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","1","%","212"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","16","%","212"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","%","212"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Chinese","ONS 5+2","K02000001","76","%","187"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","%","187"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","187"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","187"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","187"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","187"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Chinese","ONS 5+2","K02000001","-","%","187"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Chinese","ONS 5+2","K02000001","3","%","187"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Chinese","ONS 5+2","K02000001","13","%","187"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Asian other","ONS 5+2","K02000001","70","%","359"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Asian other","ONS 5+2","K02000001","5","%","359"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Asian other","ONS 5+2","K02000001","-","%","359"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Asian other","ONS 5+2","K02000001","3","%","359"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Asian other","ONS 5+2","K02000001","2","%","359"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Asian other","ONS 5+2","K02000001","2","%","359"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Asian other","ONS 5+2","K02000001","-","%","359"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Asian other","ONS 5+2","K02000001","7","%","359"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Asian other","ONS 5+2","K02000001","10","%","359"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Black","ONS 5+2","K02000001","64","%","1322"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Black","ONS 5+2","K02000001","5","%","1322"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Black","ONS 5+2","K02000001","-","%","1322"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Black","ONS 5+2","K02000001","6","%","1322"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Black","ONS 5+2","K02000001","4","%","1322"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Black","ONS 5+2","K02000001","2","%","1322"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Black","ONS 5+2","K02000001","1","%","1322"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Black","ONS 5+2","K02000001","13","%","1322"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Black","ONS 5+2","K02000001","5","%","1322"
"Gross household income by ethnic group of the head of the household","Wages/salary","2011/12-2013/14","Other","ONS 5+2","K02000001","64","%","524"
"Gross household income by ethnic group of the head of the household","Self-employment","2011/12-2013/14","Other","ONS 5+2","K02000001","7","%","524"
"Gross household income by ethnic group of the head of the household","Investments","2011/12-2013/14","Other","ONS 5+2","K02000001","1","%","524"
"Gross household income by ethnic group of the head of the household","Tax credits","2011/12-2013/14","Other","ONS 5+2","K02000001","4","%","524"
"Gross household income by ethnic group of the head of the household","State pension","2011/12-2013/14","Other","ONS 5+2","K02000001","3","%","524"
"Gross household income by ethnic group of the head of the household","Private pension","2011/12-2013/14","Other","ONS 5+2","K02000001","5","%","524"
"Gross household income by ethnic group of the head of the household","Disability benefit","2011/12-2013/14","Other","ONS 5+2","K02000001","1","%","524"
"Gross household income by ethnic group of the head of the household","Other benefits","2011/12-2013/14","Other","ONS 5+2","K02000001","9","%","524"
"Gross household income by ethnic group of the head of the household","Other","2011/12-2013/14","Other","ONS 5+2","K02000001","7","%","524"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","All","ONS 5+2","K02000001","64","%","59881"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","All","ONS 5+2","K02000001","8","%","59881"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","All","ONS 5+2","K02000001","2","%","59881"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","All","ONS 5+2","K02000001","2","%","59881"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","All","ONS 5+2","K02000001","7","%","59881"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","All","ONS 5+2","K02000001","8","%","59881"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","All","ONS 5+2","K02000001","1","%","59881"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","All","ONS 5+2","K02000001","5","%","59881"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","All","ONS 5+2","K02000001","3","%","59881"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","White","ONS 5+2","K02000001","64","%","55400"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","White","ONS 5+2","K02000001","8","%","55400"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White","ONS 5+2","K02000001","2","%","55400"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White","ONS 5+2","K02000001","2","%","55400"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","White","ONS 5+2","K02000001","7","%","55400"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","White","ONS 5+2","K02000001","9","%","55400"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","White","ONS 5+2","K02000001","1","%","55400"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White","ONS 5+2","K02000001","5","%","55400"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White","ONS 5+2","K02000001","3","%","55400"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","White British","ONS 5+2","K02000001","63","%","53052"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","White British","ONS 5+2","K02000001","8","%","53052"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White British","ONS 5+2","K02000001","2","%","53052"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White British","ONS 5+2","K02000001","2","%","53052"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","White British","ONS 5+2","K02000001","8","%","53052"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","White British","ONS 5+2","K02000001","9","%","53052"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","White British","ONS 5+2","K02000001","1","%","53052"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White British","ONS 5+2","K02000001","5","%","53052"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White British","ONS 5+2","K02000001","3","%","53052"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","White other","ONS 5+2","K02000001","77","%","2348"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","White other","ONS 5+2","K02000001","9","%","2348"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","White other","ONS 5+2","K02000001","1","%","2348"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","White other","ONS 5+2","K02000001","2","%","2348"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","White other","ONS 5+2","K02000001","2","%","2348"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","White other","ONS 5+2","K02000001","2","%","2348"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","White other","ONS 5+2","K02000001","-","%","2348"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","White other","ONS 5+2","K02000001","4","%","2348"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","White other","ONS 5+2","K02000001","3","%","2348"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Mixed","ONS 5+2","K02000001","68","%","433"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Mixed","ONS 5+2","K02000001","9","%","433"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Mixed","ONS 5+2","K02000001","-","%","433"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Mixed","ONS 5+2","K02000001","3","%","433"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Mixed","ONS 5+2","K02000001","2","%","433"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Mixed","ONS 5+2","K02000001","3","%","433"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Mixed","ONS 5+2","K02000001","1","%","433"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Mixed","ONS 5+2","K02000001","8","%","433"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Mixed","ONS 5+2","K02000001","6","%","433"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Asian","ONS 5+2","K02000001","68","%","2252"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Asian","ONS 5+2","K02000001","9","%","2252"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Asian","ONS 5+2","K02000001","1","%","2252"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Asian","ONS 5+2","K02000001","4","%","2252"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Asian","ONS 5+2","K02000001","2","%","2252"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Asian","ONS 5+2","K02000001","2","%","2252"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Asian","ONS 5+2","K02000001","1","%","2252"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Asian","ONS 5+2","K02000001","6","%","2252"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Asian","ONS 5+2","K02000001","7","%","2252"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Indian","ONS 5+2","K02000001","74","%","980"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Indian","ONS 5+2","K02000001","11","%","980"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","%","980"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","%","980"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Indian","ONS 5+2","K02000001","3","%","980"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Indian","ONS 5+2","K02000001","2","%","980"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","%","980"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Indian","ONS 5+2","K02000001","4","%","980"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Indian","ONS 5+2","K02000001","3","%","980"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","59","%","516"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","11","%","516"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","-","%","516"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","9","%","516"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","2","%","516"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","1","%","516"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","2","%","516"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","10","%","516"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","6","%","516"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","58","%","221"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","6","%","221"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","%","221"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","9","%","221"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","3","%","221"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","1","%","221"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","14","%","221"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","6","%","221"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Chinese","ONS 5+2","K02000001","70","%","198"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Chinese","ONS 5+2","K02000001","4","%","198"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","%","198"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","%","198"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Chinese","ONS 5+2","K02000001","1","%","198"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Chinese","ONS 5+2","K02000001","2","%","198"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Chinese","ONS 5+2","K02000001","-","%","198"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Chinese","ONS 5+2","K02000001","2","%","198"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Chinese","ONS 5+2","K02000001","19","%","198"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Asian other","ONS 5+2","K02000001","65","%","337"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Asian other","ONS 5+2","K02000001","9","%","337"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Asian other","ONS 5+2","K02000001","-","%","337"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Asian other","ONS 5+2","K02000001","3","%","337"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Asian other","ONS 5+2","K02000001","2","%","337"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Asian other","ONS 5+2","K02000001","3","%","337"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Asian other","ONS 5+2","K02000001","-","%","337"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Asian other","ONS 5+2","K02000001","7","%","337"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Asian other","ONS 5+2","K02000001","11","%","337"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Black","ONS 5+2","K02000001","65","%","1323"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Black","ONS 5+2","K02000001","5","%","1323"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Black","ONS 5+2","K02000001","-","%","1323"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Black","ONS 5+2","K02000001","6","%","1323"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Black","ONS 5+2","K02000001","3","%","1323"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Black","ONS 5+2","K02000001","3","%","1323"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Black","ONS 5+2","K02000001","1","%","1323"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Black","ONS 5+2","K02000001","12","%","1323"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Black","ONS 5+2","K02000001","5","%","1323"
"Gross household income by ethnic group of the head of the household","Wages/salary","2012/13-2014/15","Other","ONS 5+2","K02000001","62","%","473"
"Gross household income by ethnic group of the head of the household","Self-employment","2012/13-2014/15","Other","ONS 5+2","K02000001","7","%","473"
"Gross household income by ethnic group of the head of the household","Investments","2012/13-2014/15","Other","ONS 5+2","K02000001","2","%","473"
"Gross household income by ethnic group of the head of the household","Tax credits","2012/13-2014/15","Other","ONS 5+2","K02000001","3","%","473"
"Gross household income by ethnic group of the head of the household","State pension","2012/13-2014/15","Other","ONS 5+2","K02000001","3","%","473"
"Gross household income by ethnic group of the head of the household","Private pension","2012/13-2014/15","Other","ONS 5+2","K02000001","4","%","473"
"Gross household income by ethnic group of the head of the household","Disability benefit","2012/13-2014/15","Other","ONS 5+2","K02000001","1","%","473"
"Gross household income by ethnic group of the head of the household","Other benefits","2012/13-2014/15","Other","ONS 5+2","K02000001","10","%","473"
"Gross household income by ethnic group of the head of the household","Other","2012/13-2014/15","Other","ONS 5+2","K02000001","9","%","473"
"Gross household income by ethnic group of the head of the household","Wages/salary","2013/14-2015/16","All","ONS 5+2","K02000001","64","%","59004"
"Gross household income by ethnic group of the head of the household","Self-employment","2013/14-2015/16","All","ONS 5+2","K02000001","8","%","59004"
"Gross household income by ethnic group of the head of the household","Investments","2013/14-2015/16","All","ONS 5+2","K02000001","2","%","59004"
"Gross household income by ethnic group of the head of the household","Tax credits","2013/14-2015/16","All","ONS 5+2","K02000001","2","%","59004"
