"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","1553","5698","27.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","235","5698","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","228","5698","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","3481","5698","61.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","201","5698","3.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","860","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","5698","5698","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","1336","5388","24.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","203","5388","3.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","233","5388","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","3459","5388","64.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","157","5388","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","775","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","5388","5388","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","271","1519","17.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","22","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","21","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1177","1519","77.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","28","1519","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","203","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1519","1519","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","277","1233","22.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","26","1233","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","33","1233","2.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","867","1233","70.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","30","1233","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","116","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as of September 2017","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","1233","1233","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","All","All","All","All","117877","1161893","10.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","All","All","All","All","68251","1161893","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","All","All","All","All","19363","1161893","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","All","All","All","All","931704","1161893","80.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","All","All","All","All","24698","1161893","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","All","All","All","All","53780","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","All","All","All","All","1161893","1161893","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","33756","107410","31.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","4529","107410","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","3368","107410","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","61360","107410","57.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","4397","107410","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","9528","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","107410","107410","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","84121","1054483","8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","63722","1054483","6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","15995","1054483","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","870344","1054483","82.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","20301","1054483","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","44252","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","1054483","1054483","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","84","1905","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","19","1905","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","13","1905","0.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1783","1905","93.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","6","1905","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","204","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1905","1905","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","52","1436","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","25","1436","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","20","1436","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1331","1436","92.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","8","1436","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","86","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1436","1436","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","148","3732","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","82","3732","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","39","3732","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3449","3732","92.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","14","3732","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","188","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3732","3732","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","365","7852","4.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","186","7852","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","92","7852","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7159","7852","91.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","50","7852","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","329","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7852","7852","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","899","15425","5.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","485","15425","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","179","15425","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","13744","15425","89.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","118","15425","0.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","562","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","15425","15425","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","2836","39687","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1469","39687","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","546","39687","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","34425","39687","86.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","411","39687","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1353","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","39687","39687","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","7593","114245","6.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","5343","114245","4.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1490","114245","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","98163","114245","85.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1656","114245","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","4011","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","114245","114245","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","15029","201176","7.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","11967","201176","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","2894","201176","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","167277","201176","83.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","4009","201176","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","7640","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 6","201176","201176","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","23780","211335","11.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","16674","211335","7.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","3541","211335","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","160557","211335","76","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","6783","211335","3.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","10067","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 5","211335","211335","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","5884","92168","6.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","4542","92168","4.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","1436","92168","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","79340","92168","86.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","966","92168","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","3331","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 4","92168","92168","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","9031","141500","6.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","8757","141500","6.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","2148","141500","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","119682","141500","84.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","1882","141500","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","5741","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 3","141500","141500","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","14044","175976","8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","11002","175976","6.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","2799","175976","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","144646","175976","82.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","3485","175976","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","7623","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 2","175976","175976","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","3193","33538","9.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","2366","33538","7.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","543","33538","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","26712","33538","79.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","724","33538","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","1678","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Non-graduate","Support (Bands 1-4)","Band 1","33538","33538","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1183","14508","8.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","805","14508","5.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","255","14508","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","12076","14508","83.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","189","14508","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","1439","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","Unspecified","Other grade","Other grade","14508","14508","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","14031","46633","30.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1346","46633","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1028","46633","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","28655","46633","61.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","1573","46633","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","2861","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Consultant (including Directors of Public Health)","46633","46633","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","890","2128","41.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","108","2128","5.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Career grade (Senior doctors)","Associate Specialist","69","2128","3.2","%"
