"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","All Pupils","All Pupils","13","%","23"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","Boys","All Pupils","23.1","%","13"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","Girls","All Pupils","0","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","All Pupils","All Pupils","14.6","%","1360"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","Boys","All Pupils","8.4","%","699"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local authority","E06000012","Girls","All Pupils","21","%","661"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","14.6","%","1680"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","11.1","%","876"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","18.4","%","804"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","14.3","%","70"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","15.4","%","39"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","12.9","%","31"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","0","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","0","%","7"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","0","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","100","%","1"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","16","%","25"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","0","%","7"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","22.2","%","18"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","All Pupils","All Pupils","14.8","%","1526"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Boys","All Pupils","11.2","%","805"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local authority","E06000013","Girls","All Pupils","18.9","%","721"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","York","Local authority","E06000014","All Pupils","All Pupils","21.2","%","1620"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","York","Local authority","E06000014","Boys","All Pupils","15.5","%","802"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","York","Local authority","E06000014","Girls","All Pupils","26.8","%","818"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","All Pupils","All Pupils","25","%","28"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Boys","All Pupils","25","%","12"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Girls","All Pupils","25","%","16"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","All Pupils","All Pupils","18.2","%","11"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Boys","All Pupils","12.5","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Girls","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","All Pupils","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Boys","All Pupils","50","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Girls","All Pupils","0","%","1"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","All Pupils","All Pupils","25","%","40"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Boys","All Pupils","23.5","%","17"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Girls","All Pupils","26.1","%","23"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","All Pupils","All Pupils","21","%","1521"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Boys","All Pupils","14.9","%","752"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","York","Local authority","E06000014","Girls","All Pupils","26.9","%","769"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Barnsley","Local authority","E08000016","All Pupils","All Pupils","8.9","%","2011"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Barnsley","Local authority","E08000016","Boys","All Pupils","5.6","%","1009"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Barnsley","Local authority","E08000016","Girls","All Pupils","12.3","%","1002"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","All Pupils","All Pupils","25","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Boys","All Pupils","0","%","4"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Girls","All Pupils","50","%","4"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","All Pupils","All Pupils","0","%","14"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Boys","All Pupils","0","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Girls","All Pupils","0","%","6"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","All Pupils","All Pupils","22.9","%","35"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Boys","All Pupils","18.8","%","16"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Girls","All Pupils","26.3","%","19"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","All Pupils","All Pupils","8.6","%","1940"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Boys","All Pupils","5.4","%","976"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Barnsley","Local authority","E08000016","Girls","All Pupils","11.8","%","964"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Doncaster","Local authority","E08000017","All Pupils","All Pupils","7.4","%","2903"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Doncaster","Local authority","E08000017","Boys","All Pupils","5.5","%","1502"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Doncaster","Local authority","E08000017","Girls","All Pupils","9.5","%","1401"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","All Pupils","All Pupils","13.7","%","95"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Boys","All Pupils","11.1","%","54"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Girls","All Pupils","17.1","%","41"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","All Pupils","All Pupils","3.7","%","27"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Boys","All Pupils","7.1","%","14"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Girls","All Pupils","0","%","13"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","All Pupils","All Pupils","20","%","5"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Boys","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Girls","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","All Pupils","All Pupils","8.8","%","68"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Boys","All Pupils","4.9","%","41"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Girls","All Pupils","14.8","%","27"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","All Pupils","All Pupils","7.1","%","2677"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Boys","All Pupils","5.3","%","1371"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Doncaster","Local authority","E08000017","Girls","All Pupils","9","%","1306"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Rotherham","Local authority","E08000018","All Pupils","All Pupils","10.7","%","3141"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Rotherham","Local authority","E08000018","Boys","All Pupils","7","%","1575"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Rotherham","Local authority","E08000018","Girls","All Pupils","14.4","%","1566"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","All Pupils","All Pupils","8.5","%","272"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Boys","All Pupils","2.9","%","140"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Girls","All Pupils","14.4","%","132"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","All Pupils","All Pupils","17.9","%","28"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Boys","All Pupils","7.7","%","13"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Girls","All Pupils","26.7","%","15"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","All Pupils","All Pupils","50","%","8"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Boys","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Girls","All Pupils","60","%","5"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","All Pupils","All Pupils","8.8","%","68"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Boys","All Pupils","5.6","%","36"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Girls","All Pupils","12.5","%","32"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","All Pupils","All Pupils","10.8","%","2739"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Boys","All Pupils","7.4","%","1368"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Rotherham","Local authority","E08000018","Girls","All Pupils","14.3","%","1371"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Sheffield","Local authority","E08000019","All Pupils","All Pupils","14","%","4993"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Sheffield","Local authority","E08000019","Boys","All Pupils","10.7","%","2566"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Sheffield","Local authority","E08000019","Girls","All Pupils","17.4","%","2427"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","All Pupils","All Pupils","12.7","%","550"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Boys","All Pupils","10.5","%","287"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Girls","All Pupils","15.2","%","263"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","All Pupils","All Pupils","7.8","%","230"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Boys","All Pupils","6.1","%","114"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Girls","All Pupils","9.5","%","116"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","All Pupils","All Pupils","47.4","%","19"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Boys","All Pupils","50","%","10"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Girls","All Pupils","44.4","%","9"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","All Pupils","All Pupils","10.9","%","294"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Boys","All Pupils","6.3","%","143"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Girls","All Pupils","15.2","%","151"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","All Pupils","All Pupils","14.5","%","3683"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Boys","All Pupils","11.1","%","1902"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","Sheffield","Local authority","E08000019","Girls","All Pupils","18","%","1781"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Bradford","Local authority","E08000032","All Pupils","All Pupils","12.6","%","5941"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Bradford","Local authority","E08000032","Boys","All Pupils","9.5","%","3012"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Bradford","Local authority","E08000032","Girls","All Pupils","15.8","%","2929"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","All Pupils","All Pupils","14.1","%","2727"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Boys","All Pupils","10.6","%","1362"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Girls","All Pupils","17.5","%","1365"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","All Pupils","All Pupils","12.5","%","104"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Boys","All Pupils","13.7","%","51"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Girls","All Pupils","11.3","%","53"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","All Pupils","All Pupils","33.3","%","3"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Boys","All Pupils","100","%","1"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Girls","All Pupils","0","%","2"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","All Pupils","All Pupils","8.2","%","244"
"Percentage achieving 9-5 in English Baccalaureate for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","Bradford","Local authority","E08000032","Boys","All Pupils","6.2","%","130"
