"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Role","Duty","value","value_type","count"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","1.5","Percent","617"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","1.6","Percent","637"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","1.6","Percent","656"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","1.6","Percent","653"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","1.2","Percent","572"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","1.2","Percent","592"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","1.3","Percent","602"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","1.3","Percent","592"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","1.4","Percent","584"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","1.4","Percent","598"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","1.5","Percent","621"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","1.6","Percent","640"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","1.7","Percent","684"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","1.9","Percent","742"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","96","Percent","47611"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","95.9","Percent","46355"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","95.8","Percent","44375"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","95.7","Percent","42473"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","95.7","Percent","39969"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","95.7","Percent","39542"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","95.6","Percent","38425"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","95.3","Percent","37887"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","95","Percent","37992"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","94.9","Percent","38068"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","0.5","Percent","237"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","0.4","Percent","206"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","0.5","Percent","214"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","0.6","Percent","261"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","0.4","Percent","173"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","0.5","Percent","188"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","0.5","Percent","193"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","0.5","Percent","196"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","0.5","Percent","210"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","0.5","Percent","214"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","N/A","Percent","4661"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","N/A","Percent","3751"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","N/A","Percent","4156"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","N/A","Percent","4380"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","N/A","Percent","5326"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","N/A","Percent","4053"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","N/A","Percent","4015"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","N/A","Percent","4220"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","N/A","Percent","4192"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","N/A","Percent","4502"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2011","Year","England","FRA","All Staff","All","N/A","Percent","54264"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2012","Year","England","FRA","All Staff","All","N/A","Percent","52071"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2013","Year","England","FRA","All Staff","All","N/A","Percent","50463"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2014","Year","England","FRA","All Staff","All","N/A","Percent","48742"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2015","Year","England","FRA","All Staff","All","N/A","Percent","47093"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2016","Year","England","FRA","All Staff","All","N/A","Percent","45393"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2017","Year","England","FRA","All Staff","All","N/A","Percent","44226"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2018","Year","England","FRA","All Staff","All","N/A","Percent","43989"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2019","Year","England","FRA","All Staff","All","N/A","Percent","44164"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","All Staff","All","N/A","Percent","44597"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","0.9","Percent","190"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","0.2","Percent","25"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","1.8","Percent","388"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","0.3","Percent","34"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","2.6","Percent","553"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","0.7","Percent","71"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","94.1","Percent","19879"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","98.5","Percent","10419"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","0.6","Percent","124"
"Fire and rescue service workforce","Other inc Chinese","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","0.2","Percent","25"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","N/A","Percent","1659"
"Fire and rescue service workforce","Unknown","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","N/A","Percent","1924"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","Full-time ('Wholetime') firefighters","N/A","Percent","22793"
"Fire and rescue service workforce","All","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","On-call ('retained') firefighters","N/A","Percent","12498"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Avon","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Bedfordshire","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Berkshire","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Buckinghamshire","FRA","Firefighters","All","0.3","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Cambridgeshire","FRA","Firefighters","All","0.3","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Cheshire","FRA","Firefighters","All","0.6","Percent","4"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Cleveland","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Cornwall","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Cumbria","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Derbyshire","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Devon and Somerset","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Dorset and Wiltshire","FRA","Firefighters","All","0.2","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Durham","FRA","Firefighters","All","0.7","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","East Sussex","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Essex","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Gloucestershire","FRA","Firefighters","All","0.6","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Greater London","FRA","Firefighters","All","1.9","Percent","88"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Greater Manchester","FRA","Firefighters","All","0.9","Percent","11"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Hampshire","FRA","Firefighters","All","0.2","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Hereford and Worcester","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Hertfordshire","FRA","Firefighters","All","0.1","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Humberside","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Isle Of Wight","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Isles of Scilly","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Kent","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Lancashire","FRA","Firefighters","All","1.2","Percent","12"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Leicestershire","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Lincolnshire","FRA","Firefighters","All","0.5","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Merseyside","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Norfolk","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","North West Fire Control","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","North Yorkshire","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Northamptonshire","FRA","Firefighters","All","0.3","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Northumberland","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Nottinghamshire","FRA","Firefighters","All","0.8","Percent","5"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Oxfordshire","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Shropshire","FRA","Firefighters","All","0.3","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","South Yorkshire","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Staffordshire","FRA","Firefighters","All","1.2","Percent","8"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Suffolk","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Surrey","FRA","Firefighters","All","0.7","Percent","4"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Tyne and Wear","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","Warwickshire","FRA","Firefighters","All","0.9","Percent","3"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","West Midlands","FRA","Firefighters","All","1.9","Percent","26"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","West Sussex","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","West Yorkshire","FRA","Firefighters","All","1.7","Percent","17"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Avon","FRA","Firefighters","All","0.5","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Bedfordshire","FRA","Firefighters","All","1.2","Percent","5"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Berkshire","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Buckinghamshire","FRA","Firefighters","All","0.6","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Cambridgeshire","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Cheshire","FRA","Firefighters","All","0.4","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Cleveland","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Cornwall","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Cumbria","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Derbyshire","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Devon and Somerset","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Dorset and Wiltshire","FRA","Firefighters","All","0.3","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Durham","FRA","Firefighters","All","0.7","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","East Sussex","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Essex","FRA","Firefighters","All","0.7","Percent","4"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Gloucestershire","FRA","Firefighters","All","0.6","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Greater London","FRA","Firefighters","All","5.3","Percent","246"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Greater Manchester","FRA","Firefighters","All","0.9","Percent","11"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Hampshire","FRA","Firefighters","All","0.2","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Hereford and Worcester","FRA","Firefighters","All","1.2","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Hertfordshire","FRA","Firefighters","All","0.4","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Humberside","FRA","Firefighters","All","0.4","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Isle Of Wight","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Isles of Scilly","FRA","Firefighters","All","2.6","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Kent","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Lancashire","FRA","Firefighters","All","0.3","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Leicestershire","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Lincolnshire","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Merseyside","FRA","Firefighters","All","1.1","Percent","9"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Norfolk","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","North West Fire Control","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","North Yorkshire","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Northamptonshire","FRA","Firefighters","All","0.3","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Northumberland","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Nottinghamshire","FRA","Firefighters","All","1.1","Percent","7"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Oxfordshire","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Shropshire","FRA","Firefighters","All","1.1","Percent","4"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","South Yorkshire","FRA","Firefighters","All","1","Percent","6"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Staffordshire","FRA","Firefighters","All","1.2","Percent","8"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Suffolk","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Surrey","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Tyne and Wear","FRA","Firefighters","All","0.2","Percent","1"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","Warwickshire","FRA","Firefighters","All","0.9","Percent","3"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","West Midlands","FRA","Firefighters","All","4.5","Percent","62"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","West Sussex","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","West Yorkshire","FRA","Firefighters","All","0.3","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Avon","FRA","Firefighters","All","0.9","Percent","6"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Bedfordshire","FRA","Firefighters","All","2.6","Percent","11"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Berkshire","FRA","Firefighters","All","1.5","Percent","7"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Buckinghamshire","FRA","Firefighters","All","2.2","Percent","7"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Cambridgeshire","FRA","Firefighters","All","2.4","Percent","9"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Cheshire","FRA","Firefighters","All","0.4","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Cleveland","FRA","Firefighters","All","0.5","Percent","2"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Cornwall","FRA","Firefighters","All","0.7","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Cumbria","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Derbyshire","FRA","Firefighters","All","0.9","Percent","6"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Devon and Somerset","FRA","Firefighters","All","0.6","Percent","9"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Dorset and Wiltshire","FRA","Firefighters","All","1.1","Percent","10"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Durham","FRA","Firefighters","All","1","Percent","4"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","East Sussex","FRA","Firefighters","All","2.5","Percent","14"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Essex","FRA","Firefighters","All","1.2","Percent","7"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Gloucestershire","FRA","Firefighters","All","1.6","Percent","5"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Greater London","FRA","Firefighters","All","4.9","Percent","227"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Greater Manchester","FRA","Firefighters","All","3","Percent","36"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Hampshire","FRA","Firefighters","All","0.5","Percent","6"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Hereford and Worcester","FRA","Firefighters","All","0.9","Percent","5"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Hertfordshire","FRA","Firefighters","All","2.2","Percent","15"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Humberside","FRA","Firefighters","All","1.3","Percent","10"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Isle Of Wight","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Isles of Scilly","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Kent","FRA","Firefighters","All","0.8","Percent","6"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Lancashire","FRA","Firefighters","All","1.2","Percent","12"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Leicestershire","FRA","Firefighters","All","2.3","Percent","12"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Lincolnshire","FRA","Firefighters","All","1.2","Percent","7"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Merseyside","FRA","Firefighters","All","3.6","Percent","30"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Norfolk","FRA","Firefighters","All","0.5","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","North West Fire Control","FRA","Firefighters","All","0","Percent","0"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","North Yorkshire","FRA","Firefighters","All","0.7","Percent","4"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Northamptonshire","FRA","Firefighters","All","1.4","Percent","4"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Northumberland","FRA","Firefighters","All","0.8","Percent","2"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Nottinghamshire","FRA","Firefighters","All","2.6","Percent","17"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Oxfordshire","FRA","Firefighters","All","0.6","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Shropshire","FRA","Firefighters","All","0.5","Percent","2"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","South Yorkshire","FRA","Firefighters","All","2.1","Percent","13"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Staffordshire","FRA","Firefighters","All","0.3","Percent","2"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Suffolk","FRA","Firefighters","All","1.9","Percent","8"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Surrey","FRA","Firefighters","All","1.3","Percent","7"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Tyne and Wear","FRA","Firefighters","All","1","Percent","6"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","Warwickshire","FRA","Firefighters","All","0.9","Percent","3"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","West Midlands","FRA","Firefighters","All","4.7","Percent","65"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","West Sussex","FRA","Firefighters","All","0.4","Percent","2"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2020","Year","West Yorkshire","FRA","Firefighters","All","1.4","Percent","14"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Avon","FRA","Firefighters","All","97.8","Percent","624"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Bedfordshire","FRA","Firefighters","All","96","Percent","405"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Berkshire","FRA","Firefighters","All","97.4","Percent","446"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Buckinghamshire","FRA","Firefighters","All","96.9","Percent","313"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Cambridgeshire","FRA","Firefighters","All","97.4","Percent","371"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Cheshire","FRA","Firefighters","All","98.1","Percent","658"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Cleveland","FRA","Firefighters","All","98.9","Percent","437"
"Fire and rescue service workforce","White","ONS 2001 5 + 1","2020","Year","Cornwall","FRA","Firefighters","All","98.7","Percent","451"
