"Measure","Ethnicity","Time","Time_Type","Geography_Code","Geography","Geography_Type","Value","%"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","320","Waltham Forest","LA","8","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","330","Birmingham","LA","109","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","331","Coventry","LA","26","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","332","Dudley","LA","19","17"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","333","Sandwell","LA","22","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","334","Solihull","LA","7","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","335","Walsall","LA","27","15"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","336","Wolverhampton","LA","31","16"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","340","Knowsley","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","341","Liverpool","LA","6","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","342","St. Helens","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","343","Sefton","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","344","Wirral","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","350","Bolton","LA","13","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","351","Bury","LA","7","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","352","Manchester","LA","62","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","353","Oldham","LA","24","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","354","Rochdale","LA","20","13"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","355","Salford","LA","12","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","356","Stockport","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","357","Tameside","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","358","Trafford","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","359","Wigan","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","370","Barnsley","LA","7","30"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","371","Doncaster","LA","11","15"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","372","Rotherham","LA","7","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","373","Sheffield","LA","37","14"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","380","Bradford","LA","20","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","381","Calderdale","LA","7","10"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","382","Kirklees","LA","17","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","383","Leeds","LA","31","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","384","Wakefield","LA","19","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","390","Gateshead","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","391","Newcastle upon Tyne","LA","12","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","392","North Tyneside","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","393","South Tyneside","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","394","Sunderland","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","420","Isles of Scilly","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","800","Bath and North East Somerset","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","801","Bristol, City of","LA","20","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","802","North Somerset","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","803","South Gloucestershire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","805","Hartlepool","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","806","Middlesbrough","LA","8","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","807","Redcar and Cleveland","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","808","Stockton-on-Tees","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","810","Kingston Upon Hull, City of","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","811","East Riding of Yorkshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","812","North East Lincolnshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","813","North Lincolnshire","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","815","North Yorkshire","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","816","York","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","821","Luton","LA","11","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","822","Bedford","LA","17","12"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","823","Central Bedfordshire","LA","6","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","825","Buckinghamshire","LA","12","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","826","Milton Keynes","LA","7","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","830","Derbyshire","LA","9","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","831","Derby","LA","8","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","838","Dorset","LA","N/A","N/A"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","839","Bournemouth, Christchurch and Poole","LA","N/A","N/A"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","840","Durham","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","841","Darlington","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","845","East Sussex","LA","8","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","846","Brighton and Hove","LA","9","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","850","Hampshire","LA","10","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","851","Portsmouth","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","852","Southampton","LA","12","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","855","Leicestershire","LA","12","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","856","Leicester","LA","26","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","857","Rutland","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","860","Staffordshire","LA","16","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","861","Stoke-on-Trent","LA","6","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","865","Wiltshire","LA","7","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","866","Swindon","LA","9","10"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","867","Bracknell Forest","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","868","Windsor and Maidenhead","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","869","West Berkshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","870","Reading","LA","11","10"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","871","Slough","LA","22","10"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","872","Wokingham","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","873","Cambridgeshire","LA","12","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","874","Peterborough","LA","6","4"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","876","Halton","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","877","Warrington","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","878","Devon","LA","6","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","879","Plymouth","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","880","Torbay","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","881","Essex","LA","23","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","882","Southend-on-Sea","LA","8","11"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","883","Thurrock","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","884","Herefordshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","885","Worcestershire","LA","7","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","886","Kent","LA","23","2"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","887","Medway","LA","7","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","888","Lancashire","LA","24","9"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","889","Blackburn with Darwen","LA","14","12"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","890","Blackpool","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","891","Nottinghamshire","LA","8","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","892","Nottingham","LA","32","12"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","893","Shropshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","894","Telford and Wrekin","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","895","Cheshire East","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","896","Cheshire West & Chester","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","908","Cornwall","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","909","Cumbria","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","916","Gloucestershire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","919","Hertfordshire","LA","30","7"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","921","Isle of Wight","LA","0","0"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","925","Lincolnshire","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","926","Norfolk","LA","12","8"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","928","Northamptonshire","LA","20","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","929","Northumberland","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","931","Oxfordshire","LA","17","6"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","933","Somerset","LA","c","c"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","935","Suffolk","LA","13","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","936","Surrey","LA","11","3"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","937","Warwickshire","LA","12","5"
"Number of BME children leaving care who are adopted","BME","2017-20","3 Year","938","West Sussex","LA","16","6"
"All BME children leaving care","BME","2017-20","3 Year","201","City of London","LA","52","100"
"All BME children leaving care","BME","2017-20","3 Year","202","Camden","LA","228","100"
"All BME children leaving care","BME","2017-20","3 Year","203","Greenwich","LA","358","100"
"All BME children leaving care","BME","2017-20","3 Year","204","Hackney","LA","450","100"
"All BME children leaving care","BME","2017-20","3 Year","205","Hammersmith and Fulham","LA","305","100"
"All BME children leaving care","BME","2017-20","3 Year","206","Islington","LA","308","100"
"All BME children leaving care","BME","2017-20","3 Year","207","Kensington and Chelsea","LA","161","100"
"All BME children leaving care","BME","2017-20","3 Year","208","Lambeth","LA","498","100"
"All BME children leaving care","BME","2017-20","3 Year","209","Lewisham","LA","496","100"
"All BME children leaving care","BME","2017-20","3 Year","210","Southwark","LA","552","100"
"All BME children leaving care","BME","2017-20","3 Year","211","Tower Hamlets","LA","406","100"
"All BME children leaving care","BME","2017-20","3 Year","212","Wandsworth","LA","403","100"
"All BME children leaving care","BME","2017-20","3 Year","213","Westminster","LA","385","100"
"All BME children leaving care","BME","2017-20","3 Year","301","Barking and Dagenham","LA","278","100"
"All BME children leaving care","BME","2017-20","3 Year","302","Barnet","LA","353","100"
"All BME children leaving care","BME","2017-20","3 Year","303","Bexley","LA","177","100"
"All BME children leaving care","BME","2017-20","3 Year","304","Brent","LA","406","100"
"All BME children leaving care","BME","2017-20","3 Year","305","Bromley","LA","205","100"
"All BME children leaving care","BME","2017-20","3 Year","306","Croydon","LA","844","100"
"All BME children leaving care","BME","2017-20","3 Year","307","Ealing","LA","446","100"
"All BME children leaving care","BME","2017-20","3 Year","308","Enfield","LA","333","100"
"All BME children leaving care","BME","2017-20","3 Year","309","Haringey","LA","448","100"
"All BME children leaving care","BME","2017-20","3 Year","310","Harrow","LA","283","100"
"All BME children leaving care","BME","2017-20","3 Year","311","Havering","LA","160","100"
"All BME children leaving care","BME","2017-20","3 Year","312","Hillingdon","LA","416","100"
"All BME children leaving care","BME","2017-20","3 Year","313","Hounslow","LA","249","100"
"All BME children leaving care","BME","2017-20","3 Year","314","Kingston upon Thames","LA","104","100"
"All BME children leaving care","BME","2017-20","3 Year","315","Merton","LA","145","100"
"All BME children leaving care","BME","2017-20","3 Year","316","Newham","LA","524","100"
"All BME children leaving care","BME","2017-20","3 Year","317","Redbridge","LA","280","100"
"All BME children leaving care","BME","2017-20","3 Year","318","Richmond upon Thames","LA","97","100"
"All BME children leaving care","BME","2017-20","3 Year","319","Sutton","LA","118","100"
"All BME children leaving care","BME","2017-20","3 Year","320","Waltham Forest","LA","304","100"
"All BME children leaving care","BME","2017-20","3 Year","330","Birmingham","LA","1187","100"
"All BME children leaving care","BME","2017-20","3 Year","331","Coventry","LA","284","100"
"All BME children leaving care","BME","2017-20","3 Year","332","Dudley","LA","113","100"
"All BME children leaving care","BME","2017-20","3 Year","333","Sandwell","LA","288","100"
"All BME children leaving care","BME","2017-20","3 Year","334","Solihull","LA","144","100"
"All BME children leaving care","BME","2017-20","3 Year","335","Walsall","LA","180","100"
"All BME children leaving care","BME","2017-20","3 Year","336","Wolverhampton","LA","190","100"
"All BME children leaving care","BME","2017-20","3 Year","340","Knowsley","LA","19","100"
"All BME children leaving care","BME","2017-20","3 Year","341","Liverpool","LA","311","100"
"All BME children leaving care","BME","2017-20","3 Year","342","St. Helens","LA","20","100"
"All BME children leaving care","BME","2017-20","3 Year","343","Sefton","LA","41","100"
"All BME children leaving care","BME","2017-20","3 Year","344","Wirral","LA","52","100"
"All BME children leaving care","BME","2017-20","3 Year","350","Bolton","LA","123","100"
"All BME children leaving care","BME","2017-20","3 Year","351","Bury","LA","104","100"
"All BME children leaving care","BME","2017-20","3 Year","352","Manchester","LA","755","100"
"All BME children leaving care","BME","2017-20","3 Year","353","Oldham","LA","215","100"
"All BME children leaving care","BME","2017-20","3 Year","354","Rochdale","LA","152","100"
"All BME children leaving care","BME","2017-20","3 Year","355","Salford","LA","159","100"
"All BME children leaving care","BME","2017-20","3 Year","356","Stockport","LA","87","100"
"All BME children leaving care","BME","2017-20","3 Year","357","Tameside","LA","105","100"
"All BME children leaving care","BME","2017-20","3 Year","358","Trafford","LA","122","100"
"All BME children leaving care","BME","2017-20","3 Year","359","Wigan","LA","65","100"
"All BME children leaving care","BME","2017-20","3 Year","370","Barnsley","LA","23","100"
"All BME children leaving care","BME","2017-20","3 Year","371","Doncaster","LA","73","100"
"All BME children leaving care","BME","2017-20","3 Year","372","Rotherham","LA","108","100"
"All BME children leaving care","BME","2017-20","3 Year","373","Sheffield","LA","271","100"
"All BME children leaving care","BME","2017-20","3 Year","380","Bradford","LA","383","100"
"All BME children leaving care","BME","2017-20","3 Year","381","Calderdale","LA","73","100"
"All BME children leaving care","BME","2017-20","3 Year","382","Kirklees","LA","244","100"
"All BME children leaving care","BME","2017-20","3 Year","383","Leeds","LA","386","100"
"All BME children leaving care","BME","2017-20","3 Year","384","Wakefield","LA","170","100"
"All BME children leaving care","BME","2017-20","3 Year","390","Gateshead","LA","59","100"
"All BME children leaving care","BME","2017-20","3 Year","391","Newcastle upon Tyne","LA","164","100"
"All BME children leaving care","BME","2017-20","3 Year","392","North Tyneside","LA","33","100"
"All BME children leaving care","BME","2017-20","3 Year","393","South Tyneside","LA","36","100"
"All BME children leaving care","BME","2017-20","3 Year","394","Sunderland","LA","53","100"
"All BME children leaving care","BME","2017-20","3 Year","420","Isles of Scilly","LA","0","100"
"All BME children leaving care","BME","2017-20","3 Year","800","Bath and North East Somerset","LA","42","100"
"All BME children leaving care","BME","2017-20","3 Year","801","Bristol, City of","LA","262","100"
"All BME children leaving care","BME","2017-20","3 Year","802","North Somerset","LA","41","100"
"All BME children leaving care","BME","2017-20","3 Year","803","South Gloucestershire","LA","60","100"
"All BME children leaving care","BME","2017-20","3 Year","805","Hartlepool","LA","22","100"
"All BME children leaving care","BME","2017-20","3 Year","806","Middlesbrough","LA","88","100"
"All BME children leaving care","BME","2017-20","3 Year","807","Redcar and Cleveland","LA","32","100"
"All BME children leaving care","BME","2017-20","3 Year","808","Stockton-on-Tees","LA","45","100"
"All BME children leaving care","BME","2017-20","3 Year","810","Kingston Upon Hull, City of","LA","107","100"
"All BME children leaving care","BME","2017-20","3 Year","811","East Riding of Yorkshire","LA","40","100"
"All BME children leaving care","BME","2017-20","3 Year","812","North East Lincolnshire","LA","31","100"
"All BME children leaving care","BME","2017-20","3 Year","813","North Lincolnshire","LA","79","100"
"All BME children leaving care","BME","2017-20","3 Year","815","North Yorkshire","LA","54","100"
"All BME children leaving care","BME","2017-20","3 Year","816","York","LA","29","100"
"All BME children leaving care","BME","2017-20","3 Year","821","Luton","LA","274","100"
"All BME children leaving care","BME","2017-20","3 Year","822","Bedford","LA","147","100"
"All BME children leaving care","BME","2017-20","3 Year","823","Central Bedfordshire","LA","114","100"
"All BME children leaving care","BME","2017-20","3 Year","825","Buckinghamshire","LA","196","100"
"All BME children leaving care","BME","2017-20","3 Year","826","Milton Keynes","LA","163","100"
"All BME children leaving care","BME","2017-20","3 Year","830","Derbyshire","LA","115","100"
"All BME children leaving care","BME","2017-20","3 Year","831","Derby","LA","187","100"
"All BME children leaving care","BME","2017-20","3 Year","838","Dorset","LA","N/A","N/A"
"All BME children leaving care","BME","2017-20","3 Year","839","Bournemouth, Christchurch and Poole","LA","N/A","N/A"
"All BME children leaving care","BME","2017-20","3 Year","840","Durham","LA","57","100"
"All BME children leaving care","BME","2017-20","3 Year","841","Darlington","LA","22","100"
"All BME children leaving care","BME","2017-20","3 Year","845","East Sussex","LA","90","100"
"All BME children leaving care","BME","2017-20","3 Year","846","Brighton and Hove","LA","174","100"
"All BME children leaving care","BME","2017-20","3 Year","850","Hampshire","LA","307","100"
"All BME children leaving care","BME","2017-20","3 Year","851","Portsmouth","LA","231","100"
"All BME children leaving care","BME","2017-20","3 Year","852","Southampton","LA","136","100"
"All BME children leaving care","BME","2017-20","3 Year","855","Leicestershire","LA","106","100"
"All BME children leaving care","BME","2017-20","3 Year","856","Leicester","LA","245","100"
"All BME children leaving care","BME","2017-20","3 Year","857","Rutland","LA","9","100"
"All BME children leaving care","BME","2017-20","3 Year","860","Staffordshire","LA","224","100"
"All BME children leaving care","BME","2017-20","3 Year","861","Stoke-on-Trent","LA","89","100"
"All BME children leaving care","BME","2017-20","3 Year","865","Wiltshire","LA","109","100"
"All BME children leaving care","BME","2017-20","3 Year","866","Swindon","LA","91","100"
"All BME children leaving care","BME","2017-20","3 Year","867","Bracknell Forest","LA","45","100"
"All BME children leaving care","BME","2017-20","3 Year","868","Windsor and Maidenhead","LA","52","100"
"All BME children leaving care","BME","2017-20","3 Year","869","West Berkshire","LA","58","100"
"All BME children leaving care","BME","2017-20","3 Year","870","Reading","LA","112","100"
"All BME children leaving care","BME","2017-20","3 Year","871","Slough","LA","225","100"
"All BME children leaving care","BME","2017-20","3 Year","872","Wokingham","LA","42","100"
"All BME children leaving care","BME","2017-20","3 Year","873","Cambridgeshire","LA","241","100"
"All BME children leaving care","BME","2017-20","3 Year","874","Peterborough","LA","150","100"
"All BME children leaving care","BME","2017-20","3 Year","876","Halton","LA","13","100"
"All BME children leaving care","BME","2017-20","3 Year","877","Warrington","LA","51","100"
"All BME children leaving care","BME","2017-20","3 Year","878","Devon","LA","91","100"
"All BME children leaving care","BME","2017-20","3 Year","879","Plymouth","LA","53","100"
"All BME children leaving care","BME","2017-20","3 Year","880","Torbay","LA","30","100"
"All BME children leaving care","BME","2017-20","3 Year","881","Essex","LA","434","100"
"All BME children leaving care","BME","2017-20","3 Year","882","Southend-on-Sea","LA","75","100"
"All BME children leaving care","BME","2017-20","3 Year","883","Thurrock","LA","382","100"
"All BME children leaving care","BME","2017-20","3 Year","884","Herefordshire","LA","26","100"
"All BME children leaving care","BME","2017-20","3 Year","885","Worcestershire","LA","114","100"
"All BME children leaving care","BME","2017-20","3 Year","886","Kent","LA","1009","100"
"All BME children leaving care","BME","2017-20","3 Year","887","Medway","LA","82","100"
"All BME children leaving care","BME","2017-20","3 Year","888","Lancashire","LA","274","100"
"All BME children leaving care","BME","2017-20","3 Year","889","Blackburn with Darwen","LA","120","100"
"All BME children leaving care","BME","2017-20","3 Year","890","Blackpool","LA","26","100"
"All BME children leaving care","BME","2017-20","3 Year","891","Nottinghamshire","LA","143","100"
"All BME children leaving care","BME","2017-20","3 Year","892","Nottingham","LA","277","100"
"All BME children leaving care","BME","2017-20","3 Year","893","Shropshire","LA","43","100"
"All BME children leaving care","BME","2017-20","3 Year","894","Telford and Wrekin","LA","48","100"
"All BME children leaving care","BME","2017-20","3 Year","895","Cheshire East","LA","56","100"
"All BME children leaving care","BME","2017-20","3 Year","896","Cheshire West & Chester","LA","38","100"
"All BME children leaving care","BME","2017-20","3 Year","908","Cornwall","LA","49","100"
"All BME children leaving care","BME","2017-20","3 Year","909","Cumbria","LA","28","100"
"All BME children leaving care","BME","2017-20","3 Year","916","Gloucestershire","LA","177","100"
"All BME children leaving care","BME","2017-20","3 Year","919","Hertfordshire","LA","423","100"
"All BME children leaving care","BME","2017-20","3 Year","921","Isle of Wight","LA","14","100"
"All BME children leaving care","BME","2017-20","3 Year","925","Lincolnshire","LA","135","100"
"All BME children leaving care","BME","2017-20","3 Year","926","Norfolk","LA","157","100"
"All BME children leaving care","BME","2017-20","3 Year","928","Northamptonshire","LA","350","100"
"All BME children leaving care","BME","2017-20","3 Year","929","Northumberland","LA","23","100"
"All BME children leaving care","BME","2017-20","3 Year","931","Oxfordshire","LA","265","100"
"All BME children leaving care","BME","2017-20","3 Year","933","Somerset","LA","63","100"
"All BME children leaving care","BME","2017-20","3 Year","935","Suffolk","LA","250","100"
"All BME children leaving care","BME","2017-20","3 Year","936","Surrey","LA","440","100"
"All BME children leaving care","BME","2017-20","3 Year","937","Warwickshire","LA","220","100"
"All BME children leaving care","BME","2017-20","3 Year","938","West Sussex","LA","289","100"
