"Measure","Gender","Ethnicity","Ethnicity_Type","Age","Time","Time_Type","Count","Value","Value_Type","Geography"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","10 to 15","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","16 and Above","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","Under 1","2020","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","1 to 4","2020","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","5 to 9","2020","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","10 to 15","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","16 and Above","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","Under 1","2020","Year to 31st March","10","~0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","1 to 4","2020","Year to 31st March","70","2","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","5 to 9","2020","Year to 31st March","c","c","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","10 to 15","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","16 and Above","2020","Year to 31st March","0","0","%","England"
"Percentage of looked after children","All","White","ONS 5+1","Under 1","2020","Year to 31st March","4,690","4","%","England"
"Percentage of looked after children","All","White","ONS 5+1","1 to 4","2020","Year to 31st March","13,470","12","%","England"
"Percentage of looked after children","All","White","ONS 5+1","5 to 9","2020","Year to 31st March","14,230","13","%","England"
"Percentage of looked after children","All","White","ONS 5+1","10 to 15","2020","Year to 31st March","26,840","25","%","England"
"Percentage of looked after children","All","White","ONS 5+1","16 and Above","2020","Year to 31st March","18,650","17","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","Under 1","2020","Year to 31st March","700","1","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","1 to 4","2020","Year to 31st March","1,980","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","5 to 9","2020","Year to 31st March","1,850","2","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","10 to 15","2020","Year to 31st March","3,600","3","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","16 and Above","2020","Year to 31st March","2,320","2","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","Under 1","2020","Year to 31st March","140","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","1 to 4","2020","Year to 31st March","460","~0","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","5 to 9","2020","Year to 31st March","610","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","10 to 15","2020","Year to 31st March","1,470","1","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","16 and Above","2020","Year to 31st March","2,730","3","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","Under 1","2020","Year to 31st March","220","~0","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","1 to 4","2020","Year to 31st March","660","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","5 to 9","2020","Year to 31st March","940","1","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","10 to 15","2020","Year to 31st March","2,450","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","16 and Above","2020","Year to 31st March","4,740","4","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","Under 1","2020","Year to 31st March","90","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","1 to 4","2020","Year to 31st March","290","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","5 to 9","2020","Year to 31st March","300","~0","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","10 to 15","2020","Year to 31st March","800","1","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","16 and Above","2020","Year to 31st March","3,320","3","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","Under 1","2020","Year to 31st March","370","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","1 to 4","2020","Year to 31st March","320","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","5 to 9","2020","Year to 31st March","90","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","10 to 15","2020","Year to 31st March","110","~0","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","16 and Above","2020","Year to 31st March","200","~0","%","England"
