"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","ONS geography code","Gender","FSM","SEN","Admission_Basis","Type_of_school","Religious_character","Value","Denominator"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","57.6","107"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","49.6","20250"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","48.8","17034"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","48.9","1414"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","56.9","5"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","47.2","27"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","54.1","18"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","47.8","19381"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","54.1","473"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","49.7","2797"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","53.2","19"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47.3","24646"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","51.2","11828"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","48","428"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","5.5","8"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","46.8","7051"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","43.3","4549"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","3.2","504"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","37.6","51"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","36.7","178"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","44.2","1419"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","47","21380"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","72.6","1335"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","27.9","3526"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","50.6","21112"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","33","2558"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","14.5","968"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","36.6","4396"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","51.3","7565"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","49.1","9080"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","38.4","1515"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","54.5","4828"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","52.5","5537"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","38.6","709"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","48.3","2378"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","46.5","2936"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","38.8","558"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","43.6","5479"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","41.3","7093"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","33.3","1614"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","48.5","6593"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47.2","8573"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","42.8","1980"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","41.2","6133"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","40","7166"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","32.9","1033"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47.9","352353"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","47.3","277452"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","48.4","21194"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","22","3"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","59.6","944"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","88","1"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","46.6","322924"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","48.4","7379"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","49.1","36020"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","67.8","2"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","46.1","396680"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","49.6","202901"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","47","3400"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","2.4","29"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","46.2","110587"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","40.8","68219"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","3.1","8184"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","36.1","818"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","38.2","2114"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","41.7","27815"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","46.3","344782"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","69.8","15870"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","27.2","58243"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","49.3","338407"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","32.2","42817"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","13.6","15426"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","31.6","44327"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47.7","23865"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47","26136"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","39.7","2271"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","18.8","763"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","18.2","1107"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","16.8","344"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","27.7","44"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","21.9","111"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","18","67"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","47.9","326223"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","46.1","367680"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","31.2","41457"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","54.4","1458"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","52.2","1646"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","35.2","188"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","45.6","233209"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","45.5","182785"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","All Pupils","45","259426"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","46.4","14694"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","56.4","57"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","58.3","606"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","57.2","241"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","44.6","213670"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","48.4","5054"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","46.8","24291"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","51.7","176"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","43.8","266906"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","39.9","16756"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","44.2","230449"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","69.8","11584"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","25.8","47085"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","47.8","219168"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","30.9","32777"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","14.1","14308"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","Boys","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","31.2","33697"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","49.4","24201"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","50.2","18542"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","51.4","1346"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","58.1","53"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","52.7","22"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","57.9","212"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","48.2","23705"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","59.3","454"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","49.6","2116"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","52","144"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","48","28532"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","44.4","1018"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","46.7","24812"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","73.9","2222"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","26.2","3397"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","50.9","25133"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","31.2","2446"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","13.3","951"
