"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Reason","Value","Numerator","Denominator"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Other","29.4","5","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Persistent disruptive behaviour","17.6","3","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Physical assault against a pupil","5.9","1","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Physical assault against an adult","17.6","3","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Racist abuse","0","0","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Sexual Misconduct","0","0","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Theft","0","0","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","0","0","17"
"Permanent exclusions","201819","Academic Year","Irish Traveller","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","17.6","3","17"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Bullying","1","314","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Damage","1.9","592","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Drug and alcohol related","2.9","893","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Other","19.1","5868","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Persistent disruptive behaviour","26.7","8207","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Physical assault against a pupil","19.1","5860","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Physical assault against an adult","7.9","2436","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Racist abuse","0.8","241","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Sexual Misconduct","0.5","154","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Theft","1","296","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","4.5","1372","30748"
"Fixed period exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","14.7","4515","30748"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Bullying","0.9","6","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Damage","0.5","3","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Drug and alcohol related","9","59","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Other","16.7","110","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Persistent disruptive behaviour","31.9","210","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Physical assault against a pupil","16.7","110","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Physical assault against an adult","13.5","89","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Racist abuse","0.2","1","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Sexual Misconduct","0.6","4","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Theft","0","0","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","3.3","22","658"
"Permanent exclusions","201819","Academic Year","Mixed","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","6.7","44","658"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Bullying","1","85","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Damage","2.2","196","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Drug and alcohol related","2.7","243","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Other","19.5","1729","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Persistent disruptive behaviour","24.8","2197","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Physical assault against a pupil","19.7","1747","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Physical assault against an adult","7.9","705","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Racist abuse","1","89","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Sexual Misconduct","0.8","70","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Theft","1.3","111","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.7","414","8876"
"Fixed period exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","14.5","1290","8876"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Bullying","0.5","1","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Damage","1.1","2","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Drug and alcohol related","10","19","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Other","19.5","37","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Persistent disruptive behaviour","26.8","51","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Physical assault against a pupil","17.4","33","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Physical assault against an adult","12.6","24","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Racist abuse","0","0","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Sexual Misconduct","0.5","1","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Theft","0","0","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.3","10","190"
"Permanent exclusions","201819","Academic Year","Mixed Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","6.3","12","190"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Bullying","1.1","48","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Damage","2","88","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Drug and alcohol related","4.2","187","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Other","19.1","845","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Persistent disruptive behaviour","24.7","1092","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Physical assault against a pupil","18.4","814","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Physical assault against an adult","7","309","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Racist abuse","0.9","39","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Sexual Misconduct","0.6","27","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Theft","1.2","53","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.6","201","4414"
"Fixed period exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","16.1","711","4414"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Bullying","1.1","1","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Damage","0","0","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Drug and alcohol related","13.3","12","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Other","18.9","17","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Persistent disruptive behaviour","30","27","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Physical assault against a pupil","17.8","16","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Physical assault against an adult","11.1","10","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Racist abuse","0","0","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Sexual Misconduct","1.1","1","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Theft","0","0","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.4","4","90"
"Permanent exclusions","201819","Academic Year","Mixed White/Asian","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","2.2","2","90"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Bullying","1.3","54","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Damage","1.7","69","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Drug and alcohol related","2.8","115","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Other","17.3","712","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Persistent disruptive behaviour","27.5","1132","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Physical assault against a pupil","19.9","820","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Physical assault against an adult","8.6","356","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Racist abuse","0.8","32","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Sexual Misconduct","0.4","16","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Theft","1","41","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.8","196","4121"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","14","578","4121"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Bullying","1.2","1","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Damage","0","0","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Drug and alcohol related","13.4","11","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Other","15.9","13","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Persistent disruptive behaviour","37.8","31","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Physical assault against a pupil","9.8","8","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Physical assault against an adult","11","9","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Racist abuse","0","0","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Sexual Misconduct","0","0","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Theft","0","0","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","2.4","2","82"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","8.5","7","82"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Bullying","1","127","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Damage","1.8","239","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Drug and alcohol related","2.6","348","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Other","19.4","2582","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Persistent disruptive behaviour","28.4","3786","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Physical assault against a pupil","18.6","2479","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Physical assault against an adult","8","1066","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Racist abuse","0.6","81","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Sexual Misconduct","0.3","41","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Theft","0.7","91","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","4.2","561","13337"
"Fixed period exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","14.5","1936","13337"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Bullying","1","3","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Damage","0.3","1","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Drug and alcohol related","5.7","17","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Other","14.5","43","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Persistent disruptive behaviour","34.1","101","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Physical assault against a pupil","17.9","53","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Physical assault against an adult","15.5","46","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Racist abuse","0.3","1","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Sexual Misconduct","0.7","2","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Theft","0","0","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","2","6","296"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","7.8","23","296"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Bullying","1.7","92","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Damage","1.8","97","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Drug and alcohol related","2.5","131","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Other","26.4","1408","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Persistent disruptive behaviour","18.8","1003","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Physical assault against a pupil","24.4","1306","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Physical assault against an adult","4.4","237","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Racist abuse","1.6","85","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Sexual Misconduct","1","54","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Theft","1.5","78","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","5","266","5343"
"Fixed period exclusions","201819","Academic Year","Other","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","11","586","5343"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Bullying","0","0","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Damage","2.5","3","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Drug and alcohol related","11.6","14","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Other","29.8","36","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Persistent disruptive behaviour","20.7","25","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Physical assault against a pupil","10.7","13","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Physical assault against an adult","7.4","9","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Racist abuse","0","0","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Sexual Misconduct","1.7","2","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Theft","1.7","2","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","8.3","10","121"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","5.8","7","121"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Bullying","1.4","157","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Damage","2.2","249","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Drug and alcohol related","3","342","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Other","23.1","2592","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Persistent disruptive behaviour","16.3","1830","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Physical assault against a pupil","28","3149","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Physical assault against an adult","3.4","385","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Racist abuse","1.4","157","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Sexual Misconduct","0.7","84","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Theft","1.7","190","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.6","633","11239"
"Fixed period exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","13.1","1471","11239"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Bullying","0","0","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Damage","0","0","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Drug and alcohol related","9.3","20","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Other","28.4","61","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Persistent disruptive behaviour","25.1","54","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Physical assault against a pupil","24.2","52","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Physical assault against an adult","4.7","10","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Racist abuse","0","0","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Sexual Misconduct","0.5","1","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Theft","0","0","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.1","11","215"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","2.8","6","215"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Bullying","0.7","60","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Damage","2.1","192","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Drug and alcohol related","2.9","268","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Other","19.5","1791","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Persistent disruptive behaviour","31.5","2889","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Physical assault against a pupil","16.3","1494","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Physical assault against an adult","4.5","409","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Racist abuse","0.9","83","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Sexual Misconduct","0.6","53","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Theft","1.3","116","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","3.8","351","9174"
"Fixed period exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","16","1468","9174"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Bullying","0.6","1","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Damage","0.6","1","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Drug and alcohol related","8.4","15","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Other","22.3","40","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Persistent disruptive behaviour","30.7","55","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Physical assault against a pupil","16.8","30","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Physical assault against an adult","8.9","16","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Racist abuse","0","0","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Sexual Misconduct","2.2","4","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Theft","1.1","2","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","1.7","3","179"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","6.7","12","179"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Bullying","0.7","2350","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Damage","1.9","6724","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Drug and alcohol related","2.6","8986","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Other","18.2","63344","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Persistent disruptive behaviour","33.9","118077","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Physical assault against a pupil","14.5","50587","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Physical assault against an adult","6.7","23207","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Racist abuse","1.1","3949","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Sexual Misconduct","0.3","1161","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Theft","0.7","2475","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","3.4","11919","348338"
"Fixed period exclusions","201819","Academic Year","White","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","15.9","55559","348338"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Bullying","0.3","21","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Damage","1","59","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Drug and alcohol related","8.3","499","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Other","15.8","953","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Persistent disruptive behaviour","38","2293","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Physical assault against a pupil","11.8","714","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Physical assault against an adult","10.5","637","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Racist abuse","0.2","14","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Sexual Misconduct","0.9","54","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Theft","0.4","26","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","3.6","219","6038"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","9.1","549","6038"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Bullying","0.6","2110","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Damage","1.9","6237","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Drug and alcohol related","2.6","8299","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Other","18","58371","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Persistent disruptive behaviour","34.3","111422","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Physical assault against a pupil","14.2","46194","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Physical assault against an adult","6.7","21903","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Racist abuse","1.1","3635","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Sexual Misconduct","0.3","1015","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Theft","0.7","2202","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","3.3","10883","324929"
"Fixed period exclusions","201819","Academic Year","White British","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","16.2","52658","324929"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Bullying","0.4","20","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Damage","1","55","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Drug and alcohol related","8.1","454","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Other","15.6","876","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Persistent disruptive behaviour","38.6","2174","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Physical assault against a pupil","11.7","659","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Physical assault against an adult","10.5","589","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Racist abuse","0.2","12","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Sexual Misconduct","0.9","48","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Theft","0.4","23","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","3.6","204","5633"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","9.2","519","5633"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Bullying","1.1","12","1116"
"Fixed period exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Damage","2.2","25","1116"
