"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","value_type","gender","fsm","denominator","numerator"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","19","%","All","FSM","1553","291"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","57","%","All","Non-FSM","5622","3224"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","773","78595"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","All","FSM","1250","277"
"Average scaled score in key stage 2 reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","All","621933","64938327"
"Average scaled score in key stage 2 reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","2746","281149"
"Average scaled score in key stage 2 reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","All","FSM","64045","6456927"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","67","%","All","All","7153","4770"
"Average scaled score in key stage 2 reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","19135","2004447"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","18","%","All","FSM","2939","538"
"Average scaled score in key stage 2 reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","8954","930481"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","Non-FSM","19765","15020"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","43","%","All","All","2848","1222"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","All","All","11067","8302"
"Average scaled score in key stage 2 reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","3060","310874"
"Average scaled score in key stage 2 reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","1614","165353"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","14","%","All","FSM","69154","9508"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","All","Non-FSM","357093","276677"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","All","Non-FSM","1401","1204"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","19","%","All","FSM","10054","1873"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","28","%","All","All","11067","3076"
"Average scaled score in key stage 2 reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","Non-FSM","17636","1877575"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","39","%","All","All","473","185"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","All","All","43535","30039"
"Average scaled score in key stage 2 reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","9775","1011581"
"Average scaled score in key stage 2 reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","349220","36737009"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","Non-FSM","535787","408439"
"Average scaled score in key stage 2 reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","5022","518648"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","59","%","All","FSM","2222","1311"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","All","All","10150","2277"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","63","%","All","FSM","5489","3445"
"Average scaled score in key stage 2 reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","108","N/A","All","Non-FSM","2572","276508"
"Average scaled score in key stage 2 reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","6715","700707"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","All","FSM","1349","891"
"Average scaled score in key stage 2 reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","FSM","1211","125011"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","All","Non-FSM","399739","306194"
"Average scaled score in key stage 2 reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","58783","6171458"
"Average scaled score in key stage 2 reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","27639","2884054"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","All","All","19316","15518"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","56","%","All","FSM","74528","41695"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","All","Non-FSM","5622","1239"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","23","%","All","Non-FSM","23489","5518"
"Average scaled score in key stage 2 reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","37843","3931795"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","59","%","All","FSM","854","500"
"Average scaled score in key stage 2 reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","All","413265","43193936"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","30","%","All","All","12143","3609"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","All","FSM","271","27514"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","28","%","All","All","2320","643"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","All","FSM","108982","16554"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","6","%","All","FSM","881","54"
"Average scaled score in key stage 2 reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","Boys","All","313758","32425752"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","23","%","Boys","All","1212","277"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","19","%","Boys","All","6562","1246"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","16","%","Boys","FSM","908","147"
"Average scaled score in key stage 2 reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","All","35015","3629016"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","Boys","All","6193","1576"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","34","%","Boys","FSM","100","34"
"Average scaled score in key stage 2 reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","All","6731","700324"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","33","%","Boys","All","864","287"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","51","%","Boys","FSM","35340","18136"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","57","%","Boys","FSM","653","369"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","18","%","Boys","Non-FSM","2913","514"
"Average scaled score in key stage 2 reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","97","N/A","Boys","All","191","18526"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","34","%","Boys","FSM","160","55"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","Boys","Non-FSM","20317","4330"
"Average scaled score in key stage 2 reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","Boys","All","12433","1282589"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","51","%","Boys","FSM","38115","19419"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","35","%","Boys","Non-FSM","78","27"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","24","%","Boys","All","36536","8687"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","All","6193","4461"
"Average scaled score in key stage 2 reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","All","2520","257214"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","Boys","Non-FSM","3494","2399"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","14","%","Boys","FSM","5142","715"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","11","%","Boys","FSM","1127","119"
"Average scaled score in key stage 2 reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","Non-FSM","263347","27370213"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","Non-FSM","1927","200288"
"Average scaled score in key stage 2 reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","FSM","5256","534976"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","34","%","Boys","All","238","82"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","17","%","Boys","All","5169","904"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","All","3303","334122"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","16","%","Boys","All","2693","435"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","Boys","Non-FSM","9796","6943"
"Average scaled score in key stage 2 reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","Boys","Non-FSM","3375","347825"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","14","%","Boys","FSM","653","92"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","Boys","Non-FSM","9222","7124"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","12","%","Boys","FSM","703","87"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","Boys","All","7040","1770"
"Average scaled score in key stage 2 reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","Boys","All","4330","454516"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","53","%","Boys","All","3373","1779"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","5","%","Boys","FSM","457","22"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","Boys","All","1419","1131"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","Boys","All","242475","54340"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","12","%","Boys","FSM","55812","6745"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","14","%","Boys","FSM","1460","201"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","Boys","Non-FSM","1990","1305"
"Average scaled score in key stage 2 reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","All","5358","557067"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","20","%","Boys","Non-FSM","14176","2803"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","Boys","All","217836","151739"
"Average scaled score in key stage 2 reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","Non-FSM","1892","193635"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","Boys","All","13108","9000"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","24","%","Boys","Non-FSM","273207","66745"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","All","2716","276870"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","Boys","All","831","87996"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","Boys","All","329019","73490"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","15","%","Boys","Non-FSM","2390","351"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","Non-FSM","4400","3157"
"Average scaled score in key stage 2 reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","FSM","4683","475114"
"Average scaled score in key stage 2 reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","FSM","778","78507"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","Boys","Non-FSM","1319","1055"
"Average scaled score in key stage 2 reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","All","14194","1452181"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","Boys","FSM","1265","264"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","20","%","Boys","All","22325","4568"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","Boys","Non-FSM","3494","722"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","18","%","Boys","FSM","625","115"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","Boys","All","864","689"
"Average scaled score in key stage 2 reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","100","N/A","Boys","FSM","1517","151971"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","Boys","FSM","1460","840"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","11","%","Boys","FSM","38115","4197"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","62","%","Boys","FSM","3312","2057"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","63","%","Boys","All","6562","4121"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","Boys","FSM","2835","1642"
"Average scaled score in key stage 2 reading","White British","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","100","N/A","Boys","FSM","31788","3175740"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","Boys","All","22325","14355"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","38","%","Boys","Non-FSM","1319","500"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","Boys","All","19318","12799"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","7","%","Boys","All","238","16"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","18","%","Boys","All","14831","2730"
"Percentage of pupils reaching the key stage 2 higher standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","12","%","Boys","FSM","2008","238"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","50","%","Boys","FSM","1127","568"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","Boys","Non-FSM","1990","1452"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","Boys","All","36536","25509"
"Average scaled score in key stage 2 reading","White","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","100","N/A","Boys","FSM","34228","3416713"
"Average scaled score in key stage 2 reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","FSM","2659","268956"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","100","N/A","Boys","FSM","1022","101917"
"Average scaled score in key stage 2 reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","Boys","All","21004","2152991"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","Boys","FSM","100","76"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","107","N/A","Boys","Non-FSM","697","74522"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","Boys","Non-FSM","14705","4000"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","Boys","Non-FSM","20317","13320"
"Average scaled score in key stage 2 reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","FSM","134","13474"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","53","%","Boys","FSM","55812","29653"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","25","%","Boys","Non-FSM","4400","1084"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","24","%","Boys","All","5665","1348"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","100","N/A","Boys","FSM","403","40381"
"Average scaled score in key stage 2 reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","All","6044","618595"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","Boys","All","2520","260303"
"Average scaled score in key stage 2 reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","Boys","All","9544","1003590"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","Boys","Non-FSM","9796","2104"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","59","%","Boys","FSM","150","89"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","61","%","Boys","FSM","5633","3409"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","Boys","All","14831","9539"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","101","N/A","Boys","FSM","593","60015"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","Boys","FSM","703","407"
"Percentage of pupils reaching the key stage 2 expected standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","Non-FSM","273207","196339"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","55","%","Boys","FSM","4631","2570"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","5","%","Boys","FSM","160","8"
"Average scaled score in key stage 2 reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","Non-FSM","2313","236489"
"Average scaled score in key stage 2 reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","Boys","All","18473","1914939"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","53","%","Boys","Non-FSM","2913","1539"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","Boys","Non-FSM","5285","1429"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","22","%","Boys","All","2643","579"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","59","%","Boys","All","3517","2087"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","Boys","Non-FSM","14176","9767"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","23","%","Boys","Non-FSM","755","173"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","102","N/A","Boys","Non-FSM","2281","232205"
