"Measure","Time","Type_type","Ethnicity","Ethnicity_Type","Local Authority","School type","Value","Denominator","Numerator"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Leicestershire","","4.1","2,396,869","97,604"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Leicestershire","","3.1","355,008","11,058"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Leicestershire","","2.7","102,736","2,805"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Leicestershire","","4.9","1,433,169","70,825"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Leicestershire","","4.7","116,846","5,514"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Leicestershire","","5.9","259,055","15,224"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Leicestershire","","4.7","26,259,930","1,239,749"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Lewisham","","4.1","9,027,132","373,249"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Lewisham","","4.2","730,269","30,836"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Lewisham","","3.6","4,572,111","165,463"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Lewisham","","2.2","163,368","3,584"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Lewisham","","5.1","1,857,683","93,913"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Lewisham","","4.1","375,975","15,601"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Lewisham","","5.1","398,535","20,458"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Lewisham","","4.9","4,052,556","198,262"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Lincolnshire","","4.9","4,340,293","213,433"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Lincolnshire","","4.1","414,346","16,883"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Lincolnshire","","2.8","139,111","3,955"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Lincolnshire","","2.2","81,843","1,814"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Lincolnshire","","4.6","881,809","40,618"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Lincolnshire","","4.2","133,389","5,664"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Lincolnshire","","6.3","261,687","16,390"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Lincolnshire","","4.9","30,259,038","1,477,777"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Liverpool","","4.4","5,177,108","228,810"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Liverpool","","3.8","837,746","31,471"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Liverpool","","3.2","928,696","29,411"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Liverpool","","2.2","269,647","5,947"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Liverpool","","5.4","1,137,800","61,826"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Liverpool","","4.3","818,044","35,470"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Liverpool","","8","164,266","13,062"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Liverpool","","5.7","16,641,913","947,212"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Luton","","5.1","9,589,714","484,471"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Luton","","5.1","5,595,878","286,707"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Luton","","3.7","1,310,396","47,981"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Luton","","2.5","29,829","735"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Luton","","5.4","1,039,974","56,420"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Luton","","5","196,685","9,846"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Luton","","5.8","132,167","7,602"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Luton","","5.6","4,008,175","223,614"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Manchester","","4.1","16,152,058","659,818"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Manchester","","4.4","5,887,323","259,042"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Manchester","","2.7","4,507,866","121,451"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Manchester","","1.9","266,882","4,956"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Manchester","","5.4","2,202,349","119,305"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Manchester","","4","1,802,793","72,352"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Manchester","","6.1","418,566","25,592"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Manchester","","5.7","10,763,749","610,732"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Medway","","4.1","3,337,809","136,444"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Medway","","3.9","661,678","25,927"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Medway","","2.5","832,796","20,702"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Medway","","2.3","38,535","902"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Medway","","4.7","823,126","38,520"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Medway","","3.9","126,904","5,005"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Medway","","6","106,850","6,424"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Medway","","4.9","10,802,951","532,671"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Merton","","4.1","5,645,876","230,225"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Merton","","4","1,609,957","63,627"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Merton","","3.5","1,213,557","41,905"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Merton","","2.6","56,695","1,475"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Merton","","4.7","934,098","43,778"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Merton","","3.9","261,229","10,210"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Merton","","4.4","95,444","4,184"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Merton","","4.5","4,116,002","186,770"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Middlesbrough","","5.3","1,788,747","94,829"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Middlesbrough","","4.2","748,884","31,416"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Middlesbrough","","2.7","114,862","3,061"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Middlesbrough","","2.6","8,273","213"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Middlesbrough","","5.9","351,365","20,595"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Middlesbrough","","4.7","214,825","10,153"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Middlesbrough","","8.4","51,704","4,337"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Middlesbrough","","6","5,471,132","327,105"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Milton Keynes","","4.2","5,952,058","247,160"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Milton Keynes","","4.6","1,634,231","74,673"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Milton Keynes","","3","1,930,004","57,925"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Milton Keynes","","2.8","68,319","1,932"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Milton Keynes","","5","1,136,171","56,706"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Milton Keynes","","4.5","122,335","5,509"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Milton Keynes","","5","230,361","11,620"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Milton Keynes","","5.1","8,880,861","456,677"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Newcastle upon Tyne","","4.4","3,605,876","157,394"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Newcastle upon Tyne","","4.5","1,462,878","65,896"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Newcastle upon Tyne","","2.4","539,834","12,969"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Newcastle upon Tyne","","2.4","113,525","2,693"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Newcastle upon Tyne","","4.4","495,272","21,667"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Newcastle upon Tyne","","4.3","310,636","13,503"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Newcastle upon Tyne","","7.1","102,661","7,240"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Newcastle upon Tyne","","5.7","8,562,839","484,598"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Newham","","4.3","17,032,418","729,628"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Newham","","4.4","8,479,343","371,936"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Newham","","3.4","3,997,261","135,929"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Newham","","1.9","67,301","1,277"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Newham","","5.2","1,219,297","63,544"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Newham","","4.1","1,011,123","41,109"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Newham","","5.6","197,651","11,067"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Newham","","5.6","3,197,335","179,954"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Norfolk","","5.1","4,711,839","238,462"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Norfolk","","4.2","483,711","20,447"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Norfolk","","3.2","287,864","9,095"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Norfolk","","2.3","116,317","2,693"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Norfolk","","5.2","1,076,858","55,728"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Norfolk","","4.6","261,506","11,973"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Norfolk","","6.7","374,735","25,043"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Norfolk","","5.1","32,075,796","1,630,850"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","North East Lincolnshire","","5","596,681","29,579"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","North East Lincolnshire","","5.3","53,174","2,839"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","North East Lincolnshire","","3.6","16,325","587"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","North East Lincolnshire","","2","8,748","173"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","North East Lincolnshire","","4.8","187,082","9,055"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","North East Lincolnshire","","4.3","58,844","2,555"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","North East Lincolnshire","","5.6","70,383","3,961"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","North East Lincolnshire","","4.9","6,963,560","344,617"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","North Lincolnshire","","5","1,073,551","53,931"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","North Lincolnshire","","5.1","293,088","14,927"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","North Lincolnshire","","4.3","39,440","1,715"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","North Lincolnshire","","3","16,313","494"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","North Lincolnshire","","4.7","145,916","6,811"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","North Lincolnshire","","5.2","48,736","2,535"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","North Lincolnshire","","5.9","58,623","3,466"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","North Lincolnshire","","4.8","7,156,927","340,945"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","North Somerset","","5.2","1,075,669","55,438"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","North Somerset","","4.5","117,321","5,324"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","North Somerset","","4.3","63,859","2,751"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","North Somerset","","3.6","23,917","859"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","North Somerset","","5.1","323,225","16,589"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","North Somerset","","4","19,221","777"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","North Somerset","","5.4","50,777","2,766"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","North Somerset","","4.8","8,882,223","427,170"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","North Tyneside","","4.4","780,024","34,273"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","North Tyneside","","4.5","205,561","9,285"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","North Tyneside","","2.8","64,324","1,784"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","North Tyneside","","3.2","43,956","1,401"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","North Tyneside","","4.3","234,548","10,149"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","North Tyneside","","4.3","47,214","2,027"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","North Tyneside","","8.1","41,098","3,313"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","North Tyneside","","4.8","8,356,163","399,852"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","North Yorkshire","","5.1","2,141,493","110,240"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","North Yorkshire","","4.2","430,538","18,088"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","North Yorkshire","","3.7","99,842","3,694"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","North Yorkshire","","3.3","46,231","1,511"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","North Yorkshire","","4.6","599,857","27,835"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","North Yorkshire","","4.2","97,993","4,147"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","North Yorkshire","","6.7","208,506","13,963"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","North Yorkshire","","4.9","23,392,944","1,141,585"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Northamptonshire","","4.4","9,055,092","399,265"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Northamptonshire","","4.2","1,579,816","66,728"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Northamptonshire","","3","1,782,654","52,694"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Northamptonshire","","2.4","109,655","2,652"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Northamptonshire","","5","1,915,695","95,200"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Northamptonshire","","4.3","228,165","9,701"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Northamptonshire","","5.6","272,690","15,234"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Northamptonshire","","4.9","29,534,141","1,441,322"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Northumberland","","5","664,536","33,369"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Northumberland","","4.6","171,403","7,933"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Northumberland","","3.1","15,152","477"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Northumberland","","3","25,935","791"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Northumberland","","4.9","231,679","11,305"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Northumberland","","5.3","27,501","1,447"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Northumberland","","6.8","49,114","3,343"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Northumberland","","4.9","12,557,271","618,307"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Nottingham","","4.6","7,076,767","324,715"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Nottingham","","4.3","2,284,449","97,955"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Nottingham","","3.1","1,522,577","47,134"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Nottingham","","1.8","57,854","1,047"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Nottingham","","5.4","1,707,996","92,841"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Nottingham","","4.5","368,218","16,731"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Nottingham","","5.3","213,057","11,350"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Nottingham","","5.3","7,203,028","383,734"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Nottinghamshire","","4.4","4,981,524","220,606"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Nottinghamshire","","3.9","974,447","37,770"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Nottinghamshire","","2.9","427,651","12,416"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Nottinghamshire","","2.5","129,562","3,239"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Nottinghamshire","","4.6","1,602,905","73,375"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Nottinghamshire","","4.3","195,703","8,451"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Nottinghamshire","","5.5","448,869","24,685"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Nottinghamshire","","4.5","31,872,350","1,432,217"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Oldham","","5.1","5,993,673","303,229"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Oldham","","4.8","4,345,545","210,654"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Oldham","","2.6","449,330","11,719"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Oldham","","2","47,003","920"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Oldham","","5.5","607,250","33,671"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Oldham","","6.8","135,702","9,275"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Oldham","","6.9","232,102","16,061"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Oldham","","5.2","7,564,700","393,006"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Oxfordshire","","4.9","6,705,897","328,863"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Oxfordshire","","5","1,620,196","81,432"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Oxfordshire","","3.7","705,734","26,430"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Oxfordshire","","3.2","92,582","2,926"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Oxfordshire","","5.3","1,801,177","95,419"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Oxfordshire","","4.1","354,469","14,554"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Oxfordshire","","5.3","438,845","23,260"
"Overall Absence Rate","","Academic year","White","ONS 5+1","Oxfordshire","","4.9","23,158,618","1,124,215"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Peterborough","","4.7","5,369,600","254,912"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Peterborough","","4.6","1,928,794","88,384"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Peterborough","","2.9","402,803","11,657"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Peterborough","","2.2","35,566","790"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Peterborough","","4.8","685,594","32,693"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Peterborough","","4.2","109,868","4,618"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Peterborough","","5.3","243,109","12,798"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Peterborough","","5","7,935,621","397,986"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Plymouth","","4.8","1,310,737","63,456"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Plymouth","","4.9","119,171","5,793"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Plymouth","","3.1","97,186","2,969"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Plymouth","","3.1","53,260","1,636"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Plymouth","","5","330,885","16,382"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Plymouth","","4.3","150,351","6,521"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Plymouth","","5.5","124,063","6,884"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Plymouth","","5.2","10,720,979","553,742"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Poole","","4.8","849,735","40,904"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Poole","","4.3","159,174","6,837"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Poole","","3.3","31,015","1,038"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Poole","","1.6","18,337","293"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Poole","","4.8","256,889","12,270"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Poole","","3.8","28,239","1,084"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Poole","","5.9","52,005","3,055"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Poole","","4.7","5,400,271","251,767"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Portsmouth","","4.3","1,959,739","84,076"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Portsmouth","","4.4","515,867","22,468"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Portsmouth","","2.4","270,297","6,507"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Portsmouth","","2.7","40,395","1,105"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Portsmouth","","5.1","421,271","21,465"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Portsmouth","","4.2","159,852","6,708"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Portsmouth","","6.7","101,570","6,759"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Portsmouth","","5.7","6,929,342","395,489"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Reading","","4.7","3,534,951","166,645"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Reading","","4.5","1,402,214","63,418"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Reading","","3.2","586,553","18,737"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Reading","","3.1","49,130","1,527"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Reading","","5.7","703,681","40,317"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Reading","","4.8","103,749","4,941"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Reading","","5.8","132,890","7,693"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Reading","","5.3","3,473,904","183,279"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Redbridge","","4.6","13,793,839","631,549"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Redbridge","","4.6","8,582,767","395,901"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Redbridge","","3.8","1,804,728","68,770"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Redbridge","","3","90,937","2,694"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Redbridge","","4.9","1,259,198","62,118"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Redbridge","","4.1","245,852","10,164"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Redbridge","","5.4","202,581","11,017"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Redbridge","","4.9","3,882,135","188,563"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Redcar and Cleveland","","5","270,884","13,671"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Redcar and Cleveland","","4.2","56,795","2,364"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Redcar and Cleveland","","2.4","11,164","272"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Redcar and Cleveland","","3.8","3,705","142"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Redcar and Cleveland","","4.4","130,429","5,784"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Redcar and Cleveland","","4.4","20,451","891"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Redcar and Cleveland","","9.6","68,281","6,577"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Redcar and Cleveland","","5.6","6,290,575","354,530"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Richmond upon Thames","","4.1","3,394,943","138,663"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Richmond upon Thames","","4.1","642,568","26,312"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Richmond upon Thames","","3.8","267,812","10,266"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Richmond upon Thames","","2.9","66,551","1,960"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Richmond upon Thames","","4.2","905,079","38,287"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Richmond upon Thames","","4.3","184,264","7,862"
