"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Muslim","80.3","%","543","436"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","No religious character","47.2","%","243875","115187"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Other Christian faith","59.8","%","5628","3363"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Roman catholic","52.4","%","26054","13665"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","All state-funded","Sikh","57.7","%","241","139"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","Converter Academies","All","54.7","%","147222","80555"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","FE 14-16 Colleges","All","7.3","%","562","41"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","Free Schools","All","55.4","%","7051","3905"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","LA maintained mainstream","All","48.3","%","64637","31208"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","Sponsored Academies","All","39.2","%","62275","24391"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","All","49.6","%","285027","141505"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Church of England","51.2","%","15919","8149"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Hindu","73","%","148","108"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Jewish","76","%","679","516"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Muslim","80.3","%","543","436"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","No religious character","48.9","%","235253","115088"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Other Christian faith","59.8","%","5628","3363"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Roman catholic","52.4","%","26054","13665"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded mainstream","Sikh","57.7","%","241","139"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","State-funded special schools","All","1.1","%","8622","99"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","Studio Schools","All","32.6","%","660","215"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","All","University Technical Colleges (UTCs)","All","42.4","%","2343","993"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","37.7","%","15027","5666"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","All state-funded","All","37.9","%","17761","6733"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Converter Academies","All","39.7","%","9068","3601"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Free Schools","All","52.9","%","446","236"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","39","%","2734","1067"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","33.4","%","5373","1792"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","37.9","%","17761","6733"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","26.4","%","140","37"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Academies and free schools","All","48.4","%","193221","93562"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","All state-funded","All","48.2","%","253751","122338"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Converter Academies","All","52.1","%","126900","66157"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Free Schools","All","55.5","%","6605","3669"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","47.4","%","60253","28579"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Sponsored Academies","All","39.7","%","56853","22565"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","State-funded mainstream","All","48.2","%","253751","122338"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","Studio Schools","All","32.6","%","660","215"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","43.4","%","2203","956"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","Academies and free schools","All","95.8","%","11303","10831"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","All state-funded","All","95.7","%","12953","12393"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","Converter Academies","All","95.9","%","11254","10797"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","LA maintained mainstream","All","94.7","%","1650","1562"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","Sponsored Academies","All","!","%","49","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","All","selective schools","State-funded mainstream","All","95.7","%","12953","12393"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Academies and free schools","All","20.2","%","35689","7197"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","All state-funded","All","17","%","55389","9391"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Converter Academies","All","22.8","%","21926","4991"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","FE 14-16 Colleges","All","0","%","11","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Free Schools","All","24.2","%","1151","278"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","LA maintained mainstream","All","18.8","%","11031","2078"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Sponsored Academies","All","14.7","%","11883","1747"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","All","19.9","%","46767","9292"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Church of England","19.4","%","2691","521"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Hindu","26.7","%","15","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Jewish","40.8","%","103","42"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Muslim","37.5","%","48","18"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","No religious character","19.5","%","39179","7631"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Other Christian faith","30","%","827","248"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Roman catholic","21.2","%","3865","821"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Sikh","25","%","28","7"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded special schools","All","1.1","%","8622","99"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","Studio Schools","All","17.3","%","179","31"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","27.3","%","550","150"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","non-selective schools in highly selective areas","State-funded mainstream","All","15.8","%","3395","537"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","non-selective schools in other areas","State-funded mainstream","All","19.1","%","42669","8157"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","selective schools","State-funded mainstream","All","86.4","%","692","598"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Academies and free schools","All","55.9","%","183862","102862"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","All state-funded","All","55.6","%","237711","132172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Converter Academies","All","60.3","%","125296","75564"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","FE 14-16 Colleges","All","!","%","2","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Free Schools","All","61.5","%","5900","3627"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","LA maintained mainstream","All","54.3","%","53606","29130"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Sponsored Academies","All","44.9","%","50392","22644"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","All","55.6","%","237711","132172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Church of England","57.7","%","13228","7628"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Hindu","78.2","%","133","104"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Jewish","82.3","%","576","474"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Muslim","84.4","%","495","418"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","No religious character","54.8","%","196074","107457"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","64.9","%","4801","3115"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","57.9","%","22189","12844"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Sikh","62","%","213","132"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","Studio Schools","All","38.3","%","481","184"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","47","%","1793","843"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","43.1","%","14366","6196"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","54.1","%","211082","114181"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","selective schools","State-funded mainstream","All","96.2","%","12261","11795"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Academies and free schools","All","55.9","%","183862","102862"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","All state-funded","All","55.6","%","237711","132172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Converter Academies","All","60.3","%","125296","75564"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","FE 14-16 Colleges","All","!","%","2","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Free Schools","All","61.5","%","5900","3627"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","LA maintained mainstream","All","54.3","%","53606","29130"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Sponsored Academies","All","44.9","%","50392","22644"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","All","55.6","%","237711","132172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Church of England","57.7","%","13228","7628"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Hindu","78.2","%","133","104"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Jewish","82.3","%","576","474"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Muslim","84.4","%","495","418"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","No religious character","54.8","%","196074","107457"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Other Christian faith","64.9","%","4801","3115"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Roman catholic","57.9","%","22189","12844"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Sikh","62","%","213","132"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Studio Schools","All","38.3","%","481","184"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","University Technical Colleges (UTCs)","All","47","%","1793","843"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.1","%","14366","6196"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","54.1","%","211082","114181"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","selective schools","State-funded mainstream","All","96.2","%","12261","11795"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Academies and free schools","All","15.6","%","6149","961"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","All state-funded","All","8","%","16679","1332"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Converter Academies","All","17.7","%","3920","693"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","FE 14-16 Colleges","All","!","%","1","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Free Schools","All","15.5","%","219","34"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","LA maintained mainstream","All","13.9","%","1950","272"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Sponsored Academies","All","11.2","%","1924","215"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","All","15.2","%","8105","1234"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Church of England","17.3","%","473","82"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Hindu","33.3","%","3","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Jewish","34.4","%","32","11"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Muslim","0","%","3","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","No religious character","15","%","6800","1020"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","17","%","153","26"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","14.8","%","636","94"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Sikh","0","%","4","0"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded special schools","All","1.1","%","8574","98"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Studio Schools","All","3.8","%","26","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","30","%","60","18"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in highly selective areas","State-funded mainstream","All","14","%","657","92"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in other areas","State-funded mainstream","All","14.8","%","7387","1091"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","selective schools","State-funded mainstream","All","85","%","60","51"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Academies and free schools","All","21.1","%","29540","6236"
