"Measure","Ethnicity","Category","Time","Value","Number"
"Percentage of honours recipients","Unknown ","BEM","Oct-20","!","29"
"Percentage of honours recipients","All including Unknown","All","Dec-19","N/A","1097"
"Percentage of honours recipients","All excluding Unknown","All","Dec-19","100","949"
"Percentage of honours recipients","Asian","All","Dec-19","6.322444679","60"
"Percentage of honours recipients","Indian","All","Dec-19","3.161222339","30"
"Percentage of honours recipients","Pakistani","All","Dec-19","1.159114858","11"
"Percentage of honours recipients","Bangladeshi","All","Dec-19","0.52687039","5"
"Percentage of honours recipients","Chinese","All","Dec-19","0.52687039","5"
"Percentage of honours recipients","Asian other","All","Dec-19","0.948366702","9"
"Percentage of honours recipients","Black","All","Dec-19","3.793466807","36"
"Percentage of honours recipients","Black Caribbean","All","Dec-19","2.212855638","21"
"Percentage of honours recipients","Black African","All","Dec-19","1.369863014","13"
"Percentage of honours recipients","Black other ","All","Dec-19","0.210748156","2"
"Percentage of honours recipients","Mixed","All","Dec-19","2.002107482","19"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Dec-19","0.421496312","4"
"Percentage of honours recipients","Mixed White/Black African","All","Dec-19","0.421496312","4"
"Percentage of honours recipients","Mixed White/Asian","All","Dec-19","0.948366702","9"
"Percentage of honours recipients","Mixed other","All","Dec-19","0.210748156","2"
"Percentage of honours recipients","White","All","Dec-19","87.46048472","830"
"Percentage of honours recipients","White British","All","Dec-19","85.03688093","807"
"Percentage of honours recipients","White other","All","Dec-19","2.423603793","23"
"Percentage of honours recipients","Any other","All","Dec-19","0.421496312","4"
"Percentage of honours recipients","Unknown ","All","Dec-19","!","148"
"Percentage of honours recipients","All including Unknown","Higher","Dec-19","N/A","42"
"Percentage of honours recipients","All excluding Unknown","Higher","Dec-19","100","34"
"Percentage of honours recipients","Asian","Higher","Dec-19","0","0"
"Percentage of honours recipients","Indian","Higher","Dec-19","0","0"
"Percentage of honours recipients","Pakistani","Higher","Dec-19","0","0"
"Percentage of honours recipients","Bangladeshi","Higher","Dec-19","0","0"
"Percentage of honours recipients","Chinese","Higher","Dec-19","0","0"
"Percentage of honours recipients","Asian other","Higher","Dec-19","0","0"
"Percentage of honours recipients","Black","Higher","Dec-19","14.70588235","5"
"Percentage of honours recipients","Black Caribbean","Higher","Dec-19","11.76470588","4"
"Percentage of honours recipients","Black African","Higher","Dec-19","2.941176471","1"
"Percentage of honours recipients","Black other ","Higher","Dec-19","0","0"
"Percentage of honours recipients","Mixed","Higher","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Dec-19","0","0"
"Percentage of honours recipients","Mixed other","Higher","Dec-19","0","0"
"Percentage of honours recipients","White","Higher","Dec-19","85.29411765","29"
"Percentage of honours recipients","White British","Higher","Dec-19","85.29411765","29"
"Percentage of honours recipients","White other","Higher","Dec-19","0","0"
"Percentage of honours recipients","Any other","Higher","Dec-19","0","0"
"Percentage of honours recipients","Unknown ","Higher","Dec-19","!","8"
"Percentage of honours recipients","All including Unknown","CBE","Dec-19","N/A","114"
"Percentage of honours recipients","All excluding Unknown","CBE","Dec-19","100","94"
"Percentage of honours recipients","Asian","CBE","Dec-19","5.319148936","5"
"Percentage of honours recipients","Indian","CBE","Dec-19","2.127659574","2"
"Percentage of honours recipients","Pakistani","CBE","Dec-19","0","0"
"Percentage of honours recipients","Bangladeshi","CBE","Dec-19","0","0"
"Percentage of honours recipients","Chinese","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","Asian other","CBE","Dec-19","2.127659574","2"
"Percentage of honours recipients","Black","CBE","Dec-19","4.255319149","4"
"Percentage of honours recipients","Black Caribbean","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","Black African","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","Black other ","CBE","Dec-19","2.127659574","2"
"Percentage of honours recipients","Mixed","CBE","Dec-19","2.127659574","2"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Black African","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","Mixed White/Asian","CBE","Dec-19","0","0"
"Percentage of honours recipients","Mixed other","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","White","CBE","Dec-19","87.23404255","82"
"Percentage of honours recipients","White British","CBE","Dec-19","81.91489362","77"
"Percentage of honours recipients","White other","CBE","Dec-19","5.319148936","5"
"Percentage of honours recipients","Any other","CBE","Dec-19","1.063829787","1"
"Percentage of honours recipients","Unknown ","CBE","Dec-19","!","20"
"Percentage of honours recipients","All including Unknown","OBE","Dec-19","N/A","229"
"Percentage of honours recipients","All excluding Unknown","OBE","Dec-19","100","200"
"Percentage of honours recipients","Asian","OBE","Dec-19","6","12"
"Percentage of honours recipients","Indian","OBE","Dec-19","3.5","7"
"Percentage of honours recipients","Pakistani","OBE","Dec-19","1.5","3"
"Percentage of honours recipients","Bangladeshi","OBE","Dec-19","0.5","1"
"Percentage of honours recipients","Chinese","OBE","Dec-19","0","0"
"Percentage of honours recipients","Asian other","OBE","Dec-19","0.5","1"
"Percentage of honours recipients","Black","OBE","Dec-19","3","6"
"Percentage of honours recipients","Black Caribbean","OBE","Dec-19","2","4"
"Percentage of honours recipients","Black African","OBE","Dec-19","1","2"
"Percentage of honours recipients","Black other ","OBE","Dec-19","0","0"
"Percentage of honours recipients","Mixed","OBE","Dec-19","2","4"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Black African","OBE","Dec-19","0.5","1"
"Percentage of honours recipients","Mixed White/Asian","OBE","Dec-19","1","2"
"Percentage of honours recipients","Mixed other","OBE","Dec-19","0.5","1"
"Percentage of honours recipients","White","OBE","Dec-19","88.5","177"
"Percentage of honours recipients","White British","OBE","Dec-19","85.5","171"
"Percentage of honours recipients","White other","OBE","Dec-19","3","6"
"Percentage of honours recipients","Any other","OBE","Dec-19","0.5","1"
"Percentage of honours recipients","Unknown ","OBE","Dec-19","!","29"
"Percentage of honours recipients","All including Unknown","MBE","Dec-19","N/A","397"
"Percentage of honours recipients","All excluding Unknown","MBE","Dec-19","100","359"
"Percentage of honours recipients","Asian","MBE","Dec-19","8.077994429","29"
"Percentage of honours recipients","Indian","MBE","Dec-19","3.621169916","13"
"Percentage of honours recipients","Pakistani","MBE","Dec-19","1.949860724","7"
"Percentage of honours recipients","Bangladeshi","MBE","Dec-19","0.835654596","3"
"Percentage of honours recipients","Chinese","MBE","Dec-19","0.835654596","3"
"Percentage of honours recipients","Asian other","MBE","Dec-19","0.835654596","3"
"Percentage of honours recipients","Black","MBE","Dec-19","3.899721448","14"
"Percentage of honours recipients","Black Caribbean","MBE","Dec-19","2.228412256","8"
"Percentage of honours recipients","Black African","MBE","Dec-19","1.671309192","6"
"Percentage of honours recipients","Black other ","MBE","Dec-19","0","0"
"Percentage of honours recipients","Mixed","MBE","Dec-19","2.78551532","10"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Dec-19","0.835654596","3"
"Percentage of honours recipients","Mixed White/Black African","MBE","Dec-19","0.557103064","2"
"Percentage of honours recipients","Mixed White/Asian","MBE","Dec-19","1.39275766","5"
"Percentage of honours recipients","Mixed other","MBE","Dec-19","0","0"
"Percentage of honours recipients","White","MBE","Dec-19","84.67966574","304"
"Percentage of honours recipients","White British","MBE","Dec-19","83.00835655","298"
"Percentage of honours recipients","White other","MBE","Dec-19","1.671309192","6"
"Percentage of honours recipients","Any other","MBE","Dec-19","0.557103064","2"
"Percentage of honours recipients","Unknown ","MBE","Dec-19","!","38"
"Percentage of honours recipients","All including Unknown","BEM","Dec-19","N/A","315"
"Percentage of honours recipients","All excluding Unknown","BEM","Dec-19","100","262"
"Percentage of honours recipients","Asian","BEM","Dec-19","5.34351145","14"
"Percentage of honours recipients","Indian","BEM","Dec-19","3.053435115","8"
"Percentage of honours recipients","Pakistani","BEM","Dec-19","0.381679389","1"
"Percentage of honours recipients","Bangladeshi","BEM","Dec-19","0.381679389","1"
"Percentage of honours recipients","Chinese","BEM","Dec-19","0.381679389","1"
"Percentage of honours recipients","Asian other","BEM","Dec-19","1.145038168","3"
"Percentage of honours recipients","Black","BEM","Dec-19","2.671755725","7"
"Percentage of honours recipients","Black Caribbean","BEM","Dec-19","1.526717557","4"
"Percentage of honours recipients","Black African","BEM","Dec-19","1.145038168","3"
"Percentage of honours recipients","Black other ","BEM","Dec-19","0","0"
"Percentage of honours recipients","Mixed","BEM","Dec-19","1.145038168","3"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Dec-19","0.381679389","1"
"Percentage of honours recipients","Mixed White/Black African","BEM","Dec-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","BEM","Dec-19","0.763358779","2"
"Percentage of honours recipients","Mixed other","BEM","Dec-19","0","0"
"Percentage of honours recipients","White","BEM","Dec-19","90.83969466","238"
"Percentage of honours recipients","White British","BEM","Dec-19","88.54961832","232"
"Percentage of honours recipients","White other","BEM","Dec-19","2.290076336","6"
"Percentage of honours recipients","Any other","BEM","Dec-19","0","0"
"Percentage of honours recipients","Unknown ","BEM","Dec-19","!","53"
"Percentage of honours recipients","All including Unknown","All","Jun-19","N/A","1073"
"Percentage of honours recipients","All excluding Unknown","All","Jun-19","100","939"
"Percentage of honours recipients","Asian","All","Jun-19","5.750798722","54"
"Percentage of honours recipients","Indian","All","Jun-19","3.833865815","36"
"Percentage of honours recipients","Pakistani","All","Jun-19","0.851970181","8"
"Percentage of honours recipients","Bangladeshi","All","Jun-19","0.319488818","3"
"Percentage of honours recipients","Chinese","All","Jun-19","0.319488818","3"
"Percentage of honours recipients","Asian other","All","Jun-19","0.425985091","4"
"Percentage of honours recipients","Black","All","Jun-19","3.194888179","30"
"Percentage of honours recipients","Black Caribbean","All","Jun-19","2.129925453","20"
"Percentage of honours recipients","Black African","All","Jun-19","0.958466454","9"
"Percentage of honours recipients","Black other ","All","Jun-19","0.106496273","1"
"Percentage of honours recipients","Mixed","All","Jun-19","1.171458999","11"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Jun-19","0.532481363","5"
"Percentage of honours recipients","Mixed White/Black African","All","Jun-19","0.106496273","1"
"Percentage of honours recipients","Mixed White/Asian","All","Jun-19","0.532481363","5"
"Percentage of honours recipients","Mixed other","All","Jun-19","0","0"
"Percentage of honours recipients","White","All","Jun-19","89.56336528","841"
"Percentage of honours recipients","White British","All","Jun-19","88.92438765","835"
"Percentage of honours recipients","White other","All","Jun-19","0.638977636","6"
"Percentage of honours recipients","Any other","All","Jun-19","0.319488818","3"
"Percentage of honours recipients","Unknown ","All","Jun-19","!","134"
"Percentage of honours recipients","All including Unknown","Higher","Jun-19","N/A","47"
"Percentage of honours recipients","All excluding Unknown","Higher","Jun-19","100","31"
"Percentage of honours recipients","Asian","Higher","Jun-19","0","0"
"Percentage of honours recipients","Indian","Higher","Jun-19","0","0"
"Percentage of honours recipients","Pakistani","Higher","Jun-19","0","0"
"Percentage of honours recipients","Bangladeshi","Higher","Jun-19","0","0"
"Percentage of honours recipients","Chinese","Higher","Jun-19","0","0"
"Percentage of honours recipients","Asian other","Higher","Jun-19","0","0"
"Percentage of honours recipients","Black","Higher","Jun-19","3.225806452","1"
"Percentage of honours recipients","Black Caribbean","Higher","Jun-19","3.225806452","1"
"Percentage of honours recipients","Black African","Higher","Jun-19","0","0"
"Percentage of honours recipients","Black other ","Higher","Jun-19","0","0"
"Percentage of honours recipients","Mixed","Higher","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Jun-19","0","0"
"Percentage of honours recipients","Mixed other","Higher","Jun-19","0","0"
"Percentage of honours recipients","White","Higher","Jun-19","96.77419355","30"
"Percentage of honours recipients","White British","Higher","Jun-19","96.77419355","30"
"Percentage of honours recipients","White other","Higher","Jun-19","0","0"
"Percentage of honours recipients","Any other","Higher","Jun-19","0","0"
"Percentage of honours recipients","Unknown ","Higher","Jun-19","!","16"
"Percentage of honours recipients","All including Unknown","CBE","Jun-19","N/A","107"
"Percentage of honours recipients","All excluding Unknown","CBE","Jun-19","100","95"
"Percentage of honours recipients","Asian","CBE","Jun-19","2.105263158","2"
"Percentage of honours recipients","Indian","CBE","Jun-19","2.105263158","2"
"Percentage of honours recipients","Pakistani","CBE","Jun-19","0","0"
"Percentage of honours recipients","Bangladeshi","CBE","Jun-19","0","0"
"Percentage of honours recipients","Chinese","CBE","Jun-19","0","0"
"Percentage of honours recipients","Asian other","CBE","Jun-19","0","0"
"Percentage of honours recipients","Black","CBE","Jun-19","4.210526316","4"
"Percentage of honours recipients","Black Caribbean","CBE","Jun-19","3.157894737","3"
"Percentage of honours recipients","Black African","CBE","Jun-19","1.052631579","1"
"Percentage of honours recipients","Black other ","CBE","Jun-19","0","0"
"Percentage of honours recipients","Mixed","CBE","Jun-19","1.052631579","1"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Jun-19","1.052631579","1"
"Percentage of honours recipients","Mixed White/Black African","CBE","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","CBE","Jun-19","0","0"
"Percentage of honours recipients","Mixed other","CBE","Jun-19","0","0"
"Percentage of honours recipients","White","CBE","Jun-19","92.63157895","88"
"Percentage of honours recipients","White British","CBE","Jun-19","92.63157895","88"
"Percentage of honours recipients","White other","CBE","Jun-19","0","0"
"Percentage of honours recipients","Any other","CBE","Jun-19","0","0"
"Percentage of honours recipients","Unknown ","CBE","Jun-19","!","12"
"Percentage of honours recipients","All including Unknown","OBE","Jun-19","N/A","215"
"Percentage of honours recipients","All excluding Unknown","OBE","Jun-19","100","191"
"Percentage of honours recipients","Asian","OBE","Jun-19","8.90052356","17"
"Percentage of honours recipients","Indian","OBE","Jun-19","6.806282723","13"
"Percentage of honours recipients","Pakistani","OBE","Jun-19","1.047120419","2"
"Percentage of honours recipients","Bangladeshi","OBE","Jun-19","0","0"
"Percentage of honours recipients","Chinese","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Asian other","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Black","OBE","Jun-19","4.712041885","9"
"Percentage of honours recipients","Black Caribbean","OBE","Jun-19","3.664921466","7"
"Percentage of honours recipients","Black African","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Black other ","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Mixed","OBE","Jun-19","2.094240838","4"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Jun-19","1.047120419","2"
"Percentage of honours recipients","Mixed White/Black African","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Mixed White/Asian","OBE","Jun-19","0.523560209","1"
"Percentage of honours recipients","Mixed other","OBE","Jun-19","0","0"
"Percentage of honours recipients","White","OBE","Jun-19","84.29319372","161"
"Percentage of honours recipients","White British","OBE","Jun-19","84.29319372","161"
"Percentage of honours recipients","White other","OBE","Jun-19","0","0"
"Percentage of honours recipients","Any other","OBE","Jun-19","0","0"
"Percentage of honours recipients","Unknown ","OBE","Jun-19","!","24"
"Percentage of honours recipients","All including Unknown","MBE","Jun-19","N/A","399"
"Percentage of honours recipients","All excluding Unknown","MBE","Jun-19","100","339"
"Percentage of honours recipients","Asian","MBE","Jun-19","7.079646018","24"
"Percentage of honours recipients","Indian","MBE","Jun-19","5.014749263","17"
"Percentage of honours recipients","Pakistani","MBE","Jun-19","0.884955752","3"
"Percentage of honours recipients","Bangladeshi","MBE","Jun-19","0.589970501","2"
"Percentage of honours recipients","Chinese","MBE","Jun-19","0.589970501","2"
"Percentage of honours recipients","Asian other","MBE","Jun-19","0","0"
"Percentage of honours recipients","Black","MBE","Jun-19","3.244837758","11"
"Percentage of honours recipients","Black Caribbean","MBE","Jun-19","1.769911504","6"
"Percentage of honours recipients","Black African","MBE","Jun-19","1.474926254","5"
"Percentage of honours recipients","Black other ","MBE","Jun-19","0","0"
"Percentage of honours recipients","Mixed","MBE","Jun-19","1.474926254","5"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Jun-19","0.589970501","2"
"Percentage of honours recipients","Mixed White/Black African","MBE","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","MBE","Jun-19","0.884955752","3"
"Percentage of honours recipients","Mixed other","MBE","Jun-19","0","0"
"Percentage of honours recipients","White","MBE","Jun-19","87.31563422","296"
"Percentage of honours recipients","White British","MBE","Jun-19","86.13569322","292"
"Percentage of honours recipients","White other","MBE","Jun-19","1.179941003","4"
"Percentage of honours recipients","Any other","MBE","Jun-19","0.884955752","3"
"Percentage of honours recipients","Unknown ","MBE","Jun-19","!","60"
"Percentage of honours recipients","All including Unknown","BEM","Jun-19","N/A","306"
"Percentage of honours recipients","All excluding Unknown","BEM","Jun-19","100","284"
"Percentage of honours recipients","Asian","BEM","Jun-19","3.873239437","11"
"Percentage of honours recipients","Indian","BEM","Jun-19","1.408450704","4"
"Percentage of honours recipients","Pakistani","BEM","Jun-19","1.056338028","3"
"Percentage of honours recipients","Bangladeshi","BEM","Jun-19","0.352112676","1"
"Percentage of honours recipients","Chinese","BEM","Jun-19","0","0"
"Percentage of honours recipients","Asian other","BEM","Jun-19","1.056338028","3"
"Percentage of honours recipients","Black","BEM","Jun-19","2.112676056","6"
"Percentage of honours recipients","Black Caribbean","BEM","Jun-19","1.408450704","4"
"Percentage of honours recipients","Black African","BEM","Jun-19","0.704225352","2"
"Percentage of honours recipients","Black other ","BEM","Jun-19","0","0"
"Percentage of honours recipients","Mixed","BEM","Jun-19","0.352112676","1"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Black African","BEM","Jun-19","0","0"
"Percentage of honours recipients","Mixed White/Asian","BEM","Jun-19","0.352112676","1"
"Percentage of honours recipients","Mixed other","BEM","Jun-19","0","0"
"Percentage of honours recipients","White","BEM","Jun-19","93.66197183","266"
"Percentage of honours recipients","White British","BEM","Jun-19","92.95774648","264"
"Percentage of honours recipients","White other","BEM","Jun-19","0.704225352","2"
"Percentage of honours recipients","Any other","BEM","Jun-19","0","0"
"Percentage of honours recipients","Unknown ","BEM","Jun-19","!","22"
"Percentage of honours recipients","All including Unknown","All","Dec-18","N/A","1148"
"Percentage of honours recipients","All excluding Unknown","All","Dec-18","100","974"
"Percentage of honours recipients","Asian","All","Dec-18","6.160164271","60"
"Percentage of honours recipients","Indian","All","Dec-18","3.901437372","38"
"Percentage of honours recipients","Pakistani","All","Dec-18","1.232032854","12"
"Percentage of honours recipients","Bangladeshi","All","Dec-18","0.308008214","3"
"Percentage of honours recipients","Chinese","All","Dec-18","0.205338809","2"
"Percentage of honours recipients","Asian other","All","Dec-18","0.513347023","5"
"Percentage of honours recipients","Black","All","Dec-18","4.31211499","42"
"Percentage of honours recipients","Black Caribbean","All","Dec-18","2.464065708","24"
"Percentage of honours recipients","Black African","All","Dec-18","1.334702259","13"
"Percentage of honours recipients","Black other ","All","Dec-18","0.513347023","5"
"Percentage of honours recipients","Mixed","All","Dec-18","1.334702259","13"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Dec-18","0.616016427","6"
"Percentage of honours recipients","Mixed White/Black African","All","Dec-18","0.102669405","1"
"Percentage of honours recipients","Mixed White/Asian","All","Dec-18","0.205338809","2"
"Percentage of honours recipients","Mixed other","All","Dec-18","0.410677618","4"
"Percentage of honours recipients","White","All","Dec-18","88.19301848","859"
"Percentage of honours recipients","White British","All","Dec-18","87.06365503","848"
"Percentage of honours recipients","White other","All","Dec-18","1.12936345","11"
"Percentage of honours recipients","Any other","All","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","All","Dec-18","!","174"
"Percentage of honours recipients","All including Unknown","Higher","Dec-18","N/A","39"
"Percentage of honours recipients","All excluding Unknown","Higher","Dec-18","100","23"
"Percentage of honours recipients","Asian","Higher","Dec-18","0","0"
"Percentage of honours recipients","Indian","Higher","Dec-18","0","0"
"Percentage of honours recipients","Pakistani","Higher","Dec-18","0","0"
"Percentage of honours recipients","Bangladeshi","Higher","Dec-18","0","0"
"Percentage of honours recipients","Chinese","Higher","Dec-18","0","0"
"Percentage of honours recipients","Asian other","Higher","Dec-18","0","0"
"Percentage of honours recipients","Black","Higher","Dec-18","0","0"
"Percentage of honours recipients","Black Caribbean","Higher","Dec-18","0","0"
"Percentage of honours recipients","Black African","Higher","Dec-18","0","0"
"Percentage of honours recipients","Black other ","Higher","Dec-18","0","0"
"Percentage of honours recipients","Mixed","Higher","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Dec-18","0","0"
"Percentage of honours recipients","Mixed other","Higher","Dec-18","0","0"
"Percentage of honours recipients","White","Higher","Dec-18","100","23"
"Percentage of honours recipients","White British","Higher","Dec-18","100","23"
"Percentage of honours recipients","White other","Higher","Dec-18","0","0"
"Percentage of honours recipients","Any other","Higher","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","Higher","Dec-18","!","16"
"Percentage of honours recipients","All including Unknown","CBE","Dec-18","N/A","91"
"Percentage of honours recipients","All excluding Unknown","CBE","Dec-18","100","82"
"Percentage of honours recipients","Asian","CBE","Dec-18","2.43902439","2"
"Percentage of honours recipients","Indian","CBE","Dec-18","2.43902439","2"
"Percentage of honours recipients","Pakistani","CBE","Dec-18","0","0"
"Percentage of honours recipients","Bangladeshi","CBE","Dec-18","0","0"
"Percentage of honours recipients","Chinese","CBE","Dec-18","0","0"
"Percentage of honours recipients","Asian other","CBE","Dec-18","0","0"
"Percentage of honours recipients","Black","CBE","Dec-18","1.219512195","1"
"Percentage of honours recipients","Black Caribbean","CBE","Dec-18","1.219512195","1"
"Percentage of honours recipients","Black African","CBE","Dec-18","0","0"
"Percentage of honours recipients","Black other ","CBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed","CBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Black African","CBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Asian","CBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed other","CBE","Dec-18","0","0"
"Percentage of honours recipients","White","CBE","Dec-18","96.34146341","79"
"Percentage of honours recipients","White British","CBE","Dec-18","90.24390244","74"
"Percentage of honours recipients","White other","CBE","Dec-18","6.097560976","5"
"Percentage of honours recipients","Any other","CBE","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","CBE","Dec-18","!","9"
"Percentage of honours recipients","All including Unknown","OBE","Dec-18","N/A","238"
"Percentage of honours recipients","All excluding Unknown","OBE","Dec-18","100","217"
"Percentage of honours recipients","Asian","OBE","Dec-18","5.069124424","11"
"Percentage of honours recipients","Indian","OBE","Dec-18","1.382488479","3"
"Percentage of honours recipients","Pakistani","OBE","Dec-18","1.843317972","4"
"Percentage of honours recipients","Bangladeshi","OBE","Dec-18","0","0"
"Percentage of honours recipients","Chinese","OBE","Dec-18","0.921658986","2"
"Percentage of honours recipients","Asian other","OBE","Dec-18","0.921658986","2"
"Percentage of honours recipients","Black","OBE","Dec-18","4.608294931","10"
"Percentage of honours recipients","Black Caribbean","OBE","Dec-18","3.225806452","7"
"Percentage of honours recipients","Black African","OBE","Dec-18","0.460829493","1"
"Percentage of honours recipients","Black other ","OBE","Dec-18","0.921658986","2"
"Percentage of honours recipients","Mixed","OBE","Dec-18","3.225806452","7"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Dec-18","1.843317972","4"
"Percentage of honours recipients","Mixed White/Black African","OBE","Dec-18","0.460829493","1"
"Percentage of honours recipients","Mixed White/Asian","OBE","Dec-18","0.460829493","1"
"Percentage of honours recipients","Mixed other","OBE","Dec-18","0.460829493","1"
"Percentage of honours recipients","White","OBE","Dec-18","87.09677419","189"
"Percentage of honours recipients","White British","OBE","Dec-18","85.25345622","185"
"Percentage of honours recipients","White other","OBE","Dec-18","1.843317972","4"
"Percentage of honours recipients","Any other","OBE","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","OBE","Dec-18","!","21"
"Percentage of honours recipients","All including Unknown","MBE","Dec-18","N/A","422"
"Percentage of honours recipients","All excluding Unknown","MBE","Dec-18","100","351"
"Percentage of honours recipients","Asian","MBE","Dec-18","11.96581197","42"
"Percentage of honours recipients","Indian","MBE","Dec-18","8.262108262","29"
"Percentage of honours recipients","Pakistani","MBE","Dec-18","2.279202279","8"
"Percentage of honours recipients","Bangladeshi","MBE","Dec-18","0.854700855","3"
"Percentage of honours recipients","Chinese","MBE","Dec-18","0","0"
"Percentage of honours recipients","Asian other","MBE","Dec-18","0.56980057","2"
"Percentage of honours recipients","Black","MBE","Dec-18","5.128205128","18"
"Percentage of honours recipients","Black Caribbean","MBE","Dec-18","2.849002849","10"
"Percentage of honours recipients","Black African","MBE","Dec-18","1.424501425","5"
"Percentage of honours recipients","Black other ","MBE","Dec-18","0.854700855","3"
"Percentage of honours recipients","Mixed","MBE","Dec-18","0.56980057","2"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Dec-18","0.284900285","1"
"Percentage of honours recipients","Mixed White/Black African","MBE","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Asian","MBE","Dec-18","0.284900285","1"
"Percentage of honours recipients","Mixed other","MBE","Dec-18","0","0"
"Percentage of honours recipients","White","MBE","Dec-18","82.33618234","289"
"Percentage of honours recipients","White British","MBE","Dec-18","82.05128205","288"
"Percentage of honours recipients","White other","MBE","Dec-18","0.284900285","1"
"Percentage of honours recipients","Any other","MBE","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","MBE","Dec-18","!","71"
"Percentage of honours recipients","All including Unknown","BEM","Dec-18","N/A","358"
"Percentage of honours recipients","All excluding Unknown","BEM","Dec-18","100","301"
"Percentage of honours recipients","Asian","BEM","Dec-18","1.661129568","5"
"Percentage of honours recipients","Indian","BEM","Dec-18","1.328903654","4"
"Percentage of honours recipients","Pakistani","BEM","Dec-18","0","0"
"Percentage of honours recipients","Bangladeshi","BEM","Dec-18","0","0"
"Percentage of honours recipients","Chinese","BEM","Dec-18","0","0"
"Percentage of honours recipients","Asian other","BEM","Dec-18","0.332225914","1"
"Percentage of honours recipients","Black","BEM","Dec-18","4.318936877","13"
"Percentage of honours recipients","Black Caribbean","BEM","Dec-18","1.993355482","6"
"Percentage of honours recipients","Black African","BEM","Dec-18","2.325581395","7"
"Percentage of honours recipients","Black other ","BEM","Dec-18","0","0"
"Percentage of honours recipients","Mixed","BEM","Dec-18","1.328903654","4"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Dec-18","0.332225914","1"
"Percentage of honours recipients","Mixed White/Black African","BEM","Dec-18","0","0"
"Percentage of honours recipients","Mixed White/Asian","BEM","Dec-18","0","0"
"Percentage of honours recipients","Mixed other","BEM","Dec-18","0.996677741","3"
"Percentage of honours recipients","White","BEM","Dec-18","92.6910299","279"
"Percentage of honours recipients","White British","BEM","Dec-18","92.35880399","278"
"Percentage of honours recipients","White other","BEM","Dec-18","0.332225914","1"
"Percentage of honours recipients","Any other","BEM","Dec-18","0","0"
"Percentage of honours recipients","Unknown ","BEM","Dec-18","!","57"
"Percentage of honours recipients","All including Unknown","All","Jun-18","N/A","1077"
"Percentage of honours recipients","All excluding Unknown","All","Jun-18","100","1002"
"Percentage of honours recipients","Asian","All","Jun-18","5.588822355","56"
