"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","1","600"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","8","600"
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","6","600"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","65","61106"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","61106"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","61106"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","2","61106"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","7","61106"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","8","61106"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","1","61106"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","5","61106"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","3","61106"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","64","56608"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","56608"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","56608"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","2","56608"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","7","56608"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","8","56608"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","1","56608"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","5","56608"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","3","56608"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","63","54352"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","7","54352"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","54352"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","54352"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","8","54352"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","9","54352"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","54352"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","5","54352"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","2","54352"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","77","2256"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","9","2256"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","1","2256"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","2","2256"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","2","2256"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","2","2256"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","~","2256"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","4","2256"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White Other","ONS 5+2","3","2256"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","66","426"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","426"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","~","426"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","4","426"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","426"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","426"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","426"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","426"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","426"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","69","2226"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","9","2226"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","1","2226"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","4","2226"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","3","2226"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","2","2226"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","1","2226"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","7","2226"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","6","2226"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","73","954"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","11","954"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","954"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","954"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","3","954"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","3","954"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","1","954"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","4","954"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","3","954"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","59","514"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","10","514"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","~","514"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","10","514"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","514"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","1","514"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","2","514"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","10","514"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","6","514"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","57","212"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","3","212"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","~","212"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","10","212"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","4","212"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","3","212"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","1","212"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","16","212"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","6","212"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","76","187"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","3","187"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","1","187"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","1","187"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","1","187"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","1","187"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","~","187"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","3","187"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","13","187"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","70","359"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","5","359"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","~","359"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","3","359"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","2","359"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","2","359"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","~","359"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","7","359"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","10","359"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","64","1322"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1322"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","~","1322"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1322"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","4","1322"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","2","1322"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1322"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","13","1322"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1322"
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","64","524"
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","7","524"
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","1","524"
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","4","524"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","3","524"
"Share of income made up by Private pensions by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","5","524"
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","1","524"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","9","524"
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","7","524"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","64","59881"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","8","59881"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","2","59881"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","2","59881"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","7","59881"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","8","59881"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","1","59881"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","5","59881"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","3","59881"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","64","55400"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","8","55400"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","2","55400"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","2","55400"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","7","55400"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","9","55400"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","1","55400"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","5","55400"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","3","55400"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","63","53052"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","8","53052"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","2","53052"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","2","53052"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","8","53052"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","9","53052"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","1","53052"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","5","53052"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","3","53052"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","77","2348"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","9","2348"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","1","2348"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","2","2348"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","2","2348"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","2","2348"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","~","2348"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","4","2348"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White Other","ONS 5+2","3","2348"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","68","433"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","433"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","~","433"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","433"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","433"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","433"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","433"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","433"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","433"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","68","2252"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","9","2252"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","1","2252"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","4","2252"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","2","2252"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","2","2252"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","1","2252"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","6","2252"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","7","2252"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","74","980"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","11","980"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","1","980"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","1","980"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","3","980"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","2","980"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","1","980"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","4","980"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","3","980"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","59","516"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","11","516"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","~","516"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","9","516"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","2","516"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","1","516"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","2","516"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","10","516"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","6","516"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","58","221"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","6","221"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","1","221"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","9","221"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","3","221"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","2","221"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","1","221"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","14","221"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","6","221"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","70","198"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","4","198"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","198"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","198"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","1","198"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","2","198"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","~","198"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","2","198"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","19","198"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","65","337"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","9","337"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","~","337"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","3","337"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","2","337"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","3","337"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","~","337"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","7","337"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","11","337"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","65","1323"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1323"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","~","1323"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1323"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1323"
"Share of income made up by Private pensions by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1323"
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","1","1323"
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","12","1323"
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","5","1323"
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","62","473"
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","7","473"
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","2","473"
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","3","473"
