"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","CI lower","CI upper","Sample size",""
"All Domestic Abuse","All","All","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Male","16-74","3.8","%","3.2","4.3","6005",""
"All Domestic Abuse","White","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","7.2","%","6.5","7.9","6404",""
"All Domestic Abuse","White British","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","7.6","%","6.8","8.4","5862",""
"All Domestic Abuse","White Irish","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","~",""
"All Domestic Abuse","White Gypsy or Irish Traveller","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","~",""
"All Domestic Abuse","White: Other White","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","3.8","%","1.8","5.9","494",""
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","20.0","%","11.4","28.7","110",""
"All Domestic Abuse","Mixed White and Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","39",""
"All Domestic Abuse","Mixed White and Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","18",""
"All Domestic Abuse","Mixed White and Asian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","24",""
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","29",""
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","5.7","%","2.8","8.5","382",""
"All Domestic Abuse","Indian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","6.2","%","2.1","10.4","153",""
"All Domestic Abuse","Pakistani","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","9.1","%","0.8","17.5","85",""
"All Domestic Abuse","Bangladeshi","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","38",""
"All Domestic Abuse","Chinese","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","35",""
"All Domestic Abuse","Asian Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","2.7","%","0.0","7.9","71",""
"All Domestic Abuse","Black","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","10.4","%","5.6","15.1","219",""
"All Domestic Abuse","Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","7.1","%","2.6","11.5","139",""
"All Domestic Abuse","Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","18.7","%","7.1","30.4","68",""
"All Domestic Abuse","Black Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","12",""
"All Domestic Abuse","Other","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","11.8","%","1.3","22.2","55",""
"All Domestic Abuse","Arab","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","14",""
"All Domestic Abuse","Any Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","-","%","-","-","41",""
"All Domestic Abuse","All","All","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","Female","16-74","7.5","%","6.8","8.2","7183",""
"All Domestic Abuse","White","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","5.6","%","5.1","6.1","11741",""
"All Domestic Abuse","White British","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","5.9","%","5.4","6.4","10797",""
"All Domestic Abuse","White Irish","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","~","%","~","~","~",""
"All Domestic Abuse","White Gypsy or Irish Traveller","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","~",""
"All Domestic Abuse","White: Other White","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","2.9","%","1.6","4.2","858",""
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","12.9","%","7.5","18.3","175",""
"All Domestic Abuse","Mixed White and Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","17.3","%","7.1","27.5","59",""
"All Domestic Abuse","Mixed White and Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","27",""
"All Domestic Abuse","Mixed White and Asian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","45",""
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","44",""
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","3.8","%","2.2","5.4","784",""
"All Domestic Abuse","Indian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","4.0","%","1.7","6.3","317",""
"All Domestic Abuse","Pakistani","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","4.5","%","0.7","8.4","177",""
"All Domestic Abuse","Bangladeshi","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","1.1","%","0.0","2.8","80",""
"All Domestic Abuse","Chinese","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","2.1","%","0.0","4.6","67",""
"All Domestic Abuse","Asian Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","5.2","%","0.3","10.0","143",""
"All Domestic Abuse","Black","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","7.1","%","4.2","9.9","353",""
"All Domestic Abuse","Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","5.3","%","2.4","8.1","230",""
"All Domestic Abuse","Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","13.2","%","5.4","21.1","104",""
"All Domestic Abuse","Black Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","19",""
"All Domestic Abuse","Other","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","6.7","%","1.4","12.0","113",""
"All Domestic Abuse","Arab","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","-","%","-","-","35",""
"All Domestic Abuse","Any Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","7.1","%","0.4","13.8","78",""
"All Domestic Abuse","All","All","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-74","5.7","%","5.2","6.1","13188",""
