"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Value","Value_Type","confidence_interval","Numerator","denominator","samp_size"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","East Midlands","35","%","15.2","7000","20000","94"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","East of England","38","%","16.5","8100","21500","83"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","London","28","%","6.2","46400","166000","501"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","North East","37","%","22.5","1900","5200","44"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","North West","37","%","10.6","13700","37200","197"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","Scotland","30","%","20.7","3300","10900","47"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","South East","47","%","12.5","13000","27500","154"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","South West","41","%","20.5","7000","17000","55"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","Wales","38","%","26.6","1700","4500","32"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","West Midlands","27","%","10.7","13600","50100","166"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2014","year","Yorkshire and The Humber","18","%","11.2","6600","36900","113"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","All","36","%","1.7","558400","1569500","7571"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","East Midlands","33","%","7.8","36800","110900","350"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","East of England","39","%","7.2","54200","139000","440"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","London","37","%","7","55200","150600","454"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","North East","33","%","5.2","33900","102600","792"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","North West","33","%","4.5","67600","206400","1028"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","Scotland","33","%","4.5","51500","157400","1051"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","South East","41","%","5.5","77200","190700","771"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","South West","46","%","6.8","56200","122300","515"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","Wales","32","%","4.7","30900","95600","945"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","West Midlands","32","%","6.4","43800","136000","516"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2014","year","Yorkshire and The Humber","32","%","5.4","51200","158000","709"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","All","38","%","1.1","639100","1675200","7508"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","East Midlands","37","%","5","40300","109800","358"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","East of England","41","%","4.8","49900","123200","407"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","London","38","%","3.3","106300","283500","820"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","North East","33","%","3.5","32600","97600","678"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","North West","36","%","3.1","66700","186100","943"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","Scotland","35","%","3","56200","159300","976"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","South East","48","%","3.6","93000","193700","752"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","South West","48","%","4.6","53300","110100","456"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","Wales","33","%","3.2","28600","87900","833"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","West Midlands","33","%","3.8","52400","161500","595"
"0-3 months","Length of time spent in unemployment","All","All","2015","year","Yorkshire and The Humber","37","%","3.6","59700","162500","690"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","All","35","%","4.1","128700","363900","1286"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","East Midlands","36","%","16","7000","19500","86"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","East of England","40","%","18.5","5600","14000","67"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","London","32","%","6.9","49800","154500","445"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","North East","42","%","24.1","2400","5900","40"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","North West","34","%","11.3","12300","35700","169"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","Scotland","45","%","25.3","4200","9300","37"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","South East","48","%","13.2","15100","31600","138"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","South West","31","%","24.2","3300","10600","35"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","Wales","30","%","23.9","1600","5500","35"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","West Midlands","33","%","12.4","15600","46700","138"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2015","year","Yorkshire and The Humber","39","%","15.4","11800","30700","96"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","All","39","%","1.9","509800","1310000","6217"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","East Midlands","37","%","9.1","33300","90300","272"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","East of England","41","%","8.2","44300","109100","340"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","London","44","%","7.9","56500","129100","375"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","North East","33","%","5.8","30100","91800","638"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","North West","36","%","5.4","54400","150300","773"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","Scotland","35","%","4.8","51500","148800","935"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","South East","48","%","6.2","77900","162100","614"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","South West","50","%","7.5","50000","99500","421"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","Wales","33","%","5.1","27000","82400","798"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","West Midlands","32","%","6.8","36900","114700","457"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2015","year","Yorkshire and The Humber","36","%","6.1","47900","131800","594"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","All","42","%","1.2","650200","1552000","6250"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","East Midlands","43","%","5.6","43500","101100","299"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","East of England","45","%","5","54000","120200","378"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","London","43","%","3.6","114400","268900","713"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","North East","31","%","4.1","26000","84600","498"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","North West","43","%","3.4","78500","181700","828"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","Scotland","42","%","3.6","55100","130400","735"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","South East","46","%","3.8","86300","188600","660"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","South West","50","%","4.7","56600","113800","436"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","Wales","42","%","4","28400","68300","582"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","West Midlands","35","%","4","54300","155300","555"
"0-3 months","Length of time spent in unemployment","All","All","2016","year","Yorkshire and The Humber","38","%","4","53000","139100","566"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","All","37","%","4.5","124000","336400","1093"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","East Midlands","53","%","22.8","6800","12800","46"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","East of England","43","%","18.2","7000","16300","71"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","London","35","%","7.5","53100","151100","391"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","North East","26","%","24.4","1500","5700","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","North West","41","%","13.1","12600","30800","135"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","Scotland","28","%","25","2100","7300","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","South East","55","%","13.8","15400","28100","125"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","South West","39","%","26.3","3900","10000","33"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","Wales","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","West Midlands","29","%","11.4","14800","51100","151"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2016","year","Yorkshire and The Humber","26","%","16.9","5300","20500","65"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","All","43","%","2.1","525400","1214300","5152"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","East Midlands","42","%","9.6","36700","88300","253"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","East of England","45","%","8.8","47000","104000","307"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","London","52","%","8.6","61300","117900","322"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","North East","31","%","6.6","24500","78700","466"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","North West","44","%","5.8","65900","150900","693"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","Scotland","43","%","5.8","52600","122600","703"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","South East","44","%","6.7","70900","160100","534"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","South West","51","%","7.7","52700","103800","403"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","Wales","41","%","6.4","26900","65700","568"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","West Midlands","38","%","7.5","39200","103900","402"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2016","year","Yorkshire and The Humber","40","%","6.8","47600","118500","501"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","All","44","%","1.3","618500","1422600","5727"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","East Midlands","47","%","5.8","49100","105400","280"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","East of England","47","%","5.2","53800","114500","355"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","London","42","%","3.8","106000","253900","662"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","North East","33","%","4","25800","79000","517"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","North West","43","%","3.7","67700","158400","693"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","Scotland","39","%","3.7","44000","111900","667"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","South East","49","%","4.2","72700","149800","536"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","South West","50","%","4.9","46800","93400","398"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","Wales","44","%","3.9","31300","71500","607"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","West Midlands","45","%","4.3","67300","150000","512"
"0-3 months","Length of time spent in unemployment","All","All","2017","year","Yorkshire and The Humber","40","%","4.3","54100","134800","500"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","All","42","%","4.8","133300","314000","1020"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","East Midlands","59","%","20.2","10000","16900","57"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","East of England","47","%","18.5","8100","17000","70"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","London","36","%","7.9","48400","136500","351"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","North East","35","%","25.3","1700","4900","34"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","North West","42","%","13.6","12600","30200","127"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","Scotland","49","%","28.3","3300","6800","30"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","South East","66","%","15","14300","21700","96"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","South West","58","%","24.5","5600","9700","39"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","Wales","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","West Midlands","44","%","13.9","17700","40500","123"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2017","year","Yorkshire and The Humber","34","%","17.7","8700","25500","69"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","All","44","%","2.2","485000","1106100","4699"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","East Midlands","44","%","10.3","39100","88500","223"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","East of England","47","%","9.2","45700","97500","285"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","London","49","%","8.8","57600","117000","310"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","North East","33","%","6.6","24100","73500","480"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","North West","43","%","6.4","55000","128200","566"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","Scotland","39","%","6","40700","105100","637"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","South East","46","%","7.4","58400","127500","438"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","South West","49","%","8.2","41200","83700","359"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","Wales","42","%","6.3","28400","67100","583"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","West Midlands","45","%","7.8","49400","108800","387"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2017","year","Yorkshire and The Humber","42","%","7.4","45400","109300","431"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","All","44","%","1.3","600400","1360800","5212"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","East Midlands","48","%","5.8","51400","107700","285"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","East of England","44","%","5.5","49300","111000","319"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","London","44","%","4.2","106500","241600","549"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","North East","41","%","4.5","27700","67800","462"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","North West","42","%","3.8","59900","143600","653"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","Scotland","41","%","3.9","47500","117200","609"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","South East","51","%","4.3","80900","159700","511"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","South West","54","%","5.2","47600","88600","352"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","Wales","43","%","4.1","29100","68300","549"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","West Midlands","38","%","4.4","50600","135100","462"
"0-3 months","Length of time spent in unemployment","All","All","2018","year","Yorkshire and The Humber","42","%","4.5","49900","120200","461"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","All","42","%","5","126500","298800","921"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","East Midlands","46","%","21.8","7500","16400","50"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","East of England","44","%","21.8","5100","11500","50"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","London","42","%","8.9","54500","131400","296"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","North East","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","North West","41","%","14.1","11100","27300","117"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","Scotland","18","%","18","2200","12100","44"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","South East","62","%","15.2","16300","26300","98"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","Wales","33","%","26.1","1600","4800","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","West Midlands","36","%","13.5","13900","39000","121"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2018","year","Yorkshire and The Humber","44","%","20.4","8400","19000","57"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","All","45","%","2.4","473100","1060900","4287"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","East Midlands","48","%","10.1","43800","91300","235"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","East of England","45","%","9.4","44200","99400","269"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","London","47","%","9.8","51500","109500","251"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","North East","41","%","7.3","25800","63300","432"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","North West","42","%","6.6","48800","116300","536"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","Scotland","43","%","6.5","45300","105100","565"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","South East","48","%","7.6","64400","133200","412"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","South West","53","%","8.6","43600","81900","324"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","Wales","43","%","6.7","27500","63500","518"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","West Midlands","38","%","8.1","36700","96200","341"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2018","year","Yorkshire and The Humber","41","%","7.6","41500","101200","404"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","All","45","%","1.4","577100","1287300","4773"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","East Midlands","47","%","6.1","42700","91600","253"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","East of England","47","%","5.5","48200","102900","313"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","London","46","%","4.5","103100","224400","467"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","North East","33","%","4.4","24400","73300","450"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","North West","43","%","3.9","62600","147300","632"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","Scotland","41","%","4.2","38900","95800","518"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","South East","51","%","4.6","73500","144500","456"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","South West","51","%","5.5","45200","87900","312"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","Wales","48","%","4.4","29400","61800","496"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","West Midlands","39","%","4.5","54600","138800","452"
"0-3 months","Length of time spent in unemployment","All","All","2019","year","Yorkshire and The Humber","46","%","4.7","54700","118900","424"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","All","43","%","5.2","125700","289900","867"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","East Midlands","32","%","19","5400","17000","58"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","East of England","41","%","18.5","5900","14600","68"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","London","43","%","9.9","49500","116400","237"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","North East","24","%","21.9","1500","6200","36"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","North West","38","%","14.3","9300","24900","110"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","Scotland","38","%","25.4","3300","8600","35"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","South East","57","%","17.9","11100","19400","73"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","South West","45","%","24.4","4400","9800","40"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","Wales","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","West Midlands","45","%","13.6","20500","45900","128"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2019","year","Yorkshire and The Humber","50","%","19.4","11900","23700","64"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","All","45","%","2.5","451500","996900","3904"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","East Midlands","50","%","11.1","37200","74300","194"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","East of England","48","%","9.9","42300","88300","245"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","London","50","%","10.2","53700","107700","229"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","North East","34","%","7.2","22900","67200","414"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","North West","44","%","6.7","53200","122400","522"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","Scotland","41","%","6.9","35600","87300","483"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","South East","50","%","7.9","62400","125100","383"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","South West","52","%","9.4","40800","78100","272"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","Wales","45","%","7.1","26400","58400","478"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","West Midlands","37","%","8.3","34200","92900","324"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2019","year","Yorkshire and The Humber","45","%","8.1","42800","95200","360"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","All","45","%","1.6","683800","1537500","3794"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","East Midlands","45","%","6.5","53500","120100","225"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","East of England","55","%","5.9","68200","125000","276"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","London","47","%","4.8","140200","301100","423"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","North East","36","%","5.1","29300","82300","344"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","North West","47","%","4.8","72800","154900","418"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","Scotland","41","%","4.8","47600","117400","397"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","South East","48","%","4.7","92200","192000","433"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","South West","46","%","5.7","50900","110900","298"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","Wales","42","%","5.3","22800","54800","334"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","West Midlands","40","%","5.2","62000","155600","347"
"0-3 months","Length of time spent in unemployment","All","All","2020","year","Yorkshire and The Humber","36","%","5.4","44400","123300","299"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","All","42","%","6.1","154500","365700","638"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","East Midlands","38","%","22.7","8800","23100","44"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","East of England","58","%","22.8","9500","16300","45"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","London","47","%","10.9","73800","158300","201"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","North East","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","North West","42","%","19.3","11900","28100","63"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","Scotland","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","South East","51","%","17.6","17400","34400","77"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","Wales","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","West Midlands","30","%","15.7","15000","50500","81"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2020","year","Yorkshire and The Humber","27","%","20.3","7400","27400","46"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","All","45","%","2.7","529300","1171500","3154"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","East Midlands","46","%","11.5","44700","97000","181"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","East of England","54","%","10.2","58700","108700","231"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","London","47","%","10.4","66400","142500","221"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","North East","36","%","8.3","27600","76900","320"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","North West","48","%","8.2","60800","126800","355"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","Scotland","41","%","7.9","42400","104100","370"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","South East","48","%","8.2","74800","157600","356"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","South West","46","%","9.3","47400","103100","274"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","Wales","42","%","8.4","22300","53700","327"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","West Midlands","45","%","9.4","47000","105100","266"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2020","year","Yorkshire and The Humber","39","%","9.5","37100","95900","253"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","All","38","%","1.6","545200","1450200","3422"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","East Midlands","44","%","7.1","45600","104700","189"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","East of England","36","%","5.8","43400","120900","260"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","London","34","%","4.6","96300","283200","408"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","North East","28","%","5.2","21100","74600","283"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","North West","37","%","4.8","60400","163100","392"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","Scotland","36","%","5.3","37400","105100","312"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","South East","45","%","4.7","80300","179100","430"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","South West","39","%","5.8","35300","91200","267"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","Wales","38","%","5.2","24200","62900","342"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","West Midlands","39","%","5.7","56700","145300","284"
"0-3 months","Length of time spent in unemployment","All","All","2021","year","Yorkshire and The Humber","37","%","5.9","44500","120000","255"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","All","37","%","6.1","134300","362400","607"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","East Midlands","59","%","23.7","13300","22300","41"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","East of England","44","%","22","9400","21200","49"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","London","30","%","10.6","41700","140000","178"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","North East","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","North West","45","%","18.7","14000","31600","68"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2021","year","Scotland","?","%","?","?","?","?"
