"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value-type","Denominator"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","%","1281"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","1","%","800"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","1","%","305"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","%","246"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","1","%","460"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","2","%","1621"
"Attendance Allowance by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","1","%","669"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","2","%","71797"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","2","%","65843"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","63130"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","1","%","2713"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","2","%","572"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","1","%","3092"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","2","%","1281"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","2","%","800"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","-","%","305"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","0","%","246"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","-","%","460"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","2","%","1621"
"Carer's Allowance by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","1","%","669"
"Child Benefit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","22","%","71797"
"Child Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","21","%","65843"
"Child Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","21","%","63130"
"Child Benefit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","24","%","2713"
"Child Benefit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","27","%","572"
"Child Benefit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","28","%","3092"
"Child Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","22","%","1281"
"Child Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","35","%","800"
"Child Benefit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","35","%","305"
"Child Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","19","%","246"
"Child Benefit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","30","%","460"
"Child Benefit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","31","%","1621"
"Child Benefit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","26","%","669"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","11","%","71797"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","11","%","65843"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","10","%","63130"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","12","%","2713"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","18","%","572"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","16","%","3092"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","9","%","1281"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","27","%","800"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","28","%","305"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","6","%","246"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","16","%","460"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","22","%","1621"
"Child Tax Credit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","16","%","669"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","15","%","71797"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","15","%","65843"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","15","%","63130"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","14","%","2713"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","19","%","572"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","13","%","3092"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","9","%","1281"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","17","%","800"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","27","%","305"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","7","%","246"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","14","%","460"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","26","%","1621"
"Council Tax Reduction by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","18","%","669"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","7","%","71797"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","7","%","65843"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","7","%","63130"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","3","%","2713"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","4","%","572"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","5","%","3092"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","6","%","1281"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","7","%","800"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","5","%","305"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","%","246"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","2","%","460"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","5","%","1621"
"Disability Living Allowance (care component) by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","4","%","669"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","6","%","71797"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","7","%","65843"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","7","%","63130"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","3","%","2713"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","5","%","572"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","4","%","3092"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","5","%","1281"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","%","800"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","4","%","305"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","%","246"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","2","%","460"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","5","%","1621"
"Disability Living Allowance (mobility component) by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","4","%","669"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","2","%","71797"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","2","%","65843"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","2","%","63130"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","1","%","2713"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","2","%","572"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","2","%","3092"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","1","%","1281"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","%","800"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","%","305"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","246"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","1","%","460"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","2","%","1621"
"Employment and Support Allowance by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","3","%","669"
"Housing Benefit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","13","%","71797"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","13","%","65843"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","13","%","63130"
"Housing Benefit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","14","%","2713"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","18","%","572"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","10","%","3092"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","6","%","1281"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","10","%","800"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","21","%","305"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","5","%","246"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","15","%","460"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","26","%","1621"
"Housing Benefit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","18","%","669"
"Income Support by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","3","%","71797"
"Income Support by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","3","%","65843"
"Income Support by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","3","%","63130"
"Income Support by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","2","%","2713"
"Income Support by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","6","%","572"
"Income Support by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","3","%","3092"
"Income Support by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","2","%","1281"
"Income Support by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","4","%","800"
"Income Support by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","%","305"
"Income Support by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","1","%","246"
"Income Support by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","3","%","460"
"Income Support by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","8","%","1621"
"Income Support by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","3","%","669"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","4","%","71797"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","3","%","65843"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","3","%","63130"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","3","%","2713"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","5","%","572"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","4","%","3092"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","%","1281"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","5","%","800"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","6","%","305"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","%","246"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","3","%","460"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","8","%","1621"
"Jobseeker's Allowance by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","7","%","669"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","20","%","71797"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","20","%","65843"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","20","%","63130"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","18","%","2713"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","24","%","572"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","20","%","3092"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","15","%","1281"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","25","%","800"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","35","%","305"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","10","%","246"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","21","%","460"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","32","%","1621"
"On any income-related benefit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","24","%","669"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","55","%","71797"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","56","%","65843"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","57","%","63130"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","41","%","2713"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","39","%","572"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","43","%","3092"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","42","%","1281"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","48","%","800"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","49","%","305"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","28","%","246"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","42","%","460"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","50","%","1621"
"On any non-income-related benefit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","42","%","669"
"Pension Credit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","5","%","71797"
"Pension Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","5","%","65843"
"Pension Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","5","%","63130"
"Pension Credit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","3","%","2713"
"Pension Credit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","1","%","572"
"Pension Credit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","4","%","3092"
"Pension Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","4","%","1281"
"Pension Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","3","%","800"
"Pension Credit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","3","%","305"
"Pension Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","2","%","246"
"Pension Credit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","4","%","460"
"Pension Credit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","4","%","1621"
"Pension Credit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","3","%","669"
"State Pension by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","25","%","71797"
"State Pension by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","27","%","65843"
"State Pension by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","28","%","63130"
"State Pension by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","11","%","2713"
"State Pension by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","6","%","572"
"State Pension by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","9","%","3092"
"State Pension by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","12","%","1281"
"State Pension by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","6","%","800"
"State Pension by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","9","%","305"
"State Pension by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","6","%","246"
"State Pension by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","7","%","460"
"State Pension by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","10","%","1621"
"State Pension by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","10","%","669"
"Universal Credit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","x","%","71797"
"Universal Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","x","%","65843"
"Universal Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","x","%","63130"
"Universal Credit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","x","%","2713"
"Universal Credit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","x","%","572"
"Universal Credit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","x","%","3092"
"Universal Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","x","%","1281"
"Universal Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","x","%","800"
"Universal Credit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","x","%","305"
"Universal Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","x","%","246"
"Universal Credit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","x","%","460"
"Universal Credit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","x","%","1621"
"Universal Credit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","x","%","669"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","All","ONS 5+2","K02000001","6","%","71797"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White","ONS 5+2","K02000001","5","%","65843"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White British","ONS 5+2","K02000001","5","%","63130"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","White other","ONS 5+2","K02000001","8","%","2713"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Mixed","ONS 5+2","K02000001","8","%","572"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Asian","ONS 5+2","K02000001","10","%","3092"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Indian","ONS 5+2","K02000001","5","%","1281"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Pakistani","ONS 5+2","K02000001","17","%","800"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Bangladeshi","ONS 5+2","K02000001","16","%","305"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Chinese","ONS 5+2","K02000001","4","%","246"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Asian other","ONS 5+2","K02000001","11","%","460"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Black","ONS 5+2","K02000001","10","%","1621"
"Working Tax Credit by ethnic group of head","2011/12-2013/14","Other","ONS 5+2","K02000001","10","%","669"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","58","%","70403"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","White","ONS 5+2","K02000001","59","%","64467"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","White British","ONS 5+2","K02000001","60","%","61665"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","White other","ONS 5+2","K02000001","44","%","2802"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Mixed","ONS 5+2","K02000001","44","%","569"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Asian","ONS 5+2","K02000001","49","%","3111"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Indian","ONS 5+2","K02000001","46","%","1305"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","57","%","792"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","55","%","319"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Chinese","ONS 5+2","K02000001","30","%","259"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Asian other","ONS 5+2","K02000001","49","%","436"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Black","ONS 5+2","K02000001","57","%","1659"
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Other","ONS 5+2","K02000001","47","%","597"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","58","%","70403"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","White","ONS 5+2","K02000001","59","%","64467"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","White British","ONS 5+2","K02000001","60","%","61665"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","White other","ONS 5+2","K02000001","45","%","2802"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Mixed","ONS 5+2","K02000001","44","%","569"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Asian","ONS 5+2","K02000001","49","%","3111"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Indian","ONS 5+2","K02000001","47","%","1305"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","57","%","792"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","55","%","319"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Chinese","ONS 5+2","K02000001","30","%","259"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Asian other","ONS 5+2","K02000001","49","%","436"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Black","ONS 5+2","K02000001","58","%","1659"
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Other","ONS 5+2","K02000001","49","%","597"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","11","%","70403"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","White","ONS 5+2","K02000001","10","%","64467"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","White British","ONS 5+2","K02000001","10","%","61665"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","White other","ONS 5+2","K02000001","14","%","2802"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Mixed","ONS 5+2","K02000001","15","%","569"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Asian","ONS 5+2","K02000001","16","%","3111"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Indian","ONS 5+2","K02000001","9","%","1305"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","27","%","792"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Bangladeshi","ONS 5+2","K02000001","29","%","319"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Chinese","ONS 5+2","K02000001","7","%","259"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Asian other","ONS 5+2","K02000001","16","%","436"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Black","ONS 5+2","K02000001","22","%","1659"
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Other","ONS 5+2","K02000001","17","%","597"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","All","ONS 5+2","K02000001","2","%","70403"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","White","ONS 5+2","K02000001","2","%","64467"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","White British","ONS 5+2","K02000001","3","%","61665"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","White other","ONS 5+2","K02000001","1","%","2802"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Mixed","ONS 5+2","K02000001","-","%","569"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Asian","ONS 5+2","K02000001","1","%","3111"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Indian","ONS 5+2","K02000001","1","%","1305"
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Pakistani","ONS 5+2","K02000001","1","%","792"
