"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North West Anglia NHS Foundation Trust","RGN","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","9.417529","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","20.22222","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","7.959744","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","25.94595","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","West Suffolk NHS Foundation Trust","RGR","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","5.875077","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","13.14286","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.780871","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","16.20487","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Somerset NHS Foundation Trust","RH5","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","4.451189","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Somerset NHS Foundation Trust","RH5","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","12.76596","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.763105","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","19.46903","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","6.051873","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","19.47115","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","5.48645","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","16.03774","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.869339","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","14.11902","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Portsmouth Hospitals University NHS Trust","RHU","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","6.188634","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Portsmouth Hospitals University NHS Trust","RHU","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","16.05839","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","6.296508","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","10.67344","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.512213","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","16.79727","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.806489","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","17.80552","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","9.113001","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","15.00573","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.417378","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","18.02444","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South West","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","6.157113","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South West","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","21.62162","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","4.660194","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","13.43284","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals of North Midlands NHS Trust","RJE","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","6.442806","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals of North Midlands NHS Trust","RJE","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","15.19174","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northern Lincolnshire And Goole NHS Foundation Trust","RJL","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","6.816015","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northern Lincolnshire And Goole NHS Foundation Trust","RJL","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","18.88889","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","East Cheshire NHS Trust","RJN","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","6.004619","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","East Cheshire NHS Trust","RJN","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","25.5814","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","5.637412","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","14.04959","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","9.74026","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","20.42416","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","5.042017","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","14.69534","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Plymouth NHS Trust","RK9","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","6.614276","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Plymouth NHS Trust","RK9","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","15.91837","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Coventry and Warwickshire NHS Trust","RKB","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","7.381151","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","18.83871","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Whittington Health NHS Trust","RKE","White","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","8.206958","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Whittington Health NHS Trust","RKE","Other","White & Other","London","Grouped Region","Acute and Acute & Community Trusts","16.92308","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","West London NHS Trust","RKL","White","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","8.605664","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","West London NHS Trust","RKL","Other","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.28829","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","White","White & Other","Midlands","Grouped Region","Acute Specialist Trusts","4.316547","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Other","White & Other","Midlands","Grouped Region","Acute Specialist Trusts","21.95122","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Royal Wolverhampton NHS Trust","RL4","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","4.600586","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Royal Wolverhampton NHS Trust","RL4","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","12.71523","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Wye Valley NHS Trust","RLQ","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","5.230126","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Wye Valley NHS Trust","RLQ","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","21.95122","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","George Eliot Hospital NHS Trust","RLT","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","9.695291","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","George Eliot Hospital NHS Trust","RLT","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","12.5","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Staffordshire Combined Healthcare NHS Trust","RLY","White","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","4.312354","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Staffordshire Combined Healthcare NHS Trust","RLY","Other","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","12.5","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","White","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","6.664896","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Other","White & Other","East of England","Grouped Region","Acute and Acute & Community Trusts","18.40909","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Salford Royal NHS Foundation Trust","RM3","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","6.224066","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Salford Royal NHS Foundation Trust","RM3","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","18.26625","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bolton NHS Foundation Trust","RMC","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","4.298291","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Bolton NHS Foundation Trust","RMC","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","15.26104","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","White","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","5.810617","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Other","White & Other","North West","Grouped Region","Acute and Acute & Community Trusts","26.15385","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Norfolk and Suffolk NHS Foundation Trust","RMY","White","White & Other","East of England","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","8.494869","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Norfolk and Suffolk NHS Foundation Trust","RMY","Other","White & Other","East of England","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","19.67213","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Great Western Hospitals NHS Foundation Trust","RN3","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","5.935252","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Great Western Hospitals NHS Foundation Trust","RN3","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","16.04938","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Hampshire Hospitals NHS Foundation Trust","RN5","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","6.938776","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Hampshire Hospitals NHS Foundation Trust","RN5","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","16.59664","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dartford and Gravesham NHS Trust","RN7","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","6.573705","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Dartford and Gravesham NHS Trust","RN7","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","17.11712","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Dudley Group NHS Foundation Trust","RNA","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","6.034483","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","The Dudley Group NHS Foundation Trust","RNA","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","17.49175","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Tavistock and Portman NHS Foundation Trust","RNK","White","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","9.748428","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Tavistock and Portman NHS Foundation Trust","RNK","Other","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","27.58621","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Cumbria Integrated Care NHS Foundation Trust","RNN","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","7.207562","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","North Cumbria Integrated Care NHS Foundation Trust","RNN","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","22.72727","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","6.870229","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","18.76173","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","7.416155","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands","Grouped Region","Acute and Acute & Community Trusts","22.32143","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South East","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","5.701133","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South East","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","15.07177","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","6.084337","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South West","Grouped Region","Acute and Acute & Community Trusts","19.21569","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","5.29595","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","17.09402","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped Region","Acute Specialist Trusts","5.964535","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped Region","Acute Specialist Trusts","17.65481","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","White","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","4.543789","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Other","White & Other","North East and Yorkshire","Grouped Region","Acute and Acute & Community Trusts","14.14634","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped Region","Acute Specialist Trusts","7.751938","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped Region","Acute Specialist Trusts","15.60403","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","4.814189","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","9.677419","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Medway NHS Foundation Trust","RPA","White","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","8.774978","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Medway NHS Foundation Trust","RPA","Other","White & Other","South East","Grouped Region","Acute and Acute & Community Trusts","16.81416","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South East","Grouped Region","Acute Specialist Trusts","5.56701","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South East","Grouped Region","Acute Specialist Trusts","23.17073","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","7.635009","%"
"Percentage of staff who have, in the last 12 months, personally experienced discrimination at work from ... a manager/team leader or other colleagues, by ethnicity","2020","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped Region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","13.61789","%"
