"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Value","Unweighted base"
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","-"," 26 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","23.7"," 85 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","-"," 12 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","-"," 20 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","-"," 24 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","-"," 21 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","West Midlands","E12000005","ONS geography code","All","16+","All","31.4"," 118 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Staffordshire","E23000015","ONS geography code","All","16+","All","-"," 12 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Warwickshire","E23000017","ONS geography code","All","16+","All","-"," 7 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","West Mercia","E23000016","ONS geography code","All","16+","All","-"," 10 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","West Midlands","E23000014","ONS geography code","All","16+","All","36.4"," 89 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","East","E12000006","ONS geography code","All","16+","All","21.5"," 135 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Bedfordshire","E23000026","ONS geography code","All","16+","All","-"," 23 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Cambridgeshire","E23000023","ONS geography code","All","16+","All","-"," 34 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Essex","E23000028","ONS geography code","All","16+","All","-"," 18 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Hertfordshire","E23000027","ONS geography code","All","16+","All","-"," 25 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Norfolk","E23000024","ONS geography code","All","16+","All","-"," 13 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Suffolk","E23000025","ONS geography code","All","16+","All","-"," 22 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","London","E12000007","ONS geography code","All","16+","All","18.2"," 267 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","City of London / Metropolitan Police","E12000007","ONS geography code","All","16+","All","18.2"," 267 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","South East","E12000008","ONS geography code","All","16+","All","27.7"," 119 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Hampshire","E23000030","ONS geography code","All","16+","All","-"," 19 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Kent","E23000032","ONS geography code","All","16+","All","-"," 23 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Surrey","E23000031","ONS geography code","All","16+","All","-"," 20 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Sussex","E23000033","ONS geography code","All","16+","All","-"," 22 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Thames Valley","E23000029","ONS geography code","All","16+","All","-"," 35 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","South West","E12000009","ONS geography code","All","16+","All","17.5"," 78 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Avon and Somerset","E23000036","ONS geography code","All","16+","All","-"," 26 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Devon and Cornwall","E23000035","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Dorset","E23000039","ONS geography code","All","16+","All","-"," 13 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Gloucestershire","E23000037","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Wiltshire","E23000038","ONS geography code","All","16+","All","-"," 11 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Wales","W92000004","ONS geography code","All","16+","All","-"," 31 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Dyfed-Powys","W15000004","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","Gwent","W15000002","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","North Wales","W15000001","ONS geography code","All","16+","All","-"," 4 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS 5+1","South Wales","W15000003","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","34.3"," 111 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","-"," 36 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","-"," 18 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","39.4"," 57 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","26.2"," 474 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","-"," 24 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","-"," 15 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","32.8"," 268 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","17.4"," 134 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","-"," 33 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","31.3"," 361 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","-"," 25 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","-"," 16 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","26.3"," 51 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","34.1"," 269 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","29.0"," 431 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","27.1"," 54 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","29.6"," 233 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","-"," 17 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","32.6"," 57 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","27.8"," 70 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","West Midlands","E12000005","ONS geography code","All","16+","All","31.6"," 652 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Staffordshire","E23000015","ONS geography code","All","16+","All","-"," 42 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Warwickshire","E23000017","ONS geography code","All","16+","All","17.6"," 66 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","West Mercia","E23000016","ONS geography code","All","16+","All","-"," 32 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","West Midlands","E23000014","ONS geography code","All","16+","All","32.8"," 512 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","East","E12000006","ONS geography code","All","16+","All","28.8"," 417 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Bedfordshire","E23000026","ONS geography code","All","16+","All","35.7"," 154 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Cambridgeshire","E23000023","ONS geography code","All","16+","All","22.3"," 58 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Essex","E23000028","ONS geography code","All","16+","All","25.3"," 62 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Hertfordshire","E23000027","ONS geography code","All","16+","All","29.7"," 102 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Norfolk","E23000024","ONS geography code","All","16+","All","-"," 13 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Suffolk","E23000025","ONS geography code","All","16+","All","-"," 28 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","London","E12000007","ONS geography code","All","16+","All","30.6"," 1,760 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","City of London / Metropolitan Police","E12000007","ONS geography code","All","16+","All","30.6"," 1,760 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","South East","E12000008","ONS geography code","All","16+","All","23.3"," 562 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Hampshire","E23000030","ONS geography code","All","16+","All","6.8"," 68 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Kent","E23000032","ONS geography code","All","16+","All","25.6"," 77 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Surrey","E23000031","ONS geography code","All","16+","All","18.2"," 85 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Sussex","E23000033","ONS geography code","All","16+","All","19.2"," 62 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Thames Valley","E23000029","ONS geography code","All","16+","All","29.3"," 270 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","South West","E12000009","ONS geography code","All","16+","All","13.4"," 184 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Avon and Somerset","E23000036","ONS geography code","All","16+","All","11.4"," 56 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Devon and Cornwall","E23000035","ONS geography code","All","16+","All","-"," 18 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Dorset","E23000039","ONS geography code","All","16+","All","-"," 27 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Gloucestershire","E23000037","ONS geography code","All","16+","All","-"," 39 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Wiltshire","E23000038","ONS geography code","All","16+","All","-"," 44 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Wales","W92000004","ONS geography code","All","16+","All","34.7"," 104 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Dyfed-Powys","W15000004","ONS geography code","All","16+","All","-"," 12 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","Gwent","W15000002","ONS geography code","All","16+","All","-"," 32 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","North Wales","W15000001","ONS geography code","All","16+","All","-"," 18 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS 5+1","South Wales","W15000003","ONS geography code","All","16+","All","-"," 42 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","-"," 25 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","-"," 2 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","-"," 15 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","21.0"," 144 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","-"," 4 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","19.6"," 102 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","-"," 10 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","-"," 23 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","24.7"," 115 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","-"," 11 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","-"," 4 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","-"," 30 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","24.1"," 70 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","24.2"," 165 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","-"," 37 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","-"," 12 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","33.4"," 58 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","-"," 44 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","West Midlands","E12000005","ONS geography code","All","16+","All","26.2"," 261 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Staffordshire","E23000015","ONS geography code","All","16+","All","-"," 14 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Warwickshire","E23000017","ONS geography code","All","16+","All","-"," 16 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","West Mercia","E23000016","ONS geography code","All","16+","All","-"," 7 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","West Midlands","E23000014","ONS geography code","All","16+","All","23.5"," 224 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","East","E12000006","ONS geography code","All","16+","All","25.3"," 261 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Bedfordshire","E23000026","ONS geography code","All","16+","All","34.3"," 114 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Cambridgeshire","E23000023","ONS geography code","All","16+","All","-"," 30 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Essex","E23000028","ONS geography code","All","16+","All","-"," 42 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Hertfordshire","E23000027","ONS geography code","All","16+","All","27.2"," 51 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Norfolk","E23000024","ONS geography code","All","16+","All","-"," 11 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Suffolk","E23000025","ONS geography code","All","16+","All","-"," 13 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","London","E12000007","ONS geography code","All","16+","All","25.5"," 1,393 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","City of London / Metropolitan Police","E12000007","ONS geography code","All","16+","All","25.5"," 1,393 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","South East","E12000008","ONS geography code","All","16+","All","29.0"," 180 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Hampshire","E23000030","ONS geography code","All","16+","All","-"," 26 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Kent","E23000032","ONS geography code","All","16+","All","-"," 26 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Surrey","E23000031","ONS geography code","All","16+","All","-"," 22 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Sussex","E23000033","ONS geography code","All","16+","All","-"," 18 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Thames Valley","E23000029","ONS geography code","All","16+","All","26.9"," 88 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","South West","E12000009","ONS geography code","All","16+","All","30.5"," 75 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Avon and Somerset","E23000036","ONS geography code","All","16+","All","-"," 34 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Devon and Cornwall","E23000035","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Dorset","E23000039","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Gloucestershire","E23000037","ONS geography code","All","16+","All","-"," 22 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Wiltshire","E23000038","ONS geography code","All","16+","All","-"," 9 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Wales","W92000004","ONS geography code","All","16+","All","-"," 28 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Dyfed-Powys","W15000004","ONS geography code","All","16+","All","-"," 2 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","Gwent","W15000002","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","North Wales","W15000001","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS 5+1","South Wales","W15000003","ONS geography code","All","16+","All","-"," 16 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","North East","E12000001","ONS geography code","All","16+","All","-"," 24 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Cleveland","E23000013","ONS geography code","All","16+","All","-"," 5 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Durham","E23000008","ONS geography code","All","16+","All","-"," 6 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Northumbria","E23000007","ONS geography code","All","16+","All","-"," 13 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","North West","E12000002","ONS geography code","All","16+","All","28.6"," 65 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Cheshire","E23000006","ONS geography code","All","16+","All","-"," 1 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Cumbria","E23000002","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Greater Manchester","E23000005","ONS geography code","All","16+","All","-"," 42 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Lancashire","E23000003","ONS geography code","All","16+","All","-"," 6 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Merseyside","E23000004","ONS geography code","All","16+","All","-"," 8 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Yorkshire and the Humber","E12000003","ONS geography code","All","16+","All","28.2"," 53 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Humberside","E23000012","ONS geography code","All","16+","All","-"," 7 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","North Yorkshire","E23000009","ONS geography code","All","16+","All","-"," 3 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","South Yorkshire","E23000011","ONS geography code","All","16+","All","-"," 17 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","West Yorkshire","E23000010","ONS geography code","All","16+","All","-"," 26 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","East Midlands","E12000004","ONS geography code","All","16+","All","-"," 33 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Derbyshire","E23000018","ONS geography code","All","16+","All","-"," 7 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Leicestershire","E23000021","ONS geography code","All","16+","All","-"," 9 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Lincolnshire","E23000020","ONS geography code","All","16+","All","-"," 1 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Northamptonshire","E23000022","ONS geography code","All","16+","All","-"," 7 "
"Proportion of adults that fear crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS 5+1","Nottinghamshire","E23000019","ONS geography code","All","16+","All","-"," 9 "
