"Measure","NHS_trust_type","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust","Value","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJR","Other","White & Other","North West","Grouped region","Countess of Chester Hospital NHS Foundation Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJZ","White","White & Other","London","Grouped region","King's College Hospital NHS Foundation Trust","22","%","1.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RJZ","Other","White & Other","London","Grouped region","King's College Hospital NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RK5","White","White & Other","Midlands","Grouped region","Sherwood Forest Hospitals NHS Foundation Trust","13","%","1.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RK5","Other","White & Other","Midlands","Grouped region","Sherwood Forest Hospitals NHS Foundation Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RK9","White","White & Other","South West","Grouped region","University Hospitals Plymouth NHS Trust","19","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RK9","Other","White & Other","South West","Grouped region","University Hospitals Plymouth NHS Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RKB","White","White & Other","Midlands","Grouped region","University Hospitals Coventry and Warwickshire NHS Trust","14","%","0.96"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RKB","Other","White & Other","Midlands","Grouped region","University Hospitals Coventry and Warwickshire NHS Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RKE","White","White & Other","London","Grouped region","Whittington Health NHS Trust","28","%","1.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RKE","Other","White & Other","London","Grouped region","Whittington Health NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RKL","White","White & Other","London","Grouped region","West London NHS Trust","17","%","1.29"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RKL","Other","White & Other","London","Grouped region","West London NHS Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RL1","White","White & Other","Midlands","Grouped region","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","24","%","2.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RL1","Other","White & Other","Midlands","Grouped region","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RL4","White","White & Other","Midlands","Grouped region","The Royal Wolverhampton NHS Trust","17","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RL4","Other","White & Other","Midlands","Grouped region","The Royal Wolverhampton NHS Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RLQ","White","White & Other","Midlands","Grouped region","Wye Valley NHS Trust","19","%","1.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RLQ","Other","White & Other","Midlands","Grouped region","Wye Valley NHS Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RLT","White","White & Other","Midlands","Grouped region","George Eliot Hospital NHS Trust","13","%","2.36"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RLT","Other","White & Other","Midlands","Grouped region","George Eliot Hospital NHS Trust","6","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RLY","White","White & Other","Midlands","Grouped region","North Staffordshire Combined Healthcare NHS Trust","27","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RLY","Other","White & Other","Midlands","Grouped region","North Staffordshire Combined Healthcare NHS Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RM1","White","White & Other","East of England","Grouped region","Norfolk and Norwich University Hospitals NHS Foundation Trust","26","%","1.56"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RM1","Other","White & Other","East of England","Grouped region","Norfolk and Norwich University Hospitals NHS Foundation Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RM3","White","White & Other","North West","Grouped region","Salford Royal NHS Foundation Trust","25","%","1.65"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RM3","Other","White & Other","North West","Grouped region","Salford Royal NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RMC","White","White & Other","North West","Grouped region","Bolton NHS Foundation Trust","12","%","0.62"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RMC","Other","White & Other","North West","Grouped region","Bolton NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RMP","White","White & Other","North West","Grouped region","Tameside and Glossop Integrated Care NHS Foundation Trust","31","%","1.82"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RMP","Other","White & Other","North West","Grouped region","Tameside and Glossop Integrated Care NHS Foundation Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RMY","White","White & Other","East of England","Grouped region","Norfolk and Suffolk NHS Foundation Trust","2","%","1.27"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RMY","Other","White & Other","East of England","Grouped region","Norfolk and Suffolk NHS Foundation Trust","2","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN3","White","White & Other","South West","Grouped region","Great Western Hospitals NHS Foundation Trust","17","%","1.13"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN3","Other","White & Other","South West","Grouped region","Great Western Hospitals NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN5","White","White & Other","South East","Grouped region","Hampshire Hospitals NHS Foundation Trust","21","%","1.52"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN5","Other","White & Other","South East","Grouped region","Hampshire Hospitals NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN7","White","White & Other","South East","Grouped region","Dartford and Gravesham NHS Trust","20","%","1.1"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RN7","Other","White & Other","South East","Grouped region","Dartford and Gravesham NHS Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNA","White","White & Other","Midlands","Grouped region","The Dudley Group NHS Foundation Trust","25","%","1.95"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNA","Other","White & Other","Midlands","Grouped region","The Dudley Group NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RNK","White","White & Other","London","Grouped region","Tavistock and Portman NHS Foundation Trust","18","%","0.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RNK","Other","White & Other","London","Grouped region","Tavistock and Portman NHS Foundation Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNN","White","White & Other","North East and Yorkshire","Grouped region","North Cumbria Integrated Care NHS Foundation Trust","30","%","2"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNN","Other","White & Other","North East and Yorkshire","Grouped region","North Cumbria Integrated Care NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNQ","White","White & Other","Midlands","Grouped region","Kettering General Hospital NHS Foundation Trust","7","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNQ","Other","White & Other","Midlands","Grouped region","Kettering General Hospital NHS Foundation Trust","5","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNS","White","White & Other","Midlands","Grouped region","Northampton General Hospital NHS Trust","47","%","0.93"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNS","Other","White & Other","Midlands","Grouped region","Northampton General Hospital NHS Trust","51","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RNU","White","White & Other","South East","Grouped region","Oxford Health NHS Foundation Trust","25","%","0.78"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RNU","Other","White & Other","South East","Grouped region","Oxford Health NHS Foundation Trust","32","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNZ","White","White & Other","South West","Grouped region","Salisbury NHS Foundation Trust","40","%","2.11"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RNZ","Other","White & Other","South West","Grouped region","Salisbury NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RP1","White","White & Other","Midlands","Grouped region","Northamptonshire Healthcare NHS Foundation Trust","35","%","1.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RP1","Other","White & Other","Midlands","Grouped region","Northamptonshire Healthcare NHS Foundation Trust","22","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RP4","White","White & Other","London","Grouped region","Great Ormond Street Hospital for Children NHS Foundation Trust","30","%","2.09"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RP4","Other","White & Other","London","Grouped region","Great Ormond Street Hospital for Children NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RP5","White","White & Other","North East and Yorkshire","Grouped region","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","36","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RP5","Other","White & Other","North East and Yorkshire","Grouped region","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","26","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RP6","White","White & Other","London","Grouped region","Moorfields Eye Hospital NHS Foundation Trust","18","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RP6","Other","White & Other","London","Grouped region","Moorfields Eye Hospital NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RP7","White","White & Other","Midlands","Grouped region","Lincolnshire Partnership NHS Foundation Trust","26","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RP7","Other","White & Other","Midlands","Grouped region","Lincolnshire Partnership NHS Foundation Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RPA","White","White & Other","South East","Grouped region","Medway NHS Foundation Trust","19","%","1.47"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RPA","Other","White & Other","South East","Grouped region","Medway NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RPC","White","White & Other","South East","Grouped region","Queen Victoria Hospital NHS Foundation Trust","28","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RPC","Other","White & Other","South East","Grouped region","Queen Victoria Hospital NHS Foundation Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RPG","White","White & Other","London","Grouped region","Oxleas NHS Foundation Trust","31","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RPG","Other","White & Other","London","Grouped region","Oxleas NHS Foundation Trust","29","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RPY","White","White & Other","London","Grouped region","The Royal Marsden NHS Foundation Trust","24","%","1.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RPY","Other","White & Other","London","Grouped region","The Royal Marsden NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQ3","White","White & Other","Midlands","Grouped region","Birmingham Women's and Children's NHS Foundation Trust","21","%","1.69"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQ3","Other","White & Other","Midlands","Grouped region","Birmingham Women's and Children's NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQM","White","White & Other","London","Grouped region","Chelsea and Westminster Hospital NHS Foundation Trust","21","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQM","Other","White & Other","London","Grouped region","Chelsea and Westminster Hospital NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQW","White","White & Other","East of England","Grouped region","The Princess Alexandra Hospital NHS Trust","33","%","1.37"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQW","Other","White & Other","East of England","Grouped region","The Princess Alexandra Hospital NHS Trust","24","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQX","White","White & Other","London","Grouped region","Homerton University Hospital NHS Foundation Trust","27","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RQX","Other","White & Other","London","Grouped region","Homerton University Hospital NHS Foundation Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RQY","White","White & Other","London","Grouped region","South West London and St George's Mental Health NHS Trust","28","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RQY","Other","White & Other","London","Grouped region","South West London and St George's Mental Health NHS Trust","19","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RR7","White","White & Other","North East and Yorkshire","Grouped region","Gateshead Health NHS Foundation Trust","27","%","0.7"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RR7","Other","White & Other","North East and Yorkshire","Grouped region","Gateshead Health NHS Foundation Trust","39","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RR8","White","White & Other","North East and Yorkshire","Grouped region","Leeds Teaching Hospitals NHS Trust","21","%","1.66"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RR8","Other","White & Other","North East and Yorkshire","Grouped region","Leeds Teaching Hospitals NHS Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RRE","White","White & Other","Midlands","Grouped region","Midlands Partnership NHS Foundation Trust","28","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RRE","Other","White & Other","Midlands","Grouped region","Midlands Partnership NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRF","White","White & Other","North West","Grouped region","Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRF","Other","White & Other","North West","Grouped region","Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust","-","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RRJ","White","White & Other","Midlands","Grouped region","The Royal Orthopaedic Hospital NHS Foundation Trust","19","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RRJ","Other","White & Other","Midlands","Grouped region","The Royal Orthopaedic Hospital NHS Foundation Trust","12","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRK","White","White & Other","Midlands","Grouped region","University Hospitals Birmingham NHS Foundation Trust","8","%","1.31"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRK","Other","White & Other","Midlands","Grouped region","University Hospitals Birmingham NHS Foundation Trust","6","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RRP","White","White & Other","London","Grouped region","Barnet, Enfield and Haringey Mental Health NHS Trust","25","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RRP","Other","White & Other","London","Grouped region","Barnet, Enfield and Haringey Mental Health NHS Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RRU","White","White & Other","London","Grouped region","London Ambulance Service NHS Trust","33","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ambulance Trusts","RRU","Other","White & Other","London","Grouped region","London Ambulance Service NHS Trust","23","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRV","White","White & Other","London","Grouped region","University College London Hospitals NHS Foundation Trust","5","%","2.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RRV","Other","White & Other","London","Grouped region","University College London Hospitals NHS Foundation Trust","2","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT1","White","White & Other","East of England","Grouped region","Cambridgeshire and Peterborough NHS Foundation Trust","26","%","0.98"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT1","Other","White & Other","East of England","Grouped region","Cambridgeshire and Peterborough NHS Foundation Trust","26","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT2","White","White & Other","North West","Grouped region","Pennine Care NHS Foundation Trust","20","%","1.59"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT2","Other","White & Other","North West","Grouped region","Pennine Care NHS Foundation Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RT3","White","White & Other","London","Grouped region","Royal Brompton and Harefield NHS Foundation Trust","23","%","1.5"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute Specialist Trusts","RT3","Other","White & Other","London","Grouped region","Royal Brompton and Harefield NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT5","White","White & Other","Midlands","Grouped region","Leicestershire Partnership NHS Trust","12","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RT5","Other","White & Other","Midlands","Grouped region","Leicestershire Partnership NHS Trust","8","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTD","White","White & Other","North East and Yorkshire","Grouped region","The Newcastle upon Tyne Hospitals NHS Foundation Trust","18","%","0.91"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTD","Other","White & Other","North East and Yorkshire","Grouped region","The Newcastle upon Tyne Hospitals NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTE","White","White & Other","South West","Grouped region","Gloucestershire Hospitals NHS Foundation Trust","28","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTE","Other","White & Other","South West","Grouped region","Gloucestershire Hospitals NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTF","White","White & Other","North East and Yorkshire","Grouped region","Northumbria Healthcare NHS Foundation Trust","28","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTF","Other","White & Other","North East and Yorkshire","Grouped region","Northumbria Healthcare NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTG","White","White & Other","Midlands","Grouped region","University Hospitals of Derby and Burton NHS Foundation Trust","32","%","1.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTG","Other","White & Other","Midlands","Grouped region","University Hospitals of Derby and Burton NHS Foundation Trust","25","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTH","White","White & Other","South East","Grouped region","Oxford University Hospitals NHS Foundation Trust","23","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTH","Other","White & Other","South East","Grouped region","Oxford University Hospitals NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTK","White","White & Other","South East","Grouped region","Ashford And St Peter's Hospitals NHS Foundation Trust","5","%","1.13"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTK","Other","White & Other","South East","Grouped region","Ashford And St Peter's Hospitals NHS Foundation Trust","4","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTP","White","White & Other","South East","Grouped region","Surrey and Sussex Healthcare NHS Trust","19","%","1.15"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTP","Other","White & Other","South East","Grouped region","Surrey and Sussex Healthcare NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RTQ","White","White & Other","South West","Grouped region","Gloucestershire Health and Care NHS Foundation Trust","58","%","1.01"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RTQ","Other","White & Other","South West","Grouped region","Gloucestershire Health and Care NHS Foundation Trust","58","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTR","White","White & Other","North East and Yorkshire","Grouped region","South Tees Hospitals NHS Foundation Trust","35","%","2.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTR","Other","White & Other","North East and Yorkshire","Grouped region","South Tees Hospitals NHS Foundation Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RTV","White","White & Other","North West","Grouped region","North West Boroughs Healthcare NHS Foundation Trust","27","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RTV","Other","White & Other","North West","Grouped region","North West Boroughs Healthcare NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTX","White","White & Other","North West","Grouped region","University Hospitals Of Morecambe Bay NHS Foundation Trust","23","%","0.84"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RTX","Other","White & Other","North West","Grouped region","University Hospitals Of Morecambe Bay NHS Foundation Trust","28","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV3","White","White & Other","London","Grouped region","Central and North West London NHS Foundation Trust","23","%","1.47"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV3","Other","White & Other","London","Grouped region","Central and North West London NHS Foundation Trust","15","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV5","White","White & Other","London","Grouped region","South London and Maudsley NHS Foundation Trust","26","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV5","Other","White & Other","London","Grouped region","South London and Maudsley NHS Foundation Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV9","White","White & Other","North East and Yorkshire","Grouped region","Humber Teaching NHS Foundation Trust","23","%","0.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RV9","Other","White & Other","North East and Yorkshire","Grouped region","Humber Teaching NHS Foundation Trust","36","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVJ","White","White & Other","South West","Grouped region","North Bristol NHS Trust","25","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVJ","Other","White & Other","South West","Grouped region","North Bristol NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RVN","White","White & Other","South West","Grouped region","Avon and Wiltshire Mental Health Partnership NHS Trust","14","%","1.68"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","RVN","Other","White & Other","South West","Grouped region","Avon and Wiltshire Mental Health Partnership NHS Trust","9","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVR","White","White & Other","London","Grouped region","Epsom and St Helier University Hospitals NHS Trust","18","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVR","Other","White & Other","London","Grouped region","Epsom and St Helier University Hospitals NHS Trust","10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVV","White","White & Other","South East","Grouped region","East Kent Hospitals University NHS Foundation Trust","25","%","1.37"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVV","Other","White & Other","South East","Grouped region","East Kent Hospitals University NHS Foundation Trust","18","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RVW","White","White & Other","North East and Yorkshire","Grouped region","North Tees and Hartlepool NHS Foundation Trust","8","%","3.24"
