"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2015","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.6","12"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.73","5"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.28","3"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.86","3"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","All","All/Male/Female","1.02","1"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","All","All/Male/Female","1.23","78"
"Number of self inflicted deaths per 1000","2016","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","94"
"Number of self inflicted deaths per 1000","2016","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","8"
"Number of self inflicted deaths per 1000","2016","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","7"
"Number of self inflicted deaths per 1000","2016","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2016","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2016","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","10"
"Number of self inflicted deaths per 1000","2016","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2016","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2016","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2016","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2016","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.9","18"
"Number of self inflicted deaths per 1000","2016","Year","Asian","ONS 5+1 2001","All","All/Male/Female","1.16","8"
"Number of self inflicted deaths per 1000","2016","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.67","7"
"Number of self inflicted deaths per 1000","2016","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.83","3"
"Number of self inflicted deaths per 1000","2016","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2016","Year","White","ONS 5+1 2001","All","All/Male/Female","1.66","104"
"Number of self inflicted deaths per 1000","2017","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","59"
"Number of self inflicted deaths per 1000","2017","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","4"
"Number of self inflicted deaths per 1000","2017","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2017","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2017","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2017","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2017","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2017","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2017","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2017","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2017","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","0.8","10"
"Number of self inflicted deaths per 1000","2017","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.72","5"
"Number of self inflicted deaths per 1000","2017","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.09","1"
"Number of self inflicted deaths per 1000","2017","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.53","2"
"Number of self inflicted deaths per 1000","2017","Year","Other","ONS 5+1 2001","All","All/Male/Female","1.84","2"
"Number of self inflicted deaths per 1000","2017","Year","White","ONS 5+1 2001","All","All/Male/Female","0.96","60"
