"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Cumbria University Hospitals NHS Trust","RNL","Other","White & Other","North","Grouped region","Acute","19","%","18","93",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Cumbria University Hospitals NHS Trust","RNL","White","White & Other","North","Grouped region","Acute","8","%","120","1502",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cumbria Partnership NHS Foundation Trust","RNN","Other","White & Other","North","Grouped region","Mental Health","8","%","3","37",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cumbria Partnership NHS Foundation Trust","RNN","White","White & Other","North","Grouped region","Mental Health","7","%","106","1516",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands","Grouped region","Acute","16","%","45","283",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands","Grouped region","Acute","7","%","98","1404",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands","Grouped region","Acute","20","%","68","339",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands","Grouped region","Acute","8","%","130","1626",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South","Grouped region","Mental Health","19","%","55","290",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South","Grouped region","Mental Health","6","%","134","2239",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute","14","%","13","92",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute","7","%","82","1172",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands","Grouped region","Mental Health","11","%","20","183",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands","Grouped region","Mental Health","6","%","94","1571",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute","16","%","96","597",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute","8","%","123","1532",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute","15","%","33","223",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute","5","%","146","2927",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute","13","%","60","459",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute","8","%","38","473",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands","Grouped region","Mental Health","7","%","4","54",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands","Grouped region","Mental Health","6","%","65","1077",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute","15","%","42","281",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute","8","%","100","1244",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute","13","%","7","54",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute","4","%","17","413",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental Health","15","%","74","492",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental Health","8","%","87","1086",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute","11","%","57","515",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute","5","%","63","1254",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands","Grouped region","Acute","19","%","14","75",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands","Grouped region","Acute","8","%","25","313",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","Other","White & Other","North","Grouped region","Acute","13","%","34","259",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","White","White & Other","North","Grouped region","Acute","6","%","138","2300",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands","Grouped region","Acute","18","%","35","196",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands","Grouped region","Acute","6","%","72","1197",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute","12","%","113","939",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute","7","%","89","1266",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands","Grouped region","Acute","13","%","32","248",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands","Grouped region","Acute","6","%","58","970",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute","18","%","155","862",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute","9","%","82","915",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South West London and St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental Health","18","%","85","474",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South West London and St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental Health","7","%","44","627",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute","10","%","8","83",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute","5","%","64","1272",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute","12","%","106","886",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute","5","%","267","5347",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Midlands Partnership NHS Foundation Trust","RRE","Other","White & Other","Midlands","Grouped region","Mental Health","12","%","34","285",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Midlands Partnership NHS Foundation Trust","RRE","White","White & Other","Midlands","Grouped region","Mental Health","5","%","216","4327",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Other","White & Other","North","Grouped region","Acute","12","%","3","26",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute","7","%","27","380",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands","Grouped region","Acute","18","%","13","71",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands","Grouped region","Acute","7","%","22","315",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands","Grouped region","Acute","15","%","227","1512",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands","Grouped region","Acute","7","%","339","4837",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health","12","%","67","561",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health","9","%","63","696",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance","17","%","81","476",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance","10","%","288","2882",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute","21","%","231","1101",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute","10","%","172","1717",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands","Grouped region","Mental Health","20","%","42","209",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands","Grouped region","Mental Health","7","%","116","1655",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health","8","%","15","184",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health","5","%","84","1677",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Brompton and Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute","13","%","80","614",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Brompton and Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute","8","%","103","1284",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands","Grouped region","Mental Health","11","%","53","481",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands","Grouped region","Mental Health","4","%","79","1987",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute","14","%","61","437",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","The Newcastle upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute","4","%","236","5893",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute","20","%","65","327",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute","5","%","134","2678",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute","10","%","4","41",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute","3","%","25","833",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","Other","White & Other","Midlands","Grouped region","Acute","16","%","86","536",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Derby and Burton NHS Foundation Trust","RTG","White","White & Other","Midlands","Grouped region","Acute","6","%","222","3705",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxford University Hospitals NHS Foundation Trust","RTH","Other","White & Other","South","Grouped region","Acute","17","%","155","914",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute","8","%","357","4467",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute","16","%","79","491",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute","5","%","53","1053",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Surrey and Sussex Healthcare NHS Trust","RTP","Other","White & Other","South","Grouped region","Acute","11","%","72","655",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Surrey and Sussex Healthcare NHS Trust","RTP","White","White & Other","South","Grouped region","Acute","4","%","70","1757",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health","13","%","8","61",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health","6","%","46","762",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Tees Hospitals NHS Foundation Trust","RTR","Other","White & Other","North","Grouped region","Acute","11","%","3","27",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South Tees Hospitals NHS Foundation Trust","RTR","White","White & Other","North","Grouped region","Acute","3","%","11","368",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North West Boroughs Healthcare NHS Foundation Trust","RTV","Other","White & Other","North","Grouped region","Mental Health","11","%","8","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North West Boroughs Healthcare NHS Foundation Trust","RTV","White","White & Other","North","Grouped region","Mental Health","6","%","90","1493",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","Other","White & Other","North","Grouped region","Acute","18","%","27","148",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Morecambe Bay NHS Foundation Trust","RTX","White","White & Other","North","Grouped region","Acute","7","%","149","2134",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health","15","%","146","976",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health","9","%","162","1797",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health","19","%","121","638",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health","10","%","114","1139",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Humber Teaching NHS Foundation Trust","RV9","Other","White & Other","North","Grouped region","Mental Health","11","%","4","38",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Humber Teaching NHS Foundation Trust","RV9","White","White & Other","North","Grouped region","Mental Health","6","%","64","1062",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Bristol NHS Trust","RVJ","Other","White & Other","South","Grouped region","Acute","17","%","64","375",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Bristol NHS Trust","RVJ","White","White & Other","South","Grouped region","Acute","6","%","168","2795",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health","23","%","39","171",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health","8","%","142","1777",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Epsom and St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute","17","%","98","576",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Epsom and St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute","8","%","103","1292",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute","20","%","79","394",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute","9","%","255","2836",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Tees and Hartlepool NHS Foundation Trust","RVW","Other","White & Other","North","Grouped region","Acute","9","%","4","47",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","North Tees and Hartlepool NHS Foundation Trust","RVW","White","White & Other","North","Grouped region","Acute","4","%","20","501",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southport and Ormskirk Hospital NHS Trust","RVY","Other","White & Other","North","Grouped region","Acute","14","%","9","66",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southport and Ormskirk Hospital NHS Trust","RVY","White","White & Other","North","Grouped region","Acute","7","%","71","1012",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southern Health NHS Foundation Trust","RW1","Other","White & Other","South","Grouped region","Mental Health","10","%","15","150",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Southern Health NHS Foundation Trust","RW1","White","White & Other","South","Grouped region","Mental Health","6","%","137","2281",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mersey Care NHS Foundation Trust","RW4","Other","White & Other","North","Grouped region","Mental Health","13","%","22","172",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Mersey Care NHS Foundation Trust","RW4","White","White & Other","North","Grouped region","Mental Health","6","%","182","3027",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lancashire Care NHS Foundation Trust","RW5","Other","White & Other","North","Grouped region","Mental Health","20","%","9","45",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Lancashire Care NHS Foundation Trust","RW5","White","White & Other","North","Grouped region","Mental Health","7","%","32","459",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Pennine Acute Hospitals NHS Trust","RW6","Other","White & Other","North","Grouped region","Acute","18","%","63","349",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Pennine Acute Hospitals NHS Trust","RW6","White","White & Other","North","Grouped region","Acute","6","%","161","2675",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Hull and East Yorkshire Hospitals NHS Trust","RWA","Other","White & Other","North","Grouped region","Acute","13","%","37","288",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Hull and East Yorkshire Hospitals NHS Trust","RWA","White","White & Other","North","Grouped region","Acute","6","%","168","2807",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","United Lincolnshire Hospitals NHS Trust","RWD","Other","White & Other","Midlands","Grouped region","Acute","19","%","58","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","United Lincolnshire Hospitals NHS Trust","RWD","White","White & Other","Midlands","Grouped region","Acute","8","%","226","2828",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Leicester NHS Trust","RWE","Other","White & Other","Midlands","Grouped region","Acute","15","%","200","1335",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","University Hospitals of Leicester NHS Trust","RWE","White","White & Other","Midlands","Grouped region","Acute","8","%","299","3736",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Maidstone and Tunbridge Wells NHS Trust","RWF","Other","White & Other","South","Grouped region","Acute","13","%","39","301",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Maidstone and Tunbridge Wells NHS Trust","RWF","White","White & Other","South","Grouped region","Acute","7","%","104","1485",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","West Hertfordshire Hospitals NHS Trust","RWG","Other","White & Other","Midlands","Grouped region","Acute","15","%","100","669",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","West Hertfordshire Hospitals NHS Trust","RWG","White","White & Other","Midlands","Grouped region","Acute","5","%","65","1290",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East and North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands","Grouped region","Acute","15","%","96","638",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East and North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands","Grouped region","Acute","7","%","114","1623",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Stockport NHS Foundation Trust","RWJ","Other","White & Other","North","Grouped region","Acute","9","%","6","69",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Stockport NHS Foundation Trust","RWJ","White","White & Other","North","Grouped region","Acute","4","%","20","508",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental Health","14","%","134","959",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental Health","8","%","108","1353",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Worcestershire Acute Hospitals NHS Trust","RWP","Other","White & Other","Midlands","Grouped region","Acute","19","%","37","196",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Worcestershire Acute Hospitals NHS Trust","RWP","White","White & Other","Midlands","Grouped region","Acute","7","%","119","1700",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands","Grouped region","Mental Health","14","%","43","305",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands","Grouped region","Mental Health","6","%","53","875",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental Health","26","%","15","58",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental Health","6","%","77","1283",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Other","White & Other","North","Grouped region","Acute","12","%","15","122",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Warrington and Halton Hospitals NHS Foundation Trust","RWW","White","White & Other","North","Grouped region","Acute","4","%","71","1780",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental Health","17","%","69","403",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental Health","7","%","105","1503",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute","12","%","39","326",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute","7","%","157","2244",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Nottingham University Hospitals NHS Trust","RX1","Other","White & Other","Midlands","Grouped region","Acute","18","%","124","690",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Nottingham University Hospitals NHS Trust","RX1","White","White & Other","Midlands","Grouped region","Acute","5","%","224","4481",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Sussex Partnership NHS Foundation Trust","RX2","Other","White & Other","South","Grouped region","Mental Health","15","%","38","253",""
