"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","24,716",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","23,396",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,320",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","23","318",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","24","2,358",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","901",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","157",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","19","6,840",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","17","5,326",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","17","4,991",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","335",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","99","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","35","866",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","34","295",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","52","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","15,897",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","13,234",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","12,518",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","716",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","20","187",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","20","1,342",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","23","505",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","86","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","6,607",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","6,155",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","10","5,886",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","269",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","32","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","150",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","30","101",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","19","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","29,345",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","24,716",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","23,396",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","1,320",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","318",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","2,358",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","39","901",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","157",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","29","6,840",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","27","5,326",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","27","4,991",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","29","335",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","99","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","47","866",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","47","295",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","52","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","17","15,897",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","17","13,234",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","16","12,518",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","20","716",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","24","187",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","29","1,342",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","34","505",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","..","86","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","6,607",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","6,155",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","5,886",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","17","269",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","32","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","19","150",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","39","101",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2014-2018","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","19","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","33,019",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","27,448",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","25,954",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,494",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","369",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","2,794",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","1,075",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","193",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","12","8,017",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","10","6,110",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","11","5,717",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","8","393",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","12","124",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","28","1,053",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","14","381",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","69","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","17,883",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","14,731",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","7","13,906",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","5","825",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","217",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","15","1,562",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","11","588",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","10","105",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","7,119",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","11","6,607",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","12","6,331",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","9","276",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","28","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","15","179",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","18","106",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","19","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","33,019",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","27,448",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","25,954",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","16","1,494",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","18","369",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","2,794",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","1,075",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","193",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","22","8,017",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","6,110",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","5,717",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","19","393",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","21","124",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","40","1,053",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","33","381",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","..","69","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","14","17,883",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","14,731",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","13","13,906",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","12","825",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","16","217",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","21","1,562",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","21","588",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Working-age adults","All/Children/Working-age adults/pensioners","23","105",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","7,119",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","6,607",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","22","6,331",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","25","276",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","28","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","23","179",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","25","106",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All Pensioners","All/Children/Working-age adults/pensioners","..","19","Value suppressed due to small sample size"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","33,019",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","27,448",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","25,954",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,494",""
