"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Numerator","Denominator","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","22","%","106","472","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","22","%","55","253","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","23","%","51","219","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","61","%","23474","38458","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","57","%","11314","19707","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","65","%","12160","18751","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","10","%","61352","619350","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","26345","316583","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","12","%","35007","302767","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","12","%","8262","67860","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","10","%","3553","34819","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","14","%","4709","33041","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","15","%","1674","11375","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","12","%","704","5888","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","18","%","970","5487","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","11","%","1217","10962","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","9","%","519","5623","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","13","%","698","5339","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","8","%","3024","37360","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","7","%","1224","18773","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","10","%","1800","18587","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","9","%","2326","25205","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","961","12602","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","11","%","1365","12603","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","5","%","357","7216","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","4","%","132","3647","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","6","%","225","3569","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","7","%","341","4939","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","5","%","131","2524","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","9","%","210","2415","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","28","%","718","2543","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","23","%","292","1264","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","33","%","426","1279","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","18","%","3335","18165","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","15","%","1453","9376","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","21","%","1882","8789","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","11","%","4002","35485","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","9","%","1696","18057","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","13","%","2306","17428","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","13","%","1641","12820","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","11","%","716","6600","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","15","%","925","6220","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","16","%","1308","8307","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","13","%","560","4208","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","18","%","748","4099","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","10","%","467","4794","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","204","2475","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","11","%","263","2319","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","6","%","586","9564","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","5","%","216","4774","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","8","%","370","4790","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","9","%","1074","11647","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","487","5985","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","10","%","587","5662","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","7","%","2036","27358","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","6","%","877","13932","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","9","%","1159","13426","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","8","%","466","5548","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","7","%","199","2833","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","10","%","267","2715","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","10","%","43806","458907","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","18894","234852","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","11","%","24912","224055","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","10","%","39941","416127","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","17242","212969","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","11","%","22699","203158","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","0","%","10","2160","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","1","%","8","1071","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","0","%","2","1089","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","15","%","246","1690","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","12","%","106","852","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","17","%","140","838","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","0","%","1","472","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","0","%","0","253","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","0","%","1","219","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","All","9","%","3608","38458","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","All","8","%","1538","19707","",""
"% of pupils reaching the key stage 2 higher standard in reading, writing and mathematics by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","All","11","%","2070","18751","",""
