"Measure","Apprenticeship_level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","1200","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","230","n/a"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","360","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","790","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","1310","0.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","170","0"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","180","0"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","430","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","690","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","80","0"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","180","0"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","360","0.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","630","0.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","90","0"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","48960","12.7"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","66790","17.3"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","151110","39.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","35360","9.1"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","23330","6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","40340","10.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","76720","19.8"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","13050","3.4"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","25630","6.6"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","26450","6.8"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","74390","19.2"
"Percentage of apprenticeship starts for each ethnicity","Advanced Apprenticeship","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","22310","5.8"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","7250","1.9"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","10910","2.8"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","21370","5.5"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","3210","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","3070","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","5690","1.5"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","10280","2.7"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","1520","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","4180","1.1"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","5220","1.3"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","11090","2.9"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","1690","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","3030","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","9110","2.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","13510","3.5"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","1370","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","1380","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","5490","1.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","7420","1.9"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","550","0.1"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","1650","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","3620","0.9"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","6090","1.6"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","820","0.2"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","3460","0.9"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","4370","1.1"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","10520","2.7"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","2690","0.7"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","1640","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","2500","0.6"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","5370","1.4"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","1230","0.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","1820","0.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1870","0.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","5150","1.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","1470","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1500","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","4300","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","6660","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","860","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","760","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","2520","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","3660","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","390","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","740","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1780","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","3000","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","470","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","730","0.2"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1870","0.5"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","2990","0.8"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","390","0.1"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","350","0.1"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","970","0.3"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1500","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","190","0"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","390","0.1"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","890","0.2"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","1490","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","210","0.1"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","100030","25.9"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","149130","38.6"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","338330","87.5"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","89170","23.1"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","45460","11.8"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","86680","22.4"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","168880","43.7"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","36740","9.5"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","54570","14.1"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","62450","16.1"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","169450","43.8"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","52430","13.6"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","1840","0.5"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","3230","0.8"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","5380","1.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","310","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","750","0.2"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1750","0.5"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","2600","0.7"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","100","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","1090","0.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","1480","0.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","2780","0.7"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Asian/ Asian British ","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","210","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","540","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","2340","0.6"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","2940","0.8"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","70","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","240","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","1510","0.4"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1780","0.5"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","30","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","300","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","830","0.2"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","1160","0.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","40","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","690","0.2"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1200","0.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","2010","0.5"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","130","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","300","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","710","0.2"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1050","0.3"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","40","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","19-24","Labour force age brackets","393,380","390","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","25+","Labour force age brackets","393,380","490","0.1"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","All","Labour force age brackets","393,380","960","0.2"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Mixed/ Multiple Ethnic Group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Male","Under 19","Labour force age brackets","393,380","90","0"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","19-24","Labour force age brackets","393,380","420","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","25+","Labour force age brackets","393,380","1610","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","All","Labour force age brackets","393,380","2110","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","Under 19","Labour force age brackets","393,380","80","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","19-24","Labour force age brackets","393,380","170","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","25+","Labour force age brackets","393,380","890","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","All","Labour force age brackets","393,380","1090","n/a"
"Percentage of apprenticeship starts for each ethnicity","Higher Apprenticeship","Not App/Known","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","Female","Under 19","Labour force age brackets","393,380","20","n/a"
