"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","29.3","25867","756731.4"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","45.6","181513","8271439.82"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","18.6","47","873.75"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","27.8","37","1029.75"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","29","24146","699384.64"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","33.9","1174","39855"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","41.7","6769","281938.26"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","51.7","502","25963.78"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","60.6","6845","414793.61"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","43.8","2234","97943.76"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.1","9205","461319.05"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","46.9","4527","212261.92"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","55.3","23576","1304491.68"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","41","431","17672.75"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","49","1503","73674.89"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","46.1","2143","98799.88"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","52.3","7862","411190.16"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","38.2","932","35646.25"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","44.9","2785","124913.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","43.4","3506","152118.88"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","42.5","907","38516.25"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","53.9","4019","216729.92"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","40.2","2707","108820.76"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","52.9","10753","568754.82"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","41.4","418","17314.38"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","57.7","2596","149822.76"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","43.5","357","15531"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","52.5","1288","67648.76"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","36.5","1025","37459.13"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","47.2","2850","134553.38"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","45.8","1174","53716.77"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.8","3450","178818.99"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","37.9","37317","1415994.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.3","228613","11739058.14"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","36.2","590","21340.25"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","44.5","3165","140938.13"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","41.5","1184","49085.41"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.3","12550","630801.3"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","20.2","206","4152.25"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","22","422","9289.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","34.9","24747","863605.68"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","50.8","174581","8874218.55"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","36.7","909","33379.75"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","44.9","2966","133077.14"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","42.3","4326","183131.63"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","48.8","15481","754715.67"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","34.1","1896","64723.25"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","41.2","5597","230664"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","39.4","7131","281234.63"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","46.5","24044","1118456.81"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","57.9","130","7533"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","64.8","1876","121478.96"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","39","2539","99105.17"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","47.6","25675","1220951.85"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","16.9","418","7075.5"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","20.2","825","16632.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","32","50614","1620337.08"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","48.1","356094","17145658.37"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","22.2","85","1891"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","32.3","66","2130.75"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","31.8","47358","1504350.91"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","48.2","328054","15825919.27"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","37","214","7914.5"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","54.3","1474","80023.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.1","1106","50932.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","47.3","25879","1225158.22"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","75.2","2433","182866.56"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.1","662","28523"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","41.4","13898","575733.51"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","70.3","460","32355.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","51.5","44","2266.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","61.1","742","45346.77"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","78.6","193","15178.77"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","42","182","7648.25"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.5","4559","202997.19"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","75.9","148","11238"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.9","13607","596811.67"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","48.8","175263","8554512.74"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","71.3","8161","582284.57"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.9","320","14048.88"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","47.3","8859","419043.32"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","75.7","281","21267.5"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","55.6","84","4673"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","62.4","1525","95191.31"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","78.9","369","29114.65"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","44.9","1557","69938.26"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","47.3","23596","1115143.48"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","73.5","1359","99888.15"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.1","775","33393.26"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.8","11732","525461.42"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","72.3","676","48856.13"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","50.9","661","33618.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","48.2","14329","690759.17"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","72.9","513","37375.26"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","38.6","152","5869.75"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","42.2","3245","136777.88"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","72.1","142","10233"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","39.1","14029","549172.77"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.1","179373","7919062.88"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","selective schools","State-funded mainstream","All","68.4","7879","539204.07"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","50.6","1073","54287.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","52.6","24503","1288524.42"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","76.5","2272","173759.93"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","60.2","40","2406.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","63.7","783","49844.54"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","79.2","176","13935.88"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.7","782","36545"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","49.7","11864","589682.06"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","74.7","683","51032.02"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.4","138","6400.63"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","50.2","4300","216046.13"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","75.4","133","10029.5"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","43.8","141","6179.13"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","46.6","2925","136292.5"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","selective schools","State-funded mainstream","All","74.7","130","9713.75"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","48.3","2179","105219.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","49.9","50382","2513682.64"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","75.8","4705","356626.49"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","47","1323","62141.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.9","28227","1266492.68"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","71.7","973","69730.51"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","41.1","293","12048.88"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","44.3","6170","273070.38"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","73.3","272","19946.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","41.5","27636","1145984.44"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","non-selective schools in other areas","State-funded mainstream","All","46.5","354636","16473575.62"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","selective schools","State-funded mainstream","All","69.9","16040","1121488.64"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","50.6","20679","1045409.98"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","53.4","13560","724139.58"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","FE 14-16 Colleges","All","0","1","0"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","52.7","1137","59889.51"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","47.3","8722","412566.05"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","43.9","5717","250905.39"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","49.6","29419","1458957.03"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","0.7","589","425.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","38.1","46","1750.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","39.8","219","8725"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","42.7","10381","443680.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Converter Academies","All","44.9","5472","245641.88"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Free Schools","All","41.3","528","21790.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","LA maintained mainstream","All","41.6","4626","192286.13"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Sponsored Academies","All","40.5","4158","168462"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded mainstream","All","42.4","15020","636611.76"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","State-funded special schools","All","2.4","499","1182"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Studio Schools","All","40.8","25","1020"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","University Technical Colleges (UTCs)","All","34.2","198","6766.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","Academies and free schools","All","65.6","744","48800.77"
