"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Value","Value_type"
"Percentage of NHS trust board members","University Hospital Southampton NHS Foundation Trust","RHM","Acute and Acute & Community Trusts","South East","Unknown","White & Other","2","%"
"Percentage of NHS trust board members","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","80.6","%"
"Percentage of NHS trust board members","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","14.8","%"
"Percentage of NHS trust board members","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","4.6","%"
"Percentage of NHS trust board members","Portsmouth Hospitals University NHS Trust","RHU","Acute and Acute & Community Trusts","South East","White","White & Other","76.7","%"
"Percentage of NHS trust board members","Portsmouth Hospitals University NHS Trust","RHU","Acute and Acute & Community Trusts","South East","Other","White & Other","21.2","%"
"Percentage of NHS trust board members","Portsmouth Hospitals University NHS Trust","RHU","Acute and Acute & Community Trusts","South East","Unknown","White & Other","2.1","%"
"Percentage of NHS trust board members","Royal Berkshire NHS Foundation Trust","RHW","Acute and Acute & Community Trusts","South East","White","White & Other","55.8","%"
"Percentage of NHS trust board members","Royal Berkshire NHS Foundation Trust","RHW","Acute and Acute & Community Trusts","South East","Other","White & Other","29.2","%"
"Percentage of NHS trust board members","Royal Berkshire NHS Foundation Trust","RHW","Acute and Acute & Community Trusts","South East","Unknown","White & Other","14.9","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute and Acute & Community Trusts","London","White","White & Other","50","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute and Acute & Community Trusts","London","Other","White & Other","44.2","%"
"Percentage of NHS trust board members","Guy's and St Thomas' NHS Foundation Trust","RJ1","Acute and Acute & Community Trusts","London","Unknown","White & Other","5.9","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute and Acute & Community Trusts","London","White","White & Other","44.8","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute and Acute & Community Trusts","London","Other","White & Other","53.9","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute and Acute & Community Trusts","London","Unknown","White & Other","1.3","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute and Acute & Community Trusts","London","White","White & Other","35.6","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute and Acute & Community Trusts","London","Other","White & Other","52.2","%"
"Percentage of NHS trust board members","Croydon Health Services NHS Trust","RJ6","Acute and Acute & Community Trusts","London","Unknown","White & Other","12.1","%"
"Percentage of NHS trust board members","St George's University Hospitals NHS Foundation Trust","RJ7","Acute and Acute & Community Trusts","London","White","White & Other","48.8","%"
"Percentage of NHS trust board members","St George's University Hospitals NHS Foundation Trust","RJ7","Acute and Acute & Community Trusts","London","Other","White & Other","47.4","%"
"Percentage of NHS trust board members","St George's University Hospitals NHS Foundation Trust","RJ7","Acute and Acute & Community Trusts","London","Unknown","White & Other","3.9","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","White","White & Other","96.4","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Other","White & Other","2.4","%"
"Percentage of NHS trust board members","Cornwall Partnership NHS Foundation Trust","RJ8","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South West","Unknown","White & Other","1.2","%"
"Percentage of NHS trust board members","South Warwickshire NHS Foundation Trust","RJC","Acute and Acute & Community Trusts","Midlands","White","White & Other","80.7","%"
"Percentage of NHS trust board members","South Warwickshire NHS Foundation Trust","RJC","Acute and Acute & Community Trusts","Midlands","Other","White & Other","17.1","%"
"Percentage of NHS trust board members","South Warwickshire NHS Foundation Trust","RJC","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","2.2","%"
"Percentage of NHS trust board members","University Hospitals of North Midlands NHS Trust","RJE","Acute and Acute & Community Trusts","Midlands","White","White & Other","78","%"
"Percentage of NHS trust board members","University Hospitals of North Midlands NHS Trust","RJE","Acute and Acute & Community Trusts","Midlands","Other","White & Other","18.6","%"
"Percentage of NHS trust board members","University Hospitals of North Midlands NHS Trust","RJE","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","3.4","%"
"Percentage of NHS trust board members","Northern Lincolnshire And Goole NHS Foundation Trust","RJL","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","85","%"
"Percentage of NHS trust board members","Northern Lincolnshire And Goole NHS Foundation Trust","RJL","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","11.3","%"
"Percentage of NHS trust board members","Northern Lincolnshire And Goole NHS Foundation Trust","RJL","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","3.7","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute and Acute & Community Trusts","North West","White","White & Other","82","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute and Acute & Community Trusts","North West","Other","White & Other","10","%"
"Percentage of NHS trust board members","East Cheshire NHS Trust","RJN","Acute and Acute & Community Trusts","North West","Unknown","White & Other","8","%"
"Percentage of NHS trust board members","Countess of Chester Hospital NHS Foundation Trust","RJR","Acute and Acute & Community Trusts","North West","White","White & Other","89.2","%"
"Percentage of NHS trust board members","Countess of Chester Hospital NHS Foundation Trust","RJR","Acute and Acute & Community Trusts","North West","Other","White & Other","8.4","%"
"Percentage of NHS trust board members","Countess of Chester Hospital NHS Foundation Trust","RJR","Acute and Acute & Community Trusts","North West","Unknown","White & Other","2.4","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute and Acute & Community Trusts","London","White","White & Other","44.4","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute and Acute & Community Trusts","London","Other","White & Other","51.1","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute and Acute & Community Trusts","London","Unknown","White & Other","4.4","%"
"Percentage of NHS trust board members","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Acute and Acute & Community Trusts","Midlands","White","White & Other","66.7","%"
"Percentage of NHS trust board members","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Acute and Acute & Community Trusts","Midlands","Other","White & Other","11.7","%"
"Percentage of NHS trust board members","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","21.6","%"
"Percentage of NHS trust board members","University Hospitals Plymouth NHS Trust","RK9","Acute and Acute & Community Trusts","South West","White","White & Other","84","%"
"Percentage of NHS trust board members","University Hospitals Plymouth NHS Trust","RK9","Acute and Acute & Community Trusts","South West","Other","White & Other","8.5","%"
"Percentage of NHS trust board members","University Hospitals Plymouth NHS Trust","RK9","Acute and Acute & Community Trusts","South West","Unknown","White & Other","7.5","%"
"Percentage of NHS trust board members","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Acute and Acute & Community Trusts","Midlands","White","White & Other","56.2","%"
"Percentage of NHS trust board members","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Acute and Acute & Community Trusts","Midlands","Other","White & Other","27.2","%"
"Percentage of NHS trust board members","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","16.6","%"
"Percentage of NHS trust board members","Whittington Health NHS Trust","RKE","Acute and Acute & Community Trusts","London","White","White & Other","37.5","%"
"Percentage of NHS trust board members","Whittington Health NHS Trust","RKE","Acute and Acute & Community Trusts","London","Other","White & Other","39.7","%"
"Percentage of NHS trust board members","Whittington Health NHS Trust","RKE","Acute and Acute & Community Trusts","London","Unknown","White & Other","22.8","%"
"Percentage of NHS trust board members","West London NHS Trust","RKL","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","44.7","%"
"Percentage of NHS trust board members","West London NHS Trust","RKL","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","52.9","%"
"Percentage of NHS trust board members","West London NHS Trust","RKL","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","2.4","%"
"Percentage of NHS trust board members","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Acute Specialist Trusts","Midlands","White","White & Other","89.4","%"
"Percentage of NHS trust board members","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Acute Specialist Trusts","Midlands","Other","White & Other","5.7","%"
"Percentage of NHS trust board members","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Acute Specialist Trusts","Midlands","Unknown","White & Other","4.9","%"
"Percentage of NHS trust board members","The Royal Wolverhampton NHS Trust","RL4","Acute and Acute & Community Trusts","Midlands","White","White & Other","67","%"
"Percentage of NHS trust board members","The Royal Wolverhampton NHS Trust","RL4","Acute and Acute & Community Trusts","Midlands","Other","White & Other","31.2","%"
"Percentage of NHS trust board members","The Royal Wolverhampton NHS Trust","RL4","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute and Acute & Community Trusts","Midlands","White","White & Other","84.1","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute and Acute & Community Trusts","Midlands","Other","White & Other","14","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute and Acute & Community Trusts","Midlands","White","White & Other","77.4","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute and Acute & Community Trusts","Midlands","Other","White & Other","21.1","%"
"Percentage of NHS trust board members","George Eliot Hospital NHS Trust","RLT","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","89.2","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","8.2","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","2.7","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute and Acute & Community Trusts","East of England","White","White & Other","80.3","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute and Acute & Community Trusts","East of England","Other","White & Other","13.2","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","6.5","%"
"Percentage of NHS trust board members","Salford Royal NHS Foundation Trust","RM3","Acute and Acute & Community Trusts","North West","White","White & Other","82.1","%"
"Percentage of NHS trust board members","Salford Royal NHS Foundation Trust","RM3","Acute and Acute & Community Trusts","North West","Other","White & Other","16.2","%"
"Percentage of NHS trust board members","Salford Royal NHS Foundation Trust","RM3","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.7","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute and Acute & Community Trusts","North West","White","White & Other","80.5","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute and Acute & Community Trusts","North West","Other","White & Other","14.1","%"
"Percentage of NHS trust board members","Bolton NHS Foundation Trust","RMC","Acute and Acute & Community Trusts","North West","Unknown","White & Other","5.4","%"
"Percentage of NHS trust board members","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Acute and Acute & Community Trusts","North West","White","White & Other","82","%"
"Percentage of NHS trust board members","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Acute and Acute & Community Trusts","North West","Other","White & Other","17.3","%"
"Percentage of NHS trust board members","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Acute and Acute & Community Trusts","North West","Unknown","White & Other","0.7","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","White","White & Other","86.5","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Other","White & Other","9.7","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","East of England","Unknown","White & Other","3.8","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute and Acute & Community Trusts","South West","White","White & Other","72.2","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute and Acute & Community Trusts","South West","Other","White & Other","17.2","%"
"Percentage of NHS trust board members","Great Western Hospitals NHS Foundation Trust","RN3","Acute and Acute & Community Trusts","South West","Unknown","White & Other","10.6","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute and Acute & Community Trusts","South East","White","White & Other","64.8","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute and Acute & Community Trusts","South East","Other","White & Other","21.8","%"
"Percentage of NHS trust board members","Hampshire Hospitals NHS Foundation Trust","RN5","Acute and Acute & Community Trusts","South East","Unknown","White & Other","13.4","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute and Acute & Community Trusts","South East","White","White & Other","62.3","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute and Acute & Community Trusts","South East","Other","White & Other","35","%"
"Percentage of NHS trust board members","Dartford and Gravesham NHS Trust","RN7","Acute and Acute & Community Trusts","South East","Unknown","White & Other","2.7","%"
"Percentage of NHS trust board members","The Dudley Group NHS Foundation Trust","RNA","Acute and Acute & Community Trusts","Midlands","White","White & Other","69.1","%"
"Percentage of NHS trust board members","The Dudley Group NHS Foundation Trust","RNA","Acute and Acute & Community Trusts","Midlands","Other","White & Other","19.5","%"
"Percentage of NHS trust board members","The Dudley Group NHS Foundation Trust","RNA","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","11.4","%"
"Percentage of NHS trust board members","Tavistock and Portman NHS Foundation Trust","RNK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","68","%"
"Percentage of NHS trust board members","Tavistock and Portman NHS Foundation Trust","RNK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","27.5","%"
"Percentage of NHS trust board members","Tavistock and Portman NHS Foundation Trust","RNK","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","4.6","%"
"Percentage of NHS trust board members","North Cumbria Integrated Care NHS Foundation Trust","RNN","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","90.8","%"
"Percentage of NHS trust board members","North Cumbria Integrated Care NHS Foundation Trust","RNN","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","5.9","%"
"Percentage of NHS trust board members","North Cumbria Integrated Care NHS Foundation Trust","RNN","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","3.3","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute and Acute & Community Trusts","Midlands","White","White & Other","71.3","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute and Acute & Community Trusts","Midlands","Other","White & Other","27.5","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","1.1","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute and Acute & Community Trusts","Midlands","White","White & Other","69.6","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute and Acute & Community Trusts","Midlands","Other","White & Other","27.7","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","2.6","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","77.6","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Other","White & Other","18.4","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","Unknown","White & Other","4.1","%"
"Percentage of NHS trust board members","Salisbury NHS Foundation Trust","RNZ","Acute and Acute & Community Trusts","South West","White","White & Other","81.2","%"
"Percentage of NHS trust board members","Salisbury NHS Foundation Trust","RNZ","Acute and Acute & Community Trusts","South West","Other","White & Other","16.9","%"
"Percentage of NHS trust board members","Salisbury NHS Foundation Trust","RNZ","Acute and Acute & Community Trusts","South West","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","81.6","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","15.5","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","2.9","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Acute Specialist Trusts","London","White","White & Other","63.5","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Acute Specialist Trusts","London","Other","White & Other","31.2","%"
"Percentage of NHS trust board members","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Acute Specialist Trusts","London","Unknown","White & Other","5.3","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","85.6","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","9.6","%"
"Percentage of NHS trust board members","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","4.8","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute Specialist Trusts","London","White","White & Other","36.3","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute Specialist Trusts","London","Other","White & Other","53.1","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute Specialist Trusts","London","Unknown","White & Other","10.7","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","90.7","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","5.7","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","3.6","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute and Acute & Community Trusts","South East","White","White & Other","64.3","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute and Acute & Community Trusts","South East","Other","White & Other","28.3","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute and Acute & Community Trusts","South East","Unknown","White & Other","7.4","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute Specialist Trusts","South East","White","White & Other","79.4","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute Specialist Trusts","South East","Other","White & Other","18.8","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute Specialist Trusts","South East","Unknown","White & Other","1.8","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","53.1","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","44.4","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","2.5","%"
"Percentage of NHS trust board members","The Royal Marsden NHS Foundation Trust","RPY","Acute Specialist Trusts","London","White","White & Other","62.7","%"
"Percentage of NHS trust board members","The Royal Marsden NHS Foundation Trust","RPY","Acute Specialist Trusts","London","Other","White & Other","35.8","%"
"Percentage of NHS trust board members","The Royal Marsden NHS Foundation Trust","RPY","Acute Specialist Trusts","London","Unknown","White & Other","1.5","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute and Acute & Community Trusts","Midlands","White","White & Other","64.1","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute and Acute & Community Trusts","Midlands","Other","White & Other","25.9","%"
"Percentage of NHS trust board members","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","10.1","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute and Acute & Community Trusts","London","White","White & Other","44.7","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute and Acute & Community Trusts","London","Other","White & Other","46.9","%"
"Percentage of NHS trust board members","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Acute and Acute & Community Trusts","London","Unknown","White & Other","8.5","%"
"Percentage of NHS trust board members","The Princess Alexandra Hospital NHS Trust","RQW","Acute and Acute & Community Trusts","East of England","White","White & Other","62.4","%"
"Percentage of NHS trust board members","The Princess Alexandra Hospital NHS Trust","RQW","Acute and Acute & Community Trusts","East of England","Other","White & Other","32.5","%"
"Percentage of NHS trust board members","The Princess Alexandra Hospital NHS Trust","RQW","Acute and Acute & Community Trusts","East of England","Unknown","White & Other","5.1","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute and Acute & Community Trusts","London","White","White & Other","44.1","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute and Acute & Community Trusts","London","Other","White & Other","53.8","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute and Acute & Community Trusts","London","Unknown","White & Other","2.1","%"
"Percentage of NHS trust board members","South West London and St George's Mental Health NHS Trust","RQY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","48.1","%"
"Percentage of NHS trust board members","South West London and St George's Mental Health NHS Trust","RQY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","50","%"
"Percentage of NHS trust board members","South West London and St George's Mental Health NHS Trust","RQY","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","1.9","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","92","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","6.1","%"
"Percentage of NHS trust board members","Gateshead Health NHS Foundation Trust","RR7","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","2","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","75.7","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","21.2","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","3.1","%"
"Percentage of NHS trust board members","Midlands Partnership NHS Foundation Trust","RRE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","85.6","%"
"Percentage of NHS trust board members","Midlands Partnership NHS Foundation Trust","RRE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","7.3","%"
"Percentage of NHS trust board members","Midlands Partnership NHS Foundation Trust","RRE","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","7.1","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust","RRF","Acute and Acute & Community Trusts","North West","White","White & Other","88.5","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust","RRF","Acute and Acute & Community Trusts","North West","Other","White & Other","10.1","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust","RRF","Acute and Acute & Community Trusts","North West","Unknown","White & Other","1.4","%"
"Percentage of NHS trust board members","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Acute Specialist Trusts","Midlands","White","White & Other","73","%"
"Percentage of NHS trust board members","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Acute Specialist Trusts","Midlands","Other","White & Other","27","%"
"Percentage of NHS trust board members","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Acute Specialist Trusts","Midlands","Unknown","White & Other","0","%"
"Percentage of NHS trust board members","University Hospitals Birmingham NHS Foundation Trust","RRK","Acute and Acute & Community Trusts","Midlands","White","White & Other","62.6","%"
"Percentage of NHS trust board members","University Hospitals Birmingham NHS Foundation Trust","RRK","Acute and Acute & Community Trusts","Midlands","Other","White & Other","33.5","%"
"Percentage of NHS trust board members","University Hospitals Birmingham NHS Foundation Trust","RRK","Acute and Acute & Community Trusts","Midlands","Unknown","White & Other","3.9","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","White","White & Other","40.9","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Other","White & Other","54","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","London","Unknown","White & Other","5.1","%"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance Trusts","London","White","White & Other","80.1","%"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance Trusts","London","Other","White & Other","18.4","%"
