"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Rate per 1,000 people","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Victim","122","124"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","57"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Assailant","180","11207"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Assailant","167","1158"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Assailant","379","4050"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Assailant","432","1622"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Assailant","269","293"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","75"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Fighter","124","7769"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Fighter","141","977"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Fighter","299","3197"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Fighter","300","1126"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Fighter","239","260"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","58"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Victim","148","9231"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Victim","153","1060"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Victim","165","1758"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Victim","188","707"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Victim","169","184"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","75"
