"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","sustained employment further study or both","80.2","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","sustained employment further study or both","76.7","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","sustained employment further study or both","78.3","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","sustained employment further study or both","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","sustained employment further study or both","83.2","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","sustained employment further study or both","84.7","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","sustained employment further study or both","74.6","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","sustained employment further study or both","86.1","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","sustained employment further study or both","79.2","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","sustained employment further study or both","77.6","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","sustained employment further study or both","79.4","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","sustained employment further study or both","86","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","sustained employment further study or both","82","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","sustained employment further study or both","80.6","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","sustained employment further study or both","84.8","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","sustained employment further study or both","76.2","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","sustained employment further study or both","82.3","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","sustained employment further study or both","76.2","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","sustained employment further study or both","76.4","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","sustained employment further study or both","75.7","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","sustained employment further study or both","80.6","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","sustained employment further study or both","82.4","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","sustained employment further study or both","66","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","sustained employment further study or both","83.1","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","sustained employment further study or both","78.3","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","sustained employment further study or both","72.8","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","sustained employment further study or both","76.2","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","sustained employment further study or both","83.5","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","sustained employment further study or both","79.6","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","sustained employment further study or both","76.4","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","sustained employment further study or both","84","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","sustained employment only","56.8","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","sustained employment only","63.6","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","sustained employment only","59.6","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","sustained employment only","56.1","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","sustained employment only","57.8","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","sustained employment only","45.2","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","sustained employment only","62.9","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","sustained employment only","65.3","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","sustained employment only","54.6","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","sustained employment only","63.8","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","sustained employment only","62.8","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","sustained employment only","54.3","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","sustained employment only","57.1","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","sustained employment only","65.1","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","sustained employment only","58.2","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","sustained employment only","58.8","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","sustained employment only","66.3","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","sustained employment only","62.5","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","sustained employment only","71.3","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","sustained employment only","64.6","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","sustained employment only","60","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","sustained employment only","65.6","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","sustained employment only","54.2","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","sustained employment only","74.6","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","sustained employment only","69.4","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","sustained employment only","62.9","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","sustained employment only","73","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","sustained employment only","67.8","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","sustained employment only","62.8","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","sustained employment only","67.2","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","sustained employment only","72.5","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","sustained employment only","67.9","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","sustained employment only","67","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","sustained employment only","72.4","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","sustained employment only","65.4","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","sustained employment only","74.5","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","sustained employment only","68.4","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","sustained employment only","64.4","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","sustained employment only","67.3","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","sustained employment only","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","sustained employment only","76.4","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","sustained employment only","73.1","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","sustained employment only","65.1","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","sustained employment only","77.4","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","sustained employment only","68.5","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","sustained employment only","65.8","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","sustained employment only","70.5","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","sustained employment only","75.7","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","sustained employment only","70.6","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","sustained employment only","69.1","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","sustained employment only","75.3","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","sustained employment only","66.5","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","sustained employment only","76.7","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","sustained employment only","69.5","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","sustained employment only","68.1","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","sustained employment only","69.8","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","sustained employment only","76.1","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","sustained employment only","75","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","sustained employment only","61.8","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","sustained employment only","78.6","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","sustained employment only","71.8","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","sustained employment only","66","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","sustained employment only","71.7","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","sustained employment only","78","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","sustained employment only","72.6","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","sustained employment only","69","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","sustained employment only","76.4","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","sustained employment with or without further study","77.6","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","sustained employment with or without further study","80.5","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","sustained employment with or without further study","74.7","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","sustained employment with or without further study","73.6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","sustained employment with or without further study","72.8","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","sustained employment with or without further study","64.5","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","sustained employment with or without further study","78.4","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","sustained employment with or without further study","81.2","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","sustained employment with or without further study","66.4","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","sustained employment with or without further study","78.2","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","sustained employment with or without further study","76.1","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","sustained employment with or without further study","70.4","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","sustained employment with or without further study","73.9","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","sustained employment with or without further study","82","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","sustained employment with or without further study","74.8","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","sustained employment with or without further study","75.4","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","sustained employment with or without further study","81","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","sustained employment with or without further study","78.1","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","sustained employment with or without further study","82.5","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","sustained employment with or without further study","76","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","sustained employment with or without further study","74","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","sustained employment with or without further study","76.8","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","sustained employment with or without further study","67.9","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","sustained employment with or without further study","83.5","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","sustained employment with or without further study","82.1","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","sustained employment with or without further study","71.1","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","sustained employment with or without further study","83.3","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","sustained employment with or without further study","77.9","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","sustained employment with or without further study","73.3","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","sustained employment with or without further study","77.7","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","sustained employment with or without further study","83.7","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","sustained employment with or without further study","78.8","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","sustained employment with or without further study","77.3","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","sustained employment with or without further study","83.2","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","sustained employment with or without further study","77.7","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","sustained employment with or without further study","82.9","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","sustained employment with or without further study","77.5","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","sustained employment with or without further study","73.7","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","sustained employment with or without further study","75.7","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","sustained employment with or without further study","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","sustained employment with or without further study","81.5","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","sustained employment with or without further study","82.8","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","sustained employment with or without further study","72","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","sustained employment with or without further study","84.5","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","sustained employment with or without further study","76.8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","sustained employment with or without further study","74.2","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","sustained employment with or without further study","77","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","sustained employment with or without further study","84.1","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","sustained employment with or without further study","79.2","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","sustained employment with or without further study","78.4","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","sustained employment with or without further study","83.3","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","sustained employment with or without further study","74.4","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","sustained employment with or without further study","81.5","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","sustained employment with or without further study","75","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","sustained employment with or without further study","74.7","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","sustained employment with or without further study","74.6","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","sustained employment with or without further study","79.6","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","sustained employment with or without further study","81.5","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","sustained employment with or without further study","65.4","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","sustained employment with or without further study","82.5","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","sustained employment with or without further study","77.4","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","sustained employment with or without further study","71.7","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","sustained employment with or without further study","75.4","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","sustained employment with or without further study","82.6","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","sustained employment with or without further study","78.4","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","sustained employment with or without further study","75.2","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","sustained employment with or without further study","82.9","%","1060"
