"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","11","6,102"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","11","5,709"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","6","393"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","12","124"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","28","1,053"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","16","381"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","69","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","17,886"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","14,705"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","13,883"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","4","822"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","217"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","1,563"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","588"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","105"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","7,116"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","6,602"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","6,326"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","9","276"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","28","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","13","176"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","16","106"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","33,019"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","27,409"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","25,918"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","1,491"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","18","369"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","2,792"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","1,075"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","193"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","22","8,017"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","21","6,102"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","21","5,709"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","14","393"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","21","124"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","42","1,053"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","32","381"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","69","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","17,886"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","14,705"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","13,883"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","10","822"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","16","217"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","1,563"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","21","588"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","105"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","7,116"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","23","6,602"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","23","6,326"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","24","276"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","28","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","25","176"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","28","106"," "
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","33,019"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","27,409"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","25,918"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","1,491"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","369"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","2,792"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","1,075"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","193"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","20","8,017"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","18","6,102"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","18","5,709"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","16","393"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","35","124"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","36","1,053"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","36","381"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","69","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","17,886"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","14,705"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","13,883"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","822"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","24","217"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","20","1,563"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","25","588"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","24","105"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","7,116"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","6,602"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","6,326"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","10","276"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","28","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","176"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","31","106"," "
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","33,019"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","27,409"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","25,918"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","20","1,491"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","369"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","2,792"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","1,075"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","193"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","29","8,017"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","26","6,102"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","27","5,709"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","22","393"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","36","124"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","50","1,053"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","47","381"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","69","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","18","17,886"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","14,705"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","13,883"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","18","822"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","27","217"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","30","1,563"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","36","588"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","36","105"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","7,116"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","6,602"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","6,326"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","20","276"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","28","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","20","176"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","35","106"," "
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","19","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","36,506"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","30,031"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","28,354"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,677"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","416"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","3,138"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","1,268"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","229"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","11","9,158"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","10","6,897"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","10","6,454"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","6","443"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","8","144"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","26","1,204"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","18","473"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","85","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","19,857"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","16,210"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","15,277"," "
