"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","23,933",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","16,606",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","15,508",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","1,098",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","466",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","4,297",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","1,624",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","338",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","120,652",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","99,807",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","93,952",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","5,855",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,358",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","9,054",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,152",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","731",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","21,941",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","15,485",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","14,536",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","41","949",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","343",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","4,021",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","1,296",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","275",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","115,056",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","96,418",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","90,899",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","5,519",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","1,172",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","8,020",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","3,504",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","587",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","27,537",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","18,874",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","17,589",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","1,285",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","529",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","5,055",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","1,944",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","419",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","134,859",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","110,594",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","104,081",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","6,513",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,519",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","10,292",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","4,801",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","844",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","25,846",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","17,980",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","16,842",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","1,138",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","408",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","4,747",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","1,672",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","333",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","128,284",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","106,702",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","100,605",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","6,097",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","1,311",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","9,001",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","4,023",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","660",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","32,421",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","21,872",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","20,318",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","1,554",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","616",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","6,038",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","2,450",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","517",""
