"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","20","461"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","84"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","20,036"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","16,253"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","15,314"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","4","939"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","11","236"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","1,774"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","14","689"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","9","124"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","7,489"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,912"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,612"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","12","300"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","34"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","13","187"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","15","118"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","22"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","17","36,469"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","16","29,887"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","16","28,214"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","14","1,673"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","407"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","28","3,121"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","28","1,268"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","230"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","22","8,944"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","20","6,722"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","20","6,288"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","14","434"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","22","137"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","39","1,160"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","34","461"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","84"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","20,036"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","16,253"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","15,314"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","10","939"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","16","236"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","22","1,774"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","24","689"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","18","124"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","21","7,489"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","22","6,912"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","21","6,612"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","27","300"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","34"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","23","187"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","29","118"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","22"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","13","36,469"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","12","29,887"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","12","28,214"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","13","1,673"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","21","407"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","24","3,121"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","32","1,268"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","25","230"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","19","8,944"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","17","6,722"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","18","6,288"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","13","434"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","25","137"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","33","1,160"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","40","461"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","84"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","12","20,036"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","11","16,253"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","11","15,314"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","13","939"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","22","236"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","20","1,774"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","28","689"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","24","124"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","10","7,489"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","10","6,912"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","10","6,612"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","13","300"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","34"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","14","187"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","28","118"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","22"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","20","36,469"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","29,887"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","19","28,214"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","22","1,673"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","28","407"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","35","3,121"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","44","1,268"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","39","230"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","29","8,944"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","6,722"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","6,288"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","25","434"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","37","137"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","47","1,160"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","54","461"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","84"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","18","20,036"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","17","16,253"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","17","15,314"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","21","939"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","25","236"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","30","1,774"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","38","689"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","34","124"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","18","7,489"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","19","6,912"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","18","6,612"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","25","300"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","34"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","22","187"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","36","118"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2012-2016","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","22"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","9","40,724"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","33,148"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","31,227"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","7","1,921"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","471"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","18","3,603"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","18","1,487"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","22","272"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","11","10,234"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","7,601"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","7,066"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","6","535"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","11","164"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","24","1,341"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","23","570"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","33","105"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","22,493"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","18,175"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","17,112"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","5","1,063"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","265"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","14","2,049"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","15","783"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","16","141"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","7,997"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","12","7,372"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","7,049"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","15","323"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","?","42"
