"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","93.1"," %","","639906","595953"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","88.2"," %","","349034","307811"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","89.9"," %","","293487","263798"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","88"," %","","284766","250554"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","81.7"," %","","227498","185773"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","87.2"," %","","233858","204028"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","All","4.1"," %","","4172732","172853"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","England","All","4.6"," %","","3683012","168313"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Scotland","All","1.7"," %","","229951","3824"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Wales","All","0"," %","","167745","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","0.7"," %","","90254","630"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","0.6"," %","","120821","762"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","0"," %","","177777","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","3.3"," %","","816736","26947"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","5.6"," %","","302736","16809"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","4.7"," %","","274314","12922"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","0"," %","","56395","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","8.4"," %","","262172","22116"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","6.6"," %","","132654","8750"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","4.2"," %","","639906","27191"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","7.7"," %","","349034","26848"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","5.1"," %","","293487","14844"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","1.7"," %","","284766","4792"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","3.3"," %","","227498","7573"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","1.3"," %","","233858","2981"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","All","5"," %","","4172732","210189"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","England","All","5.4"," %","","3683012","197432"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Scotland","All","2"," %","","229951","4524"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Wales","All","1.5"," %","","167745","2561"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","6.2"," %","","90254","5571"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","2.8"," %","","120821","3362"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","3.6"," %","","177777","6413"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","1.6"," %","","816736","12758"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","3.1"," %","","302736","9476"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","4.8"," %","","274314","13291"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","6.4"," %","","56395","3609"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","7.3"," %","","262172","19223"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","4.5"," %","","132654","5962"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","2.6"," %","","639906","16763"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","4.1"," %","","349034","14374"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","5.1"," %","","293487","14844"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","10.3"," %","","284766","29419"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","15"," %","","227498","34152"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","11.5"," %","","233858","26849"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","All","83.4"," %","","1286455","1072725"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","England","All","82.7"," %","","1105386","913953"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","Scotland","All","86.7"," %","","91916","79705"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","Wales","All","87.9"," %","","52809","46408"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","90.6"," %","","32605","29551"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","94.9"," %","","60962","57840"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","90.3"," %","","86630","78248"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","91.5"," %","","157889","144484"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","88.5"," %","","241209","213575"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","84.8"," %","","39233","33281"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","80.8"," %","","128558","103908"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","80.7"," %","","75341","60770"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","81.7"," %","","61799","50509"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","83.5"," %","","182830","152697"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","84.5"," %","","109447","92460"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","70.5"," %","","18421","12991"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","57.4"," %","","62238","35745"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","65.9"," %","","24745","16307"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","67.9"," %","","69067","46912"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","All","4.8"," %","","1286455","61917"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","England","All","5.1"," %","","1105386","56875"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","Scotland","All","2.8"," %","","91916","2611"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","Wales","All","3.1"," %","","52809","1634"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","1.9"," %","","32605","614"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","0.8"," %","","60962","459"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","2.9"," %","","86630","2533"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","3.3"," %","","157889","5195"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","5.8"," %","","241209","13955"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","5.7"," %","","39233","2247"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","5.8"," %","","128558","7392"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","6.7"," %","","75341","5020"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","6.1"," %","","61799","3769"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","5.1"," %","","182830","9355"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","6.8"," %","","109447","7396"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","4.7"," %","","18421","861"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","5.1"," %","","62238","3197"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","2.9"," %","","24745","726"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","1.8"," %","","69067","1235"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","All","11.8"," %","","1286455","151812"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","England","All","12.2"," %","","1105386","134558"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","Scotland","All","10.4"," %","","91916","9599"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","Wales","All","9"," %","","52809","4767"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","7.5"," %","","32605","2440"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","ABDE. Primary sector ","4.4"," %","","60962","2663"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","C. Manufacturing ","6.8"," %","","86630","5850"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","F. Construction ","5.2"," %","","157889","8210"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","G. Retail & wholesale ","5.7"," %","","241209","13680"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","H. Transport & storage ","9.4"," %","","39233","3706"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","I. Accommodation & food service ","13.4"," %","","128558","17258"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","J. Information & communication ","12.7"," %","","75341","9551"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","KL. Financial & real estate ","12.2"," %","","61799","7521"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","M. Professional & scientific ","11.4"," %","","182830","20779"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","N. Administrative services ","8.8"," %","","109447","9590"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","P. Education ","24.8"," %","","18421","4569"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","Q. Human health ","37.4"," %","","62238","23295"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","R. Arts & entertainment ","31.2"," %","","24745","7712"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2016","Year","18+","Labour Force age bracket","Employer","UK","S. Other services ","30.3"," %","","69067","20920"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","86.9"," %","","4327680","3761906"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","86.8"," %","","3825565","3319424"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","89.8"," %","","251040","225392"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","91.4"," %","","154640","141296"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","78.7"," %","","96430","75844"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","93.8"," %","","133320","125061"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","97.9"," %","","177800","174094"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","91.2"," %","","843755","769351"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","90.1"," %","","299955","270257"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","96.5"," %","","300245","289748"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","79.8"," %","","71180","56831"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","83.7"," %","","271100","226922"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","93.8"," %","","133825","125541"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","M. Professional & scientific ","88.6"," %","","661775","586221"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","N. Administrative services ","79.3"," %","","357275","283192"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","P. Education ","86.2"," %","","277270","238913"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","Q. Human health ","79.2"," %","","299100","236978"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","R. Arts & entertainment ","76.2"," %","","250900","191068"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","S. Other services ","75.3"," %","","250175","188268"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","All","5.2"," %","","4327680","225557"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","England","All","5.7"," %","","3825565","218149"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Scotland","All","2.6"," %","","251040","6410"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Wales","All","0"," %","","154640","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","0.6"," %","","96430","599"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","1.5"," %","","133320","1942"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","0"," %","","177800","0"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","5.3"," %","","843755","44958"
