"Measure","Ethnic group","Year","Household type","Value","value_label","Source","Geography","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Other, with dependent children","10.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Other, with dependent children","9.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Other, with dependent children","15.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Other, with dependent children","16.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Other, with dependent children","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Other, with dependent children","9.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","All full-time students","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","All full-time students","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","All full-time students","1.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","All full-time students","1.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","All full-time students","7.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","All full-time students","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Other, All pensioners","0","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Other, All pensioners","0","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian","2011","Any other household type","8.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Indian","2011","Any other household type","9.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Pakistani","2011","Any other household type","7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Bangladeshi","2011","Any other household type","6.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Chinese","2011","Any other household type","10.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Asian - Other","2011","Any other household type","9.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Single pensioner","5.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Single pensioner","2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Single pensioner","10.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Single pensioner","3.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Single non-pensioner","26.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Single non-pensioner","23.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Single non-pensioner","27.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Single non-pensioner","32.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Pensioner couple","1.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Pensioner couple","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Pensioner couple","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Pensioner couple","0.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Married, no children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Married, no children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Married, no children","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Married, no children","3.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Married, Dependent children","15","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Married, Dependent children","20.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Married, Dependent children","9.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Married, Dependent children","12","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Married, non-dependent children","2.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Married, non-dependent children","1.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Married, non-dependent children","3.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Married, non-dependent children","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Cohab, no children","2.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Cohab, no children","2.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Cohab, no children","2.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Cohab, no children","2.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Cohab, Dependent children","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Cohab, Dependent children","4.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Cohab, Dependent children","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Cohab, Dependent children","3.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Cohab, non-dependent children","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Cohab, non-dependent children","0.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Cohab, non-dependent children","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Lone parent, Dependent children","18.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Lone parent, Dependent children","20.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Lone parent, Dependent children","16.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Lone parent, Dependent children","21.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Lone parent, non-dependent children","5.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Lone parent, non-dependent children","3.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Lone parent, non-dependent children","7.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Lone parent, non-dependent children","4.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Other, with dependent children","6.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Other, with dependent children","8.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Other, with dependent children","4.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Other, with dependent children","6.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","All full-time students","1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","All full-time students","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","All full-time students","0.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","All full-time students","0.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Other, All pensioners","0","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Other, All pensioners","0.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black","2011","Any other household type","6.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - African","2011","Any other household type","7.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Caribbean","2011","Any other household type","4.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Black - Other","2011","Any other household type","6.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Single pensioner","3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Single pensioner","2.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Single pensioner","3.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Single non-pensioner","27.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Single non-pensioner","29.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Single non-pensioner","26.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Pensioner couple","1.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Pensioner couple","1.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Pensioner couple","1.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Married, no children","7.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Married, no children","6.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Married, no children","7.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Married, Dependent children","25.5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Married, Dependent children","29.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Married, Dependent children","22.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Married, non-dependent children","4.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Married, non-dependent children","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Married, non-dependent children","5","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Cohab, no children","2.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Cohab, no children","2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Cohab, no children","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Cohab, Dependent children","2.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Cohab, Dependent children","1.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Cohab, Dependent children","2.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Cohab, non-dependent children","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Cohab, non-dependent children","0.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Lone parent, Dependent children","7.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Lone parent, Dependent children","7.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Lone parent, Dependent children","8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Lone parent, non-dependent children","2.8","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Lone parent, non-dependent children","2.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Lone parent, non-dependent children","3.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Other, with dependent children","5.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Other, with dependent children","4.6","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Other, with dependent children","5.9","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","All full-time students","2.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","All full-time students","4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","All full-time students","1.2","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Other, All pensioners","0.1","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other","2011","Any other household type","7.3","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Arab","2011","Any other household type","5.7","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of ethnic group in each household type","Other - Any other ethnic group","2011","Any other household type","8.4","Row%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Single pensioner","96.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Single pensioner","93","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Single pensioner","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Single pensioner","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Single pensioner","1.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Single non-pensioner","87.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Single non-pensioner","81.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Single non-pensioner","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Single non-pensioner","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Single non-pensioner","4.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Pensioner couple","97.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Pensioner couple","94.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Pensioner couple","1.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Pensioner couple","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Pensioner couple","1.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Married, no children","94.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Married, no children","89.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Married, no children","1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Married, no children","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Married, no children","3.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Married, Dependent children","83.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Married, Dependent children","77.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Married, Dependent children","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Married, Dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Married, Dependent children","5.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Married, non-dependent children","91","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Married, non-dependent children","87.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Married, non-dependent children","1.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Married, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Married, non-dependent children","2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Cohab, no children","94.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Cohab, no children","87.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Cohab, no children","1.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Cohab, no children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Cohab, no children","6.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Cohab, Dependent children","92.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Cohab, Dependent children","87.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Cohab, Dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Cohab, Dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Cohab, Dependent children","4.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Cohab, non-dependent children","94.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Cohab, non-dependent children","91.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Cohab, non-dependent children","1.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Cohab, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Cohab, non-dependent children","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Lone parent, Dependent children","83.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Lone parent, Dependent children","79.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Lone parent, Dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Lone parent, Dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Lone parent, Dependent children","3.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Lone parent, non-dependent children","88.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Lone parent, non-dependent children","84.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Lone parent, non-dependent children","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Lone parent, non-dependent children","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Lone parent, non-dependent children","2.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Other, with dependent children","67","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Other, with dependent children","57.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Other, with dependent children","0.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Other, with dependent children","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Other, with dependent children","8.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","All full-time students","67.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","All full-time students","57.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","All full-time students","1.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","All full-time students","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","All full-time students","8.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Other, All pensioners","95.8","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Other, All pensioners","91.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Other, All pensioners","2.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Other, All pensioners","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Other, All pensioners","1.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White","2011","Any other household type","81.7","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - British","2011","Any other household type","67.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Irish","2011","Any other household type","1.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Gypsy or Irish Traveller","2011","Any other household type","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","White - Other","2011","Any other household type","12.6","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Single pensioner","0.4","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Single pensioner","0.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Single pensioner","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Single pensioner","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Single pensioner","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Single non-pensioner","2.2","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Single non-pensioner","0.9","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Single non-pensioner","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Single non-pensioner","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Single non-pensioner","0.5","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed","2011","Pensioner couple","0.3","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black Caribbean","2011","Pensioner couple","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Black African","2011","Pensioner couple","0","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - White and Asian","2011","Pensioner couple","0.1","col%","Census","England and Wales","","","","","","","","","",""
"Percentage of each household type made up of the ethnic groups","Mixed - Other","2011","Pensioner couple","0.1","col%","Census","England and Wales","","","","","","","","","",""
