"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Gender type","Age","Age Bracket Type","Highest qualification held","Qualification_type","Value_type","Value","Numerator","Denominator","lower 95%","upper 95%"
"% of individuals unemployed","Unreported","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","8.60%","376635","4403502","8.20%","8.90%"
"% of individuals unemployed","White","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","5.60%","105775","1883261","5.20%","6.10%"
"% of individuals unemployed","Mixed","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","6.60%","18255","277877","4.30%","8.80%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","13.60%","13091","96386","8.10%","19.10%"
"% of individuals unemployed","Other","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","9.90%","12583","127671","5.80%","13.90%"
"% of individuals unemployed","Other than White ","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","8.80%","46116","523023","6.90%","10.70%"
"% of individuals unemployed","Unreported","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","6.30%","151891","2408048","5.90%","6.70%"
"% of individuals unemployed","White","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","8.40%","251494","2997253","8%","8.80%"
"% of individuals unemployed","Mixed","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","12.10%","3829","31647","2.70%","21.50%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","6.40%","22673","353992","4.50%","8.30%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","14.20%","14549","102816","8.80%","19.50%"
"% of individuals unemployed","Other","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","7.50%","8002","106020","3.70%","11.40%"
"% of individuals unemployed","Other than White ","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","8.30%","49053","594475","6.60%","9.90%"
"% of individuals unemployed","Unreported","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","8.40%","300547","3593664","8%","8.80%"
"% of individuals unemployed","White","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","3.40%","2691","78140","1.60%","5.20%"
"% of individuals unemployed","Mixed","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Black or Black British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other than White ","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Unreported","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","2.80%","2691","94764","1.30%","4.40%"
"% of individuals unemployed","White","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","5.20%","1658540","32023363","5.10%","5.30%"
"% of individuals unemployed","Mixed","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","12.40%","45379","366406","9.70%","15.10%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","8.10%","187873","2310883","7.30%","9%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","12.60%","123385","979918","10.90%","14.30%"
"% of individuals unemployed","Other","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","8.10%","63117","777283","6.60%","9.60%"
"% of individuals unemployed","Other than White ","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","9.50%","419754","4434490","8.80%","10.10%"
"% of individuals unemployed","Unreported","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2013","Year","England, Wales and Scotland ","ONS geography code","All","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","5.70%","2079791","36476601","5.60%","5.80%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","2.70%","148409","5514233","2.50%","2.90%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","9.20%","6571","71785","3.60%","14.70%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","3.20%","17866","552419","2%","4.40%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","8.20%","14006","171248","4.80%","11.60%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","4.20%","7511","178341","1.80%","6.60%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","4.70%","45954","973793","3.60%","5.80%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","3.00%","194642","6496933","2.80%","3.20%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","4.20%","132831.5","3177845","3.90%","4.50%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","9.20%","3208.5","34720","1.40%","17.10%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","7.20%","9140.5","126165.5","3.60%","10.90%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","12.60%","6792.5","53883.5","5.20%","20%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","3.80%","1104","28834","-1.90%","9.50%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","8.30%","20245.5","243603","5.50%","11.10%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","4.50%","153157","3424883.5","4.20%","4.80%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","6.00%","172043.5","2854462","5.60%","6.40%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","9.70%","2777.5","28729","1%","18.40%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","8.00%","10286.5","127853.5","4.40%","11.70%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","16.90%","11968.5","70785.5","9.30%","24.50%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","11.60%","3066","26467","1.90%","21.20%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","11.10%","28098.5","253835","8%","14.20%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","6.40%","200583","3111579.5","6%","6.80%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","7.70%","147508","1914974","7.10%","8.30%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","14.10%","13418","95067","8.60%","19.60%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","22.30%","11510","51556","12.30%","32.30%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","17.00%","32876","193832","12.60%","21.30%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","8.60%","181113","2110397","8%","9.10%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","5.60%","60027","1076908","4.90%","6.20%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","8.30%","12708","153269","4.80%","11.70%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","6.00%","3170","53208","0.50%","11.40%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","8.30%","6250","74926","3.30%","13.40%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","7.80%","23031","293543","5.40%","10.30%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Other qualifications","National Qualifications Framework (NQF) level","%","6.10%","83163","1371767","5.50%","6.70%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","8.90%","119506","1345777","8.20%","9.60%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","7.80%","11659","149892","4.50%","11.10%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","15.70%","7148","45549","7.20%","24.20%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","9.30%","4450","47883","2.70%","15.80%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","9.90%","25836","260035","7.10%","12.80%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","No qualifications","National Qualifications Framework (NQF) level","%","9.10%","145641","1606829","8.40%","9.70%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","4.30%","2153","49863","1.60%","7%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Missing","National Qualifications Framework (NQF) level","%","5.00%","2932","59099","2.30%","7.60%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","4.90%","782478","15934062","4.80%","5.10%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","10.60%","19747","187112","6.90%","14.20%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","6.20%","75363","1208834","5.10%","7.30%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","12.30%","55089","448830","9.70%","14.80%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","7.00%","26621","382674","4.90%","9%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","7.90%","176820","2227450","7%","8.80%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","All","National Qualifications Framework (NQF) level","%","5.30%","961231","18181488","5.10%","5.40%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","2.30%","140982","6055096","2.20%","2.50%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","3.60%","2882","80078","0.40%","6.80%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","6.40%","31743","496420","4.70%","8%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","6.70%","16033","238875","4.20%","9.20%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","5.50%","10948","197728","3.10%","8%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","6.10%","61606","1013101","4.90%","7.20%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","2.90%","202588","7076369","2.70%","3%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","3.10%","79831","2602432.5","2.80%","3.40%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","10.50%","4251","40575","2.80%","18.20%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","5.80%","7767","133398.5","2.70%","8.90%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","11.30%","9364","82929","5.70%","16.90%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","5.60%","1971","35018","-0.40%","11.60%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","8.00%","23353","291920.5","5.50%","10.50%"
"% of individuals unemployed","Unreported","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","3.60%","103380.5","2898475.5","3.30%","3.90%"
"% of individuals unemployed","White","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","5.00%","150817","3045266.5","4.60%","5.30%"
"% of individuals unemployed","Mixed","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","8.10%","2655","32918","0.80%","15.40%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","6.90%","9371","136425.5","3.70%","10.10%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","8.00%","6699","83737","3.40%","12.60%"
"% of individuals unemployed","Other","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","8.00%","2391","30045","0.40%","15.50%"
"% of individuals unemployed","Other than White ","ONS 5+1","2014","Year","England, Wales and Scotland ","ONS geography code","Female","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","7.50%","21116","283125.5","5.10%","9.80%"
