"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","81.5","%","2955"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Sustained Employment Further Study Or Both","84.7","%","2955"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","7.2","%","2955"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Activity Not Captured","19.1","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","No Sustained Destination","5.7","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Sustained Employment Only","66","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Sustained Employment With Or Without Further Study","71.9","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Sustained Employment Further Study Or Both","75.2","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Chinese","LEO","Further Study With Or Without Sustained Employment","9.2","%","2495"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Activity Not Captured","10.6","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","No Sustained Destination","6.5","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Sustained Employment Only","71.9","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","79","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","82.9","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","11","%","4550"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Activity Not Captured","8.3","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","No Sustained Destination","9.1","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Sustained Employment Only","67.9","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Sustained Employment With Or Without Further Study","78.2","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Sustained Employment Further Study Or Both","82.5","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black African","LEO","Further Study With Or Without Sustained Employment","14.7","%","12530"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Activity Not Captured","4.7","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","No Sustained Destination","8.3","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Sustained Employment Only","76","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","84.3","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Sustained Employment Further Study Or Both","86.9","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","10.9","%","4415"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Activity Not Captured","10.9","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","No Sustained Destination","10.7","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Sustained Employment Only","65.8","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","74.3","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","78.4","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","12.6","%","850"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Activity Not Captured","14.1","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","No Sustained Destination","7","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Sustained Employment Only","60.9","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Sustained Employment With Or Without Further Study","71.1","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Sustained Employment Further Study Or Both","78.9","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Arab","LEO","Further Study With Or Without Sustained Employment","18","%","130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Activity Not Captured","12.9","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","No Sustained Destination","8.8","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Sustained Employment Only","66.4","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Sustained Employment With Or Without Further Study","73.8","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Sustained Employment Further Study Or Both","78.3","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Other","LEO","Further Study With Or Without Sustained Employment","11.9","%","2940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Activity Not Captured","11.2","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","No Sustained Destination","7.8","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Sustained Employment Only","69.9","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Sustained Employment With Or Without Further Study","78.3","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Sustained Employment Further Study Or Both","81","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2012/2013","Five","Unknown","LEO","Further Study With Or Without Sustained Employment","11.1","%","7155"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Activity Not Captured","10.5","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","No Sustained Destination","4.5","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Sustained Employment Only","79.2","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Sustained Employment With Or Without Further Study","84","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Sustained Employment Further Study Or Both","84.9","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","All","LEO","Further Study With Or Without Sustained Employment","5.7","%","230980"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Activity Not Captured","9.9","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","No Sustained Destination","4.1","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Sustained Employment Only","80.4","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Sustained Employment With Or Without Further Study","85.2","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Sustained Employment Further Study Or Both","86.1","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Further Study With Or Without Sustained Employment","5.6","%","179735"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Activity Not Captured","9.1","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","No Sustained Destination","5.9","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Sustained Employment Only","78.3","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83.7","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","85","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black Caribbean","LEO","Further Study With Or Without Sustained Employment","6.7","%","1285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Activity Not Captured","16.3","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","No Sustained Destination","7.1","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Sustained Employment Only","69.7","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Sustained Employment With Or Without Further Study","75.8","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Sustained Employment Further Study Or Both","76.6","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Black African","LEO","Further Study With Or Without Sustained Employment","6.9","%","605"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Activity Not Captured","11.8","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","No Sustained Destination","4.7","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Sustained Employment Only","76.9","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Sustained Employment With Or Without Further Study","82.4","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Sustained Employment Further Study Or Both","83.5","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Mixed White And Asian","LEO","Further Study With Or Without Sustained Employment","6.5","%","1925"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","13.8","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","No Sustained Destination","6.5","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Only","73.3","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment With Or Without Further Study","78.4","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Sustained Employment Further Study Or Both","79.6","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Further Study With Or Without Sustained Employment","6.3","%","1995"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Activity Not Captured","9.9","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","No Sustained Destination","5.1","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Sustained Employment Only","80.3","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Sustained Employment With Or Without Further Study","84","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Sustained Employment Further Study Or Both","84.9","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Indian","LEO","Further Study With Or Without Sustained Employment","4.6","%","10815"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Activity Not Captured","12.9","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","No Sustained Destination","7.1","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Sustained Employment Only","74.9","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Sustained Employment With Or Without Further Study","78.5","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Sustained Employment Further Study Or Both","80","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Pakistani","LEO","Further Study With Or Without Sustained Employment","5","%","5960"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Activity Not Captured","11.2","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","No Sustained Destination","6.7","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Sustained Employment Only","77.8","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Sustained Employment With Or Without Further Study","80.5","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Sustained Employment Further Study Or Both","82.1","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Bangladeshi","LEO","Further Study With Or Without Sustained Employment","4.3","%","2130"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Activity Not Captured","25.1","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","No Sustained Destination","4.4","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Sustained Employment Only","66.6","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Sustained Employment With Or Without Further Study","69.9","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Sustained Employment Further Study Or Both","70.5","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Chinese","LEO","Further Study With Or Without Sustained Employment","3.9","%","2310"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Activity Not Captured","15.1","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","No Sustained Destination","5.5","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Sustained Employment Only","72.7","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Sustained Employment With Or Without Further Study","77.6","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Sustained Employment Further Study Or Both","79.4","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Asian Background","LEO","Further Study With Or Without Sustained Employment","6.7","%","2865"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Activity Not Captured","13.5","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","No Sustained Destination","8","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Sustained Employment Only","69.2","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Sustained Employment With Or Without Further Study","76.1","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Sustained Employment Further Study Or Both","78.6","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black African","LEO","Further Study With Or Without Sustained Employment","9.4","%","6940"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Activity Not Captured","9","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","No Sustained Destination","6.6","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Sustained Employment Only","77.4","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Sustained Employment With Or Without Further Study","83","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Sustained Employment Further Study Or Both","84.4","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Black Caribbean","LEO","Further Study With Or Without Sustained Employment","7.1","%","3180"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Activity Not Captured","12","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","No Sustained Destination","8.4","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Sustained Employment Only","72.8","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Sustained Employment With Or Without Further Study","78.2","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Sustained Employment Further Study Or Both","79.6","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Any Other Black Background","LEO","Further Study With Or Without Sustained Employment","6.8","%","715"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Activity Not Captured","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","No Sustained Destination","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Sustained Employment Only","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Sustained Employment With Or Without Further Study","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Sustained Employment Further Study Or Both","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Arab","LEO","Further Study With Or Without Sustained Employment","!","%","!"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Activity Not Captured","16.2","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","No Sustained Destination","7.5","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Sustained Employment Only","69.7","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Sustained Employment With Or Without Further Study","74.5","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Sustained Employment Further Study Or Both","76.3","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Other","LEO","Further Study With Or Without Sustained Employment","6.6","%","2080"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Activity Not Captured","13.1","%","8435"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","No Sustained Destination","5.9","%","8435"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Sustained Employment Only","74.4","%","8435"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Sustained Employment With Or Without Further Study","79.6","%","8435"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Sustained Employment Further Study Or Both","81","%","8435"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2007/2008","Ten","Unknown","LEO","Further Study With Or Without Sustained Employment","6.6","%","8435"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Activity Not Captured","4.5","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Activity Not Captured","4.7","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Activity Not Captured","6.1","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Activity Not Captured","6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","7.2","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Activity Not Captured","7.9","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Activity Not Captured","3.6","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Activity Not Captured","3.5","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Activity Not Captured","10.9","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Activity Not Captured","4.6","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Activity Not Captured","7.9","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Activity Not Captured","6.7","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Activity Not Captured","5.7","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Activity Not Captured","4.4","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Activity Not Captured","6.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Activity Not Captured","6.2","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Activity Not Captured","3.8","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Activity Not Captured","7.4","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Activity Not Captured","7.3","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Activity Not Captured","11.2","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Activity Not Captured","11.4","%","870"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","10","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Activity Not Captured","11.5","%","260"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Activity Not Captured","6.4","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Activity Not Captured","5.1","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Activity Not Captured","17.3","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Activity Not Captured","6.6","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Activity Not Captured","9.9","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Activity Not Captured","11.3","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Activity Not Captured","9.1","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","Activity Not Captured","6.9","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Activity Not Captured","9.1","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Activity Not Captured","9.7","%","1180"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Activity Not Captured","5.8","%","2840"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Activity Not Captured","10.3","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Activity Not Captured","9.1","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Activity Not Captured","12.6","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Activity Not Captured","12.9","%","845"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Activity Not Captured","13","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Activity Not Captured","!","%","!"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Activity Not Captured","8.5","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Activity Not Captured","6.6","%","4320"
