"Measure","Time","Time_tye","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Earnings Quartile","Value","Value_type","Denominator"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Earnings LQ","20100","Pounds Sterling","160920"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Earnings Median","27400","Pounds Sterling","160920"
"Earnings of graduates after higher education","2018/2019","Tax Year","2012/2013","Five","White","LEO","Earnings UQ","36100","Pounds Sterling","160920"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Earnings LQ","19700","Pounds Sterling","137135"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Earnings Median","31400","Pounds Sterling","137135"
"Earnings of graduates after higher education","2018/2019","Tax Year","2007/2008","Ten","White","LEO","Earnings UQ","43800","Pounds Sterling","137135"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Earnings LQ","14600","Pounds Sterling","176540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Earnings Median","20400","Pounds Sterling","176540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","All","LEO","Earnings UQ","25900","Pounds Sterling","176540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Earnings LQ","17900","Pounds Sterling","207805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Earnings Median","23700","Pounds Sterling","207805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","All","LEO","Earnings UQ","30700","Pounds Sterling","207805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Earnings LQ","19000","Pounds Sterling","196410"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Earnings Median","26600","Pounds Sterling","196410"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","All","LEO","Earnings UQ","35000","Pounds Sterling","196410"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Earnings LQ","19300","Pounds Sterling","160310"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Earnings Median","31000","Pounds Sterling","160310"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","All","LEO","Earnings UQ","43400","Pounds Sterling","160310"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Earnings LQ","15700","Pounds Sterling","3095"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Earnings Median","21500","Pounds Sterling","3095"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Asian Background","LEO","Earnings UQ","28500","Pounds Sterling","3095"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Earnings LQ","18200","Pounds Sterling","3265"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Earnings Median","25200","Pounds Sterling","3265"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Asian Background","LEO","Earnings UQ","32500","Pounds Sterling","3265"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Earnings LQ","20400","Pounds Sterling","2660"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Earnings Median","28800","Pounds Sterling","2660"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Asian Background","LEO","Earnings UQ","40500","Pounds Sterling","2660"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Earnings LQ","20800","Pounds Sterling","1770"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Earnings Median","34700","Pounds Sterling","1770"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Asian Background","LEO","Earnings UQ","51500","Pounds Sterling","1770"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Earnings LQ","13100","Pounds Sterling","540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Earnings Median","19000","Pounds Sterling","540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Black Background","LEO","Earnings UQ","24800","Pounds Sterling","540"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Earnings LQ","15300","Pounds Sterling","495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Earnings Median","21900","Pounds Sterling","495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Black Background","LEO","Earnings UQ","29200","Pounds Sterling","495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Earnings LQ","14600","Pounds Sterling","510"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Earnings Median","23400","Pounds Sterling","510"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Black Background","LEO","Earnings UQ","31400","Pounds Sterling","510"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Earnings LQ","15700","Pounds Sterling","430"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Earnings Median","27900","Pounds Sterling","430"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Black Background","LEO","Earnings UQ","39100","Pounds Sterling","430"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","13900","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","20100","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","25900","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","17200","Pounds Sterling","2055"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","23700","Pounds Sterling","2055"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","30700","Pounds Sterling","2055"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","19000","Pounds Sterling","1825"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","27400","Pounds Sterling","1825"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","36900","Pounds Sterling","1825"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings LQ","19700","Pounds Sterling","1160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings Median","32100","Pounds Sterling","1160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Any Other Mixed/Multiple Ethnic Background","LEO","Earnings UQ","47400","Pounds Sterling","1160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Earnings LQ","13900","Pounds Sterling","450"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Earnings Median","20100","Pounds Sterling","450"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Arab","LEO","Earnings UQ","27100","Pounds Sterling","450"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Earnings LQ","12000","Pounds Sterling","140"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Earnings Median","21900","Pounds Sterling","140"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Arab","LEO","Earnings UQ","32800","Pounds Sterling","140"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Earnings LQ","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Earnings Median","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Arab","LEO","Earnings UQ","!","Pounds Sterling","!"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Earnings LQ","12800","Pounds Sterling","2285"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Earnings Median","18600","Pounds Sterling","2285"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Bangladeshi","LEO","Earnings UQ","23700","Pounds Sterling","2285"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Earnings LQ","17200","Pounds Sterling","2250"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Earnings Median","22600","Pounds Sterling","2250"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Bangladeshi","LEO","Earnings UQ","28800","Pounds Sterling","2250"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Earnings LQ","17500","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Earnings Median","24800","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Bangladeshi","LEO","Earnings UQ","32500","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Earnings LQ","17200","Pounds Sterling","1500"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Earnings Median","28500","Pounds Sterling","1500"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Bangladeshi","LEO","Earnings UQ","42300","Pounds Sterling","1500"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Earnings LQ","13500","Pounds Sterling","8405"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Earnings Median","20400","Pounds Sterling","8405"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black African","LEO","Earnings UQ","27000","Pounds Sterling","8405"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Earnings LQ","16400","Pounds Sterling","8045"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Earnings Median","23400","Pounds Sterling","8045"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black African","LEO","Earnings UQ","30700","Pounds Sterling","8045"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Earnings LQ","17200","Pounds Sterling","7085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Earnings Median","25200","Pounds Sterling","7085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black African","LEO","Earnings UQ","33900","Pounds Sterling","7085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Earnings LQ","18200","Pounds Sterling","3580"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Earnings Median","29200","Pounds Sterling","3580"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black African","LEO","Earnings UQ","41200","Pounds Sterling","3580"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Earnings LQ","12800","Pounds Sterling","2895"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Earnings Median","18600","Pounds Sterling","2895"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Black Caribbean","LEO","Earnings UQ","24100","Pounds Sterling","2895"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Earnings LQ","16400","Pounds Sterling","3155"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Earnings Median","22300","Pounds Sterling","3155"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Black Caribbean","LEO","Earnings UQ","28500","Pounds Sterling","3155"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Earnings LQ","16100","Pounds Sterling","3030"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Earnings Median","23700","Pounds Sterling","3030"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Black Caribbean","LEO","Earnings UQ","31400","Pounds Sterling","3030"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Earnings LQ","18600","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Earnings Median","28500","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Black Caribbean","LEO","Earnings UQ","38000","Pounds Sterling","2160"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Earnings LQ","16100","Pounds Sterling","1275"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Earnings Median","22300","Pounds Sterling","1275"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Chinese","LEO","Earnings UQ","29900","Pounds Sterling","1275"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Earnings LQ","19000","Pounds Sterling","1635"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Earnings Median","25600","Pounds Sterling","1635"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Chinese","LEO","Earnings UQ","34700","Pounds Sterling","1635"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Earnings LQ","20800","Pounds Sterling","1570"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Earnings Median","29600","Pounds Sterling","1570"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Chinese","LEO","Earnings UQ","42300","Pounds Sterling","1570"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Earnings LQ","21900","Pounds Sterling","1380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Earnings Median","33600","Pounds Sterling","1380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Chinese","LEO","Earnings UQ","51500","Pounds Sterling","1380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Earnings LQ","16400","Pounds Sterling","7080"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Earnings Median","22300","Pounds Sterling","7080"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Indian","LEO","Earnings UQ","28800","Pounds Sterling","7080"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Earnings LQ","19700","Pounds Sterling","8495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Earnings Median","26300","Pounds Sterling","8495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Indian","LEO","Earnings UQ","35400","Pounds Sterling","8495"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Earnings LQ","21200","Pounds Sterling","8755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Earnings Median","29600","Pounds Sterling","8755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Indian","LEO","Earnings UQ","41600","Pounds Sterling","8755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Earnings LQ","21200","Pounds Sterling","8085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Earnings Median","33900","Pounds Sterling","8085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Indian","LEO","Earnings UQ","51100","Pounds Sterling","8085"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Earnings LQ","15000","Pounds Sterling","1930"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Earnings Median","20800","Pounds Sterling","1930"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Asian","LEO","Earnings UQ","26600","Pounds Sterling","1930"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Earnings LQ","18600","Pounds Sterling","2230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Earnings Median","24800","Pounds Sterling","2230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Asian","LEO","Earnings UQ","32500","Pounds Sterling","2230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Earnings LQ","20800","Pounds Sterling","1880"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Earnings Median","28800","Pounds Sterling","1880"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Asian","LEO","Earnings UQ","39700","Pounds Sterling","1880"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Earnings LQ","21900","Pounds Sterling","1230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Earnings Median","34700","Pounds Sterling","1230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Asian","LEO","Earnings UQ","51100","Pounds Sterling","1230"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Earnings LQ","12800","Pounds Sterling","725"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Earnings Median","19300","Pounds Sterling","725"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black African","LEO","Earnings UQ","24800","Pounds Sterling","725"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Earnings LQ","16100","Pounds Sterling","745"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Earnings Median","23000","Pounds Sterling","745"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black African","LEO","Earnings UQ","30700","Pounds Sterling","745"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Earnings LQ","17900","Pounds Sterling","625"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Earnings Median","25600","Pounds Sterling","625"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black African","LEO","Earnings UQ","34700","Pounds Sterling","625"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Earnings LQ","19700","Pounds Sterling","350"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Earnings Median","31400","Pounds Sterling","350"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black African","LEO","Earnings UQ","45600","Pounds Sterling","350"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Earnings LQ","12800","Pounds Sterling","1860"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Earnings Median","18200","Pounds Sterling","1860"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Mixed White And Black Caribbean","LEO","Earnings UQ","24100","Pounds Sterling","1860"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Earnings LQ","16400","Pounds Sterling","1985"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Earnings Median","22600","Pounds Sterling","1985"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Mixed White And Black Caribbean","LEO","Earnings UQ","29200","Pounds Sterling","1985"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Earnings LQ","17900","Pounds Sterling","1685"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Earnings Median","25200","Pounds Sterling","1685"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Mixed White And Black Caribbean","LEO","Earnings UQ","32100","Pounds Sterling","1685"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Earnings LQ","19300","Pounds Sterling","755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Earnings Median","31000","Pounds Sterling","755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Mixed White And Black Caribbean","LEO","Earnings UQ","41600","Pounds Sterling","755"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Earnings LQ","13100","Pounds Sterling","1535"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Earnings Median","20100","Pounds Sterling","1535"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Other","LEO","Earnings UQ","26600","Pounds Sterling","1535"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Earnings LQ","17200","Pounds Sterling","1805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Earnings Median","24500","Pounds Sterling","1805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Other","LEO","Earnings UQ","32100","Pounds Sterling","1805"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Earnings LQ","17500","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Earnings Median","26600","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Other","LEO","Earnings UQ","36500","Pounds Sterling","1780"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Earnings LQ","17200","Pounds Sterling","1175"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Earnings Median","31400","Pounds Sterling","1175"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Other","LEO","Earnings UQ","46000","Pounds Sterling","1175"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Earnings LQ","13100","Pounds Sterling","5090"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Earnings Median","18600","Pounds Sterling","5090"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Pakistani","LEO","Earnings UQ","24100","Pounds Sterling","5090"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Earnings LQ","15300","Pounds Sterling","5490"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Earnings Median","21500","Pounds Sterling","5490"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Pakistani","LEO","Earnings UQ","28500","Pounds Sterling","5490"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Earnings LQ","15700","Pounds Sterling","4940"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Earnings Median","23000","Pounds Sterling","4940"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Pakistani","LEO","Earnings UQ","31800","Pounds Sterling","4940"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Earnings LQ","13900","Pounds Sterling","3810"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Earnings Median","25600","Pounds Sterling","3810"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Pakistani","LEO","Earnings UQ","38700","Pounds Sterling","3810"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Earnings LQ","14200","Pounds Sterling","3710"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Earnings Median","21200","Pounds Sterling","3710"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","Unknown","LEO","Earnings UQ","28800","Pounds Sterling","3710"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Earnings LQ","16100","Pounds Sterling","5100"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Earnings Median","23400","Pounds Sterling","5100"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","Unknown","LEO","Earnings UQ","31000","Pounds Sterling","5100"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Earnings LQ","16800","Pounds Sterling","4380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Earnings Median","25200","Pounds Sterling","4380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2011/2012","Five","Unknown","LEO","Earnings UQ","35000","Pounds Sterling","4380"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Earnings LQ","16800","Pounds Sterling","5840"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Earnings Median","28100","Pounds Sterling","5840"
"Earnings of graduates after higher education","2017/2018","Tax Year","2006/2007","Ten","Unknown","LEO","Earnings UQ","39400","Pounds Sterling","5840"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Earnings LQ","15000","Pounds Sterling","133890"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Earnings Median","20400","Pounds Sterling","133890"
"Earnings of graduates after higher education","2017/2018","Tax Year","2015/2016","One","White","LEO","Earnings UQ","25900","Pounds Sterling","133890"
"Earnings of graduates after higher education","2017/2018","Tax Year","2013/2014","Three","White","LEO","Earnings LQ","17900","Pounds Sterling","160915"
