"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","London Underground","67","97292","75063","16777","13040","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","41","60107","53119","5735","4947","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Non-local bus","64","93439","94183","1175","1168","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other local bus","205","297840","278270","68684","63610","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other private transport","132","192566","189333","12793","12480","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other public transport","70","101939","92850","5527","4899","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Surface Rail","490","713226","636317","25782","22277","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","56","81198","74538","17982","16232","75834","75156","            "
"Average distance per year by mode of transport","2004-2008","5-year rolling average","White","ONS 2011 5+1","Walk","210","305222","276972","480620","426751","75834","75156","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","7007","11472555","10745278","1847090","1689095","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","43","70421","63229","27492","24820","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","78","128099","106536","40559","34191","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3546","5805971","5439563","686665","638537","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1999","3273370","3150051","375388","357733","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","84","137856","109034","22825","18080","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","37","61215","53992","5824","5010","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","60","98192","94995","1251","1202","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","208","341273","314963","77838","71325","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","124","203363","197904","13910","13361","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","67","109511","99624","6305","5558","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","498","815248","728627","30313","26390","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","55","89493","81692","19470","17480","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","207","338544","305069","539249","475408","85373","84121","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4590","426501","360790","91856","76490","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","13","1168","915","590","459","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","205","19044","15277","5797","4714","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1842","171106","146040","24729","21135","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1398","129881","114760","18460","16436","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","207","19219","14311","2707","2016","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","139","12895","10165","3395","2686","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","44","4109","3550","516","368","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","35","3291","2922","457","324","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","435","40401","31979","1912","1534","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","31","2868","2454","685","588","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","191","17784","14601","32485","26140","4844","4383","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4784","194713","170167","42258","36819","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","601","24464","21782","7333","6591","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1659","67542","59271","9099","7937","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","895","36445","33225","4991","4547","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","232","9427","8028","1311","1119","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","288","11740","9667","2473","2093","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","634","25787","21063","1406","1189","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","43","1742","1568","408","358","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","192","7799","6629","14351","12232","2122","1990","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","5304","135855","119843","27554","24075","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","38","967","759","390","315","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","248","6364","5212","1924","1647","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1460","37397","31392","4768","4027","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","2087","53448","50142","6858","6444","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","150","3843","3246","567","466","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","274","7026","5842","1587","1368","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","518","13276","11695","562","471","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","234","5990","5144","10296","8818","1336","1256","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4386","84430","70343","20505","16506","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","373","7185","5528","2273","1826","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1420","27328","23194","3848","3309","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1012","19487","17736","2674","2471","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","391","7533","5672","1093","815","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","190","3655","2946","834","665","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","461","8880","6992","577","456","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","244","4699","3665","8419","6343","1004","888","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","All Modes","7285","10619220","10012290","1663503","1533778","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Bicycle","46","66512","60212","25817","23503","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Bus in London","49","70901","58639","23193","19382","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3771","5496364","5173563","643737","601639","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2079","3030954","2930984","342113","327528","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","London Underground","67","97642","77629","17109","13632","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","41","59901","52944","5638","4874","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Non-local bus","59","85887","84799","1111","1082","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other local bus","210","305861","286249","69528","64491","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other private transport","132","192575","188240","12934","12574","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other public transport","70","102255","92804","5436","4887","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Surface Rail","498","725934","655898","25814","22696","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","57","82361","75501","17807","16052","76000","75534","            "
"Average distance per year by mode of transport","2005-2009","5-year rolling average","White","ONS 2011 5+1","Walk","207","302074","274829","473267","421438","76000","75534","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6910","11216540","10582652","1805571","1660133","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","44","71581","64596","27280","24612","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","81","131966","113608","42569","36949","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3495","5672450","5348440","670053","626769","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1954","3171411","3081404","365199","350445","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","86","138940","112868","23018","18698","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","36","57769","50850","5472","4724","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","56","91475","88205","1161","1115","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","211","342619","315909","77127","70562","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","118","191003","189187","13255","12924","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","64","104604","95906","5875","5199","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","509","825979","743731","31121","27347","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","53","86263","79361","18730","16890","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","204","330480","298588","524713","463899","84634","83718","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Modes","4695","455643","387683","96230","80669","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","1158","931","620","500","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","221","21483","18074","6586","5574","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1882","182683","156225","25810","22108","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1353","131293","116963","19002","17048","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","211","20438","15888","2865","2213","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","146","14143","11136","3548","2777","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","52","5021","4551","558","425","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","489","47419","37238","2301","1874","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","34","3298","2745","739","630","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","187","18192","14989","33694","27138","5060","4625","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Modes","4685","205163","181342","45876","40619","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","621","27179","24552","8555","7739","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1599","70011","62231","9117","8052","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","922","40357","36699","5383","4975","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","238","10420","8939","1510","1291","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","251","10970","9260","2376","2082","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","38","1684","1402","347","309","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","614","26893","22705","1536","1343","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","40","1743","1456","439","379","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","191","8373","7255","16000","13925","2283","2167","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Modes","5327","141215","124253","28100","24711","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","233","6174","5295","1988","1751","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","1471","38984","32212","4795","4054","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","2066","54771","51499","6838","6508","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","120","3173","2684","557","462","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","258","6850","5557","1558","1302","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","615","16307","14207","661","548","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","66","1745","1560","362","321","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","245","6502","5590","10667","9194","1382","1307","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Modes","4438","84525","71690","19940","16374","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","46","877","671","394","303","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","371","7066","5410","2163","1728","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","1566","29819","26286","4056","3572","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","1016","19356","18153","2650","2501","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","360","6858","5260","994","750","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","170","3242","2589","778","620","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","413","7858","6244","523","419","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by mode of transport","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","251","4779","3787","8006","6176","993","895","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","All Modes","7188","10317576","9805516","1613819","1496195","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Bicycle","47","67722","61585","25535","23231","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Bus in London","49","70040","60249","23263","20141","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Car / van driver","3723","5344601","5065262","625751","588456","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","2036","2922359","2854884","330992","319077","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","London Underground","68","97917","79985","17063","13956","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","39","55999","49494","5298","4590","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Non-local bus","53","76563","76226","1001","979","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other local bus","214","307304","287260","68840","63755","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other private transport","126","180263","179394","12230","12068","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other public transport","68","97294","89218","4994","4481","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Surface Rail","506","726530","662337","26059","23119","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","78621","72912","16945","15363","74843","74649","            "
"Average distance per year by mode of transport","2006-2010","5-year rolling average","White","ONS 2011 5+1","Walk","204","292362","266711","455849","406979","74843","74649","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6842","10946469","10376322","1748511","1614713","83421","82800","            "
"Average distance per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","46","72847","65892","26625","24026","83421","82800","            "
