"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","88","% of cohort","4230","3720"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","83","% of cohort","4400","3670"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","3605","3065"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","74","% of cohort","8865","6535"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","9565","8100"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","88","% of cohort","8600","7555"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","1590","1360"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","1995","1820"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","81","% of cohort","10760","8695"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","62","% of cohort","3040","1880"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","71","% of cohort","3745","2650"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","54","% of cohort","8865","4770"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","78","% of cohort","4230","3300"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","68","% of cohort","4400","2975"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","75","% of cohort","3605","2695"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","76","% of cohort","9565","7240"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","74","% of cohort","2320","1725"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","80","% of cohort","8600","6890"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","74","% of cohort","1590","1180"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","1995","1725"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","43","% of cohort","65","30"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","77","% of cohort","3805","2935"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","53","% of cohort","15","10"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","61","% of cohort","257315","156015"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","72","% of cohort","1180","850"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","69","% of cohort","9360","6445"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education","71","% of cohort","1035","730"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","10760","9690"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","3040","2610"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","3745","3270"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","10760","305"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","3040","50"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","3745","100"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","4230","170"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","4400","125"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","15","% of cohort","8865","1340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","6","% of cohort","3605","200"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","9565","325"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","8600","335"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","1590","45"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","1995","85"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","2320","50"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","!","% of cohort","65","!"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","3805","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1180","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","9360","405"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","1035","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","0","% of cohort","15","0"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","257315","4115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","7","% of cohort","10760","765"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","11","% of cohort","8865","990"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","13","% of cohort","3040","380"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","3745","370"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","4230","340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","14","% of cohort","4400","600"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","3605","340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","12","% of cohort","9565","1135"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","2320","185"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","8","% of cohort","8600","710"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","12","% of cohort","1590","185"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","1995","90"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","11","% of cohort","1035","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","11","% of cohort","3805","410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","17","% of cohort","65","10"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","257315","23875"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","1180","105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","9360","875"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","!","% of cohort","15","!"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","20","% of cohort","3040","595"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","14","% of cohort","3745","525"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","8","% of cohort","10760","815"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","8","% of cohort","4230","345"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","17","% of cohort","8865","1500"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","13","% of cohort","4400","560"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","9","% of cohort","3605","320"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","13","% of cohort","2320","305"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","7","% of cohort","9565","675"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","6","% of cohort","8600","555"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","9","% of cohort","1590","145"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","4","% of cohort","1995","85"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","6","% of cohort","3805","245"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","31","% of cohort","65","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","14","% of cohort","1035","150"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","23","% of cohort","257315","59515"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","15","% of cohort","1180","175"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","15","% of cohort","9360","1420"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Employment","33","% of cohort","15","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","8865","260"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","3745","100"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","10760","180"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","3040","135"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","4230","80"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","4400","140"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","3605","50"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black - African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","8600","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","1590","35"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","1995","10"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","2320","55"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","9565","185"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","0","% of cohort","15","0"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - British","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","5","% of cohort","257315","13800"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White - Irish","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","1180","35"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","9360","220"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","3805","105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","1035","25"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","8","% of cohort","65","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","4","% of cohort","1995","85"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","267935","4540"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","6","% of cohort","3605","200"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","15","% of cohort","8865","1340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","28355","24795"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","14590","12590"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","10140","8870"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","1995","1820"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","267935","238535"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","74","% of cohort","8865","6535"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","28355","545"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","10140","310"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","75","% of cohort","3605","2695"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","1995","1725"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","61","% of cohort","267935","163345"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","54","% of cohort","8865","4770"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","76","% of cohort","14590","11045"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","69","% of cohort","10140","6985"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education or employment","85","% of cohort","3605","3065"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Education","78","% of cohort","28355","22170"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","10140","220"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","14590","505"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Unknown","3","% of cohort","28355","915"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","5","% of cohort","1995","90"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","3605","340"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","267935","24865"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unclassified","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","11","% of cohort","8865","990"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","10140","1050"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","10","% of cohort","14590","1495"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","28355","2650"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2011/12","Academic year","England","Country","E92000001","All","All","Employment","4","% of cohort","1995","85"
